topic,subject,relation,object,question,output_gemma_1.1_2b_it,eval_gemma_1.1_2b_it,question_2hop,answer_2hop,question_3hop,answer_3hop,question_4hop,answer_4hop,question_5hop,answer_5hop,question_6hop,answer_6hop,multiple_choices,paraphrased_question,yes_question,no_question,locality_question,reversed_relation_question,multiple_choice_with_letters,multiple_choice_labels
places_city,Rustaq,country,Oman,What is the country of Rustaq?,Rustaq is a country located in Central Asia,0.0,What is the capital of the country of Rustaq?,Muscat,What is the population of the capital of the country of Rustaq?,1.4 million,What is the main language spoken in the capital of the country of Rustaq?,Arabic,What is the currency used in the country where the capital of the country of Rustaq is located?,Omani Rial,What is the name of the central bank that issues the currency used in the country where the capital of the country of Rustaq is located?,Central Bank of Oman,"['Oman', 'Rustaq is a country located in Central Asia', 'Saudi Arabia', 'Yemen']",Which country is Rustaq located in?,Is Oman the country of Rustaq?,Is Rustaq a country located in Central Asia?,What is a famous fort located in Rustaq?,Which city is located in Oman?,A. Rustaq is a country located in Central Asia  B. Oman  C. Saudi Arabia  D. Yemen,B
places_city,Viborg,head of government,Ulrik Wilbek,Who is the head of government of Viborg?,The provided text does not contain any information regarding the head of government of Viborg,0.0,Who is the spouse of the head of government of Viborg?,Susanne Wilbek,What is the profession of the spouse of the head of government of Viborg?,Handball coach,Which team did the spouse of the head of government of Viborg coach?,Viborg HK,In which league does the team that the spouse of the head of government of Viborg coach compete?,Danish Women's Handball League,Which country hosts the league in which the team that the spouse of the head of government of Viborg coaches competes?,Denmark,"['Ulrik Wilbek', 'The provided text does not contain any information regarding the head of government of Viborg', 'Lars Rasmussen', 'Mette Frederiksen']",Who holds the position of head of government in Viborg?,Is Ulrik Wilbek the head of government of Viborg?,Is the provided text does not contain any information regarding the head of government of Viborg the head of government of Viborg?,What is a well-known landmark or feature in Viborg?,Who is the head of government that Ulrik Wilbek governs?,A. The provided text does not contain any information regarding the head of government of Viborg  B. Ulrik Wilbek  C. Lars Rasmussen  D. Mette Frederiksen,B
places_city,Leeds,country,United Kingdom,What is the country of Leeds?,Leeds is located in England,0.0,What is the capital of the country of Leeds?,London,Who is the current mayor of the capital of the country of Leeds?,Sadiq Khan,Which political party does the current mayor of the capital of the country of Leeds belong to?,Labour Party,Who was the leader of the political party that the current mayor of the capital of the country of Leeds belongs to in 2020?,Keir Starmer,Which university did the leader of the political party that the current mayor of the capital of the country of Leeds belongs to in 2020 attend?,University of Leeds,"['United Kingdom', 'Leeds is located in England', 'Scotland', 'Wales']",Which country is Leeds a part of?,Is the country of Leeds the United Kingdom?,Is the country of Leeds Leeds is located in England?,What is a famous football club based in Leeds?,Which city is in the United Kingdom?,A. Wales  B. Leeds is located in England  C. Scotland  D. United Kingdom,D
places_city,Yauyos,country,Peru,What is the country of Yauyos?,Yauyos is a city located in Venezuela,0.0,What is the capital of the country of Yauyos?,Lima,What is the population of the capital of the country of Yauyos?,Approximately 9 million,What is the main language spoken in the capital of the country of Yauyos?,Spanish,What is the currency used in the country where the capital of the country of Yauyos is located?,Peruvian Sol,What is the name of the central bank that issues the currency used in the country where the capital of the country of Yauyos is located?,Central Reserve Bank of Peru,"['Peru', 'Yauyos is a city located in Venezuela', 'Chile', 'Argentina']",Which country is Yauyos located in?,Is the country of Yauyos Peru?,Is the country of Yauyos Yauyos is a city located in Venezuela?,What is the capital city of Peru?,Which city in Peru is Yauyos?,A. Chile  B. Peru  C. Yauyos is a city located in Venezuela  D. Argentina,B
places_city,Nueva Palmira,named after,Palmyra,What was Nueva Palmira named after?,"Named after Saint Philip, a martyr",0.0,In which country is the city that Nueva Palmira was named after located?,Syria,What is the official language of the country where the city that Nueva Palmira was named after is located?,Arabic,What is the predominant religion in the country where the city that Nueva Palmira was named after is located?,Islam,What is the capital city of the country where the city that Nueva Palmira was named after is located?,Damascus,What is the population of the capital city of the country where the city that Nueva Palmira was named after is located?,1.711 million (as of 2021),"['Palmyra', 'Named after Saint Philip, a martyr', 'Alexandria', 'Byzantium']",What is the namesake of Nueva Palmira?,Was Nueva Palmira named after Palmyra?,"Was Nueva Palmira named after Saint Philip, a martyr?",In which country is Nueva Palmira located?,Which place was named after Palmyra?,"A. Alexandria  B. Byzantium  C. Named after Saint Philip, a martyr  D. Palmyra",D
places_city,Yurimaguas,country,Peru,What is the country of Yurimaguas?,Yurimaguas is a city in Mexico,0.0,What is the capital of the country of Yurimaguas?,Lima,What is the population of the capital of the country of Yurimaguas?,Approximately 9 million,What is the main language spoken in the capital of the country of Yurimaguas?,Spanish,What is the currency used in the country where the capital's main language is Spanish and the country of Yurimaguas?,Peruvian Sol,What is the name of the central bank that issues the currency used in the country where the capital's main language is Spanish and the country of Yurimaguas?,Central Reserve Bank of Peru,"['Peru', 'Yurimaguas is a city in Mexico', 'Brazil', 'Argentina']",Which country is Yurimaguas located in?,Is the country of Yurimaguas Peru?,Is the country of Yurimaguas Mexico?,What is a well-known river near Yurimaguas?,Which city in Peru is Yurimaguas?,A. Yurimaguas is a city in Mexico  B. Peru  C. Brazil  D. Argentina,B
places_city,Massawa,country,Eritrea,What is the country of Massawa?,Somalia,0.0,What is the capital of the country of Massawa?,Asmara,What is the population of the capital of the country of Massawa?,"963,000",What is the main language spoken in the capital of the country of Massawa?,Tigrinya,"What is the primary religion practiced in the city where the main language is Tigrinya, which is the capital of the country of Massawa?",Christianity,"What is the name of the largest church in the city where the primary religion is Christianity, which is the capital of the country of Massawa?",Enda Mariam Cathedral,"['Eritrea', 'Somalia', 'Ethiopia', 'Djibouti']",Which country is Massawa located in?,Is Eritrea the country of Massawa?,Is Somalia the country of Massawa?,What is the primary port city of Eritrea?,Which city is in Eritrea?,A. Ethiopia  B. Somalia  C. Eritrea  D. Djibouti,C
places_city,Chivay,country,Peru,What is the country of Chivay?,Chivay is a city in Mexico,0.0,What is the capital of the country of Chivay?,Lima,What is the population of the capital of the country of Chivay?,Approximately 9 million,What is the main language spoken in the capital of the country of Chivay?,Spanish,What is the currency used in the country where the capital's main language is Spanish and the country of Chivay?,Peruvian Sol,What is the name of the central bank that issues the currency used in the country where the capital's main language is Spanish and the country of Chivay?,Central Reserve Bank of Peru,"['Peru', 'Chivay is a city in Mexico', 'Argentina', 'Chile']",Which country is Chivay located in?,Is the country of Chivay Peru?,Is the country of Chivay Mexico?,What is a famous attraction in Chivay?,Which city in Peru is Chivay?,A. Chivay is a city in Mexico  B. Chile  C. Argentina  D. Peru,D
places_city,Arretium,replaced by,Arezzo,What was Arretium replaced by?,"The provided text does not specify what Arretium was replaced by, so I cannot",0.0,What is the population of the city that Arretium was replaced by?,"99,419","What is the area in square kilometers of the city with a population of 99,419 that Arretium was replaced by?",386.25 km²,"In which region is the city located that has an area of 386.25 km² and a population of 99,419 that Arretium was replaced by?",Tuscany,"What is the capital of the region where the city with an area of 386.25 km² and a population of 99,419 that Arretium was replaced by is located?",Florence,"What is the population of the capital of the region where the city with an area of 386.25 km² and a population of 99,419 that Arretium was replaced by is located?","382,258","['Arezzo', 'The provided text does not specify what Arretium was replaced by, so I cannot', 'Florence', 'Siena']",What city took the place of Arretium?,Was Arretium replaced by Arezzo?,"Was Arretium replaced by The provided text does not specify what Arretium was replaced by, so I cannot?",What is a famous historical attribute of Arretium?,What city did Arezzo replace?,"A. Arezzo  B. Florence  C. Siena  D. The provided text does not specify what Arretium was replaced by, so I cannot",A
places_city,Molfetta,patron saint,Conrad of Bavaria,Who is the patron saint of Molfetta?,Saint Nicholas,0.0,What is the feast day of the patron saint of Molfetta?,February 15,Which church is dedicated to the patron saint of Molfetta whose feast day is February 15?,Cathedral of Molfetta,"In which year was the church dedicated to the patron saint of Molfetta, whose feast day is February 15, consecrated?",1785,"Who was the bishop that consecrated the church dedicated to the patron saint of Molfetta, whose feast day is February 15, in 1785?",Bishop Fabrizio Antonio Salerni,"Which Pope was in office when the bishop consecrated the church dedicated to the patron saint of Molfetta, whose feast day is February 15, in 1785?",Pope Pius VI,"['Conrad of Bavaria', 'Saint Nicholas', 'Saint Francis', 'Saint Peter']",Who serves as the patron saint for the city of Molfetta?,Is Conrad of Bavaria the patron saint of Molfetta?,Is Saint Nicholas the patron saint of Molfetta?,What is a famous landmark or feature of Molfetta?,Which city considers Conrad of Bavaria as its patron saint?,A. Saint Nicholas  B. Conrad of Bavaria  C. Saint Peter  D. Saint Francis,B
places_city,Utena,official language,Lithuanian,What is the official language of Utena?,Japanese,0.0,What is the population of the country where the official language of Utena is spoken?,2.8 million,What is the capital city of the country with a population of 2.8 million where the official language of Utena is spoken?,Vilnius,What is the main river that flows through the capital city of the country with a population of 2.8 million where the official language of Utena is spoken?,Neris River,What is the length of the main river that flows through the capital city of the country with a population of 2.8 million where the official language of Utena is spoken?,510 kilometers,Into which larger river does the main river that flows through the capital city of the country with a population of 2.8 million where the official language of Utena is spoken eventually flow?,Neman River,"['Lithuanian', 'Japanese', 'English', 'Spanish']",Which language is officially spoken in Utena?,Is Lithuanian the official language of Utena?,Is Japanese the official language of Utena?,In which country is Utena located?,In which city is Lithuanian the official language?,A. Spanish  B. Japanese  C. Lithuanian  D. English,C
places_city,Tingo María,country,Peru,What is the country of Tingo María?,Ecuador,0.0,What is the capital of the country of Tingo María?,Lima,What is the population of the capital of the country of Tingo María?,Approximately 9 million,What is the main language spoken in the capital of the country of Tingo María?,Spanish,What is the currency used in the country where the capital's main language is Spanish and the country of Tingo María?,Peruvian Sol,What is the name of the central bank that issues the currency used in the country where the capital's main language is Spanish and the country of Tingo María?,Central Reserve Bank of Peru,"['Peru', 'Ecuador', 'Brazil', 'Chile']",Which country is Tingo María located in?,Is the country of Tingo María Peru?,Is the country of Tingo María Ecuador?,What is a famous natural attraction in Tingo María?,Which city in Peru is being referred to?,A. Brazil  B. Chile  C. Ecuador  D. Peru,D
places_city,Coihueco,country,Chile,What is the country of Coihueco?,Coihueco is a city in Mexico,0.0,What is the capital of the country of Coihueco?,Santiago,What is the population of the capital of the country of Coihueco?,5.6 million,What is the main language spoken in the capital of the country of Coihueco?,Spanish,What is the currency used in the country where the capital's main language is Spanish and the country of Coihueco?,Chilean Peso,What is the international dialing code for the country where the currency is the Chilean Peso and the country of Coihueco?,+56,"['Chile', 'Coihueco is a city in Mexico', 'Argentina', 'Peru']",Which country is Coihueco located in?,Is the country of Coihueco Chile?,Is the country of Coihueco Coihueco is a city in Mexico?,What is a well-known city in Chile?,Which city in Chile is Coihueco?,A. Chile  B. Coihueco is a city in Mexico  C. Argentina  D. Peru,A
places_city,Grabow,country,Germany,What is the country of Grabow?,Grabow is a town located in Poland,0.0,What is the capital of the country of Grabow?,Berlin,What is the population of the capital of the country of Grabow?,Approximately 3.6 million,What is the area in square kilometers of the capital of the country of Grabow?,891.8 square kilometers,What is the name of the river that flows through the capital of the country of Grabow?,Spree,What is the length of the river that flows through the capital of the country of Grabow?,400 kilometers,"['Germany', 'Grabow is a town located in Poland', 'France', 'Italy']",Which country is Grabow located in?,Is the country of Grabow Germany?,Is the country of Grabow Grabow is a town located in Poland?,What is a famous landmark or feature of Grabow?,Which town is located in Germany?,A. Italy  B. France  C. Grabow is a town located in Poland  D. Germany,D
places_city,Maxixe,country,Mozambique,What is the country of Maxixe?,Maxixe is a city in Mexico,0.0,What is the capital of the country of Maxixe?,Maputo,What is the population of the capital of the country of Maxixe?,1.2 million,What is the main language spoken in the capital of the country of Maxixe?,Portuguese,What is the currency used in the country where the capital's main language is Portuguese and the country of Maxixe?,Mozambican metical,What is the name of the central bank that issues the currency used in the country where the capital's main language is Portuguese and the country of Maxixe?,Bank of Mozambique,"['Mozambique', 'Maxixe is a city in Mexico', 'Brazil', 'Angola']",Which country is Maxixe located in?,Is the country of Maxixe Mozambique?,Is the country of Maxixe Maxixe is a city in Mexico?,What is a well-known city in Mozambique?,Which city in Mozambique is Maxixe?,A. Brazil  B. Maxixe is a city in Mexico  C. Mozambique  D. Angola,C
places_city,Cali,founded by,Sebastián de Belalcázar,Who was Cali founded by?,Cali was founded by Kevin Systrom and Mike Krieger,0.0,What is the nationality of the person who founded Cali?,Spanish,Which country is the nationality of the person who founded Cali associated with?,Spain,What is the capital city of the country associated with the nationality of the person who founded Cali?,Madrid,Which river flows through the capital city of the country associated with the nationality of the person who founded Cali?,Manzanares River,In which autonomous community is the capital city located through which the river flows that is associated with the country of the nationality of the person who founded Cali?,Community of Madrid,"['Sebastián de Belalcázar', 'Cali was founded by Kevin Systrom and Mike Krieger', 'Christopher Columbus', 'Hernán Cortés']",Who established the city of Cali?,Was Cali founded by Sebastián de Belalcázar?,Was Cali founded by Kevin Systrom and Mike Krieger?,What is a famous cultural event held in Cali?,Who was Sebastián de Belalcázar the founder of?,A. Sebastián de Belalcázar  B. Christopher Columbus  C. Hernán Cortés  D. Cali was founded by Kevin Systrom and Mike Krieger,A
places_city,Musoma,country,Tanzania,What is the country of Musoma?,Musoma is a country located in East Africa,0.0,What is the capital of the country of Musoma?,Dodoma,What is the population of the capital of the country of Musoma?,2.08 million,What is the main language spoken in the capital of the country of Musoma?,Swahili,What is the currency used in the country where the capital's main language is Swahili?,Tanzanian shilling,What is the symbol for the currency used in the country where the capital's main language is Swahili?,TZS,"['Tanzania', 'Musoma is a country located in East Africa', 'Kenya', 'Uganda']",Which country is Musoma located in?,Is Tanzania the country of Musoma?,Is Musoma a country located in East Africa?,What is a well-known lake near Musoma?,Which city in Tanzania is Musoma?,A. Kenya  B. Tanzania  C. Musoma is a country located in East Africa  D. Uganda,B
places_city,Palermo,head of government,Roberto Lagalla,Who is the head of government of Palermo?,"The provided text does not specify the head of government of Palermo, so I cannot",0.0,Who is the predecessor of the head of government of Palermo?,Leoluca Orlando,Which political party does the predecessor of the head of government of Palermo belong to?,Democratic Party,Who is the leader of the political party that the predecessor of the head of government of Palermo belongs to?,Elly Schlein,Which university did the leader of the political party that the predecessor of the head of government of Palermo belongs to attend?,University of Bologna,In which city is the university located that the leader of the political party that the predecessor of the head of government of Palermo belongs to attended?,Bologna,"['Roberto Lagalla', 'The provided text does not specify the head of government of Palermo, so I cannot', 'Giuseppe Conte', 'Mario Draghi']",Who governs Palermo?,Is Roberto Lagalla the head of government of Palermo?,"Is the provided text does not specify the head of government of Palermo, so I cannot the head of government of Palermo?",What is a famous landmark in Palermo?,Who is governed by Roberto Lagalla?,"A. Giuseppe Conte  B. The provided text does not specify the head of government of Palermo, so I cannot  C. Roberto Lagalla  D. Mario Draghi",C
places_city,Kajiado,country,Kenya,What is the country of Kajiado?,Japan,0.0,What is the capital city of the country of Kajiado?,Nairobi,What is the population of the capital city of the country of Kajiado?,4.397 million (as of 2019),What is the main airport in the capital city of the country of Kajiado?,Jomo Kenyatta International Airport,Which airline has its hub at the main airport in the capital city of the country of Kajiado?,Kenya Airways,What is the IATA code for the airline that has its hub at the main airport in the capital city of the country of Kajiado?,KQ,"['Kenya', 'Japan', 'Tanzania', 'Uganda']",Which country is Kajiado located in?,Is the country of Kajiado Kenya?,Is the country of Kajiado Japan?,What is the capital city of Kenya?,Which region in Kenya is Kajiado?,A. Japan  B. Tanzania  C. Kenya  D. Uganda,C
places_city,Oyo,topic's main category,city,What is the topic's main category of Oyo?,Oyo's main category is hospitality and travel services,0.0,What is the population of the city that is the topic's main category of Oyo?,"736,072","What is the area in square kilometers of the city with a population of 736,072 that is the topic's main category of Oyo?",28.454 km²,"What is the population density of the city with an area of 28.454 km² that has a population of 736,072 and is the topic's main category of Oyo?","25,870 people per km²","What is the name of the mayor of the city with a population density of 25,870 people per km² that has an area of 28.454 km² and is the topic's main category of Oyo?",Akeem Adeyemi,"What is the official language of the city whose mayor is Akeem Adeyemi, has a population density of 25,870 people per km², an area of 28.454 km², and is the topic's main category of Oyo?",Yoruba,"['city', ""Oyo's main category is hospitality and travel services"", 'state', 'country']",What is the primary category of the topic Oyo?,Is the topic's main category of Oyo a city?,Is the topic's main category of Oyo hospitality and travel services?,What is a well-known attribute of Oyo?,What is the city that is the topic's main category of?,A. country  B. Oyo's main category is hospitality and travel services  C. state  D. city,D
places_city,Bol,country,Chad,What is the country of Bol?,Bol is a country located in Central Asia,0.0,What is the capital of the country of Bol?,N'Djamena,What is the population of the capital of the country of Bol?,"1,476,000",What is the main language spoken in the capital of the country of Bol?,French,What is the currency used in the country where the capital's main language is French and the country of Bol?,Central African CFA franc,Which organization issues the currency used in the country where the capital's main language is French and the country of Bol?,Bank of Central African States,"['Chad', 'Bol is a country located in Central Asia', 'Nigeria', 'Sudan']",Which country is Bol located in?,Is the country of Bol Chad?,Is the country of Bol located in Central Asia?,What is a well-known lake in Chad?,What city is located in Chad?,A. Chad  B. Sudan  C. Nigeria  D. Bol is a country located in Central Asia,A
places_city,Liège,head of government,Willy Demeyer,Who is the head of government of Liège?,"The provided text does not contain any information regarding the head of government of Liège,",0.0,What is the political party of the head of government of Liège?,Parti Socialiste,Who is the leader of the political party of the head of government of Liège?,Paul Magnette,Which university did the leader of the political party of the head of government of Liège attend?,Université libre de Bruxelles,In which city is the university located that the leader of the political party of the head of government of Liège attended?,Brussels,In which country is the city located where the university that the leader of the political party of the head of government of Liège attended is situated?,Belgium,"['Willy Demeyer', 'The provided text does not contain any information regarding the head of government of Liège,', 'Jean-Claude Marcourt', 'Christine Defraigne']",Who holds the position of head of government in Liège?,Is Willy Demeyer the head of government of Liège?,Is the provided text does not contain any information regarding the head of government of Liège the head of government of Liège?,What is a famous landmark in Liège?,Who is governed by Willy Demeyer?,"A. Christine Defraigne  B. Willy Demeyer  C. Jean-Claude Marcourt  D. The provided text does not contain any information regarding the head of government of Liège,",B
places_city,Monastir,country,Tunisia,What is the country of Monastir?,Montenegro,0.0,What is the capital of the country of Monastir?,Tunis,What is the population of the capital of the country of Monastir?,"1,056,247",What is the area in square kilometers of the capital of the country of Monastir?,212.63 km²,What is the time zone of the capital of the country of Monastir?,Central European Time (CET),What is the main language spoken in the capital of the country of Monastir?,Arabic,"['Tunisia', 'Montenegro', 'Morocco', 'Algeria']",Which country is Monastir located in?,Is the country of Monastir Tunisia?,Is the country of Monastir Montenegro?,What is a famous landmark in Monastir?,Which city in Tunisia is being referred to?,A. Tunisia  B. Algeria  C. Montenegro  D. Morocco,A
