topic,subject,relation,object,question,output_meta_llama_3.1_8b_instruct,eval_meta_llama_3.1_8b_instruct
technology_database,Norwegian Centre for Research Data,owned by,Ministry of Education and Research of Norway,What was Norwegian Centre for Research Data owned by?,University of Bergen,0.0
technology_database,Norwegian Centre for Research Data,headquarters location,Bergen,What is the headquarters location of Norwegian Centre for Research Data?,"Oslo, Norway",0.0
technology_database,Norwegian Centre for Research Data,chairperson,Petter Aasen,Who is the chairperson of Norwegian Centre for Research Data?,Anne-Marie Vinstad,0.0
technology_database,Vote Smart,headquarters location,Des Moines,What is the headquarters location of Vote Smart?,"Helena, MT",0.0
technology_database,"OCLC, Inc.",field of work,library cooperation,"What is the field of work of OCLC, Inc.?",Library services,0.0
technology_database,"OCLC, Inc.",legal form,501(c)(3) organization,"What is the legal form of OCLC, Inc.?",Corporation,0.0
technology_database,British Dragonfly Society,sponsor,David Attenborough,Who does British Dragonfly Society sponsor?,Projects,0.0
technology_database,WikiMapia,country,Russia,What is the country of WikiMapia?,Worldwide (coverage),0.0
technology_database,CAB International,located in the administrative territorial entity,Wallingford,What is the located in the administrative territorial entity of CAB International?,Headquarters,0.0
technology_database,CAB International,country,United Kingdom,What is the country of CAB International?,Canada,0.0
technology_database,archINFORM,genre,encyclopedia,What is the genre of archINFORM?,Architecture,0.0
technology_database,CAB International,headquarters location,Wallingford,What is the headquarters location of CAB International?,London,0.0
technology_database,Eighteenth Century Collections Online,place of publication,Farmington Hills,What is the place of publication of Eighteenth Century Collections Online?,Gale Cengage Learning,0.0
technology_database,Eighteenth Century Collections Online,used by,English Short Title Catalogue,What was Eighteenth Century Collections Online used by?,Researchers,0.0
technology_database,Eighteenth Century Collections Online,uses,English Short Title Catalogue,What does Eighteenth Century Collections Online use?,Digital archives,0.0
technology_database,Cochrane Database of Systematic Reviews,published in,Nursing Standard,What was Cochrane Database of Systematic Reviews published in?,1993,0.0
technology_database,Eighteenth Century Collections Online,has part(s),"England illustrated, or, a compendium of the natural history, geography, topography, and antiquities ecclesiastical and civil, of England and Wales",What does Eighteenth Century Collections Online have part(s )?,"Books, Journals, Pamphlets, Images, Maps, etc",0.0
technology_database,Cochrane Database of Systematic Reviews,author,Pier Paolo Pani,Who is the author of Cochrane Database of Systematic Reviews?,"Mark Petticrew, Karla Soares-Weiser, and David",0.0
technology_database,Cuneiform Digital Library Initiative,language of work or name,English,What is the language of work or name of Cuneiform Digital Library Initiative?,"Cuneiform Digital Library Initiative (CDLI) uses multiple languages, primarily",0.0
technology_database,"ZoomInfo Technologies, Inc.",industry,software as a service,"What is the industry of ZoomInfo Technologies, Inc.?",Technology,0.0
technology_database,Euskaltzaindia,described by source,database,What is the described by source of Euskaltzaindia?,Basque language,0.0
technology_database,"ZoomInfo Technologies, Inc.",headquarters location,Vancouver,"What is the headquarters location of ZoomInfo Technologies, Inc.?",Boston,0.0
technology_database,Euskaltzaindia,chairperson,Andres Urrutia,Who is the chairperson of Euskaltzaindia?,"I'm sorry for any inconvenience, but as a text-based",0.0
technology_database,American Battle Monuments Commission,main regulatory text,United States Code,What is the main regulatory text of American Battle Monuments Commission?,ABMC Act (Public Law 60-371),0.0
technology_database,American Battle Monuments Commission,located in the administrative territorial entity,Arlington County,What is the located in the administrative territorial entity of American Battle Monuments Commission?,Monuments,0.0
technology_database,American Battle Monuments Commission,parent organization,Federal Government of the United States,What is the parent organization of American Battle Monuments Commission?,Department of Defense,0.0
technology_database,Glottolog,publisher,Max Planck Institute for Evolutionary Anthropology,What is the publisher of Glottolog?,Max Planck Institute for the Science of Human History,0.0
technology_database,American Battle Monuments Commission,headquarters location,Arlington County,What is the headquarters location of American Battle Monuments Commission?,"Washington, D.C",0.0
technology_database,Logical Observation Identifiers Names and Codes,author,Regenstrief Institute,What is the author of Logical Observation Identifiers Names and Codes?,ISO (International Organization for Standardization),0.0
technology_database,"ORCID, Inc.",significant event,incorporation,"What is the significant event of ORCID, Inc.?",Registration system for unique researcher identifiers,0.0
technology_database,"ORCID, Inc.",headquarters location,Bethesda,"What is the headquarters location of ORCID, Inc.?","Boston, USA",0.0
technology_database,"ORCID, Inc.",uses,GRID,"What does ORCID, Inc. use?",Identifiers,0.0
technology_database,"ORCID, Inc.",legal form,501(c)(3) organization,"What is the legal form of ORCID, Inc.?",Corporation (Inc.),0.0
technology_database,"ORCID, Inc.",chief executive officer,Chris Shillum,"Who is the chief executive officer of ORCID, Inc.?",Christine Borgman,0.0
technology_database,"ORCID, Inc.",funder,Leona M. and Harry B. Helmsley Charitable Trust,"Who is the funder of ORCID, Inc.?","The funder of ORCID, Inc. is a consortium of",0.0
technology_database,"ORCID, Inc.",located in the administrative territorial entity,Montgomery County,"What is the located in the administrative territorial entity of ORCID, Inc.?","ORCID, Inc. is not a territorial entity, it's",0.0
technology_database,Japan Institute of Design Promotion,headquarters location,Midtown Tower,What is the headquarters location of Japan Institute of Design Promotion?,"Tokyo, Japan",0.0
technology_database,Japan Institute of Design Promotion,replaces,Japan Industrial Design Promotion Organization,What does Japan Institute of Design Promotion replace?,"None (It's an organization, not a replacement for something)",0.0
technology_database,"ORCID, Inc.",location,Bethesda,"What is the location of ORCID, Inc.?","New York, USA",0.0
technology_database,Japan Institute of Design Promotion,located in the administrative territorial entity,Minato,What is the located in the administrative territorial entity of Japan Institute of Design Promotion?,Tokyo,0.0
technology_database,Instituto Nacional de Estadística y Geografía,headquarters location,Aguascalientes City,What is the headquarters location of Instituto Nacional de Estadística y Geografía?,"Mexico City, Mexico",0.0
technology_database,WorldCat,language of work or name,multiple languages,What is the language of work or name of WorldCat?,WorldCat language: Multilingual (primarily English) WorldCat name,0.0
technology_database,WorldCat,has part(s),Faceted Application of Subject Terminology,What does WorldCat have part(s )?,WorldCat has catalog records,0.0
technology_database,Botanical Society of Britain and Ireland,house publication,New Journal of Botany,What is the house publication of Botanical Society of Britain and Ireland?,Journal of the Botanical Society of Britain and Ireland,0.0
technology_database,Botanical Society of Britain and Ireland,members have occupation,botanist,What is the members have occupation of Botanical Society of Britain and Ireland?,Members have various occupations,0.0
technology_database,Society for American Baseball Research,founded by,Bob Davids,Who was Society for American Baseball Research founded by?,"Palmer, Bill",0.0
technology_database,National Forest Corporation,headquarters location,Santiago,What is the headquarters location of National Forest Corporation?,India,0.0
technology_database,Departamento Administrativo Nacional de Estadística,chief executive officer,Juan Daniel Oviedo,Who is the chief executive officer of Departamento Administrativo Nacional de Estadística?,"I'm sorry for any inconvenience, but I don't have",0.0
technology_database,National Forest Corporation,country,Chile,What is the country of National Forest Corporation?,India,0.0
technology_database,FactGrid,operator,University of Erfurt,What is the operator of FactGrid?,FactGrid Operator: FactGrid AI,0.0
technology_database,FactGrid,founded by,Olaf Simons,Who was FactGrid founded by?,Kai-Fu Lee,0.0
technology_database,National Institute of Statistics,affiliation,Eurostat,What is the affiliation of National Institute of Statistics?,Government,0.0
technology_database,National Institute of Statistics,headquarters location,Instituto Nacional de Estatística,What is the headquarters location of National Institute of Statistics?,"Lisbon, Portugal",0.0
technology_database,FactGrid,uses,Wikibase,What does FactGrid use?,Data Integration Techniques,0.0
technology_database,FactGrid,copyright license,Creative Commons CC0 License,What is the copyright license of FactGrid?,CC BY-SA 4.0,0.0
technology_database,Memoriav,headquarters location,Bern,What is the headquarters location of Memoriav?,"Lausanne, Switzerland",0.0
technology_database,Memoriav,located in the administrative territorial entity,Bern,What is the located in the administrative territorial entity of Memoriav?,Lausanne,0.0
technology_database,Memoriav,chairperson,Christine Egerszegi,Who is the chairperson of Memoriav?,"I'm sorry for any inconvenience, but I don't have",0.0
technology_database,"Morningstar, Inc.",industry,financial services,"What is the industry of Morningstar, Inc.?",Finance,0.0
technology_database,Have I Been Pwned?,programmed in,.NET Framework,What was Have I Been Pwned? programmed in?,C#,0.0
technology_database,Have I Been Pwned?,language of work or name,English,What is the language of work or name of Have I Been Pwned??,"Python, HIBP",0.0
technology_database,Archiv Bibliographia Judaica,founded by,Renate Heuer,Who was Archiv Bibliographia Judaica founded by?,Paul Jaffe,0.0
technology_database,Central Institute for Catalogues and Documentation,located in the administrative territorial entity,Rome,What is the located in the administrative territorial entity of Central Institute for Catalogues and Documentation?,Libraries,0.0
