topic,subject,relation,object,question,output_meta_llama_3.1_8b_instruct,eval_meta_llama_3.1_8b_instruct,paraphrased_question,yes_question,no_question,multiple_choice_question,locality_question,reversed_relation_question,question_2hop,answer_2hop,question_3hop,answer_3hop,question_4hop,answer_4hop,question_5hop,answer_5hop,question_6hop,answer_6hop
places_country,Norway,executive body,Government of Norway,What is the executive body of Norway?,Stortinget,0.0,Which entity serves as the executive body in Norway?,Is the Government of Norway the executive body of Norway?,Is Stortinget the executive body of Norway?,"{'question': 'What is the executive body of Norway?', 'options': {'A': 'Government of Norway', 'B': 'Stortinget', 'C': 'Supreme Court of Norway', 'D': 'Norwegian Parliament'}, 'ground_truth': 'A'}",What is the capital city of Norway?,Which country has the Government of Norway as its executive body?,Who is the head of the executive body of Norway?,Jonas Gahr Støre,Which political party does the head of the executive body of Norway belong to?,Labour Party,Who was the founder of the political party that the head of the executive body of Norway belongs to?,Anders Andersen,In which year was the political party founded by the founder of the political party that the head of the executive body of Norway belongs to?,1887,In which city was the political party founded by the founder of the political party that the head of the executive body of Norway belongs to?,Arendal
places_country,Canada,executive body,Government of Canada,What is the executive body of Canada?,Parliament,0.0,Which entity serves as the executive body in Canada?,Is the Government of Canada the executive body of Canada?,Is the Parliament the executive body of Canada?,"{'question': 'What is the executive body of Canada?', 'options': {'A': 'Government of Canada', 'B': 'Parliament', 'C': 'Supreme Court of Canada', 'D': 'House of Commons'}, 'ground_truth': 'A'}",What is the capital city of Canada?,Which country has the Government of Canada as its executive body?,Who is the head of the executive body of Canada?,Justin Trudeau,What is the official residence of the head of the executive body of Canada?,24 Sussex Drive,In which city is the official residence of the head of the executive body of Canada located?,Ottawa,In which province is the city located where the official residence of the head of the executive body of Canada is situated?,Ontario,In which country is the province located where the city is situated that contains the official residence of the head of the executive body of Canada?,Canada
places_country,Liechtenstein,lowest point,Rhine,What is the lowest point of Liechtenstein?,Rheinwald 433m,0.0,Where is the lowest elevation in Liechtenstein?,Is the lowest point of Liechtenstein the Rhine?,Is the lowest point of Liechtenstein Rheinwald 433m?,"{'question': 'What is the lowest point of Liechtenstein?', 'options': {'A': 'Rhine', 'B': 'Rheinwald 433m', 'C': 'Alps', 'D': 'Vaduz'}, 'ground_truth': 'A'}",What is the capital city of Liechtenstein?,Which country has the Rhine as its lowest point?,Which river is at the lowest point in Liechtenstein?,Rhine River,Which country does the river at the lowest point in Liechtenstein flow into after Liechtenstein?,Switzerland,What is the capital city of the country that the river at the lowest point in Liechtenstein flows into after Liechtenstein?,Bern,Which river flows through the capital city of the country that the river at the lowest point in Liechtenstein flows into after Liechtenstein?,Aare River,Which lake does the river that flows through the capital city of the country that the river at the lowest point in Liechtenstein flows into after Liechtenstein eventually flow into?,Lake Biel
places_country,Hungary,railway traffic side,right,What is the railway traffic side of Hungary?,MÁV,0.0,On which side does railway traffic operate in Hungary?,Is the railway traffic side of Hungary the right?,Is the railway traffic side of Hungary MÁV?,"{'question': 'What is the railway traffic side of Hungary?', 'options': {'A': 'left', 'B': 'right', 'C': 'MÁV', 'D': 'center'}, 'ground_truth': 'B'}",What is the capital city of Hungary?,In which country is the railway traffic side right?,Which country has the same railway traffic side as Hungary?,Austria,What is the capital city of the country that has the same railway traffic side as Hungary?,Vienna,Which river flows through the capital city of the country that has the same railway traffic side as Hungary?,Danube,Which sea does the river that flows through the capital city of the country with the same railway traffic side as Hungary eventually flow into?,Black Sea,"Which country borders the sea that the river flows into, which passes through the capital city of the country with the same railway traffic side as Hungary?",Ukraine
places_country,Romania,basic form of government,semi-presidential system,What is the basic form of government of Romania?,Parliamentary republic,0.0,What type of government does Romania have?,Is the basic form of government of Romania a semi-presidential system?,Is the basic form of government of Romania a parliamentary republic?,"{'question': 'What is the basic form of government of Romania?', 'options': {'A': 'Parliamentary republic', 'B': 'Semi-presidential system', 'C': 'Monarchy', 'D': 'Federal republic'}, 'ground_truth': 'B'}",What is the capital city of Romania?,Which country has a semi-presidential system as its basic form of government?,Who is the current head of state of the country with the basic form of government of Romania?,Klaus Iohannis,Which political party is the current head of state of Romania affiliated with?,National Liberal Party,Who was the founder of the political party that the current head of state of Romania is affiliated with?,Ion I. C. Brătianu,In which year was the political party founded by Ion I. C. Brătianu established?,1875,Which historical event took place in the same year that the political party founded by Ion I. C. Brătianu was established?,The signing of the Treaty of Berlin
places_country,Sweden,studied in,Scandinavian studies,What was Sweden studied in?,Geography,0.0,In what field did Sweden conduct its studies?,Did Sweden study Scandinavian studies?,Did Sweden study Geography?,"{'question': 'What field did Sweden study?', 'options': {'A': 'Geography', 'B': 'Scandinavian studies', 'C': 'History', 'D': 'Economics'}, 'ground_truth': 'B'}",What is the capital city of Sweden?,Which country studied Scandinavian studies?,Who is a famous scientist that studied in Sweden?,Carl Linnaeus,What is the field of study of the famous scientist who studied in Sweden?,Botany,What is the name of the classification system developed by the famous botanist who studied in Sweden?,Binomial Nomenclature,Which book introduced the classification system developed by the famous botanist who studied in Sweden?,Systema Naturae,In which year was the book that introduced the classification system developed by the famous botanist who studied in Sweden published?,1735
places_country,Finland,head of state,Alexander Stubb,Who is the head of state of Finland?,Sauli Niinistö,0.0,Who serves as the head of state in Finland?,Is Alexander Stubb the head of state of Finland?,Is Sauli Niinistö the head of state of Finland?,"{'question': 'Who is the head of state of Finland?', 'options': {'A': 'Alexander Stubb', 'B': 'Sauli Niinistö', 'C': 'Sanna Marin', 'D': 'Tarja Halonen'}, 'ground_truth': 'A'}",What is the capital city of Finland?,Which country has Alexander Stubb as its head of state?,Who is the spouse of the head of state of Finland?,Jenni Haukio,What is the profession of the spouse of the head of state of Finland?,Poet and political scientist,Which university did the spouse of the head of state of Finland attend?,University of Turku,In which city is the university that the spouse of the head of state of Finland attended located?,Turku,In which country is the city located where the university that the spouse of the head of state of Finland attended is situated?,Finland
places_country,Russia,culture,culture of Russia,What is the culture of Russia?,Traditional,0.0,Can you describe the culture of Russia?,Is the culture of Russia the culture of Russia?,Is the culture of Russia traditional?,"{'question': 'What is the culture of Russia?', 'options': {'A': 'Traditional', 'B': 'Culture of Russia', 'C': 'Modern', 'D': 'Western'}, 'ground_truth': 'B'}",What is the capital city of Russia?,Which country has the culture of Russia?,What is a famous traditional dance in Russian culture?,Kalinka,Which region is the traditional Russian dance Kalinka associated with?,Central Russia,What is a notable city in the region where the traditional Russian dance Kalinka is associated?,Moscow,What is a famous landmark in the notable city of Moscow?,Red Square,Which historical event is commemorated by the famous landmark Red Square in Moscow?,The October Revolution
places_country,Russia,main regulatory text,Constitution of Russia,What is the main regulatory text of Russia?,The Constitution,0.0,Which document serves as the primary regulatory text in Russia?,Is the Constitution of Russia the main regulatory text of Russia?,Is The Constitution the main regulatory text of Russia?,"{'question': 'What is the main regulatory text of Russia?', 'options': {'A': 'Constitution of Russia', 'B': 'The Constitution', 'C': 'Federal Law', 'D': 'Civil Code'}, 'ground_truth': 'A'}",What is the capital city of Russia?,Which country has the Constitution of Russia as its main regulatory text?,Who is the current president of the country whose main regulatory text is the Constitution of Russia?,Vladimir Putin,What is the official residence of the current president of the country whose main regulatory text is the Constitution of Russia?,Kremlin,In which city is the official residence of the current president of the country whose main regulatory text is the Constitution of Russia located?,Moscow,Which river flows through the city where the official residence of the current president of the country whose main regulatory text is the Constitution of Russia is located?,Moskva River,Into which larger river does the river that flows through the city where the official residence of the current president of the country whose main regulatory text is the Constitution of Russia is located eventually flow?,Oka River
places_country,Mongolia,history of topic,history of Mongolia,What is the history of topic of Mongolia?,"Ancient, Medieval, and Modern periods",0.0,Can you tell me about the history of Mongolia?,Is the history of topic of Mongolia the history of Mongolia?,"Is the history of topic of Mongolia the Ancient, Medieval, and Modern periods?","{'question': 'What is the history of topic of Mongolia?', 'options': {'A': 'Ancient, Medieval, and Modern periods', 'B': 'History of Mongolia', 'C': 'History of China', 'D': 'History of Russia'}, 'ground_truth': 'B'}",What is the capital city of Mongolia?,What country has the history of Mongolia?,Who was the most famous leader in the history of Mongolia?,Genghis Khan,Which empire did the most famous leader in the history of Mongolia establish?,Mongol Empire,What was the capital of the empire established by the most famous leader in the history of Mongolia?,Karakorum,In which modern-day country is the capital of the empire established by the most famous leader in the history of Mongolia located?,Mongolia,What is the name of the province in modern-day Mongolia where the capital of the empire established by the most famous leader in the history of Mongolia is located?,Övörkhangai
places_country,Albania,studied in,albanology,What was Albania studied in?,Geography,0.0,In which field was Albania studied?,Was Albania studied in albanology?,Was Albania studied in Geography?,"{'question': 'What field was Albania studied in?', 'options': {'A': 'Geography', 'B': 'History', 'C': 'Albanology', 'D': 'Sociology'}, 'ground_truth': 'C'}",What is the capital city of Albania?,Which country was studied in albanology?,Who is a famous person that studied in Albania?,Mother Teresa,Which city did the famous person who studied in Albania grow up in?,Skopje,In which country is the city located where the famous person who studied in Albania grew up?,North Macedonia,What is the official language of the country where the city is located that the famous person who studied in Albania grew up?,Macedonian,What is the currency used in the country where the official language is Macedonian?,Macedonian denar
places_country,Myanmar,basic form of government,republic,What is the basic form of government of Myanmar?,Military dictatorship,0.0,Can you tell me the basic form of government in Myanmar?,Is the basic form of government of Myanmar a republic?,Is the basic form of government of Myanmar a military dictatorship?,"{'question': 'What is the basic form of government of Myanmar?', 'options': {'A': 'Republic', 'B': 'Monarchy', 'C': 'Military dictatorship', 'D': 'Communism'}, 'ground_truth': 'A'}",What is the capital city of Myanmar?,Which country has a basic form of government that is a republic?,Who is the current head of state in the basic form of government of Myanmar?,Min Aung Hlaing,What is the official title of the current head of state in the basic form of government of Myanmar?,Chairman of the State Administration Council,Which organization is the current head of state of Myanmar the chairman of?,State Administration Council,"When was the State Administration Council, which the current head of state of Myanmar chairs, established?",February 2021,What event led to the establishment of the State Administration Council in Myanmar?,2021 Myanmar coup d'état
places_country,Sri Lanka,head of government,Ranil Wickremesinghe,Who is the head of government of Sri Lanka?,Sajith Premadasa,0.0,Who serves as the head of government in Sri Lanka?,Is Ranil Wickremesinghe the head of government of Sri Lanka?,Is Sajith Premadasa the head of government of Sri Lanka?,"{'question': 'Who is the head of government of Sri Lanka?', 'options': {'A': 'Ranil Wickremesinghe', 'B': 'Sajith Premadasa', 'C': 'Mahinda Rajapaksa', 'D': 'Maithripala Sirisena'}, 'ground_truth': 'A'}",What is the capital city of Sri Lanka?,Of which country is Ranil Wickremesinghe the head of government?,Who is the spouse of the head of government of Sri Lanka?,Maithree Wickremesinghe,Which university did the spouse of the head of government of Sri Lanka attend for their undergraduate studies?,University of Colombo,In which city is the university that the spouse of the head of government of Sri Lanka attended located?,Colombo,In which province is the city located where the university that the spouse of the head of government of Sri Lanka attended is situated?,Western Province,In which country is the province located where the city is situated that contains the university the spouse of the head of government of Sri Lanka attended?,Sri Lanka
places_country,Slovakia,lowest point,Bodrog,What is the lowest point of Slovakia?,New Auburn (Nižná) - 94 m,0.0,Where is the lowest point located in Slovakia?,Is Bodrog the lowest point of Slovakia?,Is New Auburn (Nižná) - 94 m the lowest point of Slovakia?,"{'question': 'What is the lowest point of Slovakia?', 'options': {'A': 'Bodrog', 'B': 'New Auburn (Nižná) - 94 m', 'C': 'Tatras', 'D': 'Danube River'}, 'ground_truth': 'A'}",What is the capital city of Slovakia?,In which country is Bodrog the lowest point?,Which river is located at the lowest point of Slovakia?,Bodrog River,Which country does the river at the lowest point of Slovakia flow into?,Hungary,What is the capital city of the country that the river at the lowest point of Slovakia flows into?,Budapest,Which river flows through the capital city of the country that the river at the lowest point of Slovakia flows into?,Danube River,Which sea does the river that flows through the capital city of the country that the river at the lowest point of Slovakia flows into eventually empty into?,Black Sea
places_country,Vatican City,present in work,Civilization V,What is the present in work of Vatican City?,Monarchy,0.0,In which work is Vatican City featured?,Is Vatican City present in Civilization V?,Is Vatican City present in Monarchy?,"{'question': 'In which of the following works is Vatican City present?', 'options': {'A': 'Civilization V', 'B': 'Monarchy', 'C': 'The Da Vinci Code', 'D': ""Assassin's Creed""}, 'ground_truth': 'A'}",What is the official language of Vatican City?,Which city is present in Civilization V?,Which famous painting features Vatican City?,The School of Athens,Who painted the famous painting that features Vatican City?,Raphael,In which year was the painting created by Raphael that features Vatican City completed?,1511,Which Pope commissioned the painting created by Raphael that features Vatican City?,Pope Julius II,Which chapel in the Vatican contains the painting commissioned by Pope Julius II and created by Raphael?,The Apostolic Palace
places_country,Saint Kitts and Nevis,basic form of government,constitutional monarchy,What is the basic form of government of Saint Kitts and Nevis?,Federal parliamentary democracy,0.0,What type of government does Saint Kitts and Nevis have?,Is the basic form of government of Saint Kitts and Nevis a constitutional monarchy?,Is the basic form of government of Saint Kitts and Nevis a federal parliamentary democracy?,"{'question': 'What is the basic form of government of Saint Kitts and Nevis?', 'options': {'A': 'Constitutional monarchy', 'B': 'Federal parliamentary democracy', 'C': 'Republic', 'D': 'Absolute monarchy'}, 'ground_truth': 'A'}",What is the capital city of Saint Kitts and Nevis?,Which country has a basic form of government that is a constitutional monarchy?,Who is the head of state of the country with the basic form of government of Saint Kitts and Nevis?,Charles III,Who is the heir apparent to the head of state of the country with the basic form of government of Saint Kitts and Nevis?,"William, Prince of Wales",Who is the spouse of the heir apparent to the head of state of the country with the basic form of government of Saint Kitts and Nevis?,"Catherine, Princess of Wales",What is the maiden name of the spouse of the heir apparent to the head of state of the country with the basic form of government of Saint Kitts and Nevis?,Catherine Middleton,In which year did the spouse of the heir apparent to the head of state of the country with the basic form of government of Saint Kitts and Nevis marry?,2011
places_country,Syria,madhhab,Malikism,What is the madhhab of Syria?,Shafi'i,0.0,Which madhhab is followed in Syria?,Is the madhhab of Syria Malikism?,Is the madhhab of Syria Shafi'i?,"{'question': 'What is the madhhab of Syria?', 'options': {'A': 'Malikism', 'B': ""Shafi'i"", 'C': 'Hanafism', 'D': 'Hanbalism'}, 'ground_truth': 'A'}",What is the capital city of Syria?,Which country follows Malikism as its madhhab?,Who is a prominent scholar associated with the madhhab of Syria?,Ibn Taymiyyah,Which book was written by the prominent scholar associated with the madhhab of Syria?,Al-Aqidah Al-Waasitiyyah,In which century was the book written by the prominent scholar associated with the madhhab of Syria published?,13th century,Which caliphate was ruling during the century when the book by the prominent scholar associated with the madhhab of Syria was published?,Abbasid Caliphate,In which modern-day country was the capital of the caliphate ruling during the century when the book by the prominent scholar associated with the madhhab of Syria was published?,Iraq
places_country,Ecuador,flag,flag of Ecuador,What is the flag of Ecuador?,Tricolor,0.0,Can you describe the flag of Ecuador?,Is the flag of Ecuador the flag of Ecuador?,Is the flag of Ecuador Tricolor?,"{'question': 'What is the flag of Ecuador?', 'options': {'A': 'Tricolor', 'B': 'Flag of Ecuador', 'C': 'Union Jack', 'D': 'Stars and Stripes'}, 'ground_truth': 'B'}",What is the capital city of Ecuador?,Which country has the flag of Ecuador?,What are the primary colors of the Ecuador flag?,"Yellow, blue, and red",What is the symbol in the center of the Ecuador flag?,Coat of arms of Ecuador,What animal is depicted on the coat of arms of Ecuador that is on the flag?,Andean condor,"In which mountain range can the Andean condor, depicted on the coat of arms of Ecuador, be found?",Andes,"Which continent is home to the Andes mountain range where the Andean condor, depicted on the coat of arms of Ecuador, can be found?",South America
places_country,Madagascar,history of topic,history of Madagascar,What is the history of topic of Madagascar?,Ancient,0.0,Can you tell me about the history of Madagascar?,Is the history of topic of Madagascar the history of Madagascar?,Is the history of topic of Madagascar Ancient?,"{'question': 'What is the history of topic of Madagascar?', 'options': {'A': 'Ancient', 'B': 'History of Madagascar', 'C': 'Modern', 'D': 'Colonial'}, 'ground_truth': 'B'}",What is the capital city of Madagascar?,What is the topic of the history of Madagascar?,Who was the first president in the history of Madagascar?,Philibert Tsiranana,What year did the first president in the history of Madagascar take office?,1960,Which colonial power did Madagascar gain independence from in the year the first president took office?,France,Who was the president of France when Madagascar gained independence?,Charles de Gaulle,In which year did Charles de Gaulle become the president of France?,1959
places_country,Thailand,official observer status in organisation,Organisation of Islamic Cooperation,What is the official observer status in organisation of Thailand?,International Organisation of La Francophonie,0.0,Which organisation does Thailand have official observer status in?,Does Thailand have official observer status in the Organisation of Islamic Cooperation?,Does Thailand have official observer status in the International Organisation of La Francophonie?,"{'question': 'In which organisation does Thailand hold official observer status?', 'options': {'A': 'Organisation of Islamic Cooperation', 'B': 'International Organisation of La Francophonie', 'C': 'United Nations', 'D': 'ASEAN'}, 'ground_truth': 'A'}",What is the capital city of Thailand?,Which country has official observer status in the Organisation of Islamic Cooperation?,Which organization does Thailand have official observer status in?,Arctic Council,What is the primary focus of the organization in which Thailand has official observer status?,Arctic governance and sustainable development,Which country is a founding member of the organization that Thailand has official observer status in?,Canada,What is the capital city of the country that is a founding member of the organization in which Thailand has official observer status?,Ottawa,In which province is the capital city located of the country that is a founding member of the organization in which Thailand has official observer status?,Ontario
places_country,Montenegro,head of state,Jakov Milatović,Who is the head of state of Montenegro?,Jacques Dallaire,0.0,Who serves as the head of state for Montenegro?,Is Jakov Milatović the head of state of Montenegro?,Is Jacques Dallaire the head of state of Montenegro?,"{'question': 'Who is the head of state of Montenegro?', 'options': {'A': 'Jakov Milatović', 'B': 'Jacques Dallaire', 'C': 'Milo Đukanović', 'D': 'Igor Lukšić'}, 'ground_truth': 'A'}",What is the capital city of Montenegro?,Jakov Milatović is the head of state of which country?,Who is the spouse of the head of state of Montenegro?,Lidija Đukanović,What is the profession of the spouse of the head of state of Montenegro?,Economist,Which university did the spouse of the head of state of Montenegro attend?,University of Montenegro,In which city is the university located that the spouse of the head of state of Montenegro attended?,Podgorica,In which country is the city located where the university that the spouse of the head of state of Montenegro attended is situated?,Montenegro
places_country,Mozambique,lowest point,Mozambique Channel,What is the lowest point of Mozambique?,Indian Ocean,0.0,Where is the lowest point in Mozambique located?,Is the lowest point of Mozambique the Mozambique Channel?,Is the lowest point of Mozambique the Indian Ocean?,"{'question': 'What is the lowest point of Mozambique?', 'options': {'A': 'Indian Ocean', 'B': 'Mozambique Channel', 'C': 'Lake Malawi', 'D': 'Zambezi River'}, 'ground_truth': 'B'}",What is the capital city of Mozambique?,Which country has the Mozambique Channel as its lowest point?,What is the name of the body of water at the lowest point in Mozambique?,Indian Ocean,Which major city is closest to the lowest point in Mozambique?,Maputo,What is the population of the major city closest to the lowest point in Mozambique?,1.1 million,What is the primary language spoken in the major city closest to the lowest point in Mozambique?,Portuguese,Which country colonized the region where the major city closest to the lowest point in Mozambique is located?,Portugal
places_country,Cambodia,significant event,Internet censorship,What is the significant event of Cambodia?,Khmer Rouge,0.0,What major event is associated with Cambodia?,Is Internet censorship a significant event of Cambodia?,Is Khmer Rouge a significant event of Cambodia?,"{'question': 'What is the significant event of Cambodia?', 'options': {'A': 'Internet censorship', 'B': 'Khmer Rouge', 'C': 'Economic reform', 'D': 'Cultural renaissance'}, 'ground_truth': 'A'}",What is the capital city of Cambodia?,Which country is associated with the significant event of Internet censorship?,What was a significant event in Cambodia's history?,Khmer Rouge regime,Who was the leader during the significant event in Cambodia's history?,Pol Pot,What was the birth name of the leader during the significant event in Cambodia's history?,Saloth Sar,In which year was the leader of the significant event in Cambodia's history born?,1925,In which province was the leader of the significant event in Cambodia's history born?,Kampong Thom Province
