topic,subject,relation,object,question,output_meta_llama_3.1_8b_instruct,eval_meta_llama_3.1_8b_instruct
business_industry,skateboarding,uses,skateboard,What does skateboarding use?,Wheels,0.0
business_industry,architecture,practiced by,architect,What was architecture practiced by?,Humans,0.0
business_industry,book industry,said to be the same as,book publishing,What did book industry say to be the same as?,The 9 Circles of Hell,0.0
business_industry,information technology,history of topic,history of computer science,What is the history of topic of information technology?,Early 19th century,0.0
business_industry,product distribution,has part(s),sales,What does product distribution have part(s )?,Channels,0.0
business_industry,dairy industry,field of work,dairying,What is the field of work of dairy industry?,Agriculture,0.0
business_industry,hospitality industry,practiced by,bellhop,What was hospitality industry practiced by?,Ancient Greeks,0.0
business_industry,foundry,described by source,Brockhaus and Efron Encyclopedic Dictionary,Who is the described by source of foundry?,Pliny,0.0
business_industry,printing,uses,printing machine,What does printing use?,Ink,0.0
business_industry,publishing,described by source,Encyclopædia Britannica 11th edition,What is the described by source of publishing?,Medium,0.0
business_industry,animal breeding,practiced by,animal breeder,What was animal breeding practiced by?,Ancient civilizations,0.0
business_industry,footwear industry,practiced by,cobbler,What was footwear industry practiced by?,Ancient civilizations,0.0
business_industry,upholstery,described by source,Encyclopædia Britannica 11th edition,What is the described by source of upholstery?,Fabric,0.0
business_industry,plumbing,described by source,Encyclopædia Britannica 11th edition,What is the described by source of plumbing?,Water,0.0
business_industry,insurance,practiced by,insurance broker,What was insurance practiced by?,Mariners,0.0
business_industry,health care,has characteristic,health care quality,What does health care have characteristic?,Comprehensive,0.0
business_industry,financial audit,practiced by,statutory auditor,What was financial audit practiced by?,Ancient Babylon,0.0
business_industry,hospitality industry,said to be the same as,horeca,What did hospitality industry say to be the same as?,"""Service with a smile""",0.0
business_industry,news,practiced by,news presenter,What was news practiced by?,Ancients,0.0
business_industry,musical instrument making,has part(s),lutherie,What does musical instrument making have part(s )?,Craftsmanship,0.0
business_industry,chemical industry,has part(s),company,What does chemical industry have part(s )?,Manufacturing,0.0
business_industry,extraction of petroleum,described by source,Brockhaus and Efron Encyclopedic Dictionary,Who is the described by source of extraction of petroleum?,Edwin Drake,0.0
business_industry,voice acting,practiced by,voice actor,What was voice acting practiced by?,Vaudeville,0.0
business_industry,Colgate-Palmolive Company,industry,personal care product,What is the industry of Colgate-Palmolive Company?,Consumer Goods,0.0
business_industry,metallurgy,said to be the same as,metal industry,What did metallurgy say to be the same as?,Alchemy,0.0
business_industry,sustainability,has part(s),renewable energy,What does sustainability have part(s )?,Three,0.0
business_industry,agricultural technology,practiced by,agricultural engineer,What was agricultural technology practiced by?,Ancient civilizations,0.0
business_industry,geodesy,practiced by,geodesist,What was geodesy practiced by?,Ancient Greeks,0.0
business_industry,plumbing,country of origin,Egypt,What is the country of origin of plumbing?,Ancient Greece,0.0
business_industry,cartography,history of topic,history of cartography,What is the history of topic of cartography?,Ancient,0.0
business_industry,architectural engineering,practiced by,architectural engineer,What was architectural engineering practiced by?,Ancient Egyptians,0.0
business_industry,brewing,described by source,Encyclopædia Britannica 11th edition,What is the described by source of brewing?,Ancient,0.0
business_industry,health care industry,said to be the same as,human health activities,What did health care industry say to be the same as?,"""War""",0.0
business_industry,television,history of topic,history of television,What is the history of topic of television?,Invention in 1926,0.0
business_industry,technology,described by source,The Verge,What is the described by source of technology?,Invention,0.0
business_industry,rail transport,uses,railway,What does rail transport use?,Tracks,0.0
business_industry,automation,is the study of,process,What does automation be the study of?,Robotics,0.0
business_industry,money creation,described by source,Brockhaus and Efron Encyclopedic Dictionary,Who is the described by source of money creation?,Central Bank,0.0
business_industry,furniture industry,has part(s),furniture construction,What does furniture industry have part(s )?,Manufacturing,0.0
business_industry,civil aviation,practiced by,flight attendant,What was civil aviation practiced by?,Military,0.0
business_industry,telephony,described by source,Enciclopedia universal ilustrada europeo-americana (1908-1930),What is the described by source of telephony?,Physical,0.0
business_industry,home industry,said to be the same as,family and consumer science,What did home industry say to be the same as?,Handicraft,0.0
