topic,subject,relation,object,question,output_meta_llama_3.1_8b_instruct,eval_meta_llama_3.1_8b_instruct,multiple_choices,paraphrased_question,multiple_choice_with_letters,multiple_choice_labels,yes_question,no_question,locality_question,reversed_relation_question,question_2hop,answer_2hop,question_3hop,answer_3hop,question_4hop,answer_4hop,question_5hop,answer_5hop,question_6hop,answer_6hop
technology_software,MyOffice,input device,touchscreen,What is the input device of MyOffice?,Keyboard,0.0,"['touchscreen', 'Keyboard', 'Mouse', 'Trackpad']",Which input device is used in MyOffice?,A. Mouse  B. Keyboard  C. Trackpad  D. touchscreen,D,Is the input device of MyOffice a touchscreen?,Is the input device of MyOffice a Keyboard?,What type of software is commonly used in MyOffice?,Which office uses a touchscreen as an input device?,What is a common brand of an input device used in MyOffice?,Logitech,What is a popular model of an input device from the brand commonly used in MyOffice?,Logitech MX Master 3,What is a key feature of the popular model of the input device from the brand commonly used in MyOffice?,Advanced ergonomic design,Which technology is used in the key feature of the popular model of the input device from the brand commonly used in MyOffice?,Darkfield Laser Tracking,Which company developed the technology used in the key feature of the popular model of the input device from the brand commonly used in MyOffice?,Logitech
technology_software,Zen,copyright license,freeware,What is the copyright license of Zen?,Public Domain,0.0,"['freeware', 'Public Domain', 'Open Source', 'Proprietary']",Under what copyright license is Zen distributed?,A. Proprietary  B. Open Source  C. Public Domain  D. freeware,D,Is the copyright license of Zen freeware?,Is the copyright license of Zen Public Domain?,What type of software is Zen known to be?,Which software has a copyright license of freeware?,Who is the author of the work that has a Zen copyright license?,Paul Chiusano,What is the title of the work authored by Paul Chiusano that has a Zen copyright license?,Functional Programming in Scala,Which publisher released the book titled 'Functional Programming in Scala' authored by Paul Chiusano?,Manning Publications,In which year was the book 'Functional Programming in Scala' published by Manning Publications?,2014,Which programming language is the focus of the book 'Functional Programming in Scala' published in 2014 by Manning Publications?,Scala
technology_software,"Nothing, Forever",language of work or name,English,"What is the language of work or name of Nothing, Forever?",Python,0.0,"['English', 'Python', 'Spanish', 'French']","In which language is Nothing, Forever created?",A. French  B. Python  C. English  D. Spanish,C,"Is the language of work or name of Nothing, Forever English?","Is the language of work or name of Nothing, Forever Python?","What genre does Nothing, Forever belong to?",What work or name is in English?,Who is the creator of the show that has the language of work or name as English?,Skyler Hartle,What is the profession of the creator of the show that has the language of work or name as English?,Software Engineer,Which company employs the creator of the show that has the language of work or name as English?,Microsoft,In which city is the company located that employs the creator of the show that has the language of work or name as English?,Redmond,In which state is the city located where the company is situated that employs the creator of the show that has the language of work or name as English?,Washington
technology_software,Relic Hunters Zero,has characteristic,indie game,What does Relic Hunters Zero have characteristic?,Cooperative,0.0,"['indie game', 'Cooperative', 'multiplayer', 'strategy']",What characteristic does Relic Hunters Zero possess?,A. multiplayer  B. strategy  C. Cooperative  D. indie game,D,Does Relic Hunters Zero have the characteristic of being an indie game?,Does Relic Hunters Zero have the characteristic of being Cooperative?,What genre is Relic Hunters Zero?,What game has the characteristic of being an indie game?,What is the genre of the game that has the characteristic of Relic Hunters Zero?,Shooter,Which platform can you play the game on that has the characteristic of Relic Hunters Zero?,PC,Which operating system supports the platform that can play the game with the characteristic of Relic Hunters Zero?,Windows,Which company developed the operating system that supports the platform for the game with the characteristic of Relic Hunters Zero?,Microsoft,In which country is the company headquartered that developed the operating system supporting the platform for the game with the characteristic of Relic Hunters Zero?,United States
technology_software,TeamSense Inc,headquarters location,Everett,Who is the headquarters location of TeamSense Inc?,I don't have information on TeamSense Inc,0.0,"['Everett', ""I don't have information on TeamSense Inc"", 'Seattle', 'Bellevue']",Where is the headquarters of TeamSense Inc located?,A. Everett  B. I don't have information on TeamSense Inc  C. Bellevue  D. Seattle,A,Is the headquarters location of TeamSense Inc in Everett?,Is the headquarters location of TeamSense Inc in I don't have information on TeamSense Inc?,What industry is TeamSense Inc known for?,Which company's headquarters is located in Everett?,What is the population of the city where TeamSense Inc's headquarters is located?,"217,108",What is the name of the mayor of the city where TeamSense Inc's headquarters is located?,Victoria Woodards,Which university did the mayor of the city where TeamSense Inc's headquarters is located attend?,University of Washington,What is the mascot of the university that the mayor of the city where TeamSense Inc's headquarters is located attended?,Harry the Husky,In which year was the university founded that the mayor of the city where TeamSense Inc's headquarters is located attended?,1861
technology_software,NIKO: Through The Dream,game mode,single-player video game,What is the game mode of NIKO: Through The Dream?,Sandbox,0.0,"['single-player video game', 'Sandbox', 'multiplayer', 'co-op']",Which game mode does NIKO: Through The Dream feature?,A. co-op  B. single-player video game  C. multiplayer  D. Sandbox,B,Is the game mode of NIKO: Through The Dream a single-player video game?,Is the game mode of NIKO: Through The Dream a Sandbox?,What is the main theme or setting of NIKO: Through The Dream?,Which game features a single-player video game mode?,What is the primary objective in the game mode of NIKO: Through The Dream?,Solving puzzles,What type of puzzles are primarily solved in the game mode of NIKO: Through The Dream?,Environmental puzzles,What is a common element used in the environmental puzzles in the game mode of NIKO: Through The Dream?,Switches and levers,What is the purpose of using switches and levers in the environmental puzzles in the game mode of NIKO: Through The Dream?,To open doors or activate mechanisms,What is the ultimate goal of opening doors or activating mechanisms in the game mode of NIKO: Through The Dream?,To progress through different levels or areas
technology_software,The Adventures of Tintin: The Secret of the Unicorn,game mode,single-player video game,What is the game mode of The Adventures of Tintin: The Secret of the Unicorn?,Co-op,0.0,"['single-player video game', 'Co-op', 'multiplayer', 'battle royale']",Which game mode is featured in The Adventures of Tintin: The Secret of the Unicorn?,A. Co-op  B. battle royale  C. multiplayer  D. single-player video game,D,Is the game mode of The Adventures of Tintin: The Secret of the Unicorn a single-player video game?,Is the game mode of The Adventures of Tintin: The Secret of the Unicorn Co-op?,Who is the main character in The Adventures of Tintin: The Secret of the Unicorn?,Which game features a single-player video game mode?,What is the primary genre of the game mode in The Adventures of Tintin: The Secret of the Unicorn?,Action-adventure,Which company developed the action-adventure game mode in The Adventures of Tintin: The Secret of the Unicorn?,Ubisoft,In which country is the headquarters of the company that developed the action-adventure game mode in The Adventures of Tintin: The Secret of the Unicorn located?,France,What is the capital city of the country where the headquarters of the company that developed the action-adventure game mode in The Adventures of Tintin: The Secret of the Unicorn is located?,Paris,Which famous landmark is located in the capital city of the country where the headquarters of the company that developed the action-adventure game mode in The Adventures of Tintin: The Secret of the Unicorn is situated?,Eiffel Tower
technology_software,Chuchel,publisher,Amanita Design,What is the publisher of Chuchel?,Academy Award,0.0,"['Amanita Design', 'Academy Award', 'Devolver Digital', 'Double Fine Productions']",Who published Chuchel?,A. Academy Award  B. Double Fine Productions  C. Amanita Design  D. Devolver Digital,C,Is Amanita Design the publisher of Chuchel?,Is Academy Award the publisher of Chuchel?,What genre is the game Chuchel known for?,What game was published by Amanita Design?,What is the name of the company that published Chuchel?,Amanita Design,Who is the founder of the company that published Chuchel?,Jakub Dvorský,Which university did the founder of the company that published Chuchel attend?,"Academy of Arts, Architecture and Design in Prague",In which city is the university located that the founder of the company that published Chuchel attended?,Prague,In which country is the city located where the university is situated that the founder of the company that published Chuchel attended?,Czech Republic
technology_software,Ideco ICS,operating system,Linux,What is the operating system of Ideco ICS?,Windows CE,0.0,"['Linux', 'Windows CE', 'macOS', 'FreeBSD']",Which operating system does Ideco ICS use?,A. FreeBSD  B. macOS  C. Windows CE  D. Linux,D,Is the operating system of Ideco ICS Linux?,Is the operating system of Ideco ICS Windows CE?,What type of company is Ideco ICS?,Which company uses Linux as its operating system?,Who is the developer of the operating system used by Ideco ICS?,Ideco,In which year was the developer of the operating system used by Ideco ICS founded?,2005,In which country was the developer of the operating system used by Ideco ICS founded?,Russia,What is the capital city of the country where the developer of the operating system used by Ideco ICS was founded?,Moscow,Which river flows through the capital city of the country where the developer of the operating system used by Ideco ICS was founded?,Moskva River
technology_software,NordVPN,country,Panama,What is the country of NordVPN?,Lithuania,0.0,"['Panama', 'Lithuania', 'Germany', 'Canada']",Which country is NordVPN based in?,A. Panama  B. Lithuania  C. Germany  D. Canada,A,Is the country of NordVPN Panama?,Is the country of NordVPN Lithuania?,What type of service does NordVPN provide?,Which VPN service is based in Panama?,What is the capital of the country where NordVPN is based?,Riga,Which river flows through the capital of the country where NordVPN is based?,Daugava River,What is the length of the river that flows through the capital of the country where NordVPN is based?,"1,020 kilometers",Which sea does the river that flows through the capital of the country where NordVPN is based empty into?,Gulf of Riga,Which ocean is connected to the sea that the river flowing through the capital of the country where NordVPN is based empties into?,Atlantic Ocean
technology_software,Contraption Maker,has characteristic,indie game,What does Contraption Maker have characteristic?,Inventive,0.0,"['indie game', 'Inventive', 'puzzle game', 'multiplayer mode']",What characteristic does Contraption Maker possess?,A. indie game  B. puzzle game  C. multiplayer mode  D. Inventive,A,Does Contraption Maker have the characteristic of being an indie game?,Does Contraption Maker have the characteristic of being Inventive?,What genre is Contraption Maker known for?,What has the characteristic of being an indie game?,What is a notable feature of Contraption Maker?,Puzzle-solving gameplay,Which company developed the game that has puzzle-solving gameplay as a notable feature?,Spotkin,In which year was the company that developed the game with puzzle-solving gameplay founded?,2013,Who is a co-founder of the company that was founded in 2013 and developed the game with puzzle-solving gameplay?,Jeff Tunnell,Which other game is Jeff Tunnell known for creating besides the one developed by the company he co-founded in 2013?,The Incredible Machine
technology_software,KuGou,distributed by,App Store,What was KuGou distributed by?,NetEase,0.0,"['App Store', 'NetEase', 'Google Play', 'Amazon Appstore']",Through which platform was KuGou distributed?,A. App Store  B. Amazon Appstore  C. Google Play  D. NetEase,A,Was KuGou distributed by the App Store?,Was KuGou distributed by NetEase?,What type of service is KuGou known for?,Which application is distributed by the App Store?,Which company distributes KuGou?,Tencent Music,Who is the CEO of the company that distributes KuGou?,Cussion Pang,Which university did the CEO of the company that distributes KuGou attend?,University of Hong Kong,In which city is the university located that the CEO of the company distributing KuGou attended?,Hong Kong,In which country is the city located where the university is situated that the CEO of the company distributing KuGou attended?,China
technology_software,Open 3D Engine,based on,Amazon Lumberyard,What was Open 3D Engine based on?,O3DE (Open 3D Engine) is based on CryEngine,0.0,"['Amazon Lumberyard', 'O3DE (Open 3D Engine) is based on CryEngine', 'Unity', 'Unreal Engine']",On what platform is Open 3D Engine built?,A. O3DE (Open 3D Engine) is based on CryEngine  B. Unreal Engine  C. Unity  D. Amazon Lumberyard,D,Is Open 3D Engine based on Amazon Lumberyard?,Is Open 3D Engine based on CryEngine?,What is a notable feature of Open 3D Engine?,Which engine is Amazon Lumberyard the basis for?,Who developed the software that Open 3D Engine is based on?,Crytek,What is the name of the game engine developed by Crytek that Open 3D Engine is based on?,CryEngine,In which year was the game engine that Open 3D Engine is based on first released?,2002,Which game was the first to use the game engine that Open 3D Engine is based on?,Far Cry,Which company published the first game that used the game engine that Open 3D Engine is based on?,Ubisoft
technology_software,"Nothing, Forever",based on,Seinfeld,"Who was Nothing, Forever based on?",Varg Vikernes,0.0,"['Seinfeld', 'Varg Vikernes', 'Friends', 'The Office']","What show served as the inspiration for Nothing, Forever?",A. Friends  B. The Office  C. Seinfeld  D. Varg Vikernes,C,"Was Nothing, Forever based on Seinfeld?","Was Nothing, Forever based on Varg Vikernes?","What genre is the show Nothing, Forever known for?",What show is Seinfeld the basis for?,"Who is the main character in the show that Nothing, Forever is based on?",Jerry Seinfeld,"What is the profession of the main character in the show that Nothing, Forever is based on?",Stand-up comedian,"Which city does the main character, who is a stand-up comedian, live in the show that Nothing, Forever is based on?",New York City,"In which state is the city located where the main character, who is a stand-up comedian, lives in the show that Nothing, Forever is based on?",New York,"In which country is the state located where the city is situated that the main character, who is a stand-up comedian, lives in the show that Nothing, Forever is based on?",United States
technology_software,Private Internet Access,industry,software development,What is the industry of Private Internet Access?,Internet Service Provider,0.0,"['software development', 'Internet Service Provider', 'telecommunications', 'cybersecurity']",In which industry does Private Internet Access operate?,A. telecommunications  B. software development  C. Internet Service Provider  D. cybersecurity,B,Is the industry of Private Internet Access software development?,Is the industry of Private Internet Access Internet Service Provider?,What is a well-known feature of Private Internet Access?,Which company operates in the software development industry?,Who is the CEO of the company in the industry of Private Internet Access?,Ted Kim,Which university did the CEO of the company in the industry of Private Internet Access attend?,"University of California, Berkeley",In which city is the university located that the CEO of the company in the industry of Private Internet Access attended?,Berkeley,In which state is the city located where the university that the CEO of the company in the industry of Private Internet Access attended is situated?,California,In which country is the state located where the city is situated that contains the university the CEO of the company in the industry of Private Internet Access attended?,United States
technology_software,Google+,replaces,Google Buzz,What does Google+ replace?,Orkut,0.0,"['Google Buzz', 'Orkut', 'Friendster', 'MySpace']",Which service was replaced by Google+?,A. Orkut  B. MySpace  C. Google Buzz  D. Friendster,C,Does Google+ replace Google Buzz?,Does Google+ replace Orkut?,What is a well-known product developed by Google?,What replaces Google Buzz?,What platform did Google+ replace?,Google Buzz,Who was the CEO of Google when Google+ replaced Google Buzz?,Larry Page,"Which university did the CEO of Google, when Google+ replaced Google Buzz, attend for their undergraduate studies?",University of Michigan,"In which city is the university located where the CEO of Google, when Google+ replaced Google Buzz, attended for their undergraduate studies?",Ann Arbor,"In which state is the city located where the university is situated that the CEO of Google, when Google+ replaced Google Buzz, attended for their undergraduate studies?",Michigan
technology_software,Super Puzzle Platformer Deluxe,country of origin,Canada,What is the country of origin of Super Puzzle Platformer Deluxe?,United States,0.0,"['Canada', 'United States', 'Japan', 'Germany']",Which country is Super Puzzle Platformer Deluxe from?,A. Germany  B. Japan  C. United States  D. Canada,D,Is the country of origin of Super Puzzle Platformer Deluxe Canada?,Is the country of origin of Super Puzzle Platformer Deluxe the United States?,What genre does Super Puzzle Platformer Deluxe belong to?,Which game originated from Canada?,Who is the developer of the game that originated in the country of Super Puzzle Platformer Deluxe?,Adult Swim Games,What is another game developed by the developer of Super Puzzle Platformer Deluxe?,Duck Game,Who is the creator of the game developed by the developer of Duck Game?,Landon Podbielski,Which platform was the game created by Landon Podbielski initially released on?,Ouya,In which year was the platform that initially released the game created by Landon Podbielski launched?,2013
technology_software,Hieroglyphika,has characteristic,indie game,What does Hieroglyphika have characteristic?,Pictorial,0.0,"['indie game', 'Pictorial', 'board game', 'puzzle game']",What characteristic does Hieroglyphika possess?,A. Pictorial  B. puzzle game  C. indie game  D. board game,C,Does Hieroglyphika have the characteristic of being an indie game?,Does Hieroglyphika have the characteristic of being Pictorial?,What genre does Hieroglyphika belong to?,What has the characteristic of being an indie game?,What is a notable feature of Hieroglyphika?,Pictorial symbols,What is the purpose of the pictorial symbols in Hieroglyphika?,To represent words or sounds,Which ancient civilization used pictorial symbols to represent words or sounds in Hieroglyphika?,Ancient Egyptians,What is the name of the writing system used by the ancient civilization that utilized pictorial symbols to represent words or sounds?,Hieroglyphics,In which region was the writing system used by the ancient civilization that utilized pictorial symbols to represent words or sounds primarily found?,Nile Valley
technology_software,TrueCaller,founded by,True Software Scandinavia,What was TrueCaller founded by?,Niklas Sjövall and Alan Mamedi,0.0,"['True Software Scandinavia', 'Niklas Sjövall and Alan Mamedi', 'Google', 'Microsoft']",Who is the founder of TrueCaller?,A. Microsoft  B. Niklas Sjövall and Alan Mamedi  C. True Software Scandinavia  D. Google,C,Was TrueCaller founded by True Software Scandinavia?,Was TrueCaller founded by Niklas Sjövall and Alan Mamedi?,What type of service does TrueCaller provide?,What company was founded by True Software Scandinavia?,Who is the co-founder of TrueCaller?,Alan Mamedi,Which university did the co-founder of TrueCaller attend?,Royal Institute of Technology,In which city is the university located that the co-founder of TrueCaller attended?,Stockholm,In which country is the city located where the university that the co-founder of TrueCaller attended is situated?,Sweden,What is the official language of the country where the city is located that contains the university the co-founder of TrueCaller attended?,Swedish
technology_software,News Channel,publisher,Nintendo,What is the publisher of News Channel?,Independent,0.0,"['Nintendo', 'Independent', 'Sony', 'Microsoft']",Who publishes News Channel?,A. Nintendo  B. Independent  C. Sony  D. Microsoft,A,Is Nintendo the publisher of News Channel?,Is Independent the publisher of News Channel?,What type of content does News Channel typically broadcast?,What does Nintendo publish?,Who is the CEO of the publisher of the News Channel?,Robert Thomson,Which company did the CEO of the publisher of the News Channel work for before joining the current company?,The Times,In which city is the headquarters of the company where the CEO of the publisher of the News Channel previously worked?,London,"What is the name of the river that flows through the city where the headquarters of the company is located, where the CEO of the publisher of the News Channel previously worked?",River Thames,"In which country is the river located that flows through the city where the headquarters of the company is situated, where the CEO of the publisher of the News Channel previously worked?",United Kingdom
technology_software,"Nothing, Forever",inspired by,Rabbits,"What was Nothing, Forever inspired by?","The film ""Nothing, Forever"" was inspired by the 1990s internet",0.0,"['Rabbits', ""The film 'Nothing, Forever' was inspired by the 1990s internet"", 'The Matrix', 'The Simpsons']","What served as the inspiration for Nothing, Forever?","A. The Matrix  B. Rabbits  C. The Simpsons  D. The film ""Nothing, Forever"" was inspired by the 1990s internet",B,"Was Nothing, Forever inspired by Rabbits?","Was Nothing, Forever inspired by the 1990s internet?","What genre does Nothing, Forever belong to?",What was Rabbits inspired by?,"Who is the creator of the work that inspired 'Nothing, Forever'?",Larry David,"What is the name of the television show created by the person who inspired 'Nothing, Forever'?",Seinfeld,"Who played the character Jerry Seinfeld in the television show created by the person who inspired 'Nothing, Forever'?",Jerry Seinfeld,"Which university did the actor who played Jerry Seinfeld in the television show created by the person who inspired 'Nothing, Forever' attend?",Queens College,"In which city is the university located that the actor who played Jerry Seinfeld in the television show created by the person who inspired 'Nothing, Forever' attended?",New York City
technology_software,Delve Deeper,has characteristic,indie game,What does Delve Deeper have characteristic?,Exploration,0.0,"['indie game', 'Exploration', 'multiplayer mode', 'puzzle elements']",What characteristic does Delve Deeper possess?,A. indie game  B. puzzle elements  C. multiplayer mode  D. Exploration,A,Does Delve Deeper have the characteristic of being an indie game?,Does Delve Deeper have the characteristic of Exploration?,What genre does Delve Deeper belong to?,Which game has the characteristic of being an indie game?,What is a notable feature of the characteristic that Delve Deeper has?,In-depth analysis,Which field often benefits from the in-depth analysis that is a notable feature of the characteristic that Delve Deeper has?,Research,"What is a common outcome in the field of research that benefits from the in-depth analysis, a notable feature of the characteristic that Delve Deeper has?",New discoveries,"Which type of institutions are often involved in making new discoveries in the field of research that benefits from the in-depth analysis, a notable feature of the characteristic that Delve Deeper has?",Universities,"What is a common funding source for universities that are involved in making new discoveries in the field of research that benefits from the in-depth analysis, a notable feature of the characteristic that Delve Deeper has?",Government grants
technology_software,Flame Over,software engine,Unity,What is the software engine of Flame Over?,Houdini,0.0,"['Unity', 'Houdini', 'Unreal Engine', 'CryEngine']",Which software engine does Flame Over use?,A. Unity  B. Houdini  C. Unreal Engine  D. CryEngine,A,Is the software engine of Flame Over Unity?,Is the software engine of Flame Over Houdini?,What genre of game is Flame Over?,Which game uses Unity as its software engine?,Which company developed the software engine used in Flame Over?,Laughing Jackal,What is another game developed by the company that developed the software engine used in Flame Over?,Cubixx HD,On which platform was the game Cubixx HD released?,PlayStation 3,In which year was the game Cubixx HD released on PlayStation 3?,2011,Who was the publisher for the game released in 2011 on PlayStation 3 developed by the company that created the software engine used in Flame Over?,Ghostlight
