topic,type,subject,relation,object,question,label,output_gemma_2_9b_it
places_city,wh,Tripoli,official language,Arabic,What is the official language of Tripoli?,Arabic,Arabic
places_city,wh,Venice,present in work,Civilization V,What is the present in work of Venice?,Civilization V,Tourism.  
places_city,wh,Venice,patron saint,Mark the Evangelist,Who is the patron saint of Venice?,Mark the Evangelist,Saint Mark.  
places_city,wh,Venice,significant event,excommunication,What is the significant event of Venice?,excommunication,Fall of the Venetian Republic.  
places_city,wh,Vienna,named after,Wiener Neustadt,Which city was named after Vienna?,Wiener Neustadt,"Wien, Austria"
places_city,wh,Bandar Seri Begawan,country,Brunei,What is the country of Bandar Seri Begawan?,Brunei,Brunei
places_city,wh,Bandar Seri Begawan,twinned administrative body,Nanjing,Which city's twinned administrative body is Bandar Seri Begawan?,Nanjing,Kuching  
places_city,wh,Australian Capital Territory,twinned administrative body,Beijing,Which city's twinned administrative body is Australian Capital Territory?,Beijing,Canberra   
places_city,wh,Servigliano,twinned administrative body,Asti,Which city's twinned administrative body is Servigliano?,Asti,San Giovanni in Marignano.  
places_city,wh,New Providence,located in/on physical feature,Nassau,Which city's located in/on physical feature is New Providence?,Nassau,Nassau
places_city,wh,Ceiba speciosa,official symbol,Kaohsiung,Which city's official symbol is Ceiba speciosa?,Kaohsiung,San Juan
places_city,wh,Amazigh languages,official language,Algiers,Which city's official language is Amazigh languages?,Algiers,Marrakech
places_city,wh,Heidenheim an der Brenz,twinned administrative body,St. Pölten,Which city's twinned administrative body is Heidenheim an der Brenz?,St. Pölten,Leicester  
places_city,wh,Eurasian Magpie,official symbol,Seoul,Which city's official symbol is Eurasian Magpie?,Seoul,Moscow  
places_city,wh,Greater Sudbury,located in the administrative territorial entity,Ontario,What is the located in the administrative territorial entity of Greater Sudbury?,Ontario,Sudbury.  
places_city,wh,Greater Sudbury,country,Canada,What is the country of Greater Sudbury?,Canada,Canada  
places_city,wh,Constantinople,significant event,Fall of Constantinople,What is the significant event of Constantinople?,Fall of Constantinople,Fall of Constantinople.  
places_city,wh,Kolding Municipality,located in the administrative territorial entity,Kolding,Which city's located in the administrative territorial entity is Kolding Municipality?,Kolding,Kolding  
places_city,wh,Friedrichshafen,country,Germany,What is the country of Friedrichshafen?,Germany,Germany  
places_city,wh,Hollywood,twinned administrative body,Baia Mare,Which city's twinned administrative body is Hollywood?,Baia Mare,Beverly Hills  
places_city,wh,Bahía Blanca,twinned administrative body,Christchurch,Which city's twinned administrative body is Bahía Blanca?,Christchurch,Portland
places_city,wh,Toruń,located in or next to body of water,Vistula,What is the located in or next to body of water of Toruń?,Vistula,Vistula River  
places_city,wh,Bernau bei Berlin,twinned administrative body,Champigny-sur-Marne,Which city's twinned administrative body is Bernau bei Berlin?,Champigny-sur-Marne,Walthamstow
places_city,wh,Caltagirone,twinned administrative body,San Francisco,Which city's twinned administrative body is Caltagirone?,San Francisco,Catania
places_city,wh,Podgorica,named after,Josip Broz Tito,Who was Podgorica named after?,Josip Broz Tito,Podgorica.  
places_city,wh,Fürstenfeld,twinned administrative body,Zug,Which city's twinned administrative body is Fürstenfeld?,Zug,Bad Radkersburg  
places_city,wh,Holy Saturday,public holiday,Hong Kong,Which city's public holiday is Holy Saturday?,Hong Kong,Jerusalem  
places_city,wh,Ouahigouya,twinned administrative body,Chambéry,Which city's twinned administrative body is Ouahigouya?,Chambéry,Ouagadougou  
places_city,wh,1972 Summer Olympics,significant event,Munich,Which city's significant event is 1972 Summer Olympics?,Munich,Munich
places_city,wh,Han Kuo-yu,head of government,Kaohsiung,Which city's head of government is Han Kuo-yu?,Kaohsiung,Kaohsiung
places_city,wh,Bergamo,head of government,Giorgio Gori,Who is the head of government of Bergamo?,Giorgio Gori,Mayor.  
places_city,wh,Bergamo,twinned administrative body,Buenos Aires,Which city's twinned administrative body is Bergamo?,Buenos Aires,Dublin  
places_city,wh,Vaŭkavysk,twinned administrative body,Siedlce,Which city's twinned administrative body is Vaŭkavysk?,Siedlce,Gomel
places_city,wh,Haarlem,twinned administrative body,Angers,Which city's twinned administrative body is Haarlem?,Angers,London  
places_city,wh,Nantong,twinned administrative body,Swansea,Which city's twinned administrative body is Nantong?,Swansea,New Orleans
places_city,wh,Constance,country,Germany,What is the country of Constance?,Germany,Germany  
places_city,wh,Constance,official language,German,What is the official language of Constance?,German,German
places_city,wh,Ljubljanica,located in or next to body of water,Ljubljana,Which city's located in or next to body of water is Ljubljanica?,Ljubljana,Ljubljana  
places_city,wh,Santa Bárbara d'Oeste,twinned administrative body,Jericho,Which city's twinned administrative body is Santa Bárbara d'Oeste?,Jericho,"Santa Barbara, California.  "
places_city,wh,Venetian Lagoon,located in or next to body of water,Venice,Which city's located in or next to body of water is Venetian Lagoon?,Venice,Venice  
places_city,wh,Rosa chinensis,official symbol,Beijing,Which city's official symbol is Rosa chinensis?,Beijing,Shanghai  
places_city,wh,Asan,twinned administrative body,Miskolc,Which city's twinned administrative body is Asan?,Miskolc,Seoul  
places_city,wh,Cottbus,located in the administrative territorial entity,Brandenburg,What is the located in the administrative territorial entity of Cottbus?,Brandenburg,Germany  
places_city,wh,Cottbus,located in or next to body of water,Spree,What is the located in or next to body of water of Cottbus?,Spree,Spree River  
places_city,wh,Cottbus,country,Germany,What is the country of Cottbus?,Germany,Germany  
places_city,wh,Waldshut-Tiengen,twinned administrative body,Blois,Which city's twinned administrative body is Waldshut-Tiengen?,Blois,Saint-Louis
places_city,wh,Cluj-Napoca,country,Romania,What is the country of Cluj-Napoca?,Romania,Romania.  
places_city,wh,Cluj-Napoca,head of government,Emil Boc,Who is the head of government of Cluj-Napoca?,Emil Boc,Emil Boc  
places_city,wh,trunk,named after,Stockholm,Which city was named after trunk?,Stockholm,Cofferdam  
places_city,wh,Kuwait City,located in the administrative territorial entity,Kuwait,What is the located in the administrative territorial entity of Kuwait City?,Kuwait,Kuwait City  
places_city,wh,Attica,located in/on physical feature,Athens,Which city's located in/on physical feature is Attica?,Athens,Athens  
places_city,wh,Banja Luka,country,Bosnia and Herzegovina,What is the country of Banja Luka?,Bosnia and Herzegovina,Bosnia and Herzegovina  
places_city,wh,New York,located in the administrative territorial entity,New York City,Which city's located in the administrative territorial entity is New York?,New York City,New York City  
places_city,wh,Americas,continent,Buenos Aires,Which city's continent is Americas?,Buenos Aires,North America  
places_city,wh,Mudanjiang,twinned administrative body,Jyväskylä,Which city's twinned administrative body is Mudanjiang?,Jyväskylä,Harbin
places_city,wh,Trier,country,Germany,What is the country of Trier?,Germany,Germany  
places_city,wh,San Francisco Bay,located in or next to body of water,San Francisco,Which city's located in or next to body of water is San Francisco Bay?,San Francisco,San Francisco  
places_city,wh,Leonard of Port Maurice,patron saint,Imperia,Which city's patron saint is Leonard of Port Maurice?,Imperia,Genoa  
places_city,wh,Supreme Court of Singapore,highest judicial authority,Singapore,Which city's highest judicial authority is Supreme Court of Singapore?,Singapore,Singapore  
places_city,wh,Zacapa,twinned administrative body,Tainan,Which city's twinned administrative body is Zacapa?,Tainan,San Francisco
places_city,wh,Swindon,twinned administrative body,Toruń,Which city's twinned administrative body is Swindon?,Toruń,Duisburg  
places_city,wh,Hạ Long,twinned administrative body,Acapulco,Which city's twinned administrative body is Hạ Long?,Acapulco,Vung Tau.  
places_city,wh,Roccasecca,twinned administrative body,Priverno,Which city's twinned administrative body is Roccasecca?,Priverno,Fondi  
places_city,wh,Riverside County,located in the administrative territorial entity,Palm Springs,Which city's located in the administrative territorial entity is Riverside County?,Palm Springs,Riverside  
places_city,wh,Trabzon,official language,Turkish,What is the official language of Trabzon?,Turkish,Turkish  
places_city,wh,Jerusalem,head of government,Moshe Lion,Who is the head of government of Jerusalem?,Moshe Lion,Mayor
places_city,wh,Jerusalem,country,Israel,What is the country of Jerusalem?,Israel,Israel.  
places_city,wh,Pietra Ligure,twinned administrative body,Offenburg,Which city's twinned administrative body is Pietra Ligure?,Offenburg,Alassio  
places_city,wh,Nagykanizsa,twinned administrative body,Acre,Which city's twinned administrative body is Nagykanizsa?,Acre,Kőszeg
places_city,wh,Ústí nad Labem,country,Czech Republic,What is the country of Ústí nad Labem?,Czech Republic,Czech Republic  
places_city,wh,Ústí nad Labem,historical region,Bohemia,What is the historical region of Ústí nad Labem?,Bohemia,Bohemia  
places_city,wh,Almaty,country,Kazakhstan,What is the country of Almaty?,Kazakhstan,Kazakhstan.  
places_city,wh,Almaty,present in work,Civilization V,What is the present in work of Almaty?,Civilization V,Tenge.  
places_city,wh,Puerto Vallarta,country,Mexico,What is the country of Puerto Vallarta?,Mexico,Mexico  
places_city,wh,1964 Winter Olympics,significant event,Innsbruck,Which city's significant event is 1964 Winter Olympics?,Innsbruck,Innsbruck
places_city,wh,Weiz,twinned administrative body,Offenburg,Which city's twinned administrative body is Weiz?,Offenburg,Reutlingen  
places_city,wh,Niiza,twinned administrative body,Jyväskylä,Which city's twinned administrative body is Niiza?,Jyväskylä,Chandler
places_city,wh,Huddinge Municipality,twinned administrative body,Nuuk,Which city's twinned administrative body is Huddinge Municipality?,Nuuk,Stockholm
places_city,wh,Shem,founded by,Sanaa,Which city was founded by Shem?,Sanaa,Babylon
places_city,wh,Ningbo,official language,Standard Mandarin,What is the official language of Ningbo?,Standard Mandarin,Chinese.  
places_city,wh,Ningbo,located in the administrative territorial entity,Zhejiang,What is the located in the administrative territorial entity of Ningbo?,Zhejiang,Ningbo.  
places_city,wh,Florence,official language,Italian,What is the official language of Florence?,Italian,Italian.  
places_city,wh,Florence,head of government,Dario Nardella,Who is the head of government of Florence?,Dario Nardella,Mayor   
places_city,wh,Florence,patron saint,John the Baptist,Who is the patron saint of Florence?,John the Baptist,Saint John the Baptist.  
places_city,wh,Florence,present in work,Civilization V,What is the present in work of Florence?,Civilization V,Present.  
places_city,wh,Monastir,twinned administrative body,Dushanbe,Which city's twinned administrative body is Monastir?,Dushanbe,Sfax
places_city,wh,Ramla,country,Israel,What is the country of Ramla?,Israel,Israel.  
places_city,wh,Ramla,twinned administrative body,Kielce,Which city's twinned administrative body is Ramla?,Kielce,Lod
places_city,wh,Nikko,twinned administrative body,Tainan,Which city's twinned administrative body is Nikko?,Tainan,Lake City
places_city,wh,Kanjiža,twinned administrative body,Subotica,Which city's twinned administrative body is Kanjiža?,Subotica,Subotica  
places_city,wh,Prešov,located in the administrative territorial entity,Prešov District,What is the located in the administrative territorial entity of Prešov?,Prešov District,Slovakia  
places_city,wh,Beaugency,twinned administrative body,Tangier,Which city's twinned administrative body is Beaugency?,Tangier,Oxford  
places_city,wh,Acre,country,Israel,What is the country of Acre?,Israel,Brazil
places_city,wh,Acre,heritage designation,UNESCO World Heritage Site,What is the heritage designation of Acre?,UNESCO World Heritage Site,UNESCO World Heritage Site.  
places_city,wh,Khasavyurt,twinned administrative body,Nablus,Which city's twinned administrative body is Khasavyurt?,Nablus,Makhachkala  
places_city,wh,Asnières-sur-Seine,twinned administrative body,Spandau,What is the twinned administrative body of Asnières-sur-Seine?,Spandau,Levallois-Perret  
places_city,wh,Asnières-sur-Seine,head of government,Manuel Aeschlimann,Who is the head of government of Asnières-sur-Seine?,Manuel Aeschlimann,Mayor.  
places_city,wh,Matagalpa,twinned administrative body,Oulu,Which city's twinned administrative body is Matagalpa?,Oulu,San Francisco
places_city,wh,Suriname,country,Paramaribo,Which city's country is Suriname?,Paramaribo,South America  
places_city,wh,Niamey,country,Niger,What is the country of Niamey?,Niger,Niger  
places_city,wh,Shahr-e Kord,twinned administrative body,Dushanbe,Which city's twinned administrative body is Shahr-e Kord?,Dushanbe,San Luis Obispo
places_city,wh,North Brabant,located in the administrative territorial entity,Helmond,Which city's located in the administrative territorial entity is North Brabant?,Helmond,'s-Hertogenbosch  
places_city,wh,Ganzhou,twinned administrative body,Freetown,Which city's twinned administrative body is Ganzhou?,Freetown,Hefei  
places_city,wh,Jining,twinned administrative body,Jyväskylä,Which city's twinned administrative body is Jining?,Jyväskylä,Lincoln
places_city,wh,Veles,twinned administrative body,Niš,Which city's twinned administrative body is Veles?,Niš,Skopje  
places_city,wh,Foggia,located in the administrative territorial entity,Province of Foggia,What is the located in the administrative territorial entity of Foggia?,Province of Foggia,Italy  
places_city,wh,Province of Prato,located in the administrative territorial entity,Prato,Which city's located in the administrative territorial entity is Province of Prato?,Prato,Prato  
places_city,wh,Dundee,legislative body,Dundee City Council,What is the legislative body of Dundee?,Dundee City Council,Dundee City Council  
places_city,wh,Dundee,country,United Kingdom,What is the country of Dundee?,United Kingdom,Scotland.  
places_city,wh,Great Neck,twinned administrative body,Tiberias,Which city's twinned administrative body is Great Neck?,Tiberias,"Great Neck, Japan  "
places_city,wh,Zhejiang,located in the administrative territorial entity,Ningbo,Which city's located in the administrative territorial entity is Zhejiang?,Ningbo,Hangzhou  
places_city,wh,Mühlhausen,twinned administrative body,Tourcoing,Which city's twinned administrative body is Mühlhausen?,Tourcoing,Erfurt  
places_city,wh,Bridgwater,twinned administrative body,Priverno,Which city's twinned administrative body is Bridgwater?,Priverno,Nantes
places_city,wh,Pescantina,twinned administrative body,Siedlce,Which city's twinned administrative body is Pescantina?,Siedlce,Pescantina.  
places_city,wh,Colombo,present in work,Civilization V,What is the present in work of Colombo?,Civilization V,Present.  
places_city,wh,St. Charles,twinned administrative body,Ludwigsburg,Which city's twinned administrative body is St. Charles?,Ludwigsburg,"St. Charles, France"
places_city,wh,Castelló de la Plana,official language,Catalan,What is the official language of Castelló de la Plana?,Catalan,Spanish.  
places_city,wh,Castelló de la Plana,patron saint,Vincent of Saragossa,Who is the patron saint of Castelló de la Plana?,Vincent of Saragossa,Santa Maria Magdalena.  
places_city,wh,Darwin,named after,Charles Darwin,Who was Darwin named after?,Charles Darwin,Erasmus Darwin.
places_city,wh,Guilin,twinned administrative body,Toruń,Which city's twinned administrative body is Guilin?,Toruń,Nashville
places_city,wh,Pontault-Combault,twinned administrative body,Abidjan,Which city's twinned administrative body is Pontault-Combault?,Abidjan,Milton Keynes  
places_city,wh,Nanning,twinned administrative body,Grudziądz,Which city's twinned administrative body is Nanning?,Grudziądz,Manchester
places_city,wh,Offenburg,country,Germany,What is the country of Offenburg?,Germany,Germany  
places_city,wh,Onjuku,twinned administrative body,Acapulco,Which city's twinned administrative body is Onjuku?,Acapulco,San Francisco  
places_city,wh,Queen Victoria,named after,Regina,Which city was named after Queen Victoria?,Regina,Victoria.
places_city,wh,Gütersloh,located in the administrative territorial entity,Gütersloh,What is the located in the administrative territorial entity of Gütersloh?,Gütersloh,Germany  
places_city,wh,Gütersloh,country,Germany,What is the country of Gütersloh?,Germany,Germany  
places_city,wh,Gütersloh,located in the administrative territorial entity,Gütersloh,Which city's located in the administrative territorial entity is Gütersloh?,Gütersloh,North Rhine-Westphalia  
places_city,wh,Gütersloh,twinned administrative body,Grudziądz,Which city's twinned administrative body is Gütersloh?,Grudziądz,Hanover
places_city,wh,Taxco de Alarcón,twinned administrative body,Cancun,Which city's twinned administrative body is Taxco de Alarcón?,Cancun,San Miguel de Allende  
places_city,wh,Cambodia,country,Phnom Penh,Which city's country is Cambodia?,Phnom Penh,Cambodia
places_city,wh,Koper,country,Slovenia,What is the country of Koper?,Slovenia,Slovenia  
places_city,wh,Nowy Sącz,located in the administrative territorial entity,Lesser Poland Voivodeship,What is the located in the administrative territorial entity of Nowy Sącz?,Lesser Poland Voivodeship,Poland  
places_city,wh,Noci,twinned administrative body,Bratislava,Which city's twinned administrative body is Noci?,Bratislava,Andria  
places_city,wh,Iller,located in or next to body of water,Ulm,Which city's located in or next to body of water is Iller?,Ulm,Iller.  
places_city,wh,Fitchburg,twinned administrative body,Tianjin,Which city's twinned administrative body is Fitchburg?,Tianjin,Leominster  
places_city,wh,Bujumbura,twinned administrative body,Hefei,What is the twinned administrative body of Bujumbura?,Hefei,Gitega
places_city,wh,Straubing,twinned administrative body,Wels,Which city's twinned administrative body is Straubing?,Wels,Glastonbury
places_city,wh,Guayas Province,located in the present-day administrative territorial entity,Guayaquil,Which city's located in the present-day administrative territorial entity is Guayas Province?,Guayaquil,Guayaquil  
places_city,wh,Xuzhou,twinned administrative body,Erfurt,Which city's twinned administrative body is Xuzhou?,Erfurt,Fort Wayne  
places_city,wh,Macedonian,official language,Ohrid,Which city's official language is Macedonian?,Ohrid,Skopje  
places_city,wh,Guadeloupe,located in the administrative territorial entity,Pointe-à-Pitre,Which city's located in the administrative territorial entity is Guadeloupe?,Pointe-à-Pitre,Basse-Terre  
places_city,wh,Bitola,founded by,Philip II of Macedon,Who was Bitola founded by?,Philip II of Macedon,Philip II of Macedon.  
places_city,wh,Khartoum,country,Sudan,What is the country of Khartoum?,Sudan,Sudan.  
places_city,wh,Peoria,twinned administrative body,Friedrichshafen,Which city's twinned administrative body is Peoria?,Friedrichshafen,Tsukuba
places_city,wh,Ziguinchor,twinned administrative body,Rimini,Which city's twinned administrative body is Ziguinchor?,Rimini,Saint-Louis
places_city,wh,Murom,twinned administrative body,Mexico City,Which city's twinned administrative body is Murom?,Mexico City,Tver
places_city,wh,Prayagraj district,located in the administrative territorial entity,Prayagraj,Which city's located in the administrative territorial entity is Prayagraj district?,Prayagraj,Prayagraj  
places_city,wh,Bogor,twinned administrative body,Shenzhen,Which city's twinned administrative body is Bogor?,Shenzhen,Atlanta  
places_city,wh,Pensacola,twinned administrative body,Kaohsiung,Which city's twinned administrative body is Pensacola?,Kaohsiung,Ensenada
places_city,wh,Krzysztof Żuk,head of government,Lublin,Which city's head of government is Krzysztof Żuk?,Lublin,Lublin  
places_city,wh,Victor Chatenay,head of government,Angers,Which city's head of government is Victor Chatenay?,Angers,Lyon
places_city,wh,Guadix,twinned administrative body,Buenos Aires,Which city's twinned administrative body is Guadix?,Buenos Aires,Almería
places_city,wh,semi-arid climate,Köppen climate classification,Athens,Which city's Köppen climate classification is semi-arid climate?,Athens,Phoenix.  
places_city,wh,Piacenza,located in the administrative territorial entity,Province of Piacenza,What is the located in the administrative territorial entity of Piacenza?,Province of Piacenza,Italy  
places_city,wh,São Vicente,twinned administrative body,Naha,Which city's twinned administrative body is São Vicente?,Naha,Lisbon
places_city,wh,Abidjan,country,Ivory Coast,What is the country of Abidjan?,Ivory Coast,Ivory Coast  
places_city,wh,Praia,located in/on physical feature,Santiago,What is the located in/on physical feature of Praia?,Santiago,Island.  
places_city,wh,Buxton,twinned administrative body,Harare,Which city's twinned administrative body is Buxton?,Harare,Bad Salzuflen  
places_city,wh,Ansanus,patron saint,Siena,Which city's patron saint is Ansanus?,Siena,Asti
places_city,wh,Łomża,located in the administrative territorial entity,Podlaskie Voivodeship,What is the located in the administrative territorial entity of Łomża?,Podlaskie Voivodeship,Poland  
places_city,wh,Wallenhorst,twinned administrative body,Priverno,Which city's twinned administrative body is Wallenhorst?,Priverno,Bielefeld  
places_city,wh,Moselle,located in or next to body of water,Trier,Which city's located in or next to body of water is Moselle?,Trier,Metz  
places_city,wh,Platycladus,official symbol,Beijing,Which city's official symbol is Platycladus?,Beijing,Chengdu  
places_city,wh,Kaunas,country,Lithuania,What is the country of Kaunas?,Lithuania,Lithuania  
places_city,wh,Polatsk,twinned administrative body,Friedrichshafen,Which city's twinned administrative body is Polatsk?,Friedrichshafen,Gomel
places_city,wh,Hong Kong,present in work,Civilization V,What is the present in work of Hong Kong?,Civilization V,Dynamic and evolving.  
places_city,wh,Hong Kong,head of government,John Lee,Who is the head of government of Hong Kong?,John Lee,John Lee
places_city,wh,Hong Kong,central bank,Hong Kong Monetary Authority,What is the central bank of Hong Kong?,Hong Kong Monetary Authority,Hong Kong Monetary Authority  
places_city,wh,Hong Kong,significant event,Law of the People's Republic of China on Safeguarding National Security in the Hong Kong Special Administrative Region,What is the significant event of Hong Kong?,Law of the People's Republic of China on Safeguarding National Security in the Hong Kong Special Administrative Region,Handover to China.  
places_city,wh,Hong Kong,anthem,March of the Volunteers,When does Hong Kong anthem?,March of the Volunteers,During official ceremonies.  
places_city,wh,Hong Kong,executive body,Government of Hong Kong,What is the executive body of Hong Kong?,Government of Hong Kong,Executive Council.  
places_city,wh,Hong Kong,twinned administrative body,Dubai,What is the twinned administrative body of Hong Kong?,Dubai,Central Government of China.  
places_city,wh,Hong Kong,official language,Chinese,What is the official language of Hong Kong?,Chinese,English and Cantonese.  
places_city,wh,Hong Kong,main regulatory text,Basic Law of Hong Kong,What is the main regulatory text of Hong Kong?,Basic Law of Hong Kong,Basic Law
places_city,wh,Hong Kong,diplomatic relation,Singapore,Which city's diplomatic relation is Hong Kong?,Singapore,Beijing  
places_city,wh,Hong Kong,twinned administrative body,Dubai,Which city's twinned administrative body is Hong Kong?,Dubai,London
places_city,wh,Crotone,official language,Italian,What is the official language of Crotone?,Italian,Italian.  
places_city,wh,Crotone,located in the administrative territorial entity,Province of Crotone,What is the located in the administrative territorial entity of Crotone?,Province of Crotone,Italy  
places_city,wh,Crotone,patron saint,Dionysius the Areopagite,What is the patron saint of Crotone?,Dionysius the Areopagite,Saint Pythagoras.  
places_city,wh,Sosúa,twinned administrative body,Acapulco,Which city's twinned administrative body is Sosúa?,Acapulco,Puerto Plata  
places_city,wh,Russia,diplomatic relation,Singapore,Which city's diplomatic relation is Russia?,Singapore,Moscow  
places_city,wh,Styphnolobium japonicum,official symbol,Beijing,Which city's official symbol is Styphnolobium japonicum?,Beijing,Tokyo  
places_city,wh,Vestfold,twinned administrative body,Kaunas,Which city's twinned administrative body is Vestfold?,Kaunas,Larvik  
places_city,wh,Oryol,twinned administrative body,Maribor,Which city's twinned administrative body is Oryol?,Maribor,Toledo
places_city,wh,Alicante,currency,euro,What is the currency of Alicante?,euro,Euro.  
places_city,wh,Alicante,patron saint,Saint Nicholas,Who is the patron saint of Alicante?,Saint Nicholas,Saint Mary.  
places_city,wh,Alicante,twinned administrative body,Oran,Which city's twinned administrative body is Alicante?,Oran,Southampton  
places_city,wh,Storo,twinned administrative body,Kaunas,Which city's twinned administrative body is Storo?,Kaunas,Lviv  
places_city,wh,Chungju,twinned administrative body,Taichung,Which city's twinned administrative body is Chungju?,Taichung,Gainesville
places_city,wh,Toulon,twinned administrative body,Oran,Which city's twinned administrative body is Toulon?,Oran,Portsmouth  
places_city,wh,Tienen,twinned administrative body,Bielsko-Biała,Which city's twinned administrative body is Tienen?,Bielsko-Biała,Aachen
places_city,wh,Baguio,twinned administrative body,Cuzco,Which city's twinned administrative body is Baguio?,Cuzco,San Francisco
places_city,wh,Chichester,country,United Kingdom,What is the country of Chichester?,United Kingdom,England.  
places_city,wh,Pasadena,twinned administrative body,Tangier,Which city's twinned administrative body is Pasadena?,Tangier,San Gabriel
