topic,subject,relation,object,label,question,output_mistral_7b_instruct_v0.3,eval_mistral_7b_instruct_v0.3
geography_volcano,Mount Norikura,located in protected area,Chūbu-Sangaku National Park,Chūbu-Sangaku National Park,What is the located in protected area of Mount Norikura?,Volcano,0.0
geography_volcano,Silay,made from material,andesite,andesite,What is the made from material of Silay?,Glass,0.0
geography_volcano,Gorely,mountain range,Eastern Range,Eastern Range,What is the mountain range of Gorely?,"Gorely is a volcano, not a mountain range",0.0
geography_volcano,Santiago Island,country,Ecuador,Ecuador,What is the country of Santiago Island?,Cape Verde,0.0
geography_volcano,Akita-Komagatake,location,Akita Prefecture,Akita Prefecture,What is the location of Akita-Komagatake?,Japan,0.0
geography_volcano,Taapaca,made from material,andesite,andesite,What is the made from material of Taapaca?,Wood,0.0
geography_volcano,Chaitén,made from material,rhyolite,rhyolite,What is the made from material of Chaitén?,Basaltic andesite,0.0
geography_volcano,Gorely,volcano observatory,Institute of Volcanology and Seismology,Institute of Volcanology and Seismology,What is the volcano observatory of Gorely?,Gorely Observatory,0.0
geography_volcano,Atlasov Island,named after,Vladimir Atlasov,Vladimir Atlasov,Who was Atlasov Island named after?,Kolchak,0.0
geography_volcano,Mount Haku,described by source,Brockhaus and Efron Encyclopedic Dictionary,Brockhaus and Efron Encyclopedic Dictionary,Who is the described by source of Mount Haku?,Aspen tree,0.0
geography_volcano,Avachinsky,mountain range,Sredinny Range,Sredinny Range,Who is the mountain range of Avachinsky?,Kamchatka,0.0
geography_volcano,Sumaco,located in the administrative territorial entity,Napo Province,Napo Province,What is the located in the administrative territorial entity of Sumaco?,"Sumaco is a volcano, not an administrative territorial entity. It",0.0
geography_volcano,Mount Unzen,named after,onsen,onsen,What was Mount Unzen named after?,Shimabara,0.0
geography_volcano,Kelut,volcano observatory,Volcanological Survey of Indonesia,Volcanological Survey of Indonesia,What is the volcano observatory of Kelut?,Kelut Volcano Observatory,0.0
geography_volcano,San José,continent,Americas,Americas,What is the continent of San José?,Central America,0.0
geography_volcano,Concepción,country,Nicaragua,Nicaragua,What is the country of Concepción?,Chile,0.0
geography_volcano,Sotará,made from material,andesite,andesite,What is the made from material of Sotará?,Wood,0.0
geography_volcano,Mutnovsky,volcano observatory,Institute of Volcanology and Seismology,Institute of Volcanology and Seismology,What is the volcano observatory of Mutnovsky?,Mutnovsky Volcano Observatory,0.0
geography_volcano,Akita-Komagatake,located in protected area,Towada-Hachimantai National Park,Towada-Hachimantai National Park,What is the located in protected area of Akita-Komagatake?,Volcano,0.0
geography_volcano,Mount Taftan,located in the administrative territorial entity,Sistan and Baluchestan Province,Sistan and Baluchestan Province,What is the located in the administrative territorial entity of Mount Taftan?,Iran,0.0
geography_volcano,Merelava,located in/on physical feature,Banks Islands,Banks Islands,What is the located in/on physical feature of Merelava?,Swamp,0.0
geography_volcano,Lonquimay,located in the administrative territorial entity,Malleco Province,Malleco Province,What is the located in the administrative territorial entity of Lonquimay?,Volcano,0.0
geography_volcano,Beerenberg,located in the administrative territorial entity,Jan Mayen,Jan Mayen,Who is the located in the administrative territorial entity of Beerenberg?,Pitcairn Island,0.0
geography_volcano,Izalco,described by source,Brockhaus and Efron Encyclopedic Dictionary,Brockhaus and Efron Encyclopedic Dictionary,Who is the described by source of Izalco?,Volcano,0.0
geography_volcano,Koryaksky,mountain range,Sredinny Range,Sredinny Range,Who is the mountain range of Koryaksky?,Siberian,0.0
geography_volcano,Puracé,continent,Americas,Americas,What is the continent of Puracé?,"Puracé is not a continent, it's a volcano located",0.0
geography_volcano,Mocho-Choshuenco,continent,Americas,Americas,What is the continent of Mocho-Choshuenco?,Chile,0.0
geography_volcano,Öræfajökull,time period,Pleistocene,Pleistocene,What is the time period of Öræfajökull?,Eruption cycles (variable),0.0
geography_volcano,Mount Kirishima,located in protected area,Kirishima-Kinkōwan National Park,Kirishima-Kinkōwan National Park,What is the located in protected area of Mount Kirishima?,Ebino Plum Garden,0.0
geography_volcano,Alaid,located in/on physical feature,Atlasov Island,Atlasov Island,What is the located in/on physical feature of Alaid?,Volcano,0.0
geography_volcano,Momotombo,located in the administrative territorial entity,León Department,León Department,What is the located in the administrative territorial entity of Momotombo?,Nicaragua,0.0
geography_volcano,Cerro Macá,made from material,basalt,basalt,What is the made from material of Cerro Macá?,Granite,0.0
geography_volcano,Koryaksky,described by source,Brockhaus and Efron Encyclopedic Dictionary,Brockhaus and Efron Encyclopedic Dictionary,Who is the described by source of Koryaksky?,Volcano,0.0
geography_volcano,Mount Tarumae,located in protected area,Shikotsu-Tōya National Park,Shikotsu-Tōya National Park,What is the located in protected area of Mount Tarumae?,Crater,0.0
geography_volcano,Chaos Crags,located in the administrative territorial entity,Shasta County,Shasta County,What is the located in the administrative territorial entity of Chaos Crags?,Nothing (as Chaos Crags is a fictional location),0.0
geography_volcano,Mocho-Choshuenco,made from material,andesite,andesite,What is the made from material of Mocho-Choshuenco?,Basalt,0.0
geography_volcano,Gareloi Volcano,volcano observatory,Alaska Volcano Observatory,Alaska Volcano Observatory,What is the volcano observatory of Gareloi Volcano?,Hawaiian Volcano Observatory (HVO),0.0
geography_volcano,Incahuasi,continent,Americas,Americas,What is the continent of Incahuasi?,South America,0.0
geography_volcano,Mount Tarumae,made from material,andesite,andesite,What is the made from material of Mount Tarumae?,Basalt,0.0
geography_volcano,Pular,made from material,andesite,andesite,What is the made from material of Pular?,Wood,0.0
geography_volcano,Mount Kusatsu-Shirane,volcano observatory,Geospatial Information Authority of Japan,Geospatial Information Authority of Japan,What is the volcano observatory of Mount Kusatsu-Shirane?,Mount Kusatsu-Shirane Observatory,0.0
geography_volcano,Goat Mountain,located in the administrative territorial entity,Brewster County,Brewster County,What is the located in the administrative territorial entity of Goat Mountain?,"Goat Mountain is a geographical feature, not an administrative territorial entity",0.0
geography_volcano,Kronotsky,mountain range,Eastern Range,Eastern Range,What is the mountain range of Kronotsky?,Kronotsky Range,0.0
geography_volcano,Sarychev Peak,volcano observatory,Institute of Volcanology and Seismology,Institute of Volcanology and Seismology,What is the volcano observatory of Sarychev Peak?,Sarychev Peak Observatory,0.0
geography_volcano,Novarupta,volcano observatory,Alaska Volcano Observatory,Alaska Volcano Observatory,What is the volcano observatory of Novarupta?,Novarupta Volcano Observatory does not exist. Novarupt,0.0
geography_volcano,Mount Oku,mountain range,Cameroon line,Cameroon line,What is the mountain range of Mount Oku?,Cameroon Mountains,0.0
geography_volcano,Kelut,made from material,andesite,andesite,What is the made from material of Kelut?,Ash,0.0
geography_volcano,Parinacota,continent,Americas,Americas,What is the continent of Parinacota?,"Parinacota is not a continent, it's a volcano",0.0
geography_volcano,Silay,located in the administrative territorial entity,Negros Occidental,Negros Occidental,What is the located in the administrative territorial entity of Silay?,"Silay is a city, so it is located within the administrative territorial entity",0.0
geography_volcano,Tolbachik,described by source,Brockhaus and Efron Encyclopedic Dictionary,Brockhaus and Efron Encyclopedic Dictionary,Who is the described by source of Tolbachik?,Volcano,0.0
geography_volcano,Volcán de Agua,described by source,Brockhaus and Efron Encyclopedic Dictionary,Brockhaus and Efron Encyclopedic Dictionary,Who is the described by source of Volcán de Agua?,Pacaya Volcano,0.0
geography_volcano,Nevado San Francisco,continent,Americas,Americas,What is the continent of Nevado San Francisco?,Not specified,0.0
geography_volcano,Mount Azuma-kofuji,made from material,andesite,andesite,What is the made from material of Mount Azuma-kofuji?,Granite,0.0
geography_volcano,Puracé,located in the administrative territorial entity,Cauca Department,Cauca Department,What is the located in the administrative territorial entity of Puracé?,"Puracé is a department, so it doesn't have a city located",0.0
geography_volcano,Volcán Azufral,located in the administrative territorial entity,Nariño Department,Nariño Department,What is the located in the administrative territorial entity of Volcán Azufral?,Pacific Ocean,0.0
geography_volcano,Maderas,country,Nicaragua,Nicaragua,What is the country of Maderas?,Portugal,0.0
geography_volcano,Kronotsky,volcano observatory,Institute of Volcanology and Seismology,Institute of Volcanology and Seismology,What is the volcano observatory of Kronotsky?,Kronotsky Volcano Observatory,0.0
geography_volcano,Beerenberg,country,Norway,Norway,What is the country of Beerenberg?,Antarctica,0.0
geography_volcano,Zheltovsky,mountain range,Eastern Range,Eastern Range,What is the mountain range of Zheltovsky?,Ural,0.0
geography_volcano,Mount Erebus,significant event,Air New Zealand Flight 901,Air New Zealand Flight 901,What is the significant event of Mount Erebus?,Eruption,0.0
geography_volcano,Mount Kusatsu-Shirane,described by source,Brockhaus and Efron Encyclopedic Dictionary,Brockhaus and Efron Encyclopedic Dictionary,Who is the described by source of Mount Kusatsu-Shirane?,Volcano,0.0
geography_volcano,San Félix Island,country,Chile,Chile,What is the country of San Félix Island?,"San Félix Island is fictional, it doesn't belong to any",0.0
geography_volcano,Maderas,located in the administrative territorial entity,Rivas Department,Rivas Department,What is the located in the administrative territorial entity of Maderas?,"City (or Madera, if referring to the specific city)",0.0
geography_volcano,Klyuchevskaya Sopka,made from material,andesite,andesite,What is the made from material of Klyuchevskaya Sopka?,Basalt,0.0
geography_volcano,Mauna Kea,volcano observatory,Hawaiian Volcano Observatory,Hawaiian Volcano Observatory,What is the volcano observatory of Mauna Kea?,Mauna Kea Observatory,0.0
geography_volcano,Hiruzen,located in protected area,Daisen-Oki National Park,Daisen-Oki National Park,What is the located in protected area of Hiruzen?,Forest,0.0
geography_volcano,Esjufjöll,located in protected area,Vatnajökull National Park,Vatnajökull National Park,What is the located in protected area of Esjufjöll?,Volcano,0.0
geography_volcano,Bagabag,located in the administrative territorial entity,Madang Province,Madang Province,What is the located in the administrative territorial entity of Bagabag?,"Bagabag is a municipality, so it is located in the administrative territor",0.0
geography_volcano,Izalco,mountain range,Cordillera de Apaneca-Lamatepec,Cordillera de Apaneca-Lamatepec,What is the mountain range of Izalco?,Izalco Volcano is part of the Santa Ana Volcanic Chain,0.0
geography_volcano,Merelava,country,Vanuatu,Vanuatu,What is the country of Merelava?,Israel,0.0
geography_volcano,Tecuamburro,located in the administrative territorial entity,Santa Rosa Department,Santa Rosa Department,What is the located in the administrative territorial entity of Tecuamburro?,Volcano,0.0
geography_volcano,Aracar,continent,Americas,Americas,What is the continent of Aracar?,Aracar is not a recognized continent,0.0
geography_volcano,Gunung Merbabu,volcano observatory,Volcanological Survey of Indonesia,Volcanological Survey of Indonesia,What is the volcano observatory of Gunung Merbabu?,Monitoring Station,0.0
geography_volcano,Mount Batur,volcano observatory,Volcanological Survey of Indonesia,Volcanological Survey of Indonesia,What is the volcano observatory of Mount Batur?,Mount Batur Observatory,0.0
geography_volcano,Volcán Tolimán,located in the administrative territorial entity,Sololá Department,Sololá Department,What is the located in the administrative territorial entity of Volcán Tolimán?,Guatemala,0.0
geography_volcano,Puracé,made from material,andesite,andesite,What is the made from material of Puracé?,Volcanic,0.0
geography_volcano,Cantal mountains,located in the administrative territorial entity,Cantal,Cantal,What is the located in the administrative territorial entity of Cantal mountains?,Saint-Flour,0.0
geography_volcano,Mount Kusatsu-Shirane,located in protected area,Jōshin'etsu-kōgen National Park,Jōshin'etsu-kōgen National Park,What is the located in protected area of Mount Kusatsu-Shirane?,Onsen,0.0
geography_volcano,Kronotsky,made from material,basalt,basalt,What is the made from material of Kronotsky?,Metal,0.0
geography_volcano,Atlasov Island,highest point,Alaid,Alaid,What is the highest point of Atlasov Island?,Peak Atlasov,0.0
geography_volcano,Mount Iwate,made from material,basalt,basalt,What is the made from material of Mount Iwate?,Rock,0.0
geography_volcano,Mount Hudson,country,Chile,Chile,What is the country of Mount Hudson?,New Zealand,0.0
geography_volcano,Lanín,continent,Americas,Americas,What is the continent of Lanín?,"Lanín is not a continent, it's a volcano located in",0.0
geography_volcano,Concepción,volcano observatory,Nicaraguan Institute for Territorial Studies,Nicaraguan Institute for Territorial Studies,What is the volcano observatory of Concepción?,Volcano Observatory of Concepción is OVCON,0.0
