topic,subject,relation,object,label,question,output_mistral_7b_instruct_v0.3,eval_mistral_7b_instruct_v0.3
human_athlete,Gyula Halasy,place of birth,Kisvárda,Kisvárda,Who is the place of birth of Gyula Halasy?,Hungary,0.0
human_athlete,Arkady Vorobyov,conflict,Eastern Front,Eastern Front,What is the conflict of Arkady Vorobyov?,Internal struggle,0.0
human_athlete,Helmut Reichmann,employer,University of Applied Sciences in Saarbrücken,University of Applied Sciences in Saarbrücken,What is the employer of Helmut Reichmann?,IBM (retired),0.0
human_athlete,Ken Coleman,sex or gender,male,male,What is the sex or gender of Ken Coleman?,"Not specified (Ken Coleman is a media personality, and personal details like",0.0
human_athlete,Mandy François-Elie,sport,athletics,athletics,What is the sport of Mandy François-Elie?,Tennis,0.0
human_athlete,Trân Triêu Quân,place of birth,Hanoi,Hanoi,What is the place of birth of Trân Triêu Quân?,Vietnam,0.0
human_athlete,Magnus Samuelsson,residence,Linköping,Linköping,What is the residence of Magnus Samuelsson?,Stockholm,0.0
human_athlete,Carlos Gracie,place of birth,Belém,Belém,What is the place of birth of Carlos Gracie?,Brazil,0.0
human_athlete,Vilém Mandlík,sport,athletics,athletics,What is the sport of Vilém Mandlík?,Water Skiing,0.0
human_athlete,Jozef Adamec,position played on team / speciality,forward,forward,What is the position played on team / speciality of Jozef Adamec?,Goalkeeper,0.0
human_athlete,Jörg Löhr,sex or gender,male,male,What is the sex or gender of Jörg Löhr?,Not specified (or known publicly),0.0
human_athlete,Gábor Török,sport,association football,association football,What is the sport of Gábor Török?,Fencing,0.0
human_athlete,Jozef Obert,sex or gender,male,male,What is the sex or gender of Jozef Obert?,Not specified in the provided information,0.0
human_athlete,Guido Köstermeyer,work location,Erlangen,Erlangen,What is the work location of Guido Köstermeyer?,Germany,0.0
human_athlete,Jakub Koreis,sport,ice hockey,ice hockey,What is the sport of Jakub Koreis?,Tennis,0.0
human_athlete,Barbora Strýcová,influenced by,Steffi Graf,Steffi Graf,Who was Barbora Strýcová influenced by?,Martina Navratilova,0.0
human_athlete,Chuck Liddell,field of work,sport,sport,What is the field of work of Chuck Liddell?,MMA (Mixed Martial Arts),0.0
human_athlete,Heine Stupp,occupation,athlete,athlete,What is the occupation of Heine Stupp?,Engineer,0.0
human_athlete,Dominik Hašek,place of birth,Pardubice,Pardubice,What is the place of birth of Dominik Hašek?,Czechoslovakia,0.0
human_athlete,Libor Podmol,place of birth,Ostrava,Ostrava,What is the place of birth of Libor Podmol?,Czech Republic,0.0
human_athlete,Michael Guhr,native language,Hungarian,Hungarian,What is the native language of Michael Guhr?,German,0.0
human_athlete,Milan Chalupa,member of sports team,Detroit Red Wings,Detroit Red Wings,What is the member of sports team of Milan Chalupa?,Milan Chalupa's team membership is not specified in the provided information,0.0
human_athlete,Heinz Ollesch,sex or gender,male,male,What is the sex or gender of Heinz Ollesch?,Not specified in the provided information,0.0
human_athlete,Thomas Lipton,country of citizenship,United Kingdom,United Kingdom,What is the country of citizenship of Thomas Lipton?,Scotland,0.0
human_athlete,Wally Albright,place of birth,Burbank,Burbank,What is the place of birth of Wally Albright?,New York,0.0
human_athlete,István Kovács,position played on team / speciality,midfielder,midfielder,What is the position played on team / speciality of István Kovács?,Forward (Football) / Judo (Sport),0.0
human_athlete,Miloslav Hořava,member of sports team,New York Rangers,New York Rangers,What is the member of sports team of Miloslav Hořava?,Tennis,0.0
human_athlete,Wally Albright,residence,Burbank,Burbank,What is the residence of Wally Albright?,Home (assuming you're asking about Wally's personal residence),0.0
human_athlete,Fritz R. Huitfeldt,occupation,athlete,athlete,What is the occupation of Fritz R. Huitfeldt?,Engineer,0.0
human_athlete,Terry Kelly,work location,Halifax,Halifax,What is the work location of Terry Kelly?,Office,0.0
human_athlete,Hans Lindgren,sex or gender,male,male,What is the sex or gender of Hans Lindgren?,Not specified in the provided information,0.0
human_athlete,István Kovács,sport,association football,association football,What is the sport of István Kovács?,Fencing,0.0
human_athlete,Tadeusz Ambroży,sex or gender,male,male,What is the sex or gender of Tadeusz Ambroży?,Not specified in the provided information,0.0
human_athlete,Franciszek Hynek,place of death,Nowa Karczma,Nowa Karczma,What is the place of death of Franciszek Hynek?,Krakow,0.0
human_athlete,Matti Nykänen,instrument,voice,voice,What is the instrument of Matti Nykänen?,Ski Jump,0.0
human_athlete,Vítězslav Lavička,position played on team / speciality,midfielder,midfielder,What is the position played on team / speciality of Vítězslav Lavička?,Coach,0.0
human_athlete,Dick Fosbury,sport,athletics,athletics,What is the sport of Dick Fosbury?,High Jump,0.0
human_athlete,Karol Jablonski,sport,ice sailing,ice sailing,What is the sport of Karol Jablonski?,Tennis,0.0
human_athlete,Bo Munthe,sex or gender,male,male,What is the sex or gender of Bo Munthe?,Not specified,0.0
human_athlete,Hana Mandlíková,father,Vilém Mandlík,Vilém Mandlík,Who is the father of Hana Mandlíková?,Karel Mandlík,0.0
human_athlete,Margaret Majer,spouse,John B. Kelly Sr.,John B. Kelly Sr.,Who is the spouse of Margaret Majer?,Not specified publicly,0.0
human_athlete,Moon Hyun-jin,sport,equestrian sport,equestrian sport,What is the sport of Moon Hyun-jin?,Tennis,0.0
human_athlete,Gilles Quénéhervé,sport,athletics,athletics,What is the sport of Gilles Quénéhervé?,Tennis,0.0
human_athlete,Dave Baillie,occupation,athlete,athlete,What is the occupation of Dave Baillie?,Writer,0.0
human_athlete,Marek Čech,place of birth,Ostrava,Ostrava,What is the place of birth of Marek Čech?,Czech Republic,0.0
human_athlete,Milovan Zoričić,place of death,Zagreb,Zagreb,What is the place of death of Milovan Zoričić?,Belgrade,0.0
human_athlete,Milovan Zoričić,sex or gender,male,male,What is the sex or gender of Milovan Zoričić?,"Not specified (Milovan Zoričić is a person, not a character",0.0
human_athlete,Bo Munthe,occupation,athlete,athlete,What is the occupation of Bo Munthe?,Writer,0.0
human_athlete,Michal Bílek,position played on team / speciality,midfielder,midfielder,What is the position played on team / speciality of Michal Bílek?,Coach,0.0
human_athlete,Jan Macháček,sport,rugby union,rugby union,What is the sport of Jan Macháček?,Tennis,0.0
human_athlete,Henryk Dobrzański,social classification,noble,noble,What is the social classification of Henryk Dobrzański?,Polish officer (or Hubal),0.0
human_athlete,Marian Borzemski,place of death,Limanowa,Limanowa,What is the place of death of Marian Borzemski?,Auschwitz,0.0
human_athlete,María Julia Mantilla,victory,Miss World,Miss World,What is the victory of María Julia Mantilla?,Gold Medal (Olympics 2016),0.0
human_athlete,Yevgeniy Abalakov,conflict,Eastern Front,Eastern Front,What is the conflict of Yevgeniy Abalakov?,Mountaineering disaster,0.0
human_athlete,Stanislav Štrunc,sport,association football,association football,What is the sport of Stanislav Štrunc?,Tennis,0.0
human_athlete,Miroslav Dvořák,cause of death,esophageal cancer,esophageal cancer,What is the cause of death of Miroslav Dvořák?,Heart attack,0.0
human_athlete,Moon Hyun-jin,mother,Hak Ja Han,Hak Ja Han,Who is the mother of Moon Hyun-jin?,Lee Hye-kyung,0.0
human_athlete,Jay Glazer,occupation,athlete,athlete,What is the occupation of Jay Glazer?,Sports Journalist,0.0
human_athlete,Martyna Wojciechowska,field of work,nature reserve,nature reserve,What is the field of work of Martyna Wojciechowska?,Journalism,0.0
human_athlete,Vendula Frintová,place of birth,Náchod,Náchod,What is the place of birth of Vendula Frintová?,Czech Republic,0.0
human_athlete,Aleksander Onoszko,sex or gender,male,male,What is the sex or gender of Aleksander Onoszko?,Not specified in the provided information,0.0
human_athlete,Jeb Corliss,place of birth,New Mexico,New Mexico,What is the place of birth of Jeb Corliss?,United States,0.0
human_athlete,Martyna Wojciechowska,spouse,Przemysław Kossakowski,Przemysław Kossakowski,Who is the spouse of Martyna Wojciechowska?,Not provided (as of my last update),0.0
human_athlete,Richard Douieb,sex or gender,male,male,What is the sex or gender of Richard Douieb?,"Not specified (Richard Douieb is a human, and personal details like gender",0.0
human_athlete,Jarmila Nygrýnová,spouse,Alfred Strejček,Alfred Strejček,Who is the spouse of Jarmila Nygrýnová?,Not provided (publicly known),0.0
human_athlete,Tomáš Rada,sport,association football,association football,What is the sport of Tomáš Rada?,Tennis,0.0
human_athlete,Frank Shorter,place of birth,Munich,Munich,What is the place of birth of Frank Shorter?,Colorado,0.0
human_athlete,Stanisław Barabasz,sex or gender,male,male,What is the sex or gender of Stanisław Barabasz?,"Not specified (Stanisław Barabasz is a person, and gender",0.0
human_athlete,Julian Goater,sport,athletics,athletics,What is the sport of Julian Goater?,Cricket,0.0
