topic,subject,relation,object,label,question,output_mistral_7b_instruct_v0.3,eval_mistral_7b_instruct_v0.3,multiple_choices,paraphrased_question,multiple_choice_with_letters,multiple_choice_labels,yes_question,no_question,locality_question,reversed_relation_question,question_2hop,answer_2hop,question_3hop,answer_3hop,question_4hop,answer_4hop,question_5hop,answer_5hop,question_6hop,answer_6hop
places_country,Trinidad and Tobago,described by source,History of Ming,History of Ming,What is the described by source of Trinidad and Tobago?,Caribbean Sea,0.0,"['History of Ming', 'Caribbean Sea', 'Encyclopedia Britannica', 'National Geographic']",Which source describes Trinidad and Tobago?,A. Encyclopedia Britannica  B. Caribbean Sea  C. National Geographic  D. History of Ming,D,Is the described by source of Trinidad and Tobago the History of Ming?,Is the described by source of Trinidad and Tobago the Caribbean Sea?,What is the capital city of Trinidad and Tobago?,Which country is described by the History of Ming?,Who is the author of the source that describes Trinidad and Tobago?,V.S. Naipaul,What is the title of the book written by the author who described Trinidad and Tobago?,A House for Mr Biswas,In which year was the book titled 'A House for Mr Biswas' published?,1961,Which publishing company released the book 'A House for Mr Biswas' in 1961?,André Deutsch,In which country is the publishing company André Deutsch based?,United Kingdom
places_country,United Arab Emirates,history of topic,history of the United Arab Emirates,history of the United Arab Emirates,What is the history of topic of United Arab Emirates?,History: United Arab Emirates (UAE) formed in 19,0.0,"['history of the United Arab Emirates', 'History: United Arab Emirates (UAE) formed in 19', 'formation of the UAE', 'development of the UAE']",Can you tell me the history of the United Arab Emirates?,A. development of the UAE  B. formation of the UAE  C. History: United Arab Emirates (UAE) formed in 19  D. history of the United Arab Emirates,D,Is the history of topic of United Arab Emirates the history of the United Arab Emirates?,Is the history of topic of United Arab Emirates History: United Arab Emirates (UAE) formed in 19?,What is the capital city of the United Arab Emirates?,What is the history of the United Arab Emirates related to?,Who was the first president in the history of the United Arab Emirates?,Sheikh Zayed bin Sultan Al Nahyan,What year did the first president in the history of the United Arab Emirates assume office?,1971,Which significant event in the history of the United Arab Emirates occurred in 1971?,Formation of the United Arab Emirates,How many emirates joined together to form the United Arab Emirates in 1971?,Seven,"Which emirate is the capital of the United Arab Emirates, formed in 1971?",Abu Dhabi
places_country,Vanuatu,described by source,Encyclopædia Britannica 11th edition,Encyclopædia Britannica 11th edition,What is the described by source of Vanuatu?,Pacific Ocean,0.0,"['Encyclopædia Britannica 11th edition', 'Pacific Ocean', 'Wikipedia', 'World Atlas']",Which source describes Vanuatu?,A. World Atlas  B. Pacific Ocean  C. Encyclopædia Britannica 11th edition  D. Wikipedia,C,Is the described by source of Vanuatu the Encyclopædia Britannica 11th edition?,Is the described by source of Vanuatu the Pacific Ocean?,What is the capital city of Vanuatu?,Which country is described by the Encyclopædia Britannica 11th edition?,Who is the author of the source that describes Vanuatu?,John Lynch,What is the title of the book written by the author who described Vanuatu?,Languages of Vanuatu: Unity and Diversity,Which publisher released the book titled 'Languages of Vanuatu: Unity and Diversity'?,Pacific Linguistics,In which year was the book 'Languages of Vanuatu: Unity and Diversity' published?,1996,Which university is associated with the publisher that released the book 'Languages of Vanuatu: Unity and Diversity'?,Australian National University
places_country,Bangladesh,twinned administrative body,Nisshin,Nisshin,What is the twinned administrative body of Bangladesh?,Dhaka (Division) & Mymensingh (Division),0.0,"['Nisshin', 'Dhaka (Division) & Mymensingh (Division)', 'Tokyo', 'Osaka']",Which administrative body is twinned with Bangladesh?,A. Tokyo  B. Osaka  C. Dhaka (Division) & Mymensingh (Division)  D. Nisshin,D,Is Nisshin the twinned administrative body of Bangladesh?,Is Dhaka (Division) & Mymensingh (Division) the twinned administrative body of Bangladesh?,What is the capital city of Bangladesh?,Which country has Nisshin as its twinned administrative body?,What is the twinned administrative body of Bangladesh?,South Korea,What is the capital city of the twinned administrative body of Bangladesh?,Seoul,Which river flows through the capital city of the twinned administrative body of Bangladesh?,Han River,What is a major landmark located along the river that flows through the capital city of the twinned administrative body of Bangladesh?,N Seoul Tower,In which district is the major landmark located along the river that flows through the capital city of the twinned administrative body of Bangladesh?,Yongsan District
places_country,Kenya,head of government,William Ruto,William Ruto,Who is the head of government of Kenya?,President Uhuru Kenyatta (as of 2021),0.0,"['William Ruto', 'President Uhuru Kenyatta (as of 2021)', 'Raila Odinga', 'Martha Karua']",Who serves as the head of government in Kenya?,A. William Ruto  B. President Uhuru Kenyatta (as of 2021)  C. Martha Karua  D. Raila Odinga,A,Is William Ruto the head of government of Kenya?,Is President Uhuru Kenyatta (as of 2021) the head of government of Kenya?,What is the capital city of Kenya?,Who is William Ruto the head of government of?,Who is the spouse of the head of government of Kenya?,Rachel Ruto,Which university did the spouse of the head of government of Kenya attend?,Kenyatta University,In which city is the university that the spouse of the head of government of Kenya attended located?,Nairobi,In which county is the city located where the university that the spouse of the head of government of Kenya attended is situated?,Nairobi County,In which country is the county located where the city is situated that contains the university the spouse of the head of government of Kenya attended?,Kenya
places_country,Poland,head of government,Donald Tusk,Donald Tusk,Who is the head of government of Poland?,Prime Minister Mateusz Morawiecki,0.0,"['Donald Tusk', 'Prime Minister Mateusz Morawiecki', 'Andrzej Duda', 'Lech Wałęsa']",Who serves as the head of government in Poland?,A. Lech Wałęsa  B. Donald Tusk  C. Andrzej Duda  D. Prime Minister Mateusz Morawiecki,B,Is Donald Tusk the head of government of Poland?,Is Prime Minister Mateusz Morawiecki the head of government of Poland?,What is the capital city of Poland?,Of which country is Donald Tusk the head of government?,Who is the spouse of the head of government of Poland?,Iwona Morawiecka,Which university did the spouse of the head of government of Poland attend for their undergraduate studies?,University of Wrocław,In which city is the university that the spouse of the head of government of Poland attended located?,Wrocław,In which voivodeship is the city located where the university that the spouse of the head of government of Poland attended is situated?,Lower Silesian Voivodeship,In which country is the voivodeship located where the city is situated that contains the university the spouse of the head of government of Poland attended?,Poland
places_country,Guatemala,head of government,Bernardo Arévalo de León,Bernardo Arévalo de León,Who is the head of government of Guatemala?,Alejandro Giammattei,0.0,"['Bernardo Arévalo de León', 'Alejandro Giammattei', 'Jimmy Morales', 'Otto Pérez Molina']",Who serves as the head of government in Guatemala?,A. Alejandro Giammattei  B. Otto Pérez Molina  C. Jimmy Morales  D. Bernardo Arévalo de León,D,Is Bernardo Arévalo de León the head of government of Guatemala?,Is Alejandro Giammattei the head of government of Guatemala?,What is the capital city of Guatemala?,Who is governed by Bernardo Arévalo de León?,Who is the spouse of the head of government of Guatemala?,Patricia Marroquín,Which university did the spouse of the head of government of Guatemala attend?,Universidad de San Carlos de Guatemala,In which city is the university that the spouse of the head of government of Guatemala attended located?,Guatemala City,In which department is the city located where the university that the spouse of the head of government of Guatemala attended is situated?,Guatemala Department,In which country is the department located where the city is situated that contains the university the spouse of the head of government of Guatemala attended?,Guatemala
places_country,Chile,history of topic,history of Chile,history of Chile,What is the history of topic of Chile?,History (of Chile),0.0,"['history of Chile', 'History (of Chile)', 'geography of Chile', 'culture of Chile']",What is the historical background of Chile?,A. History (of Chile)  B. culture of Chile  C. history of Chile  D. geography of Chile,C,Is the history of topic of Chile the history of Chile?,Is the history of topic of Chile History (of Chile)?,What is the capital city of Chile?,What country has the history of Chile as its history of topic?,Who was the first president in the history of Chile?,Manuel Blanco Encalada,Which country did the first president in the history of Chile serve as a diplomat to?,France,What is the capital city of the country where the first president in the history of Chile served as a diplomat?,Paris,Which river flows through the capital city of the country where the first president in the history of Chile served as a diplomat?,Seine,Into which body of water does the river that flows through the capital city of the country where the first president in the history of Chile served as a diplomat empty?,English Channel
places_country,Cameroon,twinned administrative body,Tsushima,Tsushima,What is the twinned administrative body of Cameroon?,Anglophone Region & Francophone Region,0.0,"['Tsushima', 'Anglophone Region & Francophone Region', 'Nairobi', 'Kyoto']",Which administrative body is twinned with Cameroon?,A. Kyoto  B. Nairobi  C. Anglophone Region & Francophone Region  D. Tsushima,D,Is Tsushima the twinned administrative body of Cameroon?,Is Anglophone Region & Francophone Region the twinned administrative body of Cameroon?,What is the capital city of Cameroon?,Which country is Tsushima twinned with?,What is the twinned administrative body of Cameroon?,France,What is the capital city of the twinned administrative body of Cameroon?,Paris,Which famous landmark is located in the capital city of the twinned administrative body of Cameroon?,Eiffel Tower,Who designed the famous landmark located in the capital city of the twinned administrative body of Cameroon?,Gustave Eiffel,In which year was the famous landmark designed by Gustave Eiffel in the capital city of the twinned administrative body of Cameroon completed?,1889
places_country,Thailand,head of government,Paetongtarn Shinawatra,Paetongtarn Shinawatra,Who is the head of government of Thailand?,Prime Minister Prayut Chan-o-cha (as of 20,0.0,"['Paetongtarn Shinawatra', 'Prime Minister Prayut Chan-o-cha', 'Yingluck Shinawatra', 'Abhisit Vejjajiva']",Who serves as the head of government in Thailand?,A. Paetongtarn Shinawatra  B. Prime Minister Prayut Chan-o-cha (as of 20  C. Yingluck Shinawatra  D. Abhisit Vejjajiva,A,Is Paetongtarn Shinawatra the head of government of Thailand?,Is Prime Minister Prayut Chan-o-cha the head of government of Thailand?,What is the capital city of Thailand?,Which country is Paetongtarn Shinawatra the head of government of?,Who is the spouse of the head of government of Thailand?,Naraporn Chan-o-cha,Which university did the spouse of the head of government of Thailand attend for their undergraduate studies?,Chulalongkorn University,In which city is the university that the spouse of the head of government of Thailand attended located?,Bangkok,In which region is the city located where the university that the spouse of the head of government of Thailand attended is situated?,Central Thailand,In which country is the region located where the city is situated that contains the university the spouse of the head of government of Thailand attended?,Thailand
places_country,Spain,geography of topic,geography of Spain,geography of Spain,What is the geography of topic of Spain?,Europe,0.0,"['geography of Spain', 'Europe', 'climate of Spain', 'history of Spain']",What is the geographical topic of Spain?,A. geography of Spain  B. climate of Spain  C. history of Spain  D. Europe,A,Is the geography of topic of Spain the geography of Spain?,Is the geography of topic of Spain Europe?,What is the capital city of Spain?,What country has the geography of Spain as its geographical topic?,What is the capital city of Spain?,Madrid,What is the population of the capital city of Spain?,Approximately 3.3 million,What is the name of the river that flows through the capital city of Spain?,Manzanares,Which sea does the river that flows through the capital city of Spain eventually drain into?,Mediterranean Sea,"Which country borders the sea that the river flowing through the capital city of Spain drains into, to the south?",Morocco
places_country,Burundi,headquarters location,Bujumbura,Bujumbura,What is the headquarters location of Burundi?,Gitega (capital),0.0,"['Bujumbura', 'Gitega', 'Kigali', 'Nairobi']",Where is the headquarters of Burundi located?,A. Bujumbura  B. Nairobi  C. Kigali  D. Gitega (capital),A,Is the headquarters location of Burundi Bujumbura?,Is the headquarters location of Burundi Gitega?,What is the capital city of Burundi?,Which country has its headquarters location in Bujumbura?,What is the capital city of the country where the headquarters of Burundi is located?,Gitega,Which province is the capital city of the country where the headquarters of Burundi is located in?,Gitega Province,What is the population of the province where the capital city of the country with the headquarters of Burundi is located?,"Approximately 725,223",What is the primary language spoken in the province where the capital city of the country with the headquarters of Burundi is located?,Kirundi,What is the official language of the country where the province is located that contains the capital city with the headquarters of Burundi?,"Kirundi, French, English"
places_country,People's Republic of China,anthem,March of the Volunteers,March of the Volunteers,When does People's Republic of China anthem?,"""During official ceremonies and state functions.""",0.0,"['March of the Volunteers', 'During official ceremonies and state functions', 'The Star-Spangled Banner', 'God Save the Queen']",What is the anthem of the People's Republic of China?,"A. ""During official ceremonies and state functions.""  B. God Save the Queen  C. The Star-Spangled Banner  D. March of the Volunteers",D,Is the anthem of the People's Republic of China 'March of the Volunteers'?,Is the anthem of the People's Republic of China 'During official ceremonies and state functions'?,What is the capital city of the People's Republic of China?,Which country has 'March of the Volunteers' as its anthem?,Who composed the anthem of the People's Republic of China?,Nie Er,In which year was the composer of the anthem of the People's Republic of China born?,1912,In which city was the composer of the anthem of the People's Republic of China born?,Kunming,In which province is the city located where the composer of the anthem of the People's Republic of China was born?,Yunnan,In which country is the province located where the city is situated that is the birthplace of the composer of the anthem of the People's Republic of China?,China
places_country,Dominica,legislative body,House of Assembly of Dominica,House of Assembly of Dominica,What is the legislative body of Dominica?,Parliament,0.0,"['House of Assembly of Dominica', 'Parliament', 'Senate of Dominica', 'National Assembly']",Which legislative body governs Dominica?,A. Senate of Dominica  B. National Assembly  C. House of Assembly of Dominica  D. Parliament,C,Is the legislative body of Dominica the House of Assembly of Dominica?,Is the legislative body of Dominica the Parliament?,What is the capital city of Dominica?,Which country is governed by the House of Assembly of Dominica?,Who is the current Speaker of the legislative body of Dominica?,Joseph Isaac,Which political party does the current Speaker of the legislative body of Dominica belong to?,Dominica Labour Party,Who is the leader of the political party that the current Speaker of the legislative body of Dominica belongs to?,Roosevelt Skerrit,What position does the leader of the political party that the current Speaker of the legislative body of Dominica belongs to hold?,Prime Minister of Dominica,"In which year did the current Prime Minister of Dominica, who is the leader of the political party that the current Speaker of the legislative body of Dominica belongs to, first take office?",2004
places_country,Nepal,public holiday,Republic Day,Republic Day,What is the public holiday of Nepal?,Dasain/Dashain,0.0,"['Republic Day', 'Dasain/Dashain', 'Independence Day', 'Labor Day']",Which public holiday is celebrated in Nepal?,A. Independence Day  B. Republic Day  C. Dasain/Dashain  D. Labor Day,B,Is Republic Day a public holiday in Nepal?,Is Dasain/Dashain a public holiday in Nepal?,What is the capital city of Nepal?,Which country celebrates Republic Day as a public holiday?,What is a major festival that is considered a public holiday in Nepal?,Dashain,Which Hindu goddess is primarily worshipped during the major festival that is a public holiday in Nepal?,Durga,What is the name of the weapon associated with the Hindu goddess who is worshipped during the major festival that is a public holiday in Nepal?,Trishula,Which Hindu god is often depicted holding the weapon associated with the Hindu goddess worshipped during the major festival that is a public holiday in Nepal?,Shiva,What is the name of the mountain range that is considered the abode of the Hindu god who is often depicted holding the weapon associated with the Hindu goddess worshipped during the major festival that is a public holiday in Nepal?,Himalayas
places_country,Cameroon,described by source,Brockhaus and Efron Encyclopedic Dictionary,Brockhaus and Efron Encyclopedic Dictionary,Who is the described by source of Cameroon?,River,0.0,"['Brockhaus and Efron Encyclopedic Dictionary', 'River', 'Encyclopedia Britannica', 'Wikipedia']",What source describes Cameroon?,A. River  B. Wikipedia  C. Brockhaus and Efron Encyclopedic Dictionary  D. Encyclopedia Britannica,C,Is the described by source of Cameroon the Brockhaus and Efron Encyclopedic Dictionary?,Is the described by source of Cameroon the River?,What is the capital city of Cameroon?,Which country is described by the Brockhaus and Efron Encyclopedic Dictionary?,Who is the author of the source that describes Cameroon?,Various authors,What is the title of the book written by the author who described Cameroon?,Cameroon: A Country Study,Which organization published the book titled 'Cameroon: A Country Study'?,Library of Congress,In which year was the book 'Cameroon: A Country Study' published by the Library of Congress?,1991,Who was the president of Cameroon in the year the book 'Cameroon: A Country Study' was published?,Paul Biya
places_country,Vatican City,broadcast by,Vatican Radio,Vatican Radio,What was Vatican City broadcast by?,"Vatican City is not broadcast, it's a city-state",0.0,"['Vatican Radio', ""Vatican City is not broadcast, it's a city-state"", 'BBC', 'Radio France']",Which broadcaster is associated with Vatican City?,"A. Radio France  B. BBC  C. Vatican City is not broadcast, it's a city-state  D. Vatican Radio",D,Is Vatican City broadcast by Vatican Radio?,"Is Vatican City broadcast by Vatican City is not broadcast, it's a city-state?",What is the official language of Vatican City?,What does Vatican Radio broadcast?,What is the name of the radio station that broadcasts from Vatican City?,Vatican Radio,In which year was the radio station that broadcasts from Vatican City established?,1931,Who was the Pope when the radio station that broadcasts from Vatican City was established?,Pope Pius XI,Which architect designed the radio station that broadcasts from Vatican City?,Guglielmo Marconi,In which country was the architect who designed the radio station that broadcasts from Vatican City born?,Italy
places_country,Burkina Faso,head of state,Ibrahim Traoré,Ibrahim Traoré,Who is the head of state of Burkina Faso?,Roch Marc Christian Kaboré,0.0,"['Ibrahim Traoré', 'Roch Marc Christian Kaboré', 'Paul-Henri Sandaogo Damiba', 'Blaise Compaoré']",Who currently holds the position of head of state in Burkina Faso?,A. Roch Marc Christian Kaboré  B. Blaise Compaoré  C. Ibrahim Traoré  D. Paul-Henri Sandaogo Damiba,C,Is Ibrahim Traoré the head of state of Burkina Faso?,Is Roch Marc Christian Kaboré the head of state of Burkina Faso?,What is the capital city of Burkina Faso?,Which country has Ibrahim Traoré as its head of state?,Who is the spouse of the head of state of Burkina Faso?,Sika Bella Kaboré,Which university did the spouse of the head of state of Burkina Faso attend for their higher education?,University of Lomé,In which country is the university located that the spouse of the head of state of Burkina Faso attended?,Togo,What is the capital city of the country where the university is located that the spouse of the head of state of Burkina Faso attended?,Lomé,What is the official language of the country whose capital city is Lomé?,French
places_country,Tunisia,basic form of government,semi-presidential system,semi-presidential system,What is the basic form of government of Tunisia?,Republic,0.0,"['semi-presidential system', 'Republic', 'Monarchy', 'Parliamentary system']",What type of government does Tunisia have?,A. Parliamentary system  B. Republic  C. semi-presidential system  D. Monarchy,C,Is the basic form of government of Tunisia a semi-presidential system?,Is the basic form of government of Tunisia a Republic?,What is the capital city of Tunisia?,Which country has a semi-presidential system as its basic form of government?,Who is the current head of state in the basic form of government of Tunisia?,Kais Saied,What is the capital city of the country where the current head of state in the basic form of government of Tunisia resides?,Tunis,What is the population of the capital city where the current head of state in the basic form of government of Tunisia resides?,Around 2.7 million,What is the primary language spoken in the capital city where the current head of state in the basic form of government of Tunisia resides?,Arabic,What is the official religion of the country where the primary language spoken in the capital city is Arabic and the current head of state in the basic form of government of Tunisia resides?,Islam
places_country,South Sudan,highest point,Kinyeti,Kinyeti,Who is the highest point of South Sudan?,"Equatoria. (This is a region, not a specific peak, as",0.0,"['Kinyeti', 'Equatoria', 'Jebel Kujur', 'Imatong Mountains']",What is the name of the highest peak in South Sudan?,"A. Kinyeti  B. Equatoria. (This is a region, not a specific peak, as  C. Jebel Kujur  D. Imatong Mountains",A,Is Kinyeti the highest point of South Sudan?,Is Equatoria the highest point of South Sudan?,What is the capital city of South Sudan?,Which country has Kinyeti as its highest point?,What is the name of the mountain that is the highest point in South Sudan?,Mount Kinyeti,In which mountain range is the highest point of South Sudan located?,Imatong Mountains,Which country borders the mountain range that contains the highest point of South Sudan?,Uganda,What is the capital city of the country that borders the mountain range containing the highest point of South Sudan?,Kampala,Which lake is located near the capital city of the country that borders the mountain range containing the highest point of South Sudan?,Lake Victoria
places_country,Greece,railway traffic side,right,right,What is the railway traffic side of Greece?,Freight (or Goods),0.0,"['right', 'Freight (or Goods)', 'left', 'center']",On which side does railway traffic operate in Greece?,A. left  B. right  C. center  D. Freight (or Goods),B,Is the railway traffic side of Greece the right side?,Is the railway traffic side of Greece Freight (or Goods)?,What is the capital city of Greece?,In which country is the railway traffic side the right side?,Which country has the same railway traffic side as Greece?,Italy,What is the capital city of the country that has the same railway traffic side as Greece?,Rome,Which famous ancient structure is located in the capital city of the country that has the same railway traffic side as Greece?,Colosseum,Who was the Roman emperor during the construction of the famous ancient structure located in the capital city of the country that has the same railway traffic side as Greece?,Vespasian,Which dynasty did the Roman emperor belong to who was in power during the construction of the famous ancient structure located in the capital city of the country that has the same railway traffic side as Greece?,Flavian dynasty
