topic,subject,relation,object,label,question,output_mistral_7b_instruct_v0.3,eval_mistral_7b_instruct_v0.3
technology_programming_language,Gforth,distributed by,Google Play,Google Play,What was Gforth distributed by?,Free Software Foundation (FSF),0.0
technology_programming_language,AspectJ,influenced by,Common Lisp,Common Lisp,What was AspectJ influenced by?,Java,0.0
technology_programming_language,Mathematica,GUI toolkit or framework,Qt,Qt,What is the GUI toolkit or framework of Mathematica?,Mathematica's GUI toolkit is called Front End,0.0
technology_programming_language,ROOT,developer,CERN,CERN,What is the developer of ROOT?,Rene Brun,0.0
technology_programming_language,Pascal,designed by,Niklaus Wirth,Niklaus Wirth,Who was Pascal designed by?,Blaise Pascal,0.0
technology_programming_language,Nim,operating system,cross-platform,cross-platform,What is the operating system of Nim?,Nim doesn't have an operating system. It's a programming language,0.0
technology_programming_language,GNU Guile,GUI toolkit or framework,ncurses,ncurses,What is the GUI toolkit or framework of GNU Guile?,Gtk  (GNU Guile uses Gtk for its GUI,0.0
technology_programming_language,Turbo Pascal,designed by,Anders Hejlsberg,Anders Hejlsberg,Who was Turbo Pascal designed by?,Niklaus Wirth,0.0
technology_programming_language,SCM,operating system,cross-platform,cross-platform,What is the operating system of SCM?,Linux,0.0
technology_programming_language,Svelte,operating system,cross-platform,cross-platform,What is the operating system of Svelte?,"Svelte is a JavaScript framework, not an operating system. It doesn'",0.0
technology_programming_language,GNU Guile,maintained by,Ludovic Courtès,Ludovic Courtès,Who was GNU Guile maintained by?,Savannah Project,0.0
technology_programming_language,Raku,operating system,cross-platform,cross-platform,What is the operating system of Raku?,Open PDPN (Perl 6 Distribution Network),0.0
technology_programming_language,MIT/GNU Scheme,copyright holder,Massachusetts Institute of Technology,Massachusetts Institute of Technology,What is the copyright holder of MIT/GNU Scheme?,MIT/GNU Scheme is under the MIT License and the GNU General Public,0.0
technology_programming_language,CHICKEN,operating system,cross-platform,cross-platform,What is the operating system of CHICKEN?,Scheme,0.0
technology_programming_language,CLISP,developer,GNU Project,GNU Project,What is the developer of CLISP?,Guy Steele & Guy Lebanon,0.0
technology_programming_language,Gambas,GUI toolkit or framework,Qt,Qt,What is the GUI toolkit or framework of Gambas?,"Gambas3 uses its own GUI library, Gambas-GUI",0.0
technology_programming_language,SQL,used by,relational database,relational database,What was SQL used by?,Databases,0.0
technology_programming_language,Sass,designed by,Hampton Lintorn-Catlin,Hampton Lintorn-Catlin,Who was Sass designed by?,Sass was designed by Hampton Catlin and Natalie Weizenbaum,0.0
technology_programming_language,CLISP,creator,Bruno Haible,Bruno Haible,Who is the creator of CLISP?,Guy Steele,0.0
technology_programming_language,MATLAB,readable file format,Hierarchical Data Format,Hierarchical Data Format,What is the readable file format of MATLAB?,"MATLAB  (Answer: m, mtx, mat,",0.0
technology_programming_language,ASP.NET,replaces,Active Server Pages,Active Server Pages,What does ASP.NET replace?,Web Forms,0.0
technology_programming_language,Idris,programming paradigm,functional programming,functional programming,What is the programming paradigm of Idris?,"Functional, Dependent-Type",0.0
