topic,subject,relation,object,label,question,output_mistral_7b_instruct_v0.3,eval_mistral_7b_instruct_v0.3,multiple_choices,paraphrased_question,multiple_choice_with_letters,multiple_choice_labels,yes_question,no_question,locality_question,reversed_relation_question,question_2hop,answer_2hop,question_3hop,answer_3hop,question_4hop,answer_4hop,question_5hop,answer_5hop,question_6hop,answer_6hop
human_scientist,Francis Bacon,father,Nicholas Bacon,Nicholas Bacon,Who is the father of Francis Bacon?,Edward Bacon,0.0,"['Nicholas Bacon', 'Edward Bacon', 'Roger Bacon', 'Anthony Bacon']",Who is Francis Bacon's father?,A. Anthony Bacon  B. Roger Bacon  C. Edward Bacon  D. Nicholas Bacon,D,Is Nicholas Bacon the father of Francis Bacon?,Is Edward Bacon the father of Francis Bacon?,What is Francis Bacon known for in the field of philosophy?,Who is the son of Nicholas Bacon?,What is the profession of the father of Francis Bacon?,Lord Keeper of the Great Seal,Who appointed the father of Francis Bacon as the Lord Keeper of the Great Seal?,Queen Elizabeth I,In which year did Queen Elizabeth I appoint the father of Francis Bacon as the Lord Keeper of the Great Seal?,1572,Who was the predecessor of the father of Francis Bacon as the Lord Keeper of the Great Seal?,Nicholas Bacon,What was the relation of Nicholas Bacon to Francis Bacon?,Uncle
human_scientist,Christiaan Snouck,doctoral student,Cornelis Christiaan Berg,Cornelis Christiaan Berg,Who is the doctoral student of Christiaan Snouck?,Herman Snouck Hurgronje,0.0,"['Cornelis Christiaan Berg', 'Herman Snouck Hurgronje', 'Jan Pieterszoon Coen', 'Hendrik Lorentz']",Who was Christiaan Snouck's doctoral student?,A. Hendrik Lorentz  B. Jan Pieterszoon Coen  C. Herman Snouck Hurgronje  D. Cornelis Christiaan Berg,D,Is Cornelis Christiaan Berg the doctoral student of Christiaan Snouck?,Is Herman Snouck Hurgronje the doctoral student of Christiaan Snouck?,What field is Christiaan Snouck well-known for?,Who is the doctoral advisor of Cornelis Christiaan Berg?,Who was the doctoral student of Christiaan Snouck?,Cornelis van Vollenhoven,Which university did the doctoral student of Christiaan Snouck attend?,Leiden University,In which city is the university located that the doctoral student of Christiaan Snouck attended?,Leiden,In which country is the city located where the university that the doctoral student of Christiaan Snouck attended is situated?,Netherlands,What is the official language of the country where the city is located that contains the university the doctoral student of Christiaan Snouck attended?,Dutch
human_scientist,Guglielmo Marconi,noble title,marquess,marquess,What is the noble title of Guglielmo Marconi?,Sir (Knighted),0.0,"['marquess', 'Sir (Knighted)', 'duke', 'baron']",What noble rank was Guglielmo Marconi given?,A. Sir (Knighted)  B. marquess  C. duke  D. baron,B,Is the noble title of Guglielmo Marconi marquess?,Is the noble title of Guglielmo Marconi Sir (Knighted)?,What is Guglielmo Marconi famous for inventing?,Who holds the noble title of marquess?,Who was awarded a noble title by the King of Italy?,Guglielmo Marconi,What is the name of the King of Italy who awarded a noble title to Guglielmo Marconi?,Victor Emmanuel III,In which year did Victor Emmanuel III become the King of Italy?,1900,Who was the predecessor of Victor Emmanuel III as the King of Italy?,Umberto I,"Who was the father of Umberto I, the predecessor of Victor Emmanuel III?",Victor Emmanuel II
human_scientist,Galileo Galilei,place of death,Arcetri,Arcetri,What is the place of death of Galileo Galilei?,"Arcis-thedii (Arco, Italy)",0.0,"['Arcetri', 'Arcis-thedii (Arco, Italy)', 'Florence', 'Pisa']",Where did Galileo Galilei pass away?,"A. Florence  B. Arcis-thedii (Arco, Italy)  C. Arcetri  D. Pisa",C,Did Galileo Galilei die in Arcetri?,"Did Galileo Galilei die in Arcis-thedii (Arco, Italy)?",What is Galileo Galilei famous for in the field of science?,Who died in Arcetri?,Who was the ruler of the place where Galileo Galilei died?,Grand Duke Ferdinando II de' Medici,What was the birthplace of the ruler of the place where Galileo Galilei died?,Florence,Which famous artist was born in the same city as the ruler of the place where Galileo Galilei died?,Leonardo da Vinci,What is the name of the painting created by the famous artist born in the same city as the ruler of the place where Galileo Galilei died?,Mona Lisa,In which museum is the painting created by the famous artist born in the same city as the ruler of the place where Galileo Galilei died currently located?,Louvre Museum
human_scientist,David P. Lane,educated at,University College London,University College London,What was David P. Lane educated at?,Stanford University,0.0,"['University College London', 'Stanford University', 'Harvard University', 'Massachusetts Institute of Technology']",Where did David P. Lane receive his education?,A. University College London  B. Harvard University  C. Stanford University  D. Massachusetts Institute of Technology,A,Was David P. Lane educated at University College London?,Was David P. Lane educated at Stanford University?,What is David P. Lane known for in his professional career?,Who was educated at University College London?,Who is a notable alumni of the institution where David P. Lane was educated?,John B. Goodenough,What notable award did the notable alumni of the institution where David P. Lane was educated win?,Nobel Prize in Chemistry,In which year did the notable alumni of the institution where David P. Lane was educated win the Nobel Prize in Chemistry?,2019,Who were the co-recipients of the Nobel Prize in Chemistry in the year the notable alumni of the institution where David P. Lane was educated won?,M. Stanley Whittingham and Akira Yoshino,"Which country is the co-recipient Akira Yoshino from, who won the Nobel Prize in Chemistry in the same year as the notable alumni of the institution where David P. Lane was educated?",Japan
human_scientist,Tytus Maksymilian Huber,field of work,mechanical engineering,mechanical engineering,What is the field of work of Tytus Maksymilian Huber?,Architecture,0.0,"['mechanical engineering', 'Architecture', 'civil engineering', 'electrical engineering']",In which field did Tytus Maksymilian Huber work?,A. electrical engineering  B. mechanical engineering  C. Architecture  D. civil engineering,B,Is the field of work of Tytus Maksymilian Huber mechanical engineering?,Is the field of work of Tytus Maksymilian Huber Architecture?,What nationality is Tytus Maksymilian Huber?,Who is known for working in the field of mechanical engineering?,Who is a notable student of Tytus Maksymilian Huber in his field of work?,Wacław Olszak,Which university did the notable student of Tytus Maksymilian Huber attend?,Warsaw University of Technology,In which city is the university located that the notable student of Tytus Maksymilian Huber attended?,Warsaw,In which country is the city located where the university that the notable student of Tytus Maksymilian Huber attended is situated?,Poland,What is the official language of the country where the city is located that contains the university the notable student of Tytus Maksymilian Huber attended?,Polish
human_scientist,John D. Clark,sex or gender,male,male,What is the sex or gender of John D. Clark?,Not specified (from the provided name),0.0,"['male', 'Not specified (from the provided name)', 'female', 'non-binary']",What gender is John D. Clark?,A. non-binary  B. female  C. Not specified (from the provided name)  D. male,D,Is the sex or gender of John D. Clark male?,Is the sex or gender of John D. Clark not specified (from the provided name)?,What is John D. Clark known for?,Who is male?,Who was the spouse of John D. Clark?,Inga Pratt,What was the profession of the spouse of John D. Clark?,Author,What is the title of a book written by the spouse of John D. Clark?,The Sea Fairies,Who was the publisher of the book written by the spouse of John D. Clark?,Reilly & Lee,In which city was the publisher of the book written by the spouse of John D. Clark located?,Chicago
human_scientist,Buckminster Fuller,movement,high-tech architecture,high-tech architecture,What is the movement of Buckminster Fuller?,Dymaxion,0.0,"['high-tech architecture', 'Dymaxion', 'Brutalism', 'Postmodernism']",Which architectural movement is associated with Buckminster Fuller?,A. high-tech architecture  B. Brutalism  C. Postmodernism  D. Dymaxion,A,Is the movement of Buckminster Fuller high-tech architecture?,Is the movement of Buckminster Fuller Dymaxion?,What is a well-known invention by Buckminster Fuller?,Who is associated with the high-tech architecture movement?,What is the name of the movement associated with Buckminster Fuller?,Design Science Revolution,Who was a prominent figure in the Design Science Revolution movement associated with Buckminster Fuller?,Victor Papanek,"What is the title of a notable book written by Victor Papanek, a prominent figure in the Design Science Revolution?",Design for the Real World,In which year was the book 'Design for the Real World' by Victor Papanek published?,1971,Which publishing company released the book 'Design for the Real World' by Victor Papanek in 1971?,Pantheon Books
human_scientist,Benjamin Constant,genre,novel,novel,What is the genre of Benjamin Constant?,Romanticism,0.0,"['novel', 'Romanticism', 'poetry', 'drama']",Which genre is associated with Benjamin Constant?,A. drama  B. Romanticism  C. novel  D. poetry,C,Is the genre of Benjamin Constant a novel?,Is the genre of Benjamin Constant Romanticism?,What is a famous work written by Benjamin Constant?,Who is the author of the novel?,What is a notable work of the genre associated with Benjamin Constant?,Adolphe,Who is the main character in the notable work of the genre associated with Benjamin Constant?,Adolphe,Who wrote the notable work featuring the main character Adolphe?,Benjamin Constant,In which year was the notable work featuring the main character Adolphe published?,1816,Which literary movement is the notable work featuring the main character Adolphe associated with?,Romanticism
human_scientist,Étienne-Jules Marey,sex or gender,male,male,What is the sex or gender of Étienne-Jules Marey?,"Not specified (Marey was a French photographer and physiologist, born",0.0,"['male', 'Not specified', 'female', 'unknown']",What gender is Étienne-Jules Marey?,"A. unknown  B. Not specified (Marey was a French photographer and physiologist, born  C. male  D. female",C,Is the sex or gender of Étienne-Jules Marey male?,Is the sex or gender of Étienne-Jules Marey not specified?,What was Étienne-Jules Marey known for in the field of photography?,Who is male in the context of this triplet?,Who was the spouse of Étienne-Jules Marey?,Marie-Louise Beluze,What was the profession of the spouse of Étienne-Jules Marey?,Unknown,In which city did Étienne-Jules Marey and his spouse live?,Paris,In which country is the city located where Étienne-Jules Marey and his spouse lived?,France,What is the official language of the country where the city is located that Étienne-Jules Marey and his spouse lived?,French
human_scientist,Stefanie Dimmeler,educated at,University of Konstanz,University of Konstanz,What was Stefanie Dimmeler educated at?,ETH Zurich,0.0,"['University of Konstanz', 'ETH Zurich', 'Harvard University', 'Stanford University']",Where did Stefanie Dimmeler receive her education?,A. University of Konstanz  B. Harvard University  C. Stanford University  D. ETH Zurich,A,Was Stefanie Dimmeler educated at the University of Konstanz?,Was Stefanie Dimmeler educated at ETH Zurich?,What is a notable achievement or field of study associated with Stefanie Dimmeler?,Who was educated at the University of Konstanz?,Who is a notable colleague of Stefanie Dimmeler at the institution where she was educated?,Andreas Zeiher,What is the primary research focus of the notable colleague of Stefanie Dimmeler at the institution where she was educated?,Cardiovascular research,Which prestigious award did the notable colleague of Stefanie Dimmeler at the institution where she was educated receive for their work in cardiovascular research?,Heinz Maier-Leibnitz Prize,In which year did the notable colleague of Stefanie Dimmeler at the institution where she was educated receive the Heinz Maier-Leibnitz Prize?,1999,Which organization awards the Heinz Maier-Leibnitz Prize that was received by the notable colleague of Stefanie Dimmeler at the institution where she was educated?,German Research Foundation (DFG)
human_scientist,John Howard Northrop,sex or gender,male,male,What is the sex or gender of John Howard Northrop?,"Not specified (John Howard Northrop was a scientist, not a person for whom",0.0,"['male', 'Not specified', 'female', 'non-binary']",What gender is John Howard Northrop?,"A. male  B. non-binary  C. Not specified (John Howard Northrop was a scientist, not a person for whom  D. female",A,Is the sex or gender of John Howard Northrop male?,Is the sex or gender of John Howard Northrop not specified?,What field was John Howard Northrop known for?,Who is male in relation to sex or gender?,Who is the spouse of John Howard Northrop?,Louise Walker,What is the profession of the spouse of John Howard Northrop?,Biochemist,Which university did the spouse of John Howard Northrop work at?,"University of California, Berkeley",In which city is the university located where the spouse of John Howard Northrop worked?,Berkeley,In which state is the city located where the university is situated that the spouse of John Howard Northrop worked at?,California
human_scientist,Royal Rife,place of death,San Diego,San Diego,What is the place of death of Royal Rife?,"Beaumont, USA",0.0,"['San Diego', 'Beaumont, USA', 'Los Angeles', 'San Francisco']",Where did Royal Rife pass away?,"A. Beaumont, USA  B. San Francisco  C. Los Angeles  D. San Diego",D,Did Royal Rife die in San Diego?,"Did Royal Rife die in Beaumont, USA?",What was Royal Rife known for?,Who died in San Diego?,What is the country of the place where Royal Rife died?,United States,What is the capital of the country where Royal Rife died?,"Washington, D.C.",Which river flows through the capital of the country where Royal Rife died?,Potomac River,What is the length of the river that flows through the capital of the country where Royal Rife died?,405 miles,Into which body of water does the river that flows through the capital of the country where Royal Rife died empty?,Chesapeake Bay
human_scientist,Edward Waring,doctoral student,John Dawson,John Dawson,Who is the doctoral student of Edward Waring?,Edward Waring did not have a doctoral student. He was a mathem,0.0,"['John Dawson', 'Edward Waring did not have a doctoral student. He was a mathematician.', 'Isaac Newton', 'Leonhard Euler']",Who studied under Edward Waring as his doctoral student?,A. Isaac Newton  B. Edward Waring did not have a doctoral student. He was a mathem  C. Leonhard Euler  D. John Dawson,D,Is John Dawson the doctoral student of Edward Waring?,Is Edward Waring did not have a doctoral student. He was a mathematician. the doctoral student of Edward Waring?,What field is Edward Waring known for?,Who is the doctoral advisor of John Dawson?,Who was the doctoral student of Edward Waring?,John Wilson,Which university did the doctoral student of Edward Waring attend?,University of Cambridge,In which city is the university located that the doctoral student of Edward Waring attended?,Cambridge,In which country is the city located where the university that the doctoral student of Edward Waring attended is situated?,United Kingdom,What is the official language of the country where the city is located that contains the university the doctoral student of Edward Waring attended?,English
human_scientist,Edmond Frémy,doctoral student,Pierre Paul Déhérain,Pierre Paul Déhérain,Who is the doctoral student of Edmond Frémy?,Charles-Adolphe Wurtz,0.0,"['Pierre Paul Déhérain', 'Charles-Adolphe Wurtz', 'Louis Pasteur', 'Marie Curie']",Who studied under Edmond Frémy as a doctoral student?,A. Charles-Adolphe Wurtz  B. Pierre Paul Déhérain  C. Louis Pasteur  D. Marie Curie,B,Is Pierre Paul Déhérain the doctoral student of Edmond Frémy?,Is Charles-Adolphe Wurtz the doctoral student of Edmond Frémy?,What is Edmond Frémy known for in the field of chemistry?,Who was the doctoral advisor of Pierre Paul Déhérain?,Who was the doctoral student of Edmond Frémy?,Henri Moissan,Which prestigious award did the doctoral student of Edmond Frémy win?,Nobel Prize in Chemistry,In which year did the doctoral student of Edmond Frémy win the Nobel Prize in Chemistry?,1906,Which element did the doctoral student of Edmond Frémy discover that contributed to winning the Nobel Prize in Chemistry?,Fluorine,What is the atomic number of the element discovered by the doctoral student of Edmond Frémy?,9
human_scientist,Leonīds Ribickis,employer,Riga Technical University,Riga Technical University,What is the employer of Leonīds Ribickis?,Ribickis' employer is not specified in the provided context,0.0,"['Riga Technical University', ""Ribickis' employer is not specified in the provided context"", 'University of Latvia', 'Latvian Academy of Sciences']",Who employs Leonīds Ribickis?,A. Riga Technical University  B. Ribickis' employer is not specified in the provided context  C. University of Latvia  D. Latvian Academy of Sciences,A,Is Riga Technical University the employer of Leonīds Ribickis?,Is Ribickis' employer not specified in the provided context?,What is a well-known attribute of Leonīds Ribickis?,Who is employed by Riga Technical University?,Who is the current rector of the employer of Leonīds Ribickis?,Leonīds Ribickis,"What is the name of the university where the current rector, Leonīds Ribickis, is employed?",Riga Technical University,In which city is the university located where Leonīds Ribickis is the rector?,Riga,In which country is the city located where the university is situated that employs Leonīds Ribickis?,Latvia,What is the official language of the country where the city is located that contains the university employing Leonīds Ribickis?,Latvian
human_scientist,Tamara Braun,field of work,digital humanities,digital humanities,What is the field of work of Tamara Braun?,Acting,0.0,"['digital humanities', 'Acting', 'Computer Science', 'Literature']",In which field does Tamara Braun work?,A. Acting  B. Computer Science  C. digital humanities  D. Literature,C,Is Tamara Braun's field of work digital humanities?,Is Tamara Braun's field of work Acting?,What is a notable achievement or role of Tamara Braun?,Who works in the field of digital humanities?,Who is a notable co-star of Tamara Braun in her field of work?,Maurice Benard,Which television show features both Tamara Braun and her notable co-star?,General Hospital,Who created the television show that features both Tamara Braun and her notable co-star?,Frank and Doris Hursley,Which network broadcasts the television show created by Frank and Doris Hursley that features Tamara Braun?,ABC,In which year did the network that broadcasts the television show featuring Tamara Braun first air the show?,1963
human_scientist,Landell de Moura,country of citizenship,Brazil,Brazil,What is the country of citizenship of Landell de Moura?,Portugal,0.0,"['Brazil', 'Portugal', 'Argentina', 'Spain']",Which country is Landell de Moura a citizen of?,A. Spain  B. Portugal  C. Brazil  D. Argentina,C,Is the country of citizenship of Landell de Moura Brazil?,Is the country of citizenship of Landell de Moura Portugal?,What notable invention is Landell de Moura known for?,Who is a citizen of Brazil?,Who is a famous scientist from the country of citizenship of Landell de Moura?,Santos Dumont,What invention is the famous scientist from the country of citizenship of Landell de Moura known for?,Heavier-than-air aircraft,In which year did the famous scientist from the country of citizenship of Landell de Moura make his notable invention?,1906,Which city hosted the event where the famous scientist from the country of citizenship of Landell de Moura demonstrated his notable invention?,Paris,In which country is the city located where the famous scientist from the country of citizenship of Landell de Moura demonstrated his notable invention?,France
human_scientist,Aleksey Severtsov,place of burial,Novodevichy Cemetery,Novodevichy Cemetery,What is the place of burial of Aleksey Severtsov?,Kremlin,0.0,"['Novodevichy Cemetery', 'Kremlin', 'Alexander Nevsky Lavra', 'Tikhvin Cemetery']",Where is Aleksey Severtsov buried?,A. Novodevichy Cemetery  B. Alexander Nevsky Lavra  C. Tikhvin Cemetery  D. Kremlin,A,Is Aleksey Severtsov buried in Novodevichy Cemetery?,Is Aleksey Severtsov buried in the Kremlin?,What was Aleksey Severtsov known for?,Who is buried in Novodevichy Cemetery?,Who is buried in the same place as Aleksey Severtsov?,Nikolai Vavilov,What was the profession of the person buried in the same place as Aleksey Severtsov?,Geneticist,Which institution did the geneticist buried in the same place as Aleksey Severtsov work for?,Institute of Plant Industry,In which city is the institution located where the geneticist buried in the same place as Aleksey Severtsov worked?,Saint Petersburg,In which country is the city located where the institution is situated that employed the geneticist buried in the same place as Aleksey Severtsov?,Russia
human_scientist,Otto Immisch,place of death,Freiburg im Breisgau,Freiburg im Breisgau,What is the place of death of Otto Immisch?,Berlin,0.0,"['Freiburg im Breisgau', 'Berlin', 'Munich', 'Hamburg']",Where did Otto Immisch pass away?,A. Freiburg im Breisgau  B. Berlin  C. Munich  D. Hamburg,A,Did Otto Immisch die in Freiburg im Breisgau?,Did Otto Immisch die in Berlin?,What was Otto Immisch's profession?,Who died in Freiburg im Breisgau?,What is the country of the place where Otto Immisch died?,Germany,What is the capital city of the country where Otto Immisch died?,Berlin,Which famous landmark is located in the capital city of the country where Otto Immisch died?,Brandenburg Gate,Who commissioned the construction of the famous landmark located in the capital city of the country where Otto Immisch died?,Frederick William II of Prussia,"In which year was the famous landmark, commissioned by Frederick William II of Prussia, located in the capital city of the country where Otto Immisch died, completed?",1791
human_scientist,Frank Malina,employer,California Institute of Technology,California Institute of Technology,What is the employer of Frank Malina?,Jet Propulsion Laboratory (JPL),0.0,"['California Institute of Technology', 'Jet Propulsion Laboratory (JPL)', 'Massachusetts Institute of Technology (MIT)', 'Stanford University']",Who employed Frank Malina?,A. California Institute of Technology  B. Jet Propulsion Laboratory (JPL)  C. Massachusetts Institute of Technology (MIT)  D. Stanford University,A,Is the employer of Frank Malina the California Institute of Technology?,Is the employer of Frank Malina the Jet Propulsion Laboratory (JPL)?,What field is Frank Malina known for?,Who is employed by the California Institute of Technology?,Who was the founder of the employer of Frank Malina?,Theodore von Kármán,Which university did the founder of the employer of Frank Malina attend?,University of Göttingen,In which country is the university located that the founder of the employer of Frank Malina attended?,Germany,What is the primary language spoken in the country where the university is located that the founder of the employer of Frank Malina attended?,German,What is the capital city of the country where the university is located that the founder of the employer of Frank Malina attended?,Berlin
