subject,relation,object,question,label
Virginia Henderson,sex or gender,female,What is the sex or gender of Virginia Henderson?,female
John Gorrie,place of death,Apalachicola,What is the place of death of John Gorrie?,Apalachicola
Virginia Henderson,given name,Virginia,What is the given name of Virginia Henderson?,Virginia
Leonardo da Vinci,native language,Italian,What is the native language of Leonardo da Vinci?,Italian
John Gorrie,given name,John,Who is the given name of John Gorrie?,John
Leonardo da Vinci,religion or worldview,atheism,What is the religion or worldview of Leonardo da Vinci?,atheism
Leonardo da Vinci,place of birth,Anchiano,What is the place of birth of Leonardo da Vinci?,Anchiano
John Gorrie,sex or gender,male,What is the sex or gender of John Gorrie?,male
Leonardo da Vinci,country of citizenship,Republic of Florence,What is the country of citizenship of Leonardo da Vinci?,Republic of Florence
Leonardo da Vinci,place of burial,Château d'Amboise,Who is the place of burial of Leonardo da Vinci?,Château d'Amboise
Leonardo da Vinci,place of death,Clos Lucé,Who is the place of death of Leonardo da Vinci?,Clos Lucé
Leonardo da Vinci,handedness,left-handedness,What is the handedness of Leonardo da Vinci?,left-handedness
Leonardo da Vinci,sex or gender,male,What is the sex or gender of Leonardo da Vinci?,male
Peter Debye,work location,Leipzig,What is the work location of Peter Debye?,Leipzig
Peter Debye,student,Lars Onsager,Who is the student of Peter Debye?,Lars Onsager
Leonardo da Vinci,cause of death,cerebral hemorrhage,What is the cause of death of Leonardo da Vinci?,cerebral hemorrhage
Wilhelm Schäperclaus,place of death,Berlin,What is the place of death of Wilhelm Schäperclaus?,Berlin
Mary Somerville,writing language,English,What is the writing language of Mary Somerville?,English
Peter Debye,academic degree,Doctor of Philosophy,What is the academic degree of Peter Debye?,Doctor of Philosophy
Mary Somerville,student,Ada Lovelace,Who is the student of Mary Somerville?,Ada Lovelace
Mary Somerville,given name,Mary,Who is the given name of Mary Somerville?,Mary
Riane Eisler,place of birth,Vienna,What is the place of birth of Riane Eisler?,Vienna
Wilhelm Schäperclaus,sex or gender,male,What is the sex or gender of Wilhelm Schäperclaus?,male
Wilhelm Schäperclaus,country of citizenship,Germany,What is the country of citizenship of Wilhelm Schäperclaus?,Germany
Wilhelm Schäperclaus,employer,Humboldt University of Berlin,What is the employer of Wilhelm Schäperclaus?,Humboldt University of Berlin
Riane Eisler,notable work,The Chalice and the Blade,What is the notable work of Riane Eisler?,The Chalice and the Blade
Wilhelm Schäperclaus,member of political party,Nazi Party,What is the member of political party of Wilhelm Schäperclaus?,Nazi Party
Wilhelm Schäperclaus,given name,Wilhelm,Who is the given name of Wilhelm Schäperclaus?,Wilhelm
Riane Eisler,described by source,biografiA: Lexikon österreichischer Frauen,What is the described by source of Riane Eisler?,biografiA: Lexikon österreichischer Frauen
Thomas Sprat,place of death,Bromley,What is the place of death of Thomas Sprat?,Bromley
Riane Eisler,sex or gender,female,What is the sex or gender of Riane Eisler?,female
Riane Eisler,family name,Eisler,Who is the family name of Riane Eisler?,Eisler
Thomas Sprat,educated at,Wadham College,What was Thomas Sprat educated at?,Wadham College
Buckminster Fuller,conflict,World War I,What is the conflict of Buckminster Fuller?,World War I
Thomas Sprat,place of birth,Beaminster,What is the place of birth of Thomas Sprat?,Beaminster
Thomas Sprat,sex or gender,male,What is the sex or gender of Thomas Sprat?,male
Buckminster Fuller,manner of death,natural causes,What is the manner of death of Buckminster Fuller?,natural causes
Thomas Sprat,writing language,English,What is the writing language of Thomas Sprat?,English
Buckminster Fuller,student,Tom Myers,Who is the student of Buckminster Fuller?,Tom Myers
Buckminster Fuller,given name,Richard,Who is the given name of Buckminster Fuller?,Richard
Thomas Sprat,given name,Thomas,Who is the given name of Thomas Sprat?,Thomas
Horace Wells,place of death,New York City,What is the place of death of Horace Wells?,New York City
Mary Somerville,place of birth,Jedburgh,What is the place of birth of Mary Somerville?,Jedburgh
Horace Wells,place of birth,Hartford,What is the place of birth of Horace Wells?,Hartford
Leonardo da Vinci,writing language,Italian,What is the writing language of Leonardo da Vinci?,Italian
Mary Somerville,father,William George Fairfax,Who is the father of Mary Somerville?,William George Fairfax
Mary Somerville,sex or gender,female,What is the sex or gender of Mary Somerville?,female
Horace Wells,field of work,dentistry,What is the field of work of Horace Wells?,dentistry
Mary Somerville,spouse,William Somerville,Who is the spouse of Mary Somerville?,William Somerville
Horace Wells,sex or gender,male,What is the sex or gender of Horace Wells?,male
Andreas Heldrich,employer,University of Münster,What is the employer of Andreas Heldrich?,University of Münster
Andreas Heldrich,place of death,Munich,What is the place of death of Andreas Heldrich?,Munich
Andreas Heldrich,educated at,Ludwig Maximilian University of Munich,What was Andreas Heldrich educated at?,Ludwig Maximilian University of Munich
Andreas Heldrich,country of citizenship,Germany,What is the country of citizenship of Andreas Heldrich?,Germany
Andreas Heldrich,sex or gender,male,What is the sex or gender of Andreas Heldrich?,male
Andreas Heldrich,given name,Andreas,Who is the given name of Andreas Heldrich?,Andreas
Andre Geim,doctoral student,Konstantin Novoselov,Who is the doctoral student of Andre Geim?,Konstantin Novoselov
Peter Debye,manner of death,natural causes,What is the manner of death of Peter Debye?,natural causes
Olympia Fulvia Morata,place of death,Heidelberg,What is the place of death of Olympia Fulvia Morata?,Heidelberg
Olympia Fulvia Morata,manner of death,natural causes,What is the manner of death of Olympia Fulvia Morata?,natural causes
Olympia Fulvia Morata,father,Fulvio Pellegrino Morato,Who is the father of Olympia Fulvia Morata?,Fulvio Pellegrino Morato
Leonardo da Vinci,lifestyle,vegetarianism,What is the lifestyle of Leonardo da Vinci?,vegetarianism
Christiaan Snouck,native language,Dutch,What is the native language of Christiaan Snouck?,Dutch
Olympia Fulvia Morata,sex or gender,female,What is the sex or gender of Olympia Fulvia Morata?,female
Leonardo da Vinci,manner of death,natural causes,What is the manner of death of Leonardo da Vinci?,natural causes
Christiaan Snouck,doctoral advisor,Michael Jan de Goeje,Who is the doctoral advisor of Christiaan Snouck?,Michael Jan de Goeje
Christiaan Snouck,doctoral student,Cornelis Christiaan Berg,Who is the doctoral student of Christiaan Snouck?,Cornelis Christiaan Berg
Christiaan Snouck,educated at,Leiden University,What was Christiaan Snouck educated at?,Leiden University
Christiaan Snouck,place of birth,Oosterhout,What is the place of birth of Christiaan Snouck?,Oosterhout
Christiaan Snouck,employer,Leiden University,What is the employer of Christiaan Snouck?,Leiden University
Christiaan Snouck,sex or gender,male,What is the sex or gender of Christiaan Snouck?,male
Christiaan Snouck,place of burial,Begraafplaats Groenesteeg,What is the place of burial of Christiaan Snouck?,Begraafplaats Groenesteeg
Andrea M. Ghez,place of birth,New York City,What is the place of birth of Andrea M. Ghez?,New York City
Andrea M. Ghez,native language,English,What is the native language of Andrea M. Ghez?,English
Andrea M. Ghez,doctoral advisor,Gerald Neugebauer,Who is the doctoral advisor of Andrea M. Ghez?,Gerald Neugebauer
Andrea M. Ghez,sex or gender,female,What is the sex or gender of Andrea M. Ghez?,female
John Paul Wild,field of work,radio astronomy,What is the field of work of John Paul Wild?,radio astronomy
Andrea M. Ghez,employer,"University of California, Los Angeles",What is the employer of Andrea M. Ghez?,"University of California, Los Angeles"
John Paul Wild,educated at,Peterhouse,What was John Paul Wild educated at?,Peterhouse
John Paul Wild,employer,Commonwealth Scientific and Industrial Research Organisation,What is the employer of John Paul Wild?,Commonwealth Scientific and Industrial Research Organisation
Óscar Ichazo,place of birth,Bolivia,What is the place of birth of Óscar Ichazo?,Bolivia
Viktor Makeyev,member of political party,Communist Party of the Soviet Union,What is the member of political party of Viktor Makeyev?,Communist Party of the Soviet Union
Karl Friedrich Wilhelm Peters,given name,Carl,Who is the given name of Karl Friedrich Wilhelm Peters?,Carl
Óscar Ichazo,sex or gender,male,What is the sex or gender of Óscar Ichazo?,male
John Paul Wild,family name,Wild,What is the family name of John Paul Wild?,Wild
Óscar Ichazo,country of citizenship,Bolivia,What is the country of citizenship of Óscar Ichazo?,Bolivia
Viktor Makeyev,doctoral advisor,Sergei Korolev,Who is the doctoral advisor of Viktor Makeyev?,Sergei Korolev
Karl Friedrich Wilhelm Peters,described by source,Brockhaus and Efron Encyclopedic Dictionary,Who is the described by source of Karl Friedrich Wilhelm Peters?,Brockhaus and Efron Encyclopedic Dictionary
Viktor Makeyev,place of burial,Novodevichy Cemetery,What is the place of burial of Viktor Makeyev?,Novodevichy Cemetery
Karl Friedrich Wilhelm Peters,family name,Peters,Who is the family name of Karl Friedrich Wilhelm Peters?,Peters
Viktor Makeyev,field of work,rocket science,What is the field of work of Viktor Makeyev?,rocket science
Hunayn ibn Ishaq,religion or worldview,Nestorianism,What is the religion or worldview of Hunayn ibn Ishaq?,Nestorianism
Hunayn ibn Ishaq,country of citizenship,Abbasid Caliphate,What is the country of citizenship of Hunayn ibn Ishaq?,Abbasid Caliphate
Hunayn ibn Ishaq,student,Hubaysh ibn al-Hasan ibn al-A'sam,Who is the student of Hunayn ibn Ishaq?,Hubaysh ibn al-Hasan ibn al-A'sam
Hunayn ibn Ishaq,place of death,Baghdad,What is the place of death of Hunayn ibn Ishaq?,Baghdad
Viktor Makeyev,sex or gender,male,What is the sex or gender of Viktor Makeyev?,male
Bruce Beutler,place of birth,Chicago,What is the place of birth of Bruce Beutler?,Chicago
Hunayn ibn Ishaq,child,Ishaq ibn Hunayn,Who is the child of Hunayn ibn Ishaq?,Ishaq ibn Hunayn
Hunayn ibn Ishaq,sex or gender,male,What is the sex or gender of Hunayn ibn Ishaq?,male
Bruce Beutler,doctoral advisor,Abraham I. Braude,Who is the doctoral advisor of Bruce Beutler?,Abraham I. Braude
Bruce Beutler,family name,Beutler,Who is the family name of Bruce Beutler?,Beutler
Leonīds Ribickis,educated at,Riga Technical University,What was Leonīds Ribickis educated at?,Riga Technical University
Leonīds Ribickis,sex or gender,male,What is the sex or gender of Leonīds Ribickis?,male
Bruce Beutler,sex or gender,male,What is the sex or gender of Bruce Beutler?,male
Leonīds Ribickis,field of work,electrical engineering,What is the field of work of Leonīds Ribickis?,electrical engineering
Leonīds Ribickis,occupation,scientist,What is the occupation of Leonīds Ribickis?,scientist
Leonīds Ribickis,employer,Riga Technical University,What is the employer of Leonīds Ribickis?,Riga Technical University
Ada Yonath,employer,University of Chicago,What is the employer of Ada Yonath?,University of Chicago
Niccolò da Reggio,sex or gender,male,What is the sex or gender of Niccolò da Reggio?,male
Ada Yonath,country of citizenship,Israel,What is the country of citizenship of Ada Yonath?,Israel
Ada Yonath,place of birth,Jerusalem,What is the place of birth of Ada Yonath?,Jerusalem
Ada Yonath,sex or gender,female,What is the sex or gender of Ada Yonath?,female
Tytus Maksymilian Huber,doctoral student,Wacław Olszak,Who is the doctoral student of Tytus Maksymilian Huber?,Wacław Olszak
Tytus Maksymilian Huber,field of work,mechanical engineering,What is the field of work of Tytus Maksymilian Huber?,mechanical engineering
Andreas Vogel,field of work,digital humanities,What is the field of work of Andreas Vogel?,digital humanities
Andreas Vogel,given name,Andreas,Who is the given name of Andreas Vogel?,Andreas
Andreas Vogel,employer,Free University Berlin,What is the employer of Andreas Vogel?,Free University Berlin
Tytus Maksymilian Huber,sex or gender,male,What is the sex or gender of Tytus Maksymilian Huber?,male
Andre Geim,student,Konstantin Novoselov,Who is the student of Andre Geim?,Konstantin Novoselov
Andreas Vogel,sex or gender,male,What is the sex or gender of Andreas Vogel?,male
Émile Coué,notable work,autosuggestion,What is the notable work of Émile Coué?,autosuggestion
Andreas Vogel,country of citizenship,Germany,What is the country of citizenship of Andreas Vogel?,Germany
Gleb Kotelnikov,occupation,scientist,What is the occupation of Gleb Kotelnikov?,scientist
Gleb Kotelnikov,native language,Russian,What is the native language of Gleb Kotelnikov?,Russian
Gleb Kotelnikov,place of burial,Novodevichy Cemetery,What is the place of burial of Gleb Kotelnikov?,Novodevichy Cemetery
Karl Friedrich Wilhelm Peters,place of death,Königsberg,What is the place of death of Karl Friedrich Wilhelm Peters?,Königsberg
Gleb Kotelnikov,child,Anatoly Glebov,Who is the child of Gleb Kotelnikov?,Anatoly Glebov
Ada Yonath,influenced by,William Lipscomb,Who was Ada Yonath influenced by?,William Lipscomb
John Paul Wild,place of death,Canberra,What is the place of death of John Paul Wild?,Canberra
Gleb Kotelnikov,sex or gender,male,What is the sex or gender of Gleb Kotelnikov?,male
Karl Friedrich Wilhelm Peters,employer,University of Königsberg,What is the employer of Karl Friedrich Wilhelm Peters?,University of Königsberg
Ada Yonath,work location,Weizmann Institute of Science,What is the work location of Ada Yonath?,Weizmann Institute of Science
Karl Friedrich Wilhelm Peters,sex or gender,male,What is the sex or gender of Karl Friedrich Wilhelm Peters?,male
John Paul Wild,sex or gender,male,What is the sex or gender of John Paul Wild?,male
Vitaly Ginzburg,doctoral advisor,Igor Tamm,Who is the doctoral advisor of Vitaly Ginzburg?,Igor Tamm
Vitaly Ginzburg,religion or worldview,atheism,What is the religion or worldview of Vitaly Ginzburg?,atheism
Vitaly Ginzburg,member of political party,Communist Party of the Soviet Union,What is the member of political party of Vitaly Ginzburg?,Communist Party of the Soviet Union
Vitaly Ginzburg,educated at,Moscow State University,What was Vitaly Ginzburg educated at?,Moscow State University
Vitaly Ginzburg,place of burial,Novodevichy Cemetery,What is the place of burial of Vitaly Ginzburg?,Novodevichy Cemetery
Vitaly Ginzburg,sex or gender,male,What is the sex or gender of Vitaly Ginzburg?,male
Paul Séjourné,place of death,Paris,What is the place of death of Paul Séjourné?,Paris
Vitaly Ginzburg,employer,Lebedev Physical Institute,What is the employer of Vitaly Ginzburg?,Lebedev Physical Institute
Paul Séjourné,field of work,engineering,What is the field of work of Paul Séjourné?,engineering
Paul Séjourné,sex or gender,male,What is the sex or gender of Paul Séjourné?,male
Tytus Maksymilian Huber,family name,Huber,Who is the family name of Tytus Maksymilian Huber?,Huber
Vitaly Ginzburg,influenced by,Benjamin Fain,Who was Vitaly Ginzburg influenced by?,Benjamin Fain
August Dupré,sex or gender,male,What is the sex or gender of August Dupré?,male
Lewis Elton,father,Victor Ehrenberg,Who is the father of Lewis Elton?,Victor Ehrenberg
Lewis Elton,country of citizenship,United Kingdom,What is the country of citizenship of Lewis Elton?,United Kingdom
Frans van Schooten,educated at,Leiden University,What was Frans van Schooten educated at?,Leiden University
Lewis Elton,place of birth,Tübingen,What is the place of birth of Lewis Elton?,Tübingen
Frans van Schooten,employer,Leiden University,What is the employer of Frans van Schooten?,Leiden University
Valery Zorkin,native language,Russian,What is the native language of Valery Zorkin?,Russian
Valery Zorkin,member of political party,Communist Party of the Soviet Union,What is the member of political party of Valery Zorkin?,Communist Party of the Soviet Union
Valery Zorkin,educated at,Moscow State University,What was Valery Zorkin educated at?,Moscow State University
Frans van Schooten,sex or gender,male,What is the sex or gender of Frans van Schooten?,male
Valery Zorkin,professorship,full professor,What is the professorship of Valery Zorkin?,full professor
Valery Zorkin,employer,Constitutional Court of Russia,What is the employer of Valery Zorkin?,Constitutional Court of Russia
Valery Zorkin,sex or gender,male,What is the sex or gender of Valery Zorkin?,male
Emma P. Carr,place of death,Evanston,What is the place of death of Emma P. Carr?,Evanston
Emma P. Carr,doctoral advisor,Julius Stieglitz,Who is the doctoral advisor of Emma P. Carr?,Julius Stieglitz
Emma P. Carr,sex or gender,female,What is the sex or gender of Emma P. Carr?,female
Emma P. Carr,student,Dorothy Hahn,Who is the student of Emma P. Carr?,Dorothy Hahn
Emma P. Carr,given name,Emma,Who is the given name of Emma P. Carr?,Emma
Emma P. Carr,employer,Mount Holyoke College,What is the employer of Emma P. Carr?,Mount Holyoke College
Carl Dorno,place of birth,Königsberg,What is the place of birth of Carl Dorno?,Königsberg
Carl Dorno,educated at,University of Königsberg,What was Carl Dorno educated at?,University of Königsberg
Carl Dorno,place of death,Davos,What is the place of death of Carl Dorno?,Davos
Carl Dorno,sex or gender,male,What is the sex or gender of Carl Dorno?,male
Carl Dorno,country of citizenship,German Reich,What is the country of citizenship of Carl Dorno?,German Reich
Isaac Beeckman,educated at,Leiden University,What was Isaac Beeckman educated at?,Leiden University
Carl Dorno,occupation,scientist,What is the occupation of Carl Dorno?,scientist
Isaac Beeckman,doctoral advisor,Rudolph Snellius,Who is the doctoral advisor of Isaac Beeckman?,Rudolph Snellius
William Bates,writing language,English,What is the writing language of William Bates?,English
Isaac Beeckman,place of birth,Middelburg,What is the place of birth of Isaac Beeckman?,Middelburg
Isaac Beeckman,sex or gender,male,What is the sex or gender of Isaac Beeckman?,male
William Bates,place of death,New York City,What is the place of death of William Bates?,New York City
Isaac Beeckman,described by source,Allgemeine Deutsche Biographie,What is the described by source of Isaac Beeckman?,Allgemeine Deutsche Biographie
David Peakall,country of citizenship,United Kingdom,What is the country of citizenship of David Peakall?,United Kingdom
William Bates,field of work,ophthalmology,What is the field of work of William Bates?,ophthalmology
David Peakall,sex or gender,male,What is the sex or gender of David Peakall?,male
William Bates,given name,William,Who is the given name of William Bates?,William
David Peakall,given name,David,Who is the given name of David Peakall?,David
William Bates,sex or gender,male,What is the sex or gender of William Bates?,male
Leonhard Euler,religion or worldview,Protestantism,What is the religion or worldview of Leonhard Euler?,Protestantism
Leonhard Euler,doctoral advisor,Johann Bernoulli,Who is the doctoral advisor of Leonhard Euler?,Johann Bernoulli
Leonhard Euler,educated at,University of Basel,What was Leonhard Euler educated at?,University of Basel
Leonhard Euler,sex or gender,male,What is the sex or gender of Leonhard Euler?,male
Leonhard Euler,spouse,Katharina Euler,Who is the spouse of Leonhard Euler?,Katharina Euler
Richard A. Muller,writing language,English,What is the writing language of Richard A. Muller?,English
Richard A. Muller,place of birth,San Francisco,What is the place of birth of Richard A. Muller?,San Francisco
Richard A. Muller,employer,"University of California, Berkeley",What is the employer of Richard A. Muller?,"University of California, Berkeley"
Royal Rife,occupation,scientist,What is the occupation of Royal Rife?,scientist
Royal Rife,place of death,San Diego,What is the place of death of Royal Rife?,San Diego
Semyon Lavochkin,place of burial,Novodevichy Cemetery,What is the place of burial of Semyon Lavochkin?,Novodevichy Cemetery
Royal Rife,place of birth,Elkhorn,What is the place of birth of Royal Rife?,Elkhorn
Semyon Lavochkin,member of political party,Communist Party of the Soviet Union,What is the member of political party of Semyon Lavochkin?,Communist Party of the Soviet Union
Royal Rife,given name,Raymond,Who is the given name of Royal Rife?,Raymond
Semyon Lavochkin,field of work,aerospace engineering,What is the field of work of Semyon Lavochkin?,aerospace engineering
Semyon Lavochkin,employer,NPO Lavochkin,What is the employer of Semyon Lavochkin?,NPO Lavochkin
Semyon Lavochkin,educated at,Bauman Moscow State Technical University,What was Semyon Lavochkin educated at?,Bauman Moscow State Technical University
Catherine Coleman,military branch,United States Air Force,What is the military branch of Catherine Coleman?,United States Air Force
Royal Rife,sex or gender,male,What is the sex or gender of Royal Rife?,male
Semyon Lavochkin,sex or gender,male,What is the sex or gender of Semyon Lavochkin?,male
Catherine Coleman,family name,Coleman,Who is the family name of Catherine Coleman?,Coleman
Catherine Coleman,place of birth,Charleston,What is the place of birth of Catherine Coleman?,Charleston
Catherine Coleman,astronaut mission,STS-93,What is the astronaut mission of Catherine Coleman?,STS-93
Carl Dorno,given name,Carl,Who is the given name of Carl Dorno?,Carl
Benjamin List,place of birth,Frankfurt,What is the place of birth of Benjamin List?,Frankfurt
Catherine Coleman,spouse,Josh Simpson,Who is the spouse of Catherine Coleman?,Josh Simpson
Benjamin List,country of citizenship,Germany,What is the country of citizenship of Benjamin List?,Germany
Benjamin List,influenced by,Richard Lerner,Who was Benjamin List influenced by?,Richard Lerner
Catherine Coleman,sex or gender,female,What is the sex or gender of Catherine Coleman?,female
Benjamin List,family name,List,What is the family name of Benjamin List?,List
Étienne-Jules Marey,place of death,Paris,What is the place of death of Étienne-Jules Marey?,Paris
Benjamin List,academic degree,doctorate,What is the academic degree of Benjamin List?,doctorate
Benjamin List,employer,Max Planck Institute for Coal Research,What is the employer of Benjamin List?,Max Planck Institute for Coal Research
Benjamin List,sex or gender,male,What is the sex or gender of Benjamin List?,male
Étienne-Jules Marey,place of birth,Beaune,What is the place of birth of Étienne-Jules Marey?,Beaune
Allan Snyder,residence,Sydney,What is the residence of Allan Snyder?,Sydney
Étienne-Jules Marey,described by source,Brockhaus and Efron Encyclopedic Dictionary,Who is the described by source of Étienne-Jules Marey?,Brockhaus and Efron Encyclopedic Dictionary
Étienne-Jules Marey,nominated for,Nobel Prize in Physiology or Medicine,What was Étienne-Jules Marey nominated for?,Nobel Prize in Physiology or Medicine
Étienne-Jules Marey,sex or gender,male,What is the sex or gender of Étienne-Jules Marey?,male
Nikolay Kamov,native language,Russian,What is the native language of Nikolay Kamov?,Russian
Nikolay Kamov,place of birth,Irkutsk,What is the place of birth of Nikolay Kamov?,Irkutsk
Marcos Soares Tatagiba,work location,Tübingen,What is the work location of Marcos Soares Tatagiba?,Tübingen
Nikolay Kamov,educated at,Tomsk Polytechnic University,What was Nikolay Kamov educated at?,Tomsk Polytechnic University
Nikolay Kamov,employer,Central Aerohydrodynamic Institute,What is the employer of Nikolay Kamov?,Central Aerohydrodynamic Institute
Marcos Soares Tatagiba,country of citizenship,Brazil,What is the country of citizenship of Marcos Soares Tatagiba?,Brazil
Nikolay Kamov,place of burial,Novodevichy Cemetery,What is the place of burial of Nikolay Kamov?,Novodevichy Cemetery
Marcos Soares Tatagiba,academic degree,doctorate,What is the academic degree of Marcos Soares Tatagiba?,doctorate
Marcos Soares Tatagiba,employer,University of Tübingen,What is the employer of Marcos Soares Tatagiba?,University of Tübingen
Marcos Soares Tatagiba,field of work,neurosurgery,What is the field of work of Marcos Soares Tatagiba?,neurosurgery
Nikolay Kamov,sex or gender,male,What is the sex or gender of Nikolay Kamov?,male
Étienne Pariset,place of birth,Grand,What is the place of birth of Étienne Pariset?,Grand
Marcos Soares Tatagiba,sex or gender,male,What is the sex or gender of Marcos Soares Tatagiba?,male
Étienne Pariset,sex or gender,male,What is the sex or gender of Étienne Pariset?,male
Leonhard Euler,medical condition,blindness,What is the medical condition of Leonhard Euler?,blindness
Leonhard Euler,manner of death,natural causes,What is the manner of death of Leonhard Euler?,natural causes
Leonhard Euler,academic degree,Doctor of Philosophy,What is the academic degree of Leonhard Euler?,Doctor of Philosophy
Leonhard Euler,cause of death,cerebral hemorrhage,What is the cause of death of Leonhard Euler?,cerebral hemorrhage
Heinrich Rantzau,military or police rank,general,What is the military or police rank of Heinrich Rantzau?,general
Heinrich Rantzau,father,Johan Rantzau,Who is the father of Heinrich Rantzau?,Johan Rantzau
Heinrich Rantzau,sex or gender,male,What is the sex or gender of Heinrich Rantzau?,male
Heinrich Rantzau,spouse,Christine von Halle,Who is the spouse of Heinrich Rantzau?,Christine von Halle
Heinrich Rantzau,given name,Henrik,Who is the given name of Heinrich Rantzau?,Henrik
Stuart Hameroff,employer,University of Arizona,What is the employer of Stuart Hameroff?,University of Arizona
Vaclav Smil,affiliation,University of Manitoba Press,What is the affiliation of Vaclav Smil?,University of Manitoba Press
Vaclav Smil,employer,University of Manitoba,What is the employer of Vaclav Smil?,University of Manitoba
Richard Smalley,cause of death,chronic lymphocytic leukemia,What is the cause of death of Richard Smalley?,chronic lymphocytic leukemia
Pavel Kroupa,field of work,astrophysics,What is the field of work of Pavel Kroupa?,astrophysics
Richard Smalley,given name,Richard,Who is the given name of Richard Smalley?,Richard
Richard Smalley,manner of death,natural causes,What is the manner of death of Richard Smalley?,natural causes
John Locke,writing language,English,What is the writing language of John Locke?,English
Pavel Kroupa,educated at,University of Western Australia,What was Pavel Kroupa educated at?,University of Western Australia
Vaclav Smil,sex or gender,male,What is the sex or gender of Vaclav Smil?,male
Barbara Lenz,educated at,University of Stuttgart,What was Barbara Lenz educated at?,University of Stuttgart
Pavel Kroupa,sex or gender,male,What is the sex or gender of Pavel Kroupa?,male
Barbara Lenz,country of citizenship,Germany,What is the country of citizenship of Barbara Lenz?,Germany
Barbara Lenz,academic degree,professor,What is the academic degree of Barbara Lenz?,professor
Roland Kirstein,family name,Kirstein,Who is the family name of Roland Kirstein?,Kirstein
Roland Kirstein,academic degree,doctorate,What is the academic degree of Roland Kirstein?,doctorate
Étienne Pariset,sponsor,Pierre Jean George Cabanis,Who does Étienne Pariset sponsor?,Pierre Jean George Cabanis
Barbara Lenz,family name,Lenz,Who is the family name of Barbara Lenz?,Lenz
Barbara Lenz,sex or gender,female,What is the sex or gender of Barbara Lenz?,female
Roland Kirstein,given name,Roland,Who is the given name of Roland Kirstein?,Roland
Barbara Lenz,given name,Barbara,Who is the given name of Barbara Lenz?,Barbara
Benedikt Buchner,family name,Buchner,Who is the family name of Benedikt Buchner?,Buchner
John Howard Northrop,ancestral home,Germany,What is the ancestral home of John Howard Northrop?,Germany
Ludwik Fleck,sex or gender,male,What is the sex or gender of Ludwik Fleck?,male
Ludwik Fleck,employer,Lviv University,What is the employer of Ludwik Fleck?,Lviv University
John Howard Northrop,native language,English,What is the native language of John Howard Northrop?,English
John Howard Northrop,field of work,biochemistry,What is the field of work of John Howard Northrop?,biochemistry
John Howard Northrop,educated at,Columbia University,What was John Howard Northrop educated at?,Columbia University
