subject,relation,object,question,label
Martin Luther King Jr.,feast day,Martin Luther King Jr. Day,Who is the feast day of Martin Luther King Jr.?,Martin Luther King Jr. Day
Martin Luther King Jr.,academic degree,Doctor of Philosophy,What is the academic degree of Martin Luther King Jr.?,Doctor of Philosophy
Martin Luther King Jr.,family name,King,What is the family name of Martin Luther King Jr.?,King
Martin Luther King Jr.,cause of death,gunshot wound,What is the cause of death of Martin Luther King Jr.?,gunshot wound
Deval Patrick,member of political party,Democratic Party,What is the member of political party of Deval Patrick?,Democratic Party
Deval Patrick,ethnic group,African Americans,What is the ethnic group of Deval Patrick?,African Americans
Deval Patrick,place of birth,Chicago,What is the place of birth of Deval Patrick?,Chicago
Deval Patrick,work location,"Washington, D.C.",What is the work location of Deval Patrick?,"Washington, D.C."
Martin Luther King Jr.,given name,Martin,Who is the given name of Martin Luther King Jr.?,Martin
Deval Patrick,sex or gender,male,What is the sex or gender of Deval Patrick?,male
Deval Patrick,religion or worldview,Presbyterianism,What is the religion or worldview of Deval Patrick?,Presbyterianism
Deval Patrick,family name,Patrick,Who is the family name of Deval Patrick?,Patrick
John Adams,family name,Adams,Who is the family name of John Adams?,Adams
Sonia Sotomayor,sex or gender,female,What is the sex or gender of Sonia Sotomayor?,female
Deval Patrick,affiliation,The Coca-Cola Company,What is the affiliation of Deval Patrick?,The Coca-Cola Company
John Adams,manner of death,natural causes,What is the manner of death of John Adams?,natural causes
James Brown,voice type,baritone,What is the voice type of James Brown?,baritone
John Adams,given name,John,Who is the given name of John Adams?,John
James Brown,manner of death,natural causes,What is the manner of death of James Brown?,natural causes
John McCain,handedness,left-handedness,What is the handedness of John McCain?,left-handedness
John McCain,work location,"Washington, D.C.",What is the work location of John McCain?,"Washington, D.C."
John McCain,manner of death,terminal illness,What is the manner of death of John McCain?,terminal illness
James Brown,family name,Brown,Who is the family name of James Brown?,Brown
John McCain,place of detention,Hỏa Lò Prison,What is the place of detention of John McCain?,Hỏa Lò Prison
John McCain,conflict,Vietnam War,What is the conflict of John McCain?,Vietnam War
John McCain,residence,Cornville,What is the residence of John McCain?,Cornville
John McCain,military casualty classification,prisoner of war,What is the military casualty classification of John McCain?,prisoner of war
John McCain,cause of death,glioblastoma,What is the cause of death of John McCain?,glioblastoma
George Washington,native language,English,What is the native language of George Washington?,English
James Brown,given name,Joseph,Who is the given name of James Brown?,Joseph
John McCain,given name,John,Who is the given name of John McCain?,John
John McCain,military or police rank,captain,What is the military or police rank of John McCain?,captain
George Washington,place of death,Mount Vernon,What is the place of death of George Washington?,Mount Vernon
George Washington,religion or worldview,Episcopal Church,What is the religion or worldview of George Washington?,Episcopal Church
James Brown,copyright representative,"Broadcast Music, Inc.",What is the copyright representative of James Brown?,"Broadcast Music, Inc."
George Washington,father,Augustine Washington,Who is the father of George Washington?,Augustine Washington
George Washington,spouse,Martha Washington,Who is the spouse of George Washington?,Martha Washington
George Washington,place of burial,Washington's Tomb,What is the place of burial of George Washington?,Washington's Tomb
George Washington,place of birth,Westmoreland County,What is the place of birth of George Washington?,Westmoreland County
George Washington,military or police rank,colonel,What is the military or police rank of George Washington?,colonel
George Washington,mother,Mary Ball Washington,Who is the mother of George Washington?,Mary Ball Washington
John McCain,supported sports team,Arizona Diamondbacks,What is the supported sports team of John McCain?,Arizona Diamondbacks
John McCain,writing language,English,What is the writing language of John McCain?,English
George Washington,sex or gender,male,What is the sex or gender of George Washington?,male
Joe Biden,mother,Jean Biden,Who is the mother of Joe Biden?,Jean Biden
George Washington,family name,Washington,What is the family name of George Washington?,Washington
Joe Biden,member of political party,Democratic Party,What is the member of political party of Joe Biden?,Democratic Party
Joe Biden,native language,English,What is the native language of Joe Biden?,English
George Washington,given name,George,Who is the given name of George Washington?,George
Joe Biden,father,Joseph Robinette Biden Sr.,Who is the father of Joe Biden?,Joseph Robinette Biden Sr.
Joe Biden,religion or worldview,Catholicism,What is the religion or worldview of Joe Biden?,Catholicism
Joe Biden,sex or gender,male,What is the sex or gender of Joe Biden?,male
Joe Biden,sport,American football,What is the sport of Joe Biden?,American football
Joe Biden,handedness,right-handedness,What is the handedness of Joe Biden?,right-handedness
Joe Biden,significant event,Joe Biden 2024 presidential campaign,Who is the significant event of Joe Biden?,Joe Biden 2024 presidential campaign
Joe Biden,eye color,blue,What is the eye color of Joe Biden?,blue
Joe Biden,given name,Joseph,Who is the given name of Joe Biden?,Joseph
Joe Biden,notable work,Promises to Keep,What is the notable work of Joe Biden?,Promises to Keep
Joe Biden,writing language,English,What is the writing language of Joe Biden?,English
Sonia Sotomayor,religion or worldview,Catholicism,What is the religion or worldview of Sonia Sotomayor?,Catholicism
Sonia Sotomayor,medical condition,type-1 diabetes,What is the medical condition of Sonia Sotomayor?,type-1 diabetes
Barack Obama,native language,English,What is the native language of Barack Obama?,English
Barack Obama,member of political party,Democratic Party,What is the member of political party of Barack Obama?,Democratic Party
Sonia Sotomayor,given name,Sonia,Who is the given name of Sonia Sotomayor?,Sonia
Barack Obama,spouse,Michelle Obama,Who is the spouse of Barack Obama?,Michelle Obama
Barack Obama,father,Barack Obama Sr.,Who is the father of Barack Obama?,Barack Obama Sr.
Barack Obama,mother,Stanley Ann Dunham,Who is the mother of Barack Obama?,Stanley Ann Dunham
Barack Obama,place of birth,Kapiolani Medical Center for Women and Children,What is the place of birth of Barack Obama?,Kapiolani Medical Center for Women and Children
Andrew Johnson,conflict,American Civil War,What is the conflict of Andrew Johnson?,American Civil War
Andrew Johnson,native language,English,What is the native language of Andrew Johnson?,English
Andrew Johnson,military or police rank,general,What is the military or police rank of Andrew Johnson?,general
Andrew Johnson,place of birth,Raleigh,What is the place of birth of Andrew Johnson?,Raleigh
Barack Obama,sex or gender,male,What is the sex or gender of Barack Obama?,male
Andrew Johnson,spouse,Eliza McCardle Johnson,Who is the spouse of Andrew Johnson?,Eliza McCardle Johnson
Andrew Johnson,military branch,Union Army,What is the military branch of Andrew Johnson?,Union Army
Andrew Johnson,place of burial,Andrew Johnson National Cemetery,Who is the place of burial of Andrew Johnson?,Andrew Johnson National Cemetery
Thomas Jefferson,mother,Jane Randolph Jefferson,Who is the mother of Thomas Jefferson?,Jane Randolph Jefferson
Stephen Breyer,religion or worldview,Judaism,What is the religion or worldview of Stephen Breyer?,Judaism
Thomas Jefferson,spouse,Martha Jefferson,Who is the spouse of Thomas Jefferson?,Martha Jefferson
Thomas Jefferson,place of birth,Shadwell,What is the place of birth of Thomas Jefferson?,Shadwell
Andrew Johnson,father,Jacob Johnson,Who is the father of Andrew Johnson?,Jacob Johnson
Andrew Johnson,sex or gender,male,What is the sex or gender of Andrew Johnson?,male
Thomas Jefferson,father,Peter Jefferson,Who is the father of Thomas Jefferson?,Peter Jefferson
Stephen Breyer,place of birth,San Francisco,What is the place of birth of Stephen Breyer?,San Francisco
Andrew Johnson,writing language,English,What is the writing language of Andrew Johnson?,English
Thomas Jefferson,sex or gender,male,What is the sex or gender of Thomas Jefferson?,male
Thomas Jefferson,native language,English,What is the native language of Thomas Jefferson?,English
Andrew Johnson,manner of death,natural causes,What is the manner of death of Andrew Johnson?,natural causes
Andrew Johnson,family name,Johnson,Who is the family name of Andrew Johnson?,Johnson
Andrew Johnson,social classification,slave owner,What is the social classification of Andrew Johnson?,slave owner
Stephen Breyer,sex or gender,male,What is the sex or gender of Stephen Breyer?,male
Andrew Johnson,work location,"Washington, D.C.",What is the work location of Andrew Johnson?,"Washington, D.C."
Thomas Jefferson,member of political party,Democratic-Republican Party,What is the member of political party of Thomas Jefferson?,Democratic-Republican Party
Thomas Jefferson,educated at,College of William & Mary,What was Thomas Jefferson educated at?,College of William & Mary
Barack Obama,blood type,AB,What is the blood type of Barack Obama?,AB
Sandra Day O'Connor,religion or worldview,Episcopal Church,What is the religion or worldview of Sandra Day O'Connor?,Episcopal Church
Henry Ford,native language,English,What is the native language of Henry Ford?,English
Sandra Day O'Connor,spouse,John Jay O'Connor,Who is the spouse of Sandra Day O'Connor?,John Jay O'Connor
Sandra Day O'Connor,sex or gender,female,What is the sex or gender of Sandra Day O'Connor?,female
Henry Ford,place of death,Dearborn,What is the place of death of Henry Ford?,Dearborn
Barack Obama,stepparent,Lolo Soetoro,Who is the stepparent of Barack Obama?,Lolo Soetoro
Sandra Day O'Connor,writing language,English,What is the writing language of Sandra Day O'Connor?,English
Sandra Day O'Connor,academic degree,Bachelor of Arts,What is the academic degree of Sandra Day O'Connor?,Bachelor of Arts
Sandra Day O'Connor,manner of death,natural causes,What is the manner of death of Sandra Day O'Connor?,natural causes
Henry Ford,educated at,Bryant & Stratton College,What was Henry Ford educated at?,Bryant & Stratton College
Henry Ford,sex or gender,male,What is the sex or gender of Henry Ford?,male
Stephen Breyer,clerked for,Arthur Goldberg,Who did Stephen Breyer clerk for?,Arthur Goldberg
Stephen Breyer,writing language,English,What is the writing language of Stephen Breyer?,English
Henry Ford,spouse,Clara Bryant Ford,Who is the spouse of Henry Ford?,Clara Bryant Ford
Barack Obama,ethnic group,African Americans,What is the ethnic group of Barack Obama?,African Americans
Stephen Breyer,family name,Breyer,Who is the family name of Stephen Breyer?,Breyer
Thomas Jefferson,instrument,violin,What is the instrument of Thomas Jefferson?,violin
Thomas Jefferson,influenced by,"Anthony Ashley-Cooper, 3rd Earl of Shaftesbury",Who was Thomas Jefferson influenced by?,"Anthony Ashley-Cooper, 3rd Earl of Shaftesbury"
Thomas Jefferson,cause of death,uremia,What is the cause of death of Thomas Jefferson?,uremia
Thomas Jefferson,manner of death,natural causes,What is the manner of death of Thomas Jefferson?,natural causes
Stephen Breyer,given name,Stephen,Who is the given name of Stephen Breyer?,Stephen
Barack Obama,handedness,left-handedness,What is the handedness of Barack Obama?,left-handedness
Barack Obama,eye color,brown,What is the eye color of Barack Obama?,brown
Thomas Jefferson,given name,Thomas,Who is the given name of Thomas Jefferson?,Thomas
Thomas Jefferson,social classification,slave owner,What is the social classification of Thomas Jefferson?,slave owner
Henry Ford,handedness,left-handedness,What is the handedness of Henry Ford?,left-handedness
Henry Ford,sport,auto racing,What is the sport of Henry Ford?,auto racing
Barack Obama,notable work,A Promised Land,What is the notable work of Barack Obama?,A Promised Land
James Madison,member of political party,Democratic-Republican Party,What is the member of political party of James Madison?,Democratic-Republican Party
Henry Ford,described by source,The Literary Digest,What is the described by source of Henry Ford?,The Literary Digest
Henry Ford,manner of death,natural causes,What is the manner of death of Henry Ford?,natural causes
James Madison,educated at,Princeton University,What was James Madison educated at?,Princeton University
Henry Ford,cause of death,cerebral hemorrhage,What is the cause of death of Henry Ford?,cerebral hemorrhage
James Madison,native language,English,What is the native language of James Madison?,English
James Madison,mother,Eleanor Rose Conway,Who is the mother of James Madison?,Eleanor Rose Conway
Henry Ford,writing language,English,What is the writing language of Henry Ford?,English
James Madison,work location,"Washington, D.C.",What is the work location of James Madison?,"Washington, D.C."
James Madison,father,"James Madison, Sr.",Who is the father of James Madison?,"James Madison, Sr."
Clarence Thomas,place of birth,Pin Point,What is the place of birth of Clarence Thomas?,Pin Point
James Madison,sex or gender,male,What is the sex or gender of James Madison?,male
Clarence Thomas,sex or gender,male,What is the sex or gender of Clarence Thomas?,male
James Madison,notable work,Federalist Papers,What is the notable work of James Madison?,Federalist Papers
James Madison,manner of death,natural causes,What is the manner of death of James Madison?,natural causes
James Madison,influenced by,John Witherspoon,Who was James Madison influenced by?,John Witherspoon
Clarence Thomas,academic major,English studies,What is the academic major of Clarence Thomas?,English studies
Clarence Thomas,ethnic group,African Americans,What is the ethnic group of Clarence Thomas?,African Americans
Clarence Thomas,religion or worldview,Catholicism,What is the religion or worldview of Clarence Thomas?,Catholicism
Clarence Thomas,affiliation,Federalist Society,What is the affiliation of Clarence Thomas?,Federalist Society
James Madison,eye color,blue,What is the eye color of James Madison?,blue
Clarence Thomas,notable work,My Grandfather's Son,What is the notable work of Clarence Thomas?,My Grandfather's Son
James Madison,writing language,English,What is the writing language of James Madison?,English
Clarence Thomas,writing language,English,What is the writing language of Clarence Thomas?,English
Clarence Thomas,medical condition,scoliosis,What is the medical condition of Clarence Thomas?,scoliosis
James Madison,social classification,slave owner,What is the social classification of James Madison?,slave owner
Hillary Clinton,member of political party,Democratic Party,What is the member of political party of Hillary Clinton?,Democratic Party
Hillary Clinton,spouse,Bill Clinton,Who is the spouse of Hillary Clinton?,Bill Clinton
Clarence Thomas,family name,Thomas,Who is the family name of Clarence Thomas?,Thomas
Hillary Clinton,native language,American English,What is the native language of Hillary Clinton?,American English
Hillary Clinton,child,Chelsea Clinton,Who is the child of Hillary Clinton?,Chelsea Clinton
Hillary Clinton,religion or worldview,Methodism,What is the religion or worldview of Hillary Clinton?,Methodism
Hillary Clinton,sex or gender,female,What is the sex or gender of Hillary Clinton?,female
Hillary Clinton,father,Hugh E. Rodham,Who is the father of Hillary Clinton?,Hugh E. Rodham
Hillary Clinton,mother,Dorothy Howell Rodham,Who is the mother of Hillary Clinton?,Dorothy Howell Rodham
Hillary Clinton,influenced by,Marian Wright Edelman,Who was Hillary Clinton influenced by?,Marian Wright Edelman
Hillary Clinton,handedness,right-handedness,What is the handedness of Hillary Clinton?,right-handedness
Hillary Clinton,blood type,AB,What is the blood type of Hillary Clinton?,AB
Gerald Ford,place of birth,Omaha,What is the place of birth of Gerald Ford?,Omaha
Gerald Ford,native language,English,What is the native language of Gerald Ford?,English
Gerald Ford,place of death,Rancho Mirage,What is the place of death of Gerald Ford?,Rancho Mirage
Gerald Ford,spouse,Betty Ford,Who is the spouse of Gerald Ford?,Betty Ford
Gerald Ford,field of work,gun control,What is the field of work of Gerald Ford?,gun control
Gerald Ford,sex or gender,male,What is the sex or gender of Gerald Ford?,male
Gerald Ford,military branch,United States Navy,What is the military branch of Gerald Ford?,United States Navy
Gerald Ford,religion or worldview,Episcopal Church,What is the religion or worldview of Gerald Ford?,Episcopal Church
Hillary Clinton,writing language,American English,What is the writing language of Hillary Clinton?,American English
Gerald Ford,mother,Dorothy Ayer Gardner Ford,Who is the mother of Gerald Ford?,Dorothy Ayer Gardner Ford
James Monroe,place of death,New York City,What is the place of death of James Monroe?,New York City
James Monroe,native language,English,What is the native language of James Monroe?,English
James Monroe,educated at,College of William & Mary,What was James Monroe educated at?,College of William & Mary
Gerald Ford,father,"Leslie Lynch King, Sr.",Who is the father of Gerald Ford?,"Leslie Lynch King, Sr."
James Monroe,place of birth,Monroe Hall,What is the place of birth of James Monroe?,Monroe Hall
James Monroe,spouse,Elizabeth Monroe,Who is the spouse of James Monroe?,Elizabeth Monroe
James Monroe,member of political party,Democratic-Republican Party,What is the member of political party of James Monroe?,Democratic-Republican Party
Neill S. Brown,sex or gender,male,What is the sex or gender of Neill S. Brown?,male
James Monroe,sex or gender,male,What is the sex or gender of James Monroe?,male
James Monroe,work location,"Washington, D.C.",What is the work location of James Monroe?,"Washington, D.C."
James Monroe,mother,Elizabeth Jones,Who is the mother of James Monroe?,Elizabeth Jones
James Monroe,military branch,Continental Army,What is the military branch of James Monroe?,Continental Army
James Monroe,manner of death,natural causes,What is the manner of death of James Monroe?,natural causes
James Monroe,father,Spence Monroe,Who is the father of James Monroe?,Spence Monroe
James Monroe,religion or worldview,Episcopal Church,What is the religion or worldview of James Monroe?,Episcopal Church
James Monroe,place of burial,Hollywood Cemetery,What is the place of burial of James Monroe?,Hollywood Cemetery
James Monroe,military or police rank,major,What is the military or police rank of James Monroe?,major
Abraham Lincoln,killed by,John Wilkes Booth,Who was Abraham Lincoln killed by?,John Wilkes Booth
Abraham Lincoln,religion or worldview,Baptists,What is the religion or worldview of Abraham Lincoln?,Baptists
Abraham Lincoln,native language,American English,What is the native language of Abraham Lincoln?,American English
Abraham Lincoln,spouse,Mary Todd Lincoln,Who is the spouse of Abraham Lincoln?,Mary Todd Lincoln
Abraham Lincoln,mother,Nancy Hanks Lincoln,Who is the mother of Abraham Lincoln?,Nancy Hanks Lincoln
James Monroe,writing language,English,What is the writing language of James Monroe?,English
James Monroe,social classification,slave owner,What is the social classification of James Monroe?,slave owner
Neill S. Brown,family name,Brown,Who is the family name of Neill S. Brown?,Brown
Abraham Lincoln,father,Thomas Lincoln,Who is the father of Abraham Lincoln?,Thomas Lincoln
Abraham Lincoln,manner of death,homicide,What is the manner of death of Abraham Lincoln?,homicide
Abraham Lincoln,notable work,Gettysburg Address,What is the notable work of Abraham Lincoln?,Gettysburg Address
Abraham Lincoln,sex or gender,male,What is the sex or gender of Abraham Lincoln?,male
Abraham Lincoln,cause of death,shot to the head,What is the cause of death of Abraham Lincoln?,shot to the head
John Quincy Adams,native language,English,What is the native language of John Quincy Adams?,English
Abraham Lincoln,significant event,assassination of Abraham Lincoln,Who is the significant event of Abraham Lincoln?,assassination of Abraham Lincoln
John Quincy Adams,employer,Harvard University,What is the employer of John Quincy Adams?,Harvard University
John Quincy Adams,father,John Adams,Who is the father of John Quincy Adams?,John Adams
John Quincy Adams,mother,Abigail Adams,Who is the mother of John Quincy Adams?,Abigail Adams
Warren Rudman,place of death,"Washington, D.C.",What is the place of death of Warren Rudman?,"Washington, D.C."
John Quincy Adams,member of political party,Whig Party,What is the member of political party of John Quincy Adams?,Whig Party
John Quincy Adams,family,Adams family,Who is the family of John Quincy Adams?,Adams family
John Quincy Adams,religion or worldview,Unitarianism,What is the religion or worldview of John Quincy Adams?,Unitarianism
John Quincy Adams,spouse,Louisa Adams,Who is the spouse of John Quincy Adams?,Louisa Adams
Abraham Lincoln,given name,Abraham,Who is the given name of Abraham Lincoln?,Abraham
John Quincy Adams,manner of death,natural causes,What is the manner of death of John Quincy Adams?,natural causes
John Quincy Adams,family name,Adams,Who is the family name of John Quincy Adams?,Adams
John Quincy Adams,work location,"Washington, D.C.",What is the work location of John Quincy Adams?,"Washington, D.C."
John Quincy Adams,place of burial,United First Parish Church,What is the place of burial of John Quincy Adams?,United First Parish Church
John Quincy Adams,sex or gender,male,What is the sex or gender of John Quincy Adams?,male
John Quincy Adams,given name,John,Who is the given name of John Quincy Adams?,John
John Quincy Adams,cause of death,cerebral hemorrhage,What is the cause of death of John Quincy Adams?,cerebral hemorrhage
James Bryant Conant,place of birth,Dorchester,What is the place of birth of James Bryant Conant?,Dorchester
James Bryant Conant,employer,Harvard University,What is the employer of James Bryant Conant?,Harvard University
James Bryant Conant,field of work,chemistry,What is the field of work of James Bryant Conant?,chemistry
James Bryant Conant,educated at,Harvard College,What was James Bryant Conant educated at?,Harvard College
James Bryant Conant,doctoral advisor,Theodore William Richards,Who is the doctoral advisor of James Bryant Conant?,Theodore William Richards
James Bryant Conant,conflict,World War I,What is the conflict of James Bryant Conant?,World War I
James Bryant Conant,academic degree,Doctor of Philosophy,What is the academic degree of James Bryant Conant?,Doctor of Philosophy
James Bryant Conant,student,Louis Fieser,Who is the student of James Bryant Conant?,Louis Fieser
James Bryant Conant,military or police rank,major,What is the military or police rank of James Bryant Conant?,major
Richard Nixon,native language,English,What is the native language of Richard Nixon?,English
James Bryant Conant,sex or gender,male,What is the sex or gender of James Bryant Conant?,male
Richard Nixon,religion or worldview,Quakers,What is the religion or worldview of Richard Nixon?,Quakers
Richard Nixon,military branch,United States Navy,What is the military branch of Richard Nixon?,United States Navy
John Quincy Adams,writing language,English,What is the writing language of John Quincy Adams?,English
Richard Nixon,place of death,Manhattan,What is the place of death of Richard Nixon?,Manhattan
Richard Nixon,movement,Operation Condor,What is the movement of Richard Nixon?,Operation Condor
Nelson Rockefeller,ancestral home,Germany,What is the ancestral home of Nelson Rockefeller?,Germany
Richard Nixon,father,Francis A. Nixon,Who is the father of Richard Nixon?,Francis A. Nixon
Richard Nixon,mother,Hannah Milhous Nixon,Who is the mother of Richard Nixon?,Hannah Milhous Nixon
Richard Nixon,spouse,Pat Nixon,Who is the spouse of Richard Nixon?,Pat Nixon
Nelson Rockefeller,place of death,New York City,What is the place of death of Nelson Rockefeller?,New York City
Nelson Rockefeller,educated at,Dartmouth College,What was Nelson Rockefeller educated at?,Dartmouth College
Nelson Rockefeller,native language,English,What is the native language of Nelson Rockefeller?,English
Nelson Rockefeller,religion or worldview,Baptists,What is the religion or worldview of Nelson Rockefeller?,Baptists
Nelson Rockefeller,mother,Abigail Greene Aldrich,Who is the mother of Nelson Rockefeller?,Abigail Greene Aldrich
Richard Nixon,sex or gender,male,What is the sex or gender of Richard Nixon?,male
Nelson Rockefeller,writing language,English,What is the writing language of Nelson Rockefeller?,English
Nelson Rockefeller,place of birth,Bar Harbor,What is the place of birth of Nelson Rockefeller?,Bar Harbor
Nelson Rockefeller,father,John D. Rockefeller Jr.,Who is the father of Nelson Rockefeller?,John D. Rockefeller Jr.
Richard Nixon,handedness,right-handedness,What is the handedness of Richard Nixon?,right-handedness
Richard Nixon,writing language,English,What is the writing language of Richard Nixon?,English
Nelson Rockefeller,sex or gender,male,What is the sex or gender of Nelson Rockefeller?,male
Richard Nixon,conflict,World War II,What is the conflict of Richard Nixon?,World War II
Nelson Rockefeller,manner of death,natural causes,What is the manner of death of Nelson Rockefeller?,natural causes
Richard Nixon,manner of death,natural causes,What is the manner of death of Richard Nixon?,natural causes
Richard Nixon,present in work,Federation – The First 150 Years,When is the present in work of Richard Nixon?,Federation – The First 150 Years
Richard Nixon,blood type,A,What is the blood type of Richard Nixon?,A
Richard Nixon,given name,Richard,Who is the given name of Richard Nixon?,Richard
Debbie Wasserman Schultz,member of political party,Democratic Party,What is the member of political party of Debbie Wasserman Schultz?,Democratic Party
George W. Bush,father,George H. W. Bush,Who is the father of George W. Bush?,George H. W. Bush
Debbie Wasserman Schultz,family name,Schultz,Who is the family name of Debbie Wasserman Schultz?,Schultz
George W. Bush,native language,American English,What is the native language of George W. Bush?,American English
George W. Bush,mother,Barbara Bush,Who is the mother of George W. Bush?,Barbara Bush
Debbie Wasserman Schultz,sex or gender,female,What is the sex or gender of Debbie Wasserman Schultz?,female
Debbie Wasserman Schultz,educated at,University of Florida,What was Debbie Wasserman Schultz educated at?,University of Florida
Debbie Wasserman Schultz,religion or worldview,Judaism,What is the religion or worldview of Debbie Wasserman Schultz?,Judaism
George W. Bush,place of birth,New Haven,What is the place of birth of George W. Bush?,New Haven
George W. Bush,sex or gender,male,What is the sex or gender of George W. Bush?,male
George W. Bush,spouse,Laura Bush,Who is the spouse of George W. Bush?,Laura Bush
Debbie Wasserman Schultz,occupation,politician,What is the occupation of Debbie Wasserman Schultz?,politician
George W. Bush,religion or worldview,United Methodist Church,What is the religion or worldview of George W. Bush?,United Methodist Church
George W. Bush,family,Bush family,Who is the family of George W. Bush?,Bush family
George W. Bush,sport,rugby,What is the sport of George W. Bush?,rugby
George W. Bush,military or police rank,senior lieutenant,What is the military or police rank of George W. Bush?,senior lieutenant
George W. Bush,handedness,right-handedness,What is the handedness of George W. Bush?,right-handedness
Heidi Heitkamp,work location,"Washington, D.C.",What is the work location of Heidi Heitkamp?,"Washington, D.C."
Heidi Heitkamp,religion or worldview,Catholicism,What is the religion or worldview of Heidi Heitkamp?,Catholicism
George W. Bush,blood type,O,What is the blood type of George W. Bush?,O
Heidi Heitkamp,sex or gender,female,What is the sex or gender of Heidi Heitkamp?,female
George Washington,present in work,Civilization V,What is the present in work of George Washington?,Civilization V
George W. Bush,given name,George,Who is the given name of George W. Bush?,George
George W. Bush,writing language,English,What is the writing language of George W. Bush?,English
George Washington,manner of death,natural causes,What is the manner of death of George Washington?,natural causes
George Washington,social classification,slave owner,What is the social classification of George Washington?,slave owner
Warren Rudman,military branch,United States Army,What is the military branch of Warren Rudman?,United States Army
George Washington,writing language,English,What is the writing language of George Washington?,English
Barack Obama,writing language,English,What is the writing language of Barack Obama?,English
Warren Rudman,place of burial,Arlington National Cemetery,What is the place of burial of Warren Rudman?,Arlington National Cemetery
Heidi Heitkamp,given name,Heidi,Who is the given name of Heidi Heitkamp?,Heidi
Abraham Lincoln,wears,top hat,What does Abraham Lincoln wear?,top hat
W. Michael Blumenthal,member of political party,Democratic Party,What is the member of political party of W. Michael Blumenthal?,Democratic Party
W. Michael Blumenthal,place of birth,Oranienburg,What is the place of birth of W. Michael Blumenthal?,Oranienburg
Warren Rudman,sex or gender,male,What is the sex or gender of Warren Rudman?,male
W. Michael Blumenthal,sex or gender,male,What is the sex or gender of W. Michael Blumenthal?,male
Abraham Lincoln,writing language,English,What is the writing language of Abraham Lincoln?,English
