subject,relation,object,question,label
Angel of Death,distribution format,compact disc,What is the distribution format of Angel of Death?,compact disc
Angel of Death,form of creative work,song,What is the form of creative work of Angel of Death?,song
A Moment Like This,record label,RCA Records,What is the record label of A Moment Like This?,RCA Records
Angel of Death,performer,Slayer,What does Angel of Death performer?,Slayer
A Thousand Years,language of work or name,English,What is the language of work or name of A Thousand Years?,English
A Thousand Years,lyricist,Christina Perri,Who is the lyricist of A Thousand Years?,Christina Perri
Angel of Death,record label,Def Jam Recordings,What is the record label of Angel of Death?,Def Jam Recordings
Angel of Death,main subject,Josef Mengele,Who is the main subject of Angel of Death?,Josef Mengele
Angel of Death,genre,thrash metal,What is the genre of Angel of Death?,thrash metal
A Thousand Years,performer,Christina Perri,Who does A Thousand Years performer?,Christina Perri
A Thousand Years,genre,pop music,What is the genre of A Thousand Years?,pop music
Angel of Death,composer,Jeff Hanneman,Who is the composer of Angel of Death?,Jeff Hanneman
Angel of Death,lyricist,Jeff Hanneman,Who is the lyricist of Angel of Death?,Jeff Hanneman
When Love Takes Over,language of work or name,English,What is the language of work or name of When Love Takes Over?,English
A Thousand Years,distribution format,music download,What is the distribution format of A Thousand Years?,music download
When Love Takes Over,producer,David Guetta,Who is the producer of When Love Takes Over?,David Guetta
When Love Takes Over,lyricist,Kelly Rowland,Who is the lyricist of When Love Takes Over?,Kelly Rowland
When Love Takes Over,followed by,Sexy Bitch,What was When Love Takes Over followed by?,Sexy Bitch
I Know What You Want,lyricist,Busta Rhymes,Who is the lyricist of I Know What You Want?,Busta Rhymes
I Know What You Want,genre,hip hop music,What is the genre of I Know What You Want?,hip hop music
I Know What You Want,follows,Boy (I Need You),What does I Know What You Want follow?,Boy (I Need You)
When Love Takes Over,genre,dance music,What is the genre of When Love Takes Over?,dance music
Tomber la chemise,record label,Universal Music Group,What is the record label of Tomber la chemise?,Universal Music Group
J'aimerais tellement,distribution format,music download,What is the distribution format of J'aimerais tellement?,music download
J'aimerais tellement,performer,Jena Lee,Who does J'aimerais tellement performer?,Jena Lee
We Are the World,composer,Michael Jackson,Who is the composer of We Are the World?,Michael Jackson
Tomber la chemise,lyricist,Magyd Cherfi,Who is the lyricist of Tomber la chemise?,Magyd Cherfi
J'aimerais tellement,lyricist,Jena Lee,Who is the lyricist of J'aimerais tellement?,Jena Lee
Tomber la chemise,performer,Zebda,What does Tomber la chemise performer?,Zebda
We Are the World,language of work or name,English,What is the language of work or name of We Are the World?,English
Tomber la chemise,genre,pop rock,What is the genre of Tomber la chemise?,pop rock
In the Air Tonight,language of work or name,English,What is the language of work or name of In the Air Tonight?,English
In the Air Tonight,followed by,I Missed Again,What was In the Air Tonight followed by?,I Missed Again
Live Is Life,record label,Polydor Records,What is the record label of Live Is Life?,Polydor Records
We Are the World,lyricist,Lionel Richie,Who is the lyricist of We Are the World?,Lionel Richie
In the Air Tonight,lyricist,Phil Collins,Who is the lyricist of In the Air Tonight?,Phil Collins
Live Is Life,language of work or name,English,What is the language of work or name of Live Is Life?,English
Wavin' Flag,lyricist,Bruno Mars,Who is the lyricist of Wavin' Flag?,Bruno Mars
Live Is Life,composer,Ewald Pfleger,Who is the composer of Live Is Life?,Ewald Pfleger
In the Air Tonight,record label,Virgin Records,What is the record label of In the Air Tonight?,Virgin Records
In the Air Tonight,performer,Phil Collins,Who does In the Air Tonight performer?,Phil Collins
Wavin' Flag,sport,association football,What is the sport of Wavin' Flag?,association football
In the Air Tonight,genre,rock music,What is the genre of In the Air Tonight?,rock music
Wavin' Flag,follows,Troubadour,What does Wavin' Flag follow?,Troubadour
Wavin' Flag,followed by,Stop for a Minute,What was Wavin' Flag followed by?,Stop for a Minute
Wavin' Flag,performer,K’naan Warsame,Who does Wavin' Flag performer?,K’naan Warsame
Wavin' Flag,genre,hip hop music,What is the genre of Wavin' Flag?,hip hop music
Wavin' Flag,producer,Bob Ezrin,Who is the producer of Wavin' Flag?,Bob Ezrin
About You Now,lyricist,Dr. Luke,Who is the lyricist of About You Now?,Dr. Luke
Live Is Life,genre,pop rock,What is the genre of Live Is Life?,pop rock
About You Now,producer,Dr. Luke,Who is the producer of About You Now?,Dr. Luke
About You Now,distribution format,compact disc,What is the distribution format of About You Now?,compact disc
Wavin' Flag,distribution format,music download,What is the distribution format of Wavin' Flag?,music download
About You Now,performer,Sugababes,What does About You Now performer?,Sugababes
About You Now,record label,Island Records,What is the record label of About You Now?,Island Records
Last Friday Night (T.G.I.F.),named after,Friday,When was Last Friday Night (T.G.I.F.) named after?,Friday
Last Friday Night (T.G.I.F.),follows,E.T.,What does Last Friday Night (T.G.I.F.) follow?,E.T.
Last Friday Night (T.G.I.F.),followed by,The One That Got Away,What was Last Friday Night (T.G.I.F.) followed by?,The One That Got Away
Last Friday Night (T.G.I.F.),producer,Dr. Luke,Who is the producer of Last Friday Night (T.G.I.F.)?,Dr. Luke
About You Now,genre,synth-pop,What is the genre of About You Now?,synth-pop
Last Friday Night (T.G.I.F.),performer,Katy Perry,Who does Last Friday Night (T.G.I.F.) performer?,Katy Perry
Last Friday Night (T.G.I.F.),lyricist,Karl Martin,Who is the lyricist of Last Friday Night (T.G.I.F.)?,Karl Martin
Last Friday Night (T.G.I.F.),tonality,F-sharp major,What is the tonality of Last Friday Night (T.G.I.F.)?,F-sharp major
The One That Got Away,language of work or name,English,What is the language of work or name of The One That Got Away?,English
Last Friday Night (T.G.I.F.),record label,Capitol Records,What is the record label of Last Friday Night (T.G.I.F.)?,Capitol Records
Last Friday Night (T.G.I.F.),genre,dance-pop,What is the genre of Last Friday Night (T.G.I.F.)?,dance-pop
The One That Got Away,tonality,E major,What is the tonality of The One That Got Away?,E major
Last Friday Night (T.G.I.F.),language of work or name,English,What is the language of work or name of Last Friday Night (T.G.I.F.)?,English
The One That Got Away,record label,Capitol Records,What is the record label of The One That Got Away?,Capitol Records
Last Friday Night (T.G.I.F.),distribution format,compact disc,What is the distribution format of Last Friday Night (T.G.I.F.)?,compact disc
My Humps,follows,Don't Lie,What does My Humps follow?,Don't Lie
The One That Got Away,distribution format,music download,What is the distribution format of The One That Got Away?,music download
The One That Got Away,lyricist,Karl Martin,Who is the lyricist of The One That Got Away?,Karl Martin
My Humps,form of creative work,single,What is the form of creative work of My Humps?,single
Du hast,genre,industrial metal,What is the genre of Du hast?,industrial metal
The Miracle,language of work or name,English,What is the language of work or name of The Miracle?,English
It's My Life,performer,Dr. Alban,Who does It's My Life performer?,Dr. Alban
It's My Life,record label,Bertelsmann Music Group,What is the record label of It's My Life?,Bertelsmann Music Group
My Humps,followed by,Pump It,What was My Humps followed by?,Pump It
It's My Life,lyricist,Dr. Alban,Who is the lyricist of It's My Life?,Dr. Alban
The Miracle,performer,Queen,What does The Miracle performer?,Queen
It's My Life,language of work or name,English,What is the language of work or name of It's My Life?,English
The Miracle,producer,Queen,What is the producer of The Miracle?,Queen
The Miracle,composer,John Deacon,Who is the composer of The Miracle?,John Deacon
The Miracle,follows,Scandal,What does The Miracle follow?,Scandal
Du hast,distribution format,compact disc,What is the distribution format of Du hast?,compact disc
It's My Life,genre,Eurodance,What is the genre of It's My Life?,Eurodance
The Miracle,genre,rock music,What is the genre of The Miracle?,rock music
Du hast,follows,Engel,Who does Du hast follow?,Engel
The Miracle,country of origin,United Kingdom,What is the country of origin of The Miracle?,United Kingdom
Another One Bites the Dust,performer,Queen,What does Another One Bites the Dust performer?,Queen
Another One Bites the Dust,composer,John Deacon,Who is the composer of Another One Bites the Dust?,John Deacon
Du hast,language of work or name,German,What is the language of work or name of Du hast?,German
Another One Bites the Dust,follows,Play the Game,What does Another One Bites the Dust follow?,Play the Game
Crazy in Love,follows,'03 Bonnie & Clyde,When does Crazy in Love follow?,'03 Bonnie & Clyde
Another One Bites the Dust,lyricist,John Deacon,Who is the lyricist of Another One Bites the Dust?,John Deacon
All the Things She Said,language of work or name,English,What is the language of work or name of All the Things She Said?,English
Crazy in Love,record label,Columbia Records,What is the record label of Crazy in Love?,Columbia Records
All the Things She Said,performer,t.A.T.u.,What does All the Things She Said performer?,t.A.T.u.
All the Things She Said,producer,Trevor Horn,Who is the producer of All the Things She Said?,Trevor Horn
Superstar,language of work or name,English,What is the language of work or name of Superstar?,English
Superstar,follows,Turn Up the Radio,What does Superstar follow?,Turn Up the Radio
"(Shake, Shake, Shake) Shake Your Booty",performer,KC and the Sunshine Band,"What does (Shake, Shake, Shake) Shake Your Booty performer?",KC and the Sunshine Band
Pon de Replay,language of work or name,English,What is the language of work or name of Pon de Replay?,English
Pon de Replay,record label,Def Jam Recordings,What is the record label of Pon de Replay?,Def Jam Recordings
Pon de Replay,followed by,If It's Lovin' that You Want,What was Pon de Replay followed by?,If It's Lovin' that You Want
Pon de Replay,performer,Rihanna,Who does Pon de Replay performer?,Rihanna
The Lion Sleeps Tonight,performer,The Tokens,What does The Lion Sleeps Tonight performer?,The Tokens
The Lion Sleeps Tonight,record label,RCA Records,What is the record label of The Lion Sleeps Tonight?,RCA Records
"(Shake, Shake, Shake) Shake Your Booty",genre,pop music,"What is the genre of (Shake, Shake, Shake) Shake Your Booty?",pop music
Paris Latino,record label,Virgin Records,What is the record label of Paris Latino?,Virgin Records
Pon de Replay,distribution format,compact disc,What is the distribution format of Pon de Replay?,compact disc
The Lion Sleeps Tonight,producer,Hugo & Luigi,What is the producer of The Lion Sleeps Tonight?,Hugo & Luigi
The Lion Sleeps Tonight,creator,Solomon Linda,Who is the creator of The Lion Sleeps Tonight?,Solomon Linda
The Lion Sleeps Tonight,follows,Le Chat,What does The Lion Sleeps Tonight follow?,Le Chat
Paris Latino,genre,pop rap,What is the genre of Paris Latino?,pop rap
Rock Around the Clock,performer,Bill Haley & His Comets,Who does Rock Around the Clock performer?,Bill Haley & His Comets
Rock Around the Clock,record label,Decca,What is the record label of Rock Around the Clock?,Decca
I Should Be So Lucky,followed by,Got to Be Certain,What was I Should Be So Lucky followed by?,Got to Be Certain
I Should Be So Lucky,performer,Kylie Minogue,Who does I Should Be So Lucky performer?,Kylie Minogue
I Should Be So Lucky,record label,Mushroom Records,What is the record label of I Should Be So Lucky?,Mushroom Records
The One That Got Away,follows,Last Friday Night (T.G.I.F.),When does The One That Got Away follow?,Last Friday Night (T.G.I.F.)
The One That Got Away,followed by,Part of Me,What was The One That Got Away followed by?,Part of Me
Redemption Song,lyricist,Bob Marley,Who is the lyricist of Redemption Song?,Bob Marley
The One That Got Away,producer,Karl Martin,Who is the producer of The One That Got Away?,Karl Martin
The One That Got Away,genre,pop music,What is the genre of The One That Got Away?,pop music
I Should Be So Lucky,genre,dance-pop,What is the genre of I Should Be So Lucky?,dance-pop
Redemption Song,performer,Bob Marley,Who does Redemption Song performer?,Bob Marley
Redemption Song,composer,Bob Marley,Who is the composer of Redemption Song?,Bob Marley
Redemption Song,language of work or name,English,What is the language of work or name of Redemption Song?,English
Still D.R.E.,follows,Guilty Conscience,What does Still D.R.E. follow?,Guilty Conscience
Still D.R.E.,followed by,Forgot About Dre,What was Still D.R.E. followed by?,Forgot About Dre
Naughty Girl,lyricist,Giorgio Moroder,Who is the lyricist of Naughty Girl?,Giorgio Moroder
Redemption Song,genre,reggae,What is the genre of Redemption Song?,reggae
Naughty Girl,record label,Columbia Records,What is the record label of Naughty Girl?,Columbia Records
Still D.R.E.,genre,gangsta rap,What is the genre of Still D.R.E.?,gangsta rap
Halo,tonality,A major,What is the tonality of Halo?,A major
Halo,follows,Diva,What does Halo follow?,Diva
Halo,distribution format,music download,What is the distribution format of Halo?,music download
Halo,lyricist,Ryan Tedder,Who is the lyricist of Halo?,Ryan Tedder
Another Day in Paradise,distribution format,compact disc,What is the distribution format of Another Day in Paradise?,compact disc
Halo,language of work or name,English,What is the language of work or name of Halo?,English
Another Day in Paradise,lyricist,Phil Collins,Who is the lyricist of Another Day in Paradise?,Phil Collins
Another Day in Paradise,composer,Phil Collins,Who is the composer of Another Day in Paradise?,Phil Collins
Another Day in Paradise,follows,Two Hearts,What does Another Day in Paradise follow?,Two Hearts
Another Day in Paradise,followed by,I Wish It Would Rain Down,What was Another Day in Paradise followed by?,I Wish It Would Rain Down
Another Day in Paradise,performer,Phil Collins,Who does Another Day in Paradise performer?,Phil Collins
Another Day in Paradise,genre,soft rock,What is the genre of Another Day in Paradise?,soft rock
Boom Boom Pow,followed by,I Gotta Feeling,What was Boom Boom Pow followed by?,I Gotta Feeling
Boom Boom Pow,record label,Interscope Records,What is the record label of Boom Boom Pow?,Interscope Records
Boom Boom Pow,distribution format,music download,What is the distribution format of Boom Boom Pow?,music download
Boom Boom Pow,follows,Pump It,What does Boom Boom Pow follow?,Pump It
Naughty Girl,followed by,Check on It,What was Naughty Girl followed by?,Check on It
You Really Got Me,followed by,All Day and All of the Night,When was You Really Got Me followed by?,All Day and All of the Night
You Really Got Me,producer,Ted Templeman,Who is the producer of You Really Got Me?,Ted Templeman
You Really Got Me,lyricist,Ray Davies,Who is the lyricist of You Really Got Me?,Ray Davies
You Really Got Me,composer,Ray Davies,Who is the composer of You Really Got Me?,Ray Davies
You Really Got Me,performer,The Kinks,What does You Really Got Me performer?,The Kinks
You Really Got Me,record label,Elektra,What is the record label of You Really Got Me?,Elektra
Naughty Girl,genre,contemporary R&B,What is the genre of Naughty Girl?,contemporary R&B
I Know You Want Me,lyricist,Pitbull,What is the lyricist of I Know You Want Me?,Pitbull
I Know You Want Me,producer,Lil Jon,Who is the producer of I Know You Want Me?,Lil Jon
I Know You Want Me,performer,Pitbull,What does I Know You Want Me performer?,Pitbull
Spinning Around,language of work or name,English,What is the language of work or name of Spinning Around?,English
Spinning Around,followed by,On a Night Like This,What was Spinning Around followed by?,On a Night Like This
Spinning Around,lyricist,Paula Abdul,Who is the lyricist of Spinning Around?,Paula Abdul
Smile,producer,Avril Lavigne,Who is the producer of Smile?,Avril Lavigne
Spinning Around,performer,Kylie Minogue,Who does Spinning Around performer?,Kylie Minogue
Smile,record label,RCA Records,What is the record label of Smile?,RCA Records
Smile,performer,Avril Lavigne,Who does Smile performer?,Avril Lavigne
Smile,lyricist,Avril Lavigne,Who is the lyricist of Smile?,Avril Lavigne
Smile,followed by,Wish You Were Here,What was Smile followed by?,Wish You Were Here
Smile,follows,What the Hell,What does Smile follow?,What the Hell
I Know You Want Me,genre,hip house,What is the genre of I Know You Want Me?,hip house
Alejandro,follows,Telephone,What does Alejandro follow?,Telephone
Spinning Around,distribution format,compact disc,What is the distribution format of Spinning Around?,compact disc
Alejandro,language of work or name,English,What is the language of work or name of Alejandro?,English
Alejandro,record label,Interscope Records,What is the record label of Alejandro?,Interscope Records
Alejandro,tonality,B minor,What is the tonality of Alejandro?,B minor
Smile,composer,Karl Martin,Who is the composer of Smile?,Karl Martin
Alejandro,performer,Lady Gaga,Who does Alejandro performer?,Lady Gaga
Vamos a la playa,record label,A&M Records,What is the record label of Vamos a la playa?,A&M Records
Vamos a la playa,genre,Italo disco,What is the genre of Vamos a la playa?,Italo disco
Express Yourself,language of work or name,English,What is the language of work or name of Express Yourself?,English
Express Yourself,distribution format,compact disc,What is the distribution format of Express Yourself?,compact disc
Express Yourself,genre,pop music,What is the genre of Express Yourself?,pop music
California Gurls,record label,Capitol Records,What is the record label of California Gurls?,Capitol Records
California Gurls,producer,Karl Martin,Who is the producer of California Gurls?,Karl Martin
California Gurls,follows,If We Ever Meet Again,What does California Gurls follow?,If We Ever Meet Again
California Gurls,followed by,Teenage Dream,What was California Gurls followed by?,Teenage Dream
California Gurls,lyricist,Karl Martin,Who is the lyricist of California Gurls?,Karl Martin
California Gurls,genre,electropop,What is the genre of California Gurls?,electropop
California Gurls,tonality,F major,What is the tonality of California Gurls?,F major
Butterfly,followed by,Revolving Door,What was Butterfly followed by?,Revolving Door
California Gurls,language of work or name,English,What is the language of work or name of California Gurls?,English
In the Dark,producer,The Cataracs,What is the producer of In the Dark?,The Cataracs
California Gurls,distribution format,music download,What is the distribution format of California Gurls?,music download
Space Oddity,lyricist,David Bowie,Who is the lyricist of Space Oddity?,David Bowie
In the Dark,performer,Dev,What does In the Dark performer?,Dev
Space Oddity,language of work or name,English,What is the language of work or name of Space Oddity?,English
Space Oddity,composer,David Bowie,Who is the composer of Space Oddity?,David Bowie
Space Oddity,creator,David Bowie,Who is the creator of Space Oddity?,David Bowie
Space Oddity,performer,David Bowie,Who does Space Oddity performer?,David Bowie
Space Oddity,country of origin,United Kingdom,What is the country of origin of Space Oddity?,United Kingdom
Space Oddity,distribution format,vinyl record,What is the distribution format of Space Oddity?,vinyl record
Space Oddity,collection,Museum of Modern Art,What is the collection of Space Oddity?,Museum of Modern Art
In the Dark,record label,Universal Republic Records,What is the record label of In the Dark?,Universal Republic Records
Space Oddity,recorded at studio or venue,Trident Studios,What is the recorded at studio or venue of Space Oddity?,Trident Studios
In the Dark,genre,dance-pop,What is the genre of In the Dark?,dance-pop
Space Oddity,tonality,F major,What is the tonality of Space Oddity?,F major
In the Dark,distribution format,compact disc,What is the distribution format of In the Dark?,compact disc
Space Oddity,named after,Space Odyssey,What was Space Oddity named after?,Space Odyssey
Can't Get You Out of My Head,lyricist,Cathy Dennis,Who is the lyricist of Can't Get You Out of My Head?,Cathy Dennis
Can't Get You Out of My Head,language of work or name,English,What is the language of work or name of Can't Get You Out of My Head?,English
Space Oddity,producer,Gus Dudgeon,Who is the producer of Space Oddity?,Gus Dudgeon
Can't Get You Out of My Head,distribution format,compact disc,What is the distribution format of Can't Get You Out of My Head?,compact disc
Can't Get You Out of My Head,follows,Your Disco Needs You,What does Can't Get You Out of My Head follow?,Your Disco Needs You
Can't Get You Out of My Head,genre,house music,What is the genre of Can't Get You Out of My Head?,house music
Can't Get You Out of My Head,performer,Kylie Minogue,Who does Can't Get You Out of My Head performer?,Kylie Minogue
Party Rock Anthem,followed by,Champagne Showers,What was Party Rock Anthem followed by?,Champagne Showers
Party Rock Anthem,producer,Redfoo,Who is the producer of Party Rock Anthem?,Redfoo
Party Rock Anthem,record label,Interscope Records,What is the record label of Party Rock Anthem?,Interscope Records
Party Rock Anthem,follows,Gettin' Over You,What does Party Rock Anthem follow?,Gettin' Over You
Con te partirò,record label,Polydor Records,What is the record label of Con te partirò?,Polydor Records
Con te partirò,language of work or name,Italian,What is the language of work or name of Con te partirò?,Italian
Con te partirò,performer,Andrea Bocelli,Who does Con te partirò performer?,Andrea Bocelli
Con te partirò,producer,Mauro Malavasi,Who is the producer of Con te partirò?,Mauro Malavasi
Con te partirò,lyricist,Lucio Quarantotto,Who is the lyricist of Con te partirò?,Lucio Quarantotto
Con te partirò,distribution format,compact disc,What is the distribution format of Con te partirò?,compact disc
Nothing Compares 2 U,language of work or name,English,What is the language of work or name of Nothing Compares 2 U?,English
Party Rock Anthem,lyricist,LMFAO,What is the lyricist of Party Rock Anthem?,LMFAO
Con te partirò,tonality,G major,What is the tonality of Con te partirò?,G major
Con te partirò,genre,crossover,What is the genre of Con te partirò?,crossover
Nothing Compares 2 U,producer,Prince,What is the producer of Nothing Compares 2 U?,Prince
Nothing Compares 2 U,composer,Prince,What is the composer of Nothing Compares 2 U?,Prince
Firework,performer,Katy Perry,Who does Firework performer?,Katy Perry
Firework,follows,Teenage Dream,What does Firework follow?,Teenage Dream
Firework,followed by,E.T.,What was Firework followed by?,E.T.
Nothing Compares 2 U,lyricist,Prince,What is the lyricist of Nothing Compares 2 U?,Prince
Nothing Compares 2 U,performer,Sinéad O'Connor,Who does Nothing Compares 2 U performer?,Sinéad O'Connor
Firework,producer,Stargate,What is the producer of Firework?,Stargate
Te Amo,lyricist,Rihanna,Who is the lyricist of Te Amo?,Rihanna
Te Amo,followed by,Love the Way You Lie,What was Te Amo followed by?,Love the Way You Lie
Nothing Compares 2 U,genre,pop music,What is the genre of Nothing Compares 2 U?,pop music
Te Amo,follows,Rockstar 101,What does Te Amo follow?,Rockstar 101
Te Amo,performer,Rihanna,Who does Te Amo performer?,Rihanna
Firework,record label,Capitol Records,What is the record label of Firework?,Capitol Records
Te Amo,record label,Def Jam Recordings,What is the record label of Te Amo?,Def Jam Recordings
Te Amo,language of work or name,English,What is the language of work or name of Te Amo?,English
Te Amo,producer,Stargate,What is the producer of Te Amo?,Stargate
Te Amo,distribution format,music download,What is the distribution format of Te Amo?,music download
Open Your Heart,language of work or name,English,What is the language of work or name of Open Your Heart?,English
Open Your Heart,followed by,La Isla Bonita,What was Open Your Heart followed by?,La Isla Bonita
Firework,language of work or name,English,What is the language of work or name of Firework?,English
Barbie Girl,follows,My Oh My,What does Barbie Girl follow?,My Oh My
Barbie Girl,followed by,Doctor Jones,Who was Barbie Girl followed by?,Doctor Jones
Barbie Girl,form of creative work,single,What is the form of creative work of Barbie Girl?,single
All That She Wants,performer,Ace of Base,What does All That She Wants performer?,Ace of Base
Open Your Heart,genre,dance-pop,What is the genre of Open Your Heart?,dance-pop
Barbie Girl,performer,Aqua,What does Barbie Girl performer?,Aqua
All That She Wants,producer,Denniz Pop,Who is the producer of All That She Wants?,Denniz Pop
All That She Wants,lyricist,Jonas Berggren,Who is the lyricist of All That She Wants?,Jonas Berggren
All That She Wants,distribution format,compact disc,What is the distribution format of All That She Wants?,compact disc
All That She Wants,language of work or name,English,What is the language of work or name of All That She Wants?,English
All That She Wants,record label,Arista Records,What is the record label of All That She Wants?,Arista Records
I Wanna Go,language of work or name,English,What is the language of work or name of I Wanna Go?,English
I Wanna Go,followed by,Criminal,What was I Wanna Go followed by?,Criminal
I Wanna Go,record label,Jive Records,What is the record label of I Wanna Go?,Jive Records
I Wanna Go,tonality,D minor,What is the tonality of I Wanna Go?,D minor
I Wanna Go,charted in,Billboard Hot 100,What did I Wanna Go chart in?,Billboard Hot 100
All That She Wants,genre,dance-pop,What is the genre of All That She Wants?,dance-pop
I Wanna Go,composer,Karl Martin,Who is the composer of I Wanna Go?,Karl Martin
I Wanna Go,performer,Britney Spears,Who does I Wanna Go performer?,Britney Spears
Tik Tok,form of creative work,song,What is the form of creative work of Tik Tok?,song
I Wanna Go,producer,Dr. Luke,Who is the producer of I Wanna Go?,Dr. Luke
I Wanna Go,follows,Till the World Ends,What does I Wanna Go follow?,Till the World Ends
All That She Wants,follows,Wheel of Fortune,What does All That She Wants follow?,Wheel of Fortune
I Wanna Go,distribution format,music download,What is the distribution format of I Wanna Go?,music download
Tik Tok,language of work or name,English,What is the language of work or name of Tik Tok?,English
I Wanna Go,lyricist,Karl Martin,Who is the lyricist of I Wanna Go?,Karl Martin
Tik Tok,tonality,D minor,What is the tonality of Tik Tok?,D minor
Tik Tok,composer,Dr. Luke,Who is the composer of Tik Tok?,Dr. Luke
Tik Tok,record label,RCA Records,What is the record label of Tik Tok?,RCA Records
Tik Tok,followed by,Blah Blah Blah,Who was Tik Tok followed by?,Blah Blah Blah
Tik Tok,producer,Dr. Luke,Who is the producer of Tik Tok?,Dr. Luke
Tik Tok,follows,Right Round,What does Tik Tok follow?,Right Round
Hijo de la Luna,language of work or name,Spanish,What is the language of work or name of Hijo de la Luna?,Spanish
Hijo de la Luna,record label,Ariola,Who is the record label of Hijo de la Luna?,Ariola
Tik Tok,distribution format,music download,What is the distribution format of Tik Tok?,music download
