subject,relation,object,question,label
Brandenburg Gate,maintained by,BIM Berliner Immobilienmanagement,What was Brandenburg Gate maintained by?,BIM Berliner Immobilienmanagement
Brandenburg Gate,heritage designation,architectural heritage monument,What is the heritage designation of Brandenburg Gate?,architectural heritage monument
Brandenburg Gate,location,Dorotheenstadt,What is the location of Brandenburg Gate?,Dorotheenstadt
Gyeongbokgung,commissioned by,Taejo of Joseon,Who was Gyeongbokgung commissioned by?,Taejo of Joseon
Hollywood Walk of Fame,location,Hollywood,What is the location of Hollywood Walk of Fame?,Hollywood
Zion Gate,location,Old City of Jerusalem,What is the location of Zion Gate?,Old City of Jerusalem
Zion Gate,located in the administrative territorial entity,Jerusalem,What is the located in the administrative territorial entity of Zion Gate?,Jerusalem
Eiffel Tower,main building contractor,Gustave Eiffel,Who is the main building contractor of Eiffel Tower?,Gustave Eiffel
Eiffel Tower,commissioned by,Gustave Eiffel,Who was Eiffel Tower commissioned by?,Gustave Eiffel
Eiffel Tower,named after,Gustave Eiffel,Who was Eiffel Tower named after?,Gustave Eiffel
Eiffel Tower,architect,Stéphen Sauvestre,Who does Eiffel Tower architect?,Stéphen Sauvestre
Gyeongbokgung,closed on,Tuesday,When did Gyeongbokgung close on?,Tuesday
Eiffel Tower,offers view on,Le Jules Verne,Who does Eiffel Tower offer view on?,Le Jules Verne
bomboclat,country,Bolivia,What is the country of bomboclat?,Bolivia
Walt Disney World Resort,owned by,Disney Experiences,What was Walt Disney World Resort owned by?,Disney Experiences
Yellowstone National Park,highest point,Eagle Peak,What is the highest point of Yellowstone National Park?,Eagle Peak
Walt Disney World Resort,activity policy in this place,smoking ban,What is the activity policy in this place of Walt Disney World Resort?,smoking ban
Yellowstone National Park,authority,National Park Service,What is the authority of Yellowstone National Park?,National Park Service
Yellowstone National Park,heritage designation,World Heritage Site,What is the heritage designation of Yellowstone National Park?,World Heritage Site
Yellowstone National Park,operator,National Park Service,What is the operator of Yellowstone National Park?,National Park Service
Yellowstone National Park,distributed by,Google Play,What was Yellowstone National Park distributed by?,Google Play
Hundertwasserhaus,architectural style,expressionist architecture,What is the architectural style of Hundertwasserhaus?,expressionist architecture
Hundertwasserhaus,located in the administrative territorial entity,Vienna,What is the located in the administrative territorial entity of Hundertwasserhaus?,Vienna
Shanghai World Financial Center,architect,Kohn Pedersen Fox,Who does Shanghai World Financial Center architect?,Kohn Pedersen Fox
Hundertwasserhaus,named after,Friedensreich Hundertwasser,Who was Hundertwasserhaus named after?,Friedensreich Hundertwasser
Shanghai World Financial Center,significant event,construction,What is the significant event of Shanghai World Financial Center?,construction
Kronoberg Castle Ruin,located in or next to body of water,Helgasjön,What is the located in or next to body of water of Kronoberg Castle Ruin?,Helgasjön
Shanghai World Financial Center,main building contractor,China State Construction Engineering Corporation,What is the main building contractor of Shanghai World Financial Center?,China State Construction Engineering Corporation
Tower of London,commissioned by,William the Conqueror,Who was Tower of London commissioned by?,William the Conqueror
Tower of London,heritage designation,World Heritage Site,What is the heritage designation of Tower of London?,World Heritage Site
Tower of London,country,United Kingdom,What is the country of Tower of London?,United Kingdom
Tower of London,owned by,Charles III of the United Kingdom,Who was Tower of London owned by?,Charles III of the United Kingdom
Tower of London,founded by,William the Conqueror,Who was Tower of London founded by?,William the Conqueror
Tower of London,located in the administrative territorial entity,London Borough of Tower Hamlets,What is the located in the administrative territorial entity of Tower of London?,London Borough of Tower Hamlets
Tower of London,made from material,mudstone,What is the made from material of Tower of London?,mudstone
Kronoberg Castle Ruin,owned by,National Property Board of Sweden,What was Kronoberg Castle Ruin owned by?,National Property Board of Sweden
Leshan Giant Buddha,located in the administrative territorial entity,Sichuan,What is the located in the administrative territorial entity of Leshan Giant Buddha?,Sichuan
Ellis Island,located in protected area,Statue of Liberty National Monument,What is the located in protected area of Ellis Island?,Statue of Liberty National Monument
Vatican City,driving side,right,What is the driving side of Vatican City?,right
Leshan Giant Buddha,significant event,construction,What is the significant event of Leshan Giant Buddha?,construction
Vatican City,office held by head of state,pope,What is the office held by head of state of Vatican City?,pope
Leshan Giant Buddha,genre,public art,What is the genre of Leshan Giant Buddha?,public art
Vatican City,house publication,Acta Apostolicae Sedis,What is the house publication of Vatican City?,Acta Apostolicae Sedis
Leshan Giant Buddha,depicts,Maitreya,Who does Leshan Giant Buddha depict?,Maitreya
Leshan Giant Buddha,main subject,Maitreya,Who is the main subject of Leshan Giant Buddha?,Maitreya
Dung Gate,architectural style,Islamic architecture,What is the architectural style of Dung Gate?,Islamic architecture
Piazza Navona,architectural style,baroque architecture,What is the architectural style of Piazza Navona?,baroque architecture
Piazza Navona,movement,Baroque,What is the movement of Piazza Navona?,Baroque
Dung Gate,named after,Magharibah,What was Dung Gate named after?,Magharibah
Dung Gate,country,State of Palestine,What is the country of Dung Gate?,State of Palestine
Dung Gate,located in the administrative territorial entity,Jerusalem,What is the located in the administrative territorial entity of Dung Gate?,Jerusalem
Anafiotika,named after,Anafi,Who was Anafiotika named after?,Anafi
Spandau Citadel,architectural style,Renaissance architecture,What is the architectural style of Spandau Citadel?,Renaissance architecture
Spandau Citadel,architect,Rocco Guerrini,Who does Spandau Citadel architect?,Rocco Guerrini
Spandau Citadel,country,Germany,What is the country of Spandau Citadel?,Germany
Potala Palace,located in the administrative territorial entity,Lhasa District,What is the located in the administrative territorial entity of Potala Palace?,Lhasa District
Anadoluhisarı,located in the administrative territorial entity,Beykoz,What is the located in the administrative territorial entity of Anadoluhisarı?,Beykoz
Dung Gate,location,Old City of Jerusalem,What is the location of Dung Gate?,Old City of Jerusalem
Dung Gate,described by source,Encyclopædia Britannica Online,What is the described by source of Dung Gate?,Encyclopædia Britannica Online
Tower Bridge,country,United Kingdom,What is the country of Tower Bridge?,United Kingdom
Tower Bridge,structural engineer,Horace Jones,Who is the structural engineer of Tower Bridge?,Horace Jones
Tower Bridge,architectural style,Gothic Revival,What is the architectural style of Tower Bridge?,Gothic Revival
Tower Bridge,architect,Horace Jones,Who does Tower Bridge architect?,Horace Jones
Tower Bridge,maintained by,Bridge House Estates,What was Tower Bridge maintained by?,Bridge House Estates
Tower Bridge,named after,Tower of London,What was Tower Bridge named after?,Tower of London
Christ the Redeemer,country,Brazil,What is the country of Christ the Redeemer?,Brazil
Christ the Redeemer,location,Corcovado,What is the location of Christ the Redeemer?,Corcovado
Christ the Redeemer,main subject,Jesus,Who is the main subject of Christ the Redeemer?,Jesus
Christ the Redeemer,located in the administrative territorial entity,Alto da Boa Vista,What is the located in the administrative territorial entity of Christ the Redeemer?,Alto da Boa Vista
Christ the Redeemer,genre,public art,What is the genre of Christ the Redeemer?,public art
Christ the Redeemer,significant event,lightning strike,What is the significant event of Christ the Redeemer?,lightning strike
Mariinsky Theatre,musical conductor,Valery Gergiev,Who is the musical conductor of Mariinsky Theatre?,Valery Gergiev
Mariinsky Theatre,director / manager,Valery Gergiev,Who is the director / manager of Mariinsky Theatre?,Valery Gergiev
Mariinsky Theatre,named after,Maria Alexandrovna of Russia (Marie of Hesse),Who was Mariinsky Theatre named after?,Maria Alexandrovna of Russia (Marie of Hesse)
Mariinsky Theatre,field of work,performing arts,What is the field of work of Mariinsky Theatre?,performing arts
Mariinsky Theatre,described by source,Brockhaus and Efron Encyclopedic Dictionary,Who is the described by source of Mariinsky Theatre?,Brockhaus and Efron Encyclopedic Dictionary
Dune of Pilat,made from material,sand,What is the made from material of Dune of Pilat?,sand
Mariinsky Theatre,occupant,Mariinsky Ballet,What is the occupant of Mariinsky Theatre?,Mariinsky Ballet
Mariinsky Theatre,has part(s),Mariinsky Ballet,What does Mariinsky Theatre have part(s )?,Mariinsky Ballet
Mariinsky Theatre,architect,Alberto Cavos,Who does Mariinsky Theatre architect?,Alberto Cavos
Rumelihisarı,commissioned by,Mehmed the Conqueror,Who was Rumelihisarı commissioned by?,Mehmed the Conqueror
Falkirk Wheel,made from material,steel,What is the made from material of Falkirk Wheel?,steel
Rumelihisarı,founded by,Mehmed the Conqueror,Who was Rumelihisarı founded by?,Mehmed the Conqueror
Falkirk Wheel,country,United Kingdom,What is the country of Falkirk Wheel?,United Kingdom
Drottningholm Palace,commissioned by,Hedvig Eleonora of Holstein-Gottorp,Who was Drottningholm Palace commissioned by?,Hedvig Eleonora of Holstein-Gottorp
Drottningholm Palace,architect,Nicodemus Tessin the Elder,Who does Drottningholm Palace architect?,Nicodemus Tessin the Elder
Drottningholm Palace,owned by,National Property Board of Sweden,What was Drottningholm Palace owned by?,National Property Board of Sweden
Drottningholm Palace,operator,Royal Court of Sweden,What is the operator of Drottningholm Palace?,Royal Court of Sweden
Vadstena Abbey,architectural style,Gothic architecture,What is the architectural style of Vadstena Abbey?,Gothic architecture
Drottningholm Palace,architectural style,Baroque art,What is the architectural style of Drottningholm Palace?,Baroque art
Vadstena Abbey,religion or worldview,Catholicism,What is the religion or worldview of Vadstena Abbey?,Catholicism
Vadstena Abbey,religious order,Bridgettines,What is the religious order of Vadstena Abbey?,Bridgettines
Drottningholm Palace,heritage designation,World Heritage Site,What is the heritage designation of Drottningholm Palace?,World Heritage Site
Sultan Ahmed Mosque,heritage designation,World Heritage Site,What is the heritage designation of Sultan Ahmed Mosque?,World Heritage Site
Sultan Ahmed Mosque,architectural style,Ottoman architecture,What is the architectural style of Sultan Ahmed Mosque?,Ottoman architecture
Vadstena Abbey,location,Vadstena,What is the location of Vadstena Abbey?,Vadstena
Sultan Ahmed Mosque,commissioned by,Ahmed I,Who was Sultan Ahmed Mosque commissioned by?,Ahmed I
Sultan Ahmed Mosque,founded by,Ahmed I,Who was Sultan Ahmed Mosque founded by?,Ahmed I
Sultan Ahmed Mosque,named after,Laura,Who was Sultan Ahmed Mosque named after?,Laura
Sultan Ahmed Mosque,architect,Sedefkar Mehmed Agha,Who does Sultan Ahmed Mosque architect?,Sedefkar Mehmed Agha
Nördlingen,located in the administrative territorial entity,Donau-Ries,Who is the located in the administrative territorial entity of Nördlingen?,Donau-Ries
Mount Ararat,mountain range,Armenian Highlands,What is the mountain range of Mount Ararat?,Armenian Highlands
Ankara Castle,architectural style,Byzantine architecture,What is the architectural style of Ankara Castle?,Byzantine architecture
Nördlingen,country,Germany,What is the country of Nördlingen?,Germany
Petronas Towers,architectural style,postmodern architecture,What is the architectural style of Petronas Towers?,postmodern architecture
Petronas Towers,structural engineer,Thornton Tomasetti,Who is the structural engineer of Petronas Towers?,Thornton Tomasetti
Sutton Hoo,maintained by,National Trust,What was Sutton Hoo maintained by?,National Trust
Ankara Castle,located in the administrative territorial entity,Ankara,What is the located in the administrative territorial entity of Ankara Castle?,Ankara
Petronas Towers,architect,César Pelli,Who does Petronas Towers architect?,César Pelli
Petronas Towers,named after,Petronas,What was Petronas Towers named after?,Petronas
Petronas Towers,owned by,Petronas,What was Petronas Towers owned by?,Petronas
Galata Tower,architectural style,Romanesque architecture,What is the architectural style of Galata Tower?,Romanesque architecture
Petronas Towers,located in the administrative territorial entity,Kuala Lumpur,What is the located in the administrative territorial entity of Petronas Towers?,Kuala Lumpur
Sutton Hoo,country,United Kingdom,What is the country of Sutton Hoo?,United Kingdom
Petronas Towers,country,Malaysia,What is the country of Petronas Towers?,Malaysia
Sutton Hoo,operator,National Trust,What is the operator of Sutton Hoo?,National Trust
Galata Tower,made from material,stone,What is the made from material of Galata Tower?,stone
Sutton Hoo,owned by,National Trust,What was Sutton Hoo owned by?,National Trust
Galata Tower,location,Galata,What is the location of Galata Tower?,Galata
Sutton Hoo,located in the administrative territorial entity,Sutton,Who is the located in the administrative territorial entity of Sutton Hoo?,Sutton
Pantheon,made from material,concrete,What is the made from material of Pantheon?,concrete
Pantheon,located in the administrative territorial entity,Rome,What is the located in the administrative territorial entity of Pantheon?,Rome
Circus Maximus,described by source,Encyclopædia Britannica 11th edition,What is the described by source of Circus Maximus?,Encyclopædia Britannica 11th edition
Mount Everest,named after,George Everest,Who was Mount Everest named after?,George Everest
Pantheon,religion or worldview,Catholicism,What is the religion or worldview of Pantheon?,Catholicism
Pantheon,architectural style,ancient Roman architecture,What is the architectural style of Pantheon?,ancient Roman architecture
Pantheon,diocese,Diocese of Rome,What is the diocese of Pantheon?,Diocese of Rome
Pantheon,location,Pigna,Who is the location of Pantheon?,Pigna
Mount Everest,described by source,Encyclopædia Britannica 11th edition,What is the described by source of Mount Everest?,Encyclopædia Britannica 11th edition
Basilica of San Francesco d'Assisi,religious order,Conventual Franciscans,What is the religious order of Basilica of San Francesco d'Assisi?,Conventual Franciscans
Basilica of San Francesco d'Assisi,has part(s),Sacro Convento,What does Basilica of San Francesco d'Assisi have part(s )?,Sacro Convento
Basilica of San Francesco d'Assisi,named after,Francis of Assisi,Who was Basilica of San Francesco d'Assisi named after?,Francis of Assisi
Basilica of San Francesco d'Assisi,patron saint,Francis of Assisi,Who is the patron saint of Basilica of San Francesco d'Assisi?,Francis of Assisi
Basilica of San Francesco d'Assisi,religion or worldview,Catholicism,What is the religion or worldview of Basilica of San Francesco d'Assisi?,Catholicism
Basilica of San Francesco d'Assisi,diocese,Roman Catholic Diocese of Assisi-Nocera Umbra-Gualdo Tadino,What is the diocese of Basilica of San Francesco d'Assisi?,Roman Catholic Diocese of Assisi-Nocera Umbra-Gualdo Tadino
Carrauntoohil,made from material,sandstone,What is the made from material of Carrauntoohil?,sandstone
Basilica of San Francesco d'Assisi,Christian liturgical rite,Roman Rite,What is the Christian liturgical rite of Basilica of San Francesco d'Assisi?,Roman Rite
Carrauntoohil,mountain range,MacGillycuddy's Reeks,What is the mountain range of Carrauntoohil?,MacGillycuddy's Reeks
Millau Viaduct,made from material,reinforced concrete,What is the made from material of Millau Viaduct?,reinforced concrete
Millau Viaduct,architectural style,high-tech architecture,What is the architectural style of Millau Viaduct?,high-tech architecture
Millau Viaduct,structural engineer,Michel Virlogeux,Who is the structural engineer of Millau Viaduct?,Michel Virlogeux
Millau Viaduct,carries,A75 autoroute,What does Millau Viaduct carry?,A75 autoroute
avenue des Champs-Élysées,named after,Elysium,What was avenue des Champs-Élysées named after?,Elysium
Fifth Avenue,located in the administrative territorial entity,Manhattan,What is the located in the administrative territorial entity of Fifth Avenue?,Manhattan
Menshikov Palace (Saint Petersburg),country,Russia,What is the country of Menshikov Palace (Saint Petersburg)?,Russia
Panathenaic Stadium,location,Athens,What is the location of Panathenaic Stadium?,Athens
Panathenaic Stadium,architectural style,ancient Greek architecture,What is the architectural style of Panathenaic Stadium?,ancient Greek architecture
Panathenaic Stadium,made from material,marble,What is the made from material of Panathenaic Stadium?,marble
Panathenaic Stadium,operator,Hellenic Olympic Committee,What is the operator of Panathenaic Stadium?,Hellenic Olympic Committee
Panathenaic Stadium,culture,Ancient Greece,What is the culture of Panathenaic Stadium?,Ancient Greece
Panathenaic Stadium,occupant,Hellenic Olympic Committee,What is the occupant of Panathenaic Stadium?,Hellenic Olympic Committee
Panathenaic Stadium,sponsor,Stavros Niarchos Foundation,What does Panathenaic Stadium sponsor?,Stavros Niarchos Foundation
El Nido,Köppen climate classification,tropical climate,What is the Köppen climate classification of El Nido?,tropical climate
Panathenaic Stadium,owned by,Hellenic Olympic Committee,What was Panathenaic Stadium owned by?,Hellenic Olympic Committee
Panathenaic Stadium,named after,Panathenaic Games,What was Panathenaic Stadium named after?,Panathenaic Games
El Nido,office held by head of government,mayor,What is the office held by head of government of El Nido?,mayor
Berlin Hauptbahnhof,operator,DB InfraGO AG,What is the operator of Berlin Hauptbahnhof?,DB InfraGO AG
Berlin Hauptbahnhof,owned by,Deutsche Bahn,What was Berlin Hauptbahnhof owned by?,Deutsche Bahn
Fountains Abbey,heritage designation,World Heritage Site,What is the heritage designation of Fountains Abbey?,World Heritage Site
Berlin Hauptbahnhof,country,Germany,What is the country of Berlin Hauptbahnhof?,Germany
Fountains Abbey,religious order,Cistercians,What is the religious order of Fountains Abbey?,Cistercians
Smallest House in Great Britain,location,Conwy,What is the location of Smallest House in Great Britain?,Conwy
Fountains Abbey,described by source,Encyclopædia Britannica 11th edition,What is the described by source of Fountains Abbey?,Encyclopædia Britannica 11th edition
Smallest House in Great Britain,located in the administrative territorial entity,Conwy,What is the located in the administrative territorial entity of Smallest House in Great Britain?,Conwy
Smallest House in Great Britain,country,United Kingdom,What is the country of Smallest House in Great Britain?,United Kingdom
Saalburg Roman Fort,operator,Saalburgmuseum,What is the operator of Saalburg Roman Fort?,Saalburgmuseum
Ben Nevis,made from material,igneous rock,What is the made from material of Ben Nevis?,igneous rock
Saalburg Roman Fort,country,Germany,What is the country of Saalburg Roman Fort?,Germany
La Défense,executive body,Paris La Défense,What is the executive body of La Défense?,Paris La Défense
Ben Nevis,described by source,Encyclopædia Britannica 11th edition,What is the described by source of Ben Nevis?,Encyclopædia Britannica 11th edition
Ben Nevis,location,Scottish Highlands,What is the location of Ben Nevis?,Scottish Highlands
Mount Vesuvius,located in protected area,Vesuvius National Park,What is the located in protected area of Mount Vesuvius?,Vesuvius National Park
Mount Vesuvius,made from material,tephrite,What is the made from material of Mount Vesuvius?,tephrite
Ben Nevis,country,United Kingdom,What is the country of Ben Nevis?,United Kingdom
Mount Vesuvius,volcano observatory,Vesuvius Observatory,What is the volcano observatory of Mount Vesuvius?,Vesuvius Observatory
Ben Nevis,located in the administrative territorial entity,Highland,What is the located in the administrative territorial entity of Ben Nevis?,Highland
Ben Nevis,time period,Devonian,What is the time period of Ben Nevis?,Devonian
Lugnaquilla,located in the administrative territorial entity,County Wicklow,What is the located in the administrative territorial entity of Lugnaquilla?,County Wicklow
Lugnaquilla,origin of the watercourse,River Slaney,What is the origin of the watercourse of Lugnaquilla?,River Slaney
Lugnaquilla,historic county,County Wicklow,What is the historic county of Lugnaquilla?,County Wicklow
Ponte Vecchio,made from material,stone,What is the made from material of Ponte Vecchio?,stone
Fountains Abbey,maintained by,National Trust,What was Fountains Abbey maintained by?,National Trust
El Nido,located in the administrative territorial entity,Palawan,What is the located in the administrative territorial entity of El Nido?,Palawan
Fountains Abbey,operator,English Heritage,What is the operator of Fountains Abbey?,English Heritage
Fountains Abbey,country,United Kingdom,What is the country of Fountains Abbey?,United Kingdom
Place Bellecour,shape,trapezoid,What does Place Bellecour shape?,trapezoid
El Nido,country,Philippines,What is the country of El Nido?,Philippines
Fountains Abbey,owned by,English Heritage,What was Fountains Abbey owned by?,English Heritage
Fountains Abbey,religion or worldview,Catholicism,What is the religion or worldview of Fountains Abbey?,Catholicism
Place Bellecour,located in the administrative territorial entity,2nd arrondissement of Lyon,What is the located in the administrative territorial entity of Place Bellecour?,2nd arrondissement of Lyon
Fountains Abbey,made from material,stone,What is the made from material of Fountains Abbey?,stone
Pantheon,culture,culture of ancient Rome,What is the culture of Pantheon?,culture of ancient Rome
Ubud,country,Indonesia,What is the country of Ubud?,Indonesia
Altare della Patria,located in the administrative territorial entity,Rome,What is the located in the administrative territorial entity of Altare della Patria?,Rome
Pantheon,Wi-Fi access,gratis,What is the Wi-Fi access of Pantheon?,gratis
Altare della Patria,Wi-Fi access,gratis,What is the Wi-Fi access of Altare della Patria?,gratis
Altare della Patria,architect,Giuseppe Sacconi,Who does Altare della Patria architect?,Giuseppe Sacconi
Angel Falls,named after,Jimmie Angel,Who was Angel Falls named after?,Jimmie Angel
Altare della Patria,owned by,Ministry of Culture,What was Altare della Patria owned by?,Ministry of Culture
Angel Falls,location,Auyantepui,What is the location of Angel Falls?,Auyantepui
Rila Monastery,religion or worldview,Eastern Orthodox Church,What is the religion or worldview of Rila Monastery?,Eastern Orthodox Church
Yenidze,architect,Martin Heinrich Hammitzsch,Who does Yenidze architect?,Martin Heinrich Hammitzsch
Rila Monastery,founded by,John of Rila,Who was Rila Monastery founded by?,John of Rila
Giant's Causeway,maintained by,National Trust,What was Giant's Causeway maintained by?,National Trust
Giant's Causeway,described by source,Encyclopædia Britannica 11th edition,What is the described by source of Giant's Causeway?,Encyclopædia Britannica 11th edition
Yenidze,country,Germany,What is the country of Yenidze?,Germany
Giant's Causeway,heritage designation,World Heritage Site,What is the heritage designation of Giant's Causeway?,World Heritage Site
Ponte Vecchio,heritage designation,World Heritage Site,What is the heritage designation of Ponte Vecchio?,World Heritage Site
Giant's Causeway,historic county,County Antrim,What is the historic county of Giant's Causeway?,County Antrim
Euromast,architect,Hugh Maaskant,Who does Euromast architect?,Hugh Maaskant
Giant's Causeway,country,United Kingdom,What is the country of Giant's Causeway?,United Kingdom
Giant's Causeway,located in the administrative territorial entity,Causeway Coast and Glens,What is the located in the administrative territorial entity of Giant's Causeway?,Causeway Coast and Glens
Euromast,offers view on,Rotterdam,What does Euromast offer view on?,Rotterdam
Euromast,located in the administrative territorial entity,Rotterdam,What is the located in the administrative territorial entity of Euromast?,Rotterdam
Ani,official language,Armenian,What is the official language of Ani?,Armenian
Euromast,significant event,construction,What is the significant event of Euromast?,construction
Euromast,architectural style,modern architecture,What is the architectural style of Euromast?,modern architecture
Euromast,made from material,reinforced concrete,What is the made from material of Euromast?,reinforced concrete
Edinburgh Castle,country,United Kingdom,What is the country of Edinburgh Castle?,United Kingdom
Edinburgh Castle,operator,Historic Environment Scotland,What is the operator of Edinburgh Castle?,Historic Environment Scotland
Edinburgh Castle,located in the administrative territorial entity,City of Edinburgh,What is the located in the administrative territorial entity of Edinburgh Castle?,City of Edinburgh
Ani,heritage designation,World Heritage Site,What is the heritage designation of Ani?,World Heritage Site
Eketorp Fort,located in/on physical feature,Stora Alvaret,What is the located in/on physical feature of Eketorp Fort?,Stora Alvaret
Edinburgh Castle,historic county,Midlothian,What is the historic county of Edinburgh Castle?,Midlothian
Harburg Castle,country,Germany,What is the country of Harburg Castle?,Germany
Haw Par Villa,significant event,construction,What is the significant event of Haw Par Villa?,construction
Brooklyn Bridge,named after,Brooklyn,What was Brooklyn Bridge named after?,Brooklyn
Haw Par Villa,country,Singapore,What is the country of Haw Par Villa?,Singapore
Brooklyn Bridge,designed by,John Augustus Roebling,Who was Brooklyn Bridge designed by?,John Augustus Roebling
Brooklyn Bridge,structural engineer,John Augustus Roebling,Who is the structural engineer of Brooklyn Bridge?,John Augustus Roebling
Brooklyn Bridge,architectural style,Gothic Revival,What is the architectural style of Brooklyn Bridge?,Gothic Revival
Brooklyn Bridge,significant event,construction,What is the significant event of Brooklyn Bridge?,construction
Brooklyn Bridge,heritage designation,National Historic Landmark,What is the heritage designation of Brooklyn Bridge?,National Historic Landmark
Death Valley,located in the administrative territorial entity,Inyo County,What is the located in the administrative territorial entity of Death Valley?,Inyo County
Graceland,architectural style,Colonial Revival architecture,What is the architectural style of Graceland?,Colonial Revival architecture
Death Valley,located in protected area,Death Valley National Park,What is the located in protected area of Death Valley?,Death Valley National Park
Death Valley,highest point,Telescope Peak,What is the highest point of Death Valley?,Telescope Peak
Castle of the Masovian Dukes in Ciechanów,architectural style,Gothic art,What is the architectural style of Castle of the Masovian Dukes in Ciechanów?,Gothic art
Castle of the Masovian Dukes in Ciechanów,activity policy in this place,smoking ban,What is the activity policy in this place of Castle of the Masovian Dukes in Ciechanów?,smoking ban
Castle of the Masovian Dukes in Ciechanów,located in or next to body of water,Łydynia,What is the located in or next to body of water of Castle of the Masovian Dukes in Ciechanów?,Łydynia
Graceland,occupant,Elvis Presley,Who is the occupant of Graceland?,Elvis Presley
Graceland,heritage designation,National Historic Landmark,What is the heritage designation of Graceland?,National Historic Landmark
Harburg Castle,commissioned by,"Albert Ernest II, 2nd Prince of Oettingen-Oettingen",Who was Harburg Castle commissioned by?,"Albert Ernest II, 2nd Prince of Oettingen-Oettingen"
Harburg Castle,located in the administrative territorial entity,Harburg,What is the located in the administrative territorial entity of Harburg Castle?,Harburg
Skukuza,named after,James Stevenson-Hamilton,Who was Skukuza named after?,James Stevenson-Hamilton
Skukuza,country,South Africa,What is the country of Skukuza?,South Africa
Brooklyn Bridge,architect,John Augustus Roebling,Who does Brooklyn Bridge architect?,John Augustus Roebling
Lincoln Memorial,commemorates,Abraham Lincoln,Who does Lincoln Memorial commemorate?,Abraham Lincoln
Lincoln Memorial,named after,Abraham Lincoln,Who was Lincoln Memorial named after?,Abraham Lincoln
Lincoln Memorial,located in the administrative territorial entity,"Washington, D.C.",What is the located in the administrative territorial entity of Lincoln Memorial?,"Washington, D.C."
Lincoln Memorial,made from material,reinforced concrete,What is the made from material of Lincoln Memorial?,reinforced concrete
Lincoln Memorial,depicts,Abraham Lincoln,Who does Lincoln Memorial depict?,Abraham Lincoln
Lincoln Memorial,architectural style,Greek Revival architecture,What is the architectural style of Lincoln Memorial?,Greek Revival architecture
Lincoln Memorial,creator,Daniel Chester French,Who is the creator of Lincoln Memorial?,Daniel Chester French
Basilica of Saint Nicholas,religious order,Dominican Order,What is the religious order of Basilica of Saint Nicholas?,Dominican Order
Lincoln Memorial,operator,National Park Service,What is the operator of Lincoln Memorial?,National Park Service
Lincoln Memorial,architect,Henry Bacon,Who does Lincoln Memorial architect?,Henry Bacon
Basilica of Saint Nicholas,religion or worldview,Catholicism,What is the religion or worldview of Basilica of Saint Nicholas?,Catholicism
Basilica of Saint Nicholas,Christian liturgical rite,Roman Rite,What is the Christian liturgical rite of Basilica of Saint Nicholas?,Roman Rite
