subject,relation,object,question,label
Muhammad Yunus,child,Monica Yunus,Who is the child of Muhammad Yunus?,Monica Yunus
William Norris,residence,Minneapolis,What is the residence of William Norris?,Minneapolis
William Norris,place of death,Bloomington,What is the place of death of William Norris?,Bloomington
William Norris,manner of death,natural causes,What is the manner of death of William Norris?,natural causes
William Norris,educated at,University of Nebraska–Lincoln,What was William Norris educated at?,University of Nebraska–Lincoln
William Norris,place of birth,Red Cloud,What is the place of birth of William Norris?,Red Cloud
Antonio Brufau Niubó,sex or gender,male,What is the sex or gender of Antonio Brufau Niubó?,male
Denis Thatcher,member of political party,Conservative Party,What is the member of political party of Denis Thatcher?,Conservative Party
Denis Thatcher,military branch,British Army,What is the military branch of Denis Thatcher?,British Army
Denis Thatcher,noble title,baronet,What is the noble title of Denis Thatcher?,baronet
William Norris,given name,William,Who is the given name of William Norris?,William
Denis Thatcher,place of burial,Royal Hospital Chelsea,What is the place of burial of Denis Thatcher?,Royal Hospital Chelsea
Denis Thatcher,educated at,Mill Hill School,What was Denis Thatcher educated at?,Mill Hill School
Denis Thatcher,country of citizenship,United Kingdom,What is the country of citizenship of Denis Thatcher?,United Kingdom
William Norris,sex or gender,male,What is the sex or gender of William Norris?,male
Anders Behring Breivik,place of birth,Oslo,What is the place of birth of Anders Behring Breivik?,Oslo
Denis Thatcher,sex or gender,male,What is the sex or gender of Denis Thatcher?,male
Anders Behring Breivik,religion or worldview,Lutheranism,What is the religion or worldview of Anders Behring Breivik?,Lutheranism
Anders Behring Breivik,described by source,Great Norwegian Encyclopedia,What is the described by source of Anders Behring Breivik?,Great Norwegian Encyclopedia
Anders Behring Breivik,field of work,terrorism,What is the field of work of Anders Behring Breivik?,terrorism
Anders Behring Breivik,residence,Oslo,What is the residence of Anders Behring Breivik?,Oslo
Anders Behring Breivik,country of citizenship,Norway,What is the country of citizenship of Anders Behring Breivik?,Norway
Anders Behring Breivik,defender,Geir Lippestad,Who is the defender of Anders Behring Breivik?,Geir Lippestad
Anders Behring Breivik,member of political party,Progress Party,What is the member of political party of Anders Behring Breivik?,Progress Party
Denis Thatcher,military or police rank,major,What is the military or police rank of Denis Thatcher?,major
Anders Behring Breivik,father,Jens Breivik,Who is the father of Anders Behring Breivik?,Jens Breivik
Denis Thatcher,manner of death,natural causes,What is the manner of death of Denis Thatcher?,natural causes
Anders Behring Breivik,family name,Hansen,Who is the family name of Anders Behring Breivik?,Hansen
Denis Thatcher,conflict,World War II,What is the conflict of Denis Thatcher?,World War II
Edmund Rumpler,academic major,mechanical engineering,What is the academic major of Edmund Rumpler?,mechanical engineering
Anders Behring Breivik,sex or gender,male,What is the sex or gender of Anders Behring Breivik?,male
Edmund Rumpler,place of birth,Vienna,What is the place of birth of Edmund Rumpler?,Vienna
Denis Thatcher,cause of death,pancreatic cancer,What is the cause of death of Denis Thatcher?,pancreatic cancer
Edmund Rumpler,educated at,TU Wien,What was Edmund Rumpler educated at?,TU Wien
Sebastián Piñera,native language,Spanish,What is the native language of Sebastián Piñera?,Spanish
Edmund Rumpler,given name,Elias,Who is the given name of Edmund Rumpler?,Elias
Edmund Rumpler,sex or gender,male,What is the sex or gender of Edmund Rumpler?,male
Sebastián Piñera,country of citizenship,Chile,What is the country of citizenship of Sebastián Piñera?,Chile
Sebastián Piñera,religion or worldview,Catholicism,What is the religion or worldview of Sebastián Piñera?,Catholicism
Sebastián Piñera,place of birth,Santiago,What is the place of birth of Sebastián Piñera?,Santiago
Sebastián Piñera,member of political party,independent politician,What is the member of political party of Sebastián Piñera?,independent politician
Sebastián Piñera,spouse,Cecilia Morel,Who is the spouse of Sebastián Piñera?,Cecilia Morel
Armen Sarkissian,place of birth,Yerevan,What is the place of birth of Armen Sarkissian?,Yerevan
Armen Sarkissian,member of political party,independent politician,What is the member of political party of Armen Sarkissian?,independent politician
Armen Sarkissian,educated at,Yerevan State University,What was Armen Sarkissian educated at?,Yerevan State University
Armen Sarkissian,employer,Yerevan State University,What is the employer of Armen Sarkissian?,Yerevan State University
Sebastián Piñera,sex or gender,male,What is the sex or gender of Sebastián Piñera?,male
Armen Sarkissian,spouse,Nouneh Sarkissian,Who is the spouse of Armen Sarkissian?,Nouneh Sarkissian
Herbert Felix,ethnic group,Germans,What is the ethnic group of Herbert Felix?,Germans
Herbert Felix,military or police rank,lieutenant,What is the military or police rank of Herbert Felix?,lieutenant
Sebastián Piñera,doctoral advisor,Kenneth Arrow,Who is the doctoral advisor of Sebastián Piñera?,Kenneth Arrow
Herbert Felix,sex or gender,male,What is the sex or gender of Herbert Felix?,male
Sebastián Piñera,cause of death,drowning,What is the cause of death of Sebastián Piñera?,drowning
Armen Sarkissian,sex or gender,male,What is the sex or gender of Armen Sarkissian?,male
Herbert Felix,place of death,Torekov,Who is the place of death of Herbert Felix?,Torekov
Herbert Felix,occupation,entrepreneur,What is the occupation of Herbert Felix?,entrepreneur
Sebastián Piñera,residence,Las Condes,What is the residence of Sebastián Piñera?,Las Condes
Armen Sarkissian,professorship,docent,What is the professorship of Armen Sarkissian?,docent
Herbert Felix,significant event,military recruitment,What is the significant event of Herbert Felix?,military recruitment
Herbert Felix,given name,Herbert,Who is the given name of Herbert Felix?,Herbert
Herbert Felix,spouse,Kerstin Cruickshank,Who is the spouse of Herbert Felix?,Kerstin Cruickshank
Warren Buffett,spouse,Susan Buffett,Who is the spouse of Warren Buffett?,Susan Buffett
Warren Buffett,sex or gender,male,What is the sex or gender of Warren Buffett?,male
Warren Buffett,place of birth,Omaha,What is the place of birth of Warren Buffett?,Omaha
Warren Buffett,father,Howard Homan Buffett,Who is the father of Warren Buffett?,Howard Homan Buffett
Peter Brabeck-Letmathe,educated at,Vienna University of Economics and Business,What was Peter Brabeck-Letmathe educated at?,Vienna University of Economics and Business
Warren Buffett,residence,Omaha,What is the residence of Warren Buffett?,Omaha
Peter Brabeck-Letmathe,place of birth,Villach,What is the place of birth of Peter Brabeck-Letmathe?,Villach
Peter Brabeck-Letmathe,sex or gender,male,What is the sex or gender of Peter Brabeck-Letmathe?,male
Peter Brabeck-Letmathe,given name,Peter,Who is the given name of Peter Brabeck-Letmathe?,Peter
Francis Mer,sex or gender,male,What is the sex or gender of Francis Mer?,male
Francis Mer,place of death,Bourg-la-Reine,Who is the place of death of Francis Mer?,Bourg-la-Reine
Francis Mer,given name,Francis,Who is the given name of Francis Mer?,Francis
James Simon,religion or worldview,Judaism,What is the religion or worldview of James Simon?,Judaism
James Simon,place of birth,Berlin,What is the place of birth of James Simon?,Berlin
James Simon,sex or gender,male,What is the sex or gender of James Simon?,male
Craig McCaw,place of birth,Centralia,What is the place of birth of Craig McCaw?,Centralia
James Simon,country of citizenship,Germany,What is the country of citizenship of James Simon?,Germany
Craig McCaw,sex or gender,male,What is the sex or gender of Craig McCaw?,male
James Simon,place of death,Berlin,What is the place of death of James Simon?,Berlin
Craig McCaw,spouse,Susan McCaw,Who is the spouse of Craig McCaw?,Susan McCaw
Craig McCaw,occupation,entrepreneur,What is the occupation of Craig McCaw?,entrepreneur
James Simon,work location,Berlin,What is the work location of James Simon?,Berlin
José Lello,member of political party,Socialist Party,What is the member of political party of José Lello?,Socialist Party
Henry Clay Frick,place of death,New York City,What is the place of death of Henry Clay Frick?,New York City
José Lello,sex or gender,male,What is the sex or gender of José Lello?,male
Henry Clay Frick,place of birth,West Overton,What is the place of birth of Henry Clay Frick?,West Overton
Henry Clay Frick,educated at,Otterbein University,What was Henry Clay Frick educated at?,Otterbein University
Jenna Jameson,place of birth,Las Vegas,What is the place of birth of Jenna Jameson?,Las Vegas
Henry Clay Frick,sex or gender,male,What is the sex or gender of Henry Clay Frick?,male
Jenna Jameson,educated at,Bonanza High School,What was Jenna Jameson educated at?,Bonanza High School
Jenna Jameson,noble title,queen,What is the noble title of Jenna Jameson?,queen
Henry Clay Frick,residence,New York City,What is the residence of Henry Clay Frick?,New York City
Henry Clay Frick,notable work,The Frick Collection,What is the notable work of Henry Clay Frick?,The Frick Collection
Henry Clay Frick,place of burial,Homewood Cemetery,What is the place of burial of Henry Clay Frick?,Homewood Cemetery
Henry Clay Frick,manner of death,natural causes,What is the manner of death of Henry Clay Frick?,natural causes
Jenna Jameson,sex or gender,female,What is the sex or gender of Jenna Jameson?,female
Jenna Jameson,eye color,blue,What is the eye color of Jenna Jameson?,blue
Henry Clay Frick,family name,Frick,Who is the family name of Henry Clay Frick?,Frick
Jenna Jameson,family name,Jameson,Who is the family name of Jenna Jameson?,Jameson
Jenna Jameson,hair color,blond hair,What is the hair color of Jenna Jameson?,blond hair
Carl Kellner,manner of death,natural causes,What is the manner of death of Carl Kellner?,natural causes
José Lello,manner of death,natural causes,What is the manner of death of José Lello?,natural causes
Henry Morgenthau,place of birth,Mannheim,What is the place of birth of Henry Morgenthau?,Mannheim
Henry Morgenthau,religion or worldview,Judaism,What is the religion or worldview of Henry Morgenthau?,Judaism
Henry Morgenthau,member of political party,Democratic Party,What is the member of political party of Henry Morgenthau?,Democratic Party
Carl Kellner,place of birth,Hirzenhain,What is the place of birth of Carl Kellner?,Hirzenhain
Carl Kellner,family name,Kellner,Who is the family name of Carl Kellner?,Kellner
Carl Kellner,given name,Carl,Who is the given name of Carl Kellner?,Carl
Henry Morgenthau,place of death,Manhattan,What is the place of death of Henry Morgenthau?,Manhattan
Carl Kellner,sex or gender,male,What is the sex or gender of Carl Kellner?,male
Hans Grade,country of citizenship,Germany,What is the country of citizenship of Hans Grade?,Germany
Hans Grade,given name,Hans,Who is the given name of Hans Grade?,Hans
Henry Morgenthau,sex or gender,male,What is the sex or gender of Henry Morgenthau?,male
Hans Grade,sex or gender,male,What is the sex or gender of Hans Grade?,male
Paul Spiegel,cause of death,cancer,What is the cause of death of Paul Spiegel?,cancer
Paul Spiegel,country of citizenship,Germany,What is the country of citizenship of Paul Spiegel?,Germany
Paul Spiegel,manner of death,natural causes,What is the manner of death of Paul Spiegel?,natural causes
Paul Spiegel,member of political party,Social Democratic Party of Germany,What is the member of political party of Paul Spiegel?,Social Democratic Party of Germany
Paul Spiegel,place of death,Düsseldorf,What is the place of death of Paul Spiegel?,Düsseldorf
Paul Spiegel,sex or gender,male,What is the sex or gender of Paul Spiegel?,male
Paul Spiegel,father,Hugo Spiegel,Who is the father of Paul Spiegel?,Hugo Spiegel
Henry Morgenthau,writing language,English,What is the writing language of Henry Morgenthau?,English
Ulla Weigerstorfer,victory,Miss World,What is the victory of Ulla Weigerstorfer?,Miss World
Paul Spiegel,given name,Paul,Who is the given name of Paul Spiegel?,Paul
Ulla Weigerstorfer,work location,Vienna,What is the work location of Ulla Weigerstorfer?,Vienna
Peter Voigtländer,noble title,knight,What is the noble title of Peter Voigtländer?,knight
Ulla Weigerstorfer,given name,Ulla,Who is the given name of Ulla Weigerstorfer?,Ulla
Jorge Alessandri,native language,Spanish,What is the native language of Jorge Alessandri?,Spanish
Jorge Alessandri,place of death,Santiago,What is the place of death of Jorge Alessandri?,Santiago
Jorge Alessandri,place of birth,Santiago,What is the place of birth of Jorge Alessandri?,Santiago
Jorge Alessandri,educated at,University of Chile,What was Jorge Alessandri educated at?,University of Chile
Jorge Alessandri,father,Arturo Alessandri,Who is the father of Jorge Alessandri?,Arturo Alessandri
Ulla Weigerstorfer,sex or gender,female,What is the sex or gender of Ulla Weigerstorfer?,female
Jorge Alessandri,country of citizenship,Chile,What is the country of citizenship of Jorge Alessandri?,Chile
Peter Voigtländer,place of birth,Vienna,What is the place of birth of Peter Voigtländer?,Vienna
Jorge Alessandri,religion or worldview,Catholicism,What is the religion or worldview of Jorge Alessandri?,Catholicism
Peter Voigtländer,sex or gender,male,What is the sex or gender of Peter Voigtländer?,male
Jorge Alessandri,member of political party,independent politician,What is the member of political party of Jorge Alessandri?,independent politician
Jorge Alessandri,sex or gender,male,What is the sex or gender of Jorge Alessandri?,male
Simon von Lämel,described by source,Biographisches Lexikon des Kaiserthums Oesterreich,What is the described by source of Simon von Lämel?,Biographisches Lexikon des Kaiserthums Oesterreich
Simon von Lämel,place of birth,Město Touškov,Who is the place of birth of Simon von Lämel?,Město Touškov
Simon von Lämel,place of death,Vienna,What is the place of death of Simon von Lämel?,Vienna
Simon von Lämel,sex or gender,male,What is the sex or gender of Simon von Lämel?,male
Jorge Alessandri,work location,Santiago,What is the work location of Jorge Alessandri?,Santiago
Simon von Lämel,given name,Simon,Who is the given name of Simon von Lämel?,Simon
Jakob Fugger,place of birth,Augsburg,What is the place of birth of Jakob Fugger?,Augsburg
Friedrich Eduard Hoffmann,place of death,Berlin,What is the place of death of Friedrich Eduard Hoffmann?,Berlin
Jakob Fugger,father,Jakob Fugger the Elder,Who is the father of Jakob Fugger?,Jakob Fugger the Elder
Jakob Fugger,place of death,Augsburg,What is the place of death of Jakob Fugger?,Augsburg
Friedrich Eduard Hoffmann,described by source,Brockhaus and Efron Encyclopedic Dictionary,Who is the described by source of Friedrich Eduard Hoffmann?,Brockhaus and Efron Encyclopedic Dictionary
Jakob Fugger,spouse,Sibylle Fugger,Who is the spouse of Jakob Fugger?,Sibylle Fugger
Jakob Fugger,religion or worldview,Latin Church,What is the religion or worldview of Jakob Fugger?,Latin Church
Friedrich Eduard Hoffmann,place of birth,Gröningen,What is the place of birth of Friedrich Eduard Hoffmann?,Gröningen
Jakob Fugger,mother,Barbara Fugger,Who is the mother of Jakob Fugger?,Barbara Fugger
Jakob Fugger,sex or gender,male,What is the sex or gender of Jakob Fugger?,male
Johann Kremenezky,place of death,Vienna,What is the place of death of Johann Kremenezky?,Vienna
Friedrich Eduard Hoffmann,family name,Hoffmann,Who is the family name of Friedrich Eduard Hoffmann?,Hoffmann
Johann Kremenezky,occupation,entrepreneur,What is the occupation of Johann Kremenezky?,entrepreneur
Johann Kremenezky,sex or gender,male,What is the sex or gender of Johann Kremenezky?,male
Juan Manuel Fangio,sport,auto racing,What is the sport of Juan Manuel Fangio?,auto racing
Juan Manuel Fangio,place of death,Buenos Aires,What is the place of death of Juan Manuel Fangio?,Buenos Aires
August Borsig,place of death,Berlin,What is the place of death of August Borsig?,Berlin
Friedrich Eduard Hoffmann,sex or gender,male,What is the sex or gender of Friedrich Eduard Hoffmann?,male
Gottfried Schenker,place of death,Vienna,What is the place of death of Gottfried Schenker?,Vienna
Gottfried Schenker,sex or gender,male,What is the sex or gender of Gottfried Schenker?,male
Gottfried Schenker,occupation,entrepreneur,What is the occupation of Gottfried Schenker?,entrepreneur
August Borsig,sex or gender,male,What is the sex or gender of August Borsig?,male
Gottfried Schenker,place of birth,Däniken,Who is the place of birth of Gottfried Schenker?,Däniken
Juan Manuel Fangio,sex or gender,male,What is the sex or gender of Juan Manuel Fangio?,male
James Wilson,religion or worldview,Quakers,What is the religion or worldview of James Wilson?,Quakers
James Wilson,field of work,economics,What is the field of work of James Wilson?,economics
James Wilson,educated at,Ackworth School,What was James Wilson educated at?,Ackworth School
James Wilson,child,Emilie Barrington,Who is the child of James Wilson?,Emilie Barrington
Yulia Tymoshenko,member of political party,Batkivshchyna,What is the member of political party of Yulia Tymoshenko?,Batkivshchyna
James Wilson,sex or gender,male,What is the sex or gender of James Wilson?,male
Gottfried Schenker,notable work,Schenker AG,What is the notable work of Gottfried Schenker?,Schenker AG
Yulia Tymoshenko,religion or worldview,Eastern Orthodoxy,What is the religion or worldview of Yulia Tymoshenko?,Eastern Orthodoxy
August Borsig,work location,Berlin,What is the work location of August Borsig?,Berlin
Otto Weidt,place of death,Berlin,What is the place of death of Otto Weidt?,Berlin
Yulia Tymoshenko,sex or gender,female,What is the sex or gender of Yulia Tymoshenko?,female
Gottfried Schenker,given name,Gottfried,Who is the given name of Gottfried Schenker?,Gottfried
Otto Weidt,manner of death,natural causes,What is the manner of death of Otto Weidt?,natural causes
Otto Weidt,place of birth,Rostock,What is the place of birth of Otto Weidt?,Rostock
Otto Weidt,country of citizenship,Germany,What is the country of citizenship of Otto Weidt?,Germany
Werner Otto,place of death,Berlin,What is the place of death of Werner Otto?,Berlin
James Wilson,family name,Wilson,Who is the family name of James Wilson?,Wilson
Werner Otto,place of birth,Seelow,What is the place of birth of Werner Otto?,Seelow
Otto Weidt,given name,Otto,Who is the given name of Otto Weidt?,Otto
Otto Weidt,sex or gender,male,What is the sex or gender of Otto Weidt?,male
Kurt Joachim Lauk,native language,German,What is the native language of Kurt Joachim Lauk?,German
Werner Otto,occupation,entrepreneur,What is the occupation of Werner Otto?,entrepreneur
Kurt Joachim Lauk,member of political party,Christian Democratic Union,What is the member of political party of Kurt Joachim Lauk?,Christian Democratic Union
Werner Otto,country of citizenship,Germany,What is the country of citizenship of Werner Otto?,Germany
Werner Otto,sex or gender,male,What is the sex or gender of Werner Otto?,male
Martin Schlaff,member of political party,Social Democratic Party of Austria,What is the member of political party of Martin Schlaff?,Social Democratic Party of Austria
Kurt Joachim Lauk,country of citizenship,Germany,What is the country of citizenship of Kurt Joachim Lauk?,Germany
Martin Schlaff,place of birth,Vienna,What is the place of birth of Martin Schlaff?,Vienna
Martin Schlaff,sex or gender,male,What is the sex or gender of Martin Schlaff?,male
Kurt Joachim Lauk,given name,Kurt,Who is the given name of Kurt Joachim Lauk?,Kurt
Werner Otto,subject has role,centenarian,What is the subject has role of Werner Otto?,centenarian
Dieter Zetsche,place of birth,Istanbul,What is the place of birth of Dieter Zetsche?,Istanbul
Hans Imhoff,country of citizenship,Germany,What is the country of citizenship of Hans Imhoff?,Germany
Hans Imhoff,occupation,entrepreneur,What is the occupation of Hans Imhoff?,entrepreneur
Martin Schlaff,given name,Martin,Who is the given name of Martin Schlaff?,Martin
Dieter Zetsche,country of citizenship,Germany,What is the country of citizenship of Dieter Zetsche?,Germany
Werner Otto,family name,Otto,Who is the family name of Werner Otto?,Otto
Dieter Zetsche,academic degree,doctorate,What is the academic degree of Dieter Zetsche?,doctorate
Kurt Joachim Lauk,sex or gender,male,What is the sex or gender of Kurt Joachim Lauk?,male
Dieter Zetsche,unmarried partner,Désirée Nosbusch,Who is the unmarried partner of Dieter Zetsche?,Désirée Nosbusch
Dieter Zetsche,sex or gender,male,What is the sex or gender of Dieter Zetsche?,male
Arnold Schwarzenegger,religion or worldview,Catholicism,What is the religion or worldview of Arnold Schwarzenegger?,Catholicism
Hans Imhoff,sex or gender,male,What is the sex or gender of Hans Imhoff?,male
Arnold Schwarzenegger,father,Gustav Schwarzenegger,Who is the father of Arnold Schwarzenegger?,Gustav Schwarzenegger
Arnold Schwarzenegger,spouse,Maria Shriver,Who is the spouse of Arnold Schwarzenegger?,Maria Shriver
Arnold Schwarzenegger,mother,Aurelia Schwarzenegger,Who is the mother of Arnold Schwarzenegger?,Aurelia Schwarzenegger
Arnold Schwarzenegger,sex or gender,male,What is the sex or gender of Arnold Schwarzenegger?,male
Konstantin Stanislavski,child,Vladimir Sergeyevich Sergeyev,Who is the child of Konstantin Stanislavski?,Vladimir Sergeyevich Sergeyev
Konstantin Stanislavski,spouse,Maria Petrovna Lilina,Who is the spouse of Konstantin Stanislavski?,Maria Petrovna Lilina
Hans Riegel,native language,German,What is the native language of Hans Riegel?,German
Konstantin Stanislavski,sex or gender,male,What is the sex or gender of Konstantin Stanislavski?,male
Hans Imhoff,family name,Imhoff,Who is the family name of Hans Imhoff?,Imhoff
Hans Riegel,place of birth,Bonn,What is the place of birth of Hans Riegel?,Bonn
Hans Riegel,place of death,Bonn,What is the place of death of Hans Riegel?,Bonn
Konstantin Stanislavski,influenced by,Henrik Ibsen,Who was Konstantin Stanislavski influenced by?,Henrik Ibsen
Hans Riegel,sex or gender,male,What is the sex or gender of Hans Riegel?,male
Konstantin Stanislavski,genre,theatre,What is the genre of Konstantin Stanislavski?,theatre
Hans Imhoff,given name,Hans,Who is the given name of Hans Imhoff?,Hans
Konstantin Stanislavski,place of burial,Novodevichy Cemetery,What is the place of burial of Konstantin Stanislavski?,Novodevichy Cemetery
Arnold Schwarzenegger,influenced by,Yury Vlasov,Who was Arnold Schwarzenegger influenced by?,Yury Vlasov
Konstantin Stanislavski,employer,Moscow Art Theatre,What is the employer of Konstantin Stanislavski?,Moscow Art Theatre
Arnold Schwarzenegger,significant event,military service,What is the significant event of Arnold Schwarzenegger?,military service
Arnold Schwarzenegger,given name,Arnold,Who is the given name of Arnold Schwarzenegger?,Arnold
Klaus Kleinfeld,country of citizenship,Germany,What is the country of citizenship of Klaus Kleinfeld?,Germany
Karlheinz Steinmüller,employer,Academy of Sciences of the GDR,What is the employer of Karlheinz Steinmüller?,Academy of Sciences of the GDR
Karlheinz Steinmüller,academic degree,doctorate,What is the academic degree of Karlheinz Steinmüller?,doctorate
Hans Riegel,academic degree,doctorate,What is the academic degree of Hans Riegel?,doctorate
Hans Riegel,country for sport,Germany,What is the country for sport of Hans Riegel?,Germany
Karlheinz Steinmüller,place of birth,Klingenthal,What is the place of birth of Karlheinz Steinmüller?,Klingenthal
Karlheinz Steinmüller,spouse,Angela Steinmüller,Who is the spouse of Karlheinz Steinmüller?,Angela Steinmüller
Karlheinz Steinmüller,sex or gender,male,What is the sex or gender of Karlheinz Steinmüller?,male
Hans Riegel,family name,Riegel,Who is the family name of Hans Riegel?,Riegel
Klaus Kleinfeld,sex or gender,male,What is the sex or gender of Klaus Kleinfeld?,male
Vince McMahon,occupation,entrepreneur,What is the occupation of Vince McMahon?,entrepreneur
Wendelin Wiedeking,country of citizenship,Germany,What is the country of citizenship of Wendelin Wiedeking?,Germany
Hans Riegel,sport,badminton,What is the sport of Hans Riegel?,badminton
Vince McMahon,place of birth,Pinehurst,What is the place of birth of Vince McMahon?,Pinehurst
Vince McMahon,father,Vincent J. McMahon,Who is the father of Vince McMahon?,Vincent J. McMahon
Daniel Elmen,member of political party,Communist Party of the Soviet Union,What is the member of political party of Daniel Elmen?,Communist Party of the Soviet Union
Daniel Elmen,conflict,World War I,What is the conflict of Daniel Elmen?,World War I
Vince McMahon,spouse,Linda McMahon,Who is the spouse of Vince McMahon?,Linda McMahon
Vince McMahon,sex or gender,male,What is the sex or gender of Vince McMahon?,male
Daniel Elmen,educated at,Institute of Red Professors,What was Daniel Elmen educated at?,Institute of Red Professors
Vince McMahon,partner in business or sport,George Cannon,Who is the partner in business or sport of Vince McMahon?,George Cannon
Vince McMahon,sport,professional wrestling,What is the sport of Vince McMahon?,professional wrestling
Daniel Elmen,sex or gender,male,What is the sex or gender of Daniel Elmen?,male
Vince McMahon,given name,Vincent,Who is the given name of Vince McMahon?,Vincent
Cliff Richard,record label,EMI,What is the record label of Cliff Richard?,EMI
Muhammad Yunus,writing language,English,What is the writing language of Muhammad Yunus?,English
John Bradshaw Layfield,native language,English,What is the native language of John Bradshaw Layfield?,English
John Bradshaw Layfield,place of birth,Sweetwater,What is the place of birth of John Bradshaw Layfield?,Sweetwater
Brewster Kahle,place of birth,New York City,What is the place of birth of Brewster Kahle?,New York City
John Bradshaw Layfield,sex or gender,male,What is the sex or gender of John Bradshaw Layfield?,male
John Bradshaw Layfield,educated at,Abilene Christian University,What was John Bradshaw Layfield educated at?,Abilene Christian University
John Bradshaw Layfield,spouse,Meredith Whitney,Who is the spouse of John Bradshaw Layfield?,Meredith Whitney
John Munro Longyear,place of birth,Lansing,What is the place of birth of John Munro Longyear?,Lansing
Brewster Kahle,sex or gender,male,What is the sex or gender of Brewster Kahle?,male
John Munro Longyear,given name,John,Who is the given name of John Munro Longyear?,John
Max Levchin,employer,Google,What is the employer of Max Levchin?,Google
John Munro Longyear,sex or gender,male,What is the sex or gender of John Munro Longyear?,male
Max Levchin,father,Rafael Levchin,Who is the father of Max Levchin?,Rafael Levchin
Max Levchin,sex or gender,male,What is the sex or gender of Max Levchin?,male
Max Levchin,residence,Chicago,What is the residence of Max Levchin?,Chicago
Alois Scholz,place of death,Sobotín,What is the place of death of Alois Scholz?,Sobotín
Alois Scholz,place of birth,Bielsko-Biała,What is the place of birth of Alois Scholz?,Bielsko-Biała
Jakob Fugger,described by source,Allgemeine Deutsche Biographie,What is the described by source of Jakob Fugger?,Allgemeine Deutsche Biographie
Alois Scholz,sex or gender,male,What is the sex or gender of Alois Scholz?,male
Jakob Fugger,given name,Jakob,Who is the given name of Jakob Fugger?,Jakob
Jakub Kryštof Rad,place of death,Vienna,What is the place of death of Jakub Kryštof Rad?,Vienna
Jakub Kryštof Rad,sex or gender,male,What is the sex or gender of Jakub Kryštof Rad?,male
Jakub Kryštof Rad,given name,Jacob,Who is the given name of Jakub Kryštof Rad?,Jacob
Wilhelm Keppler,work location,Berlin,What is the work location of Wilhelm Keppler?,Berlin
