subject,relation,object,question,label
Costa Rica,driving side,right,What is the driving side of Costa Rica?,right
Costa Rica,central bank,Central Bank of Costa Rica,What is the central bank of Costa Rica?,Central Bank of Costa Rica
Costa Rica,described by source,Brockhaus and Efron Encyclopedic Dictionary,Who is the described by source of Costa Rica?,Brockhaus and Efron Encyclopedic Dictionary
Norway,central bank,Norges Bank,What is the central bank of Norway?,Norges Bank
Honduras,currency,Honduran lempira,What is the currency of Honduras?,Honduran lempira
Honduras,official language,Spanish,What is the official language of Honduras?,Spanish
Honduras,flag,flag of Honduras,What is the flag of Honduras?,flag of Honduras
Honduras,capital,Tegucigalpa,What is the capital of Honduras?,Tegucigalpa
Honduras,basic form of government,republic,What is the basic form of government of Honduras?,republic
Honduras,legislative body,National Congress of Honduras,What is the legislative body of Honduras?,National Congress of Honduras
Honduras,head of state,Xiomara Castro,Who is the head of state of Honduras?,Xiomara Castro
Norway,studied in,Scandinavian studies,What was Norway studied in?,Scandinavian studies
Norway,lowest point,Norwegian Sea,What is the lowest point of Norway?,Norwegian Sea
Honduras,head of government,Xiomara Castro,Who is the head of government of Honduras?,Xiomara Castro
Norway,history of topic,history of Norway,What is the history of topic of Norway?,history of Norway
Norway,driving side,right,What is the driving side of Norway?,right
Honduras,highest point,Cerro Las Minas,What is the highest point of Honduras?,Cerro Las Minas
Norway,railway traffic side,right,What is the railway traffic side of Norway?,right
Norway,economy of topic,economy of Norway,What is the economy of topic of Norway?,economy of Norway
Honduras,central bank,Central Bank of Honduras,What is the central bank of Honduras?,Central Bank of Honduras
Honduras,history of topic,history of Honduras,What is the history of topic of Honduras?,history of Honduras
Honduras,driving side,right,What is the driving side of Honduras?,right
Israel,anthem,Hatikvah,What does Israel anthem?,Hatikvah
Israel,legislative body,Knesset,What is the legislative body of Israel?,Knesset
Israel,flag,flag of Israel,What is the flag of Israel?,flag of Israel
Israel,basic form of government,unitary state,What is the basic form of government of Israel?,unitary state
Israel,executive body,cabinet of Israel,What is the executive body of Israel?,cabinet of Israel
Israel,founded by,David Ben-Gurion,Who was Israel founded by?,David Ben-Gurion
Israel,highest judicial authority,Israeli Supreme Court,What is the highest judicial authority of Israel?,Israeli Supreme Court
Israel,foundational text,Declaration of the Establishment of the State of Israel,What is the foundational text of Israel?,Declaration of the Establishment of the State of Israel
Ireland,legislative body,Oireachtas,What is the legislative body of Ireland?,Oireachtas
Ireland,currency,Euro,What is the currency of Ireland?,Euro
Ireland,flag,flag of Ireland,What is the flag of Ireland?,flag of Ireland
Ireland,head of state,Michael D. Higgins,Who is the head of state of Ireland?,Michael D. Higgins
Ireland,highest judicial authority,Supreme Court of Ireland,What is the highest judicial authority of Ireland?,Supreme Court of Ireland
Ireland,executive body,Government of Ireland,What is the executive body of Ireland?,Government of Ireland
Ireland,head of government,Leo Varadkar,Who is the head of government of Ireland?,Leo Varadkar
Israel,located in/on physical feature,Fertile Crescent,What is the located in/on physical feature of Israel?,Fertile Crescent
Israel,central bank,Bank of Israel,What is the central bank of Israel?,Bank of Israel
Israel,office held by head of government,Prime Minister of Israel,What is the office held by head of government of Israel?,Prime Minister of Israel
Dominican Republic,flag,flag of Dominican Republic,What is the flag of Dominican Republic?,flag of Dominican Republic
Dominican Republic,official language,Spanish,What is the official language of Dominican Republic?,Spanish
Israel,location of formation,Independence Hall,What is the location of formation of Israel?,Independence Hall
Dominica,named after,Sunday,When was Dominica named after?,Sunday
Dominican Republic,head of state,Luis Abinader,Who is the head of state of Dominican Republic?,Luis Abinader
Dominica,flag,flag of Dominica,What is the flag of Dominica?,flag of Dominica
Dominican Republic,head of government,Luis Abinader,Who is the head of government of Dominican Republic?,Luis Abinader
Dominica,follows,West Indies Federation,What does Dominica follow?,West Indies Federation
Dominica,official language,English,What is the official language of Dominica?,English
Dominica,legislative body,House of Assembly of Dominica,What is the legislative body of Dominica?,House of Assembly of Dominica
Dominica,located in time zone,Atlantic Time Zone,What is the located in time zone of Dominica?,Atlantic Time Zone
Dominica,highest point,Morne Diablotins,Who is the highest point of Dominica?,Morne Diablotins
Dominica,central bank,Eastern Caribbean Central Bank,What is the central bank of Dominica?,Eastern Caribbean Central Bank
Dominica,described by source,Encyclopædia Britannica 11th edition,What is the described by source of Dominica?,Encyclopædia Britannica 11th edition
Israel,head of state,Isaac Herzog,Who is the head of state of Israel?,Isaac Herzog
Israel,official language,Hebrew,What is the official language of Israel?,Hebrew
Israel,currency,new shekel,What is the currency of Israel?,new shekel
Ireland,replaces,Irish Free State,What does Ireland replace?,Irish Free State
Israel,head of government,Benjamin Netanyahu,Who is the head of government of Israel?,Benjamin Netanyahu
Dominica,geography of topic,geography of Dominica,What is the geography of topic of Dominica?,geography of Dominica
Ireland,central bank,Central Bank of Ireland,What is the central bank of Ireland?,Central Bank of Ireland
Israel,capital,Jerusalem,What is the capital of Israel?,Jerusalem
Ireland,highest point,Carrauntoohil,What is the highest point of Ireland?,Carrauntoohil
Israel,history of topic,history of Israel,What is the history of topic of Israel?,history of Israel
Israel,driving side,right,What is the driving side of Israel?,right
Israel,geography of topic,geography of Israel,What is the geography of topic of Israel?,geography of Israel
Hungary,official language,Hungarian,What is the official language of Hungary?,Hungarian
Hungary,currency,forint,What is the currency of Hungary?,forint
Hungary,flag,flag of Hungary,What is the flag of Hungary?,flag of Hungary
Hungary,head of government,Viktor Orbán,Who is the head of government of Hungary?,Viktor Orbán
Hungary,head of state,Tamás Sulyok,Who is the head of state of Hungary?,Tamás Sulyok
Hungary,capital,Budapest,What is the capital of Hungary?,Budapest
Hungary,named after,Hungarians,What was Hungary named after?,Hungarians
Hungary,legislative body,National Assembly,What is the legislative body of Hungary?,National Assembly
Hungary,highest judicial authority,Constitutional Court of Hungary,What is the highest judicial authority of Hungary?,Constitutional Court of Hungary
Hungary,central bank,Hungarian National Bank,What is the central bank of Hungary?,Hungarian National Bank
Hungary,driving side,right,What is the driving side of Hungary?,right
Hungary,railway traffic side,right,What is the railway traffic side of Hungary?,right
El Salvador,official language,Spanish,What is the official language of El Salvador?,Spanish
Hungary,history of topic,history of Hungary,What is the history of topic of Hungary?,history of Hungary
Hungary,economy of topic,economy of Hungary,What is the economy of topic of Hungary?,economy of Hungary
El Salvador,legislative body,Legislative Assembly of El Salvador,What is the legislative body of El Salvador?,Legislative Assembly of El Salvador
El Salvador,head of government,Nayib Bukele,Who is the head of government of El Salvador?,Nayib Bukele
Norway,located in/on physical feature,Scandinavia,What is the located in/on physical feature of Norway?,Scandinavia
Norway,highest point,Galdhøpiggen,What is the highest point of Norway?,Galdhøpiggen
Costa Rica,official language,Spanish,What is the official language of Costa Rica?,Spanish
Costa Rica,flag,flag of Costa Rica,What is the flag of Costa Rica?,flag of Costa Rica
Costa Rica,currency,Costa Rican colón,What is the currency of Costa Rica?,Costa Rican colón
Norway,has part(s),Hardangervidda,What does Norway have part(s )?,Hardangervidda
Costa Rica,capital,San José,What is the capital of Costa Rica?,San José
El Salvador,head of state,Nayib Bukele,Who is the head of state of El Salvador?,Nayib Bukele
Costa Rica,head of government,Rodrigo Chaves,Who is the head of government of Costa Rica?,Rodrigo Chaves
Costa Rica,legislative body,Legislative Assembly of Costa Rica,What is the legislative body of Costa Rica?,Legislative Assembly of Costa Rica
Dominica,head of state,Charles Savarin,Who is the head of state of Dominica?,Charles Savarin
Dominica,head of government,Roosevelt Skerrit,Who is the head of government of Dominica?,Roosevelt Skerrit
Costa Rica,head of state,Rodrigo Chaves,Who is the head of state of Costa Rica?,Rodrigo Chaves
Dominican Republic,central bank,Central Bank of the Dominican Republic,What is the central bank of Dominican Republic?,Central Bank of the Dominican Republic
Dominican Republic,driving side,right,What is the driving side of Dominican Republic?,right
Dominican Republic,highest point,Pico Duarte,Who is the highest point of Dominican Republic?,Pico Duarte
Yemen,flag,flag of Yemen,What is the flag of Yemen?,flag of Yemen
Spain,official religion,non-denominational,What is the official religion of Spain?,non-denominational
Iran,motto,Takbir,What is the motto of Iran?,Takbir
Iran,central bank,Central Bank of Iran,What is the central bank of Iran?,Central Bank of Iran
Spain,economy of topic,economy of Spain,What is the economy of topic of Spain?,economy of Spain
Iran,significant event,Iranian Revolution,What is the significant event of Iran?,Iranian Revolution
Spain,official language,Spanish,What is the official language of Spain?,Spanish
Spain,flag,flag of Kingdom of Spain,What is the flag of Spain?,flag of Kingdom of Spain
Spain,anthem,Marcha Real,What does Spain anthem?,Marcha Real
Spain,legislative body,Cortes Generales,What is the legislative body of Spain?,Cortes Generales
Spain,head of state,Felipe VI of Spain,Who is the head of state of Spain?,Felipe VI of Spain
Spain,currency,Euro,What is the currency of Spain?,Euro
Spain,executive body,Government of Spain,What is the executive body of Spain?,Government of Spain
Iran,capital,Tehran,What is the capital of Iran?,Tehran
Spain,head of government,Pedro Sánchez,Who is the head of government of Spain?,Pedro Sánchez
Iran,official language,Persian,What is the official language of Iran?,Persian
Iran,head of state,Ali Khamenei,Who is the head of state of Iran?,Ali Khamenei
Iran,currency,Iranian rial,What is the currency of Iran?,Iranian rial
Iran,basic form of government,unitary state,What is the basic form of government of Iran?,unitary state
Iran,flag,flag of Iran,What is the flag of Iran?,flag of Iran
Iran,head of government,Masoud Pezeshkian,Who is the head of government of Iran?,Masoud Pezeshkian
Iran,named after,Aryan,What was Iran named after?,Aryan
Iran,legislative body,Islamic Consultative Assembly,What is the legislative body of Iran?,Islamic Consultative Assembly
Spain,highest point,Teide,What is the highest point of Spain?,Teide
Yemen,central bank,Central Bank of Yemen,What is the central bank of Yemen?,Central Bank of Yemen
Iran,history of topic,history of Iran,What is the history of topic of Iran?,history of Iran
Iran,geography of topic,geography of Iran,What is the geography of topic of Iran?,geography of Iran
Iran,driving side,right,What is the driving side of Iran?,right
Iran,culture,culture of Iran,What is the culture of Iran?,culture of Iran
Yemen,official language,Arabic,What is the official language of Yemen?,Arabic
Spain,driving side,right,What is the driving side of Spain?,right
Yemen,currency,rial,What is the currency of Yemen?,rial
Yemen,head of state,Rashad al-Alimi,Who is the head of state of Yemen?,Rashad al-Alimi
Spain,history of topic,history of Spain,What is the history of topic of Spain?,history of Spain
Spain,geography of topic,geography of Spain,What is the geography of topic of Spain?,geography of Spain
Spain,studied in,hispanism,What was Spain studied in?,hispanism
Spain,culture,culture of Spain,What is the culture of Spain?,culture of Spain
United States of America,central bank,Federal Reserve System,What is the central bank of United States of America?,Federal Reserve System
United States of America,office held by head of government,President of the United States,What is the office held by head of government of United States of America?,President of the United States
Jordan,flag,flag of Jordan,What is the flag of Jordan?,flag of Jordan
Jordan,driving side,right,What is the driving side of Jordan?,right
Jordan,central bank,Central Bank of Jordan,What is the central bank of Jordan?,Central Bank of Jordan
United States of America,capital,"Washington, D.C.",What is the capital of United States of America?,"Washington, D.C."
United States of America,named after,Americas,What was United States of America named after?,Americas
United States of America,head of state,Joe Biden,Who is the head of state of United States of America?,Joe Biden
United States of America,currency,United States dollar,What is the currency of United States of America?,United States dollar
United States of America,official language,English,What is the official language of United States of America?,English
United States of America,main regulatory text,United States Constitution,What is the main regulatory text of United States of America?,United States Constitution
United States of America,highest judicial authority,Supreme Court of the United States,What is the highest judicial authority of United States of America?,Supreme Court of the United States
United States of America,executive body,Federal Government of the United States,What is the executive body of United States of America?,Federal Government of the United States
United States of America,top-level Internet domain,.us,What is the top-level Internet domain of United States of America?,.us
United States of America,flag,flag of the United States of America,What is the flag of United States of America?,flag of the United States of America
United States of America,anthem,The Star-Spangled Banner,What does United States of America anthem?,The Star-Spangled Banner
United States of America,foundational text,United States Declaration of Independence,What is the foundational text of United States of America?,United States Declaration of Independence
United States of America,said to be the same as,Union,What did United States of America say to be the same as?,Union
Nicaragua,official language,Spanish,What is the official language of Nicaragua?,Spanish
Nicaragua,basic form of government,republic,What is the basic form of government of Nicaragua?,republic
Nicaragua,currency,Nicaraguan córdoba,What is the currency of Nicaragua?,Nicaraguan córdoba
Nicaragua,capital,Managua,What is the capital of Nicaragua?,Managua
Nicaragua,flag,flag of Nicaragua,What is the flag of Nicaragua?,flag of Nicaragua
Nicaragua,head of state,Daniel Ortega,Who is the head of state of Nicaragua?,Daniel Ortega
Nicaragua,head of government,Daniel Ortega,Who is the head of government of Nicaragua?,Daniel Ortega
Nicaragua,legislative body,National Assembly of Nicaragua,What is the legislative body of Nicaragua?,National Assembly of Nicaragua
Belgium,head of government,Alexander De Croo,Who is the head of government of Belgium?,Alexander De Croo
Belgium,currency,Euro,What is the currency of Belgium?,Euro
Belgium,flag,flag of Belgium,What is the flag of Belgium?,flag of Belgium
Belgium,main regulatory text,Constitution of Belgium,What is the main regulatory text of Belgium?,Constitution of Belgium
Belgium,highest judicial authority,Constitutional Court of Belgium,What is the highest judicial authority of Belgium?,Constitutional Court of Belgium
Belgium,basic form of government,constitutional monarchy,What is the basic form of government of Belgium?,constitutional monarchy
Belgium,capital,City of Brussels,What is the capital of Belgium?,City of Brussels
Belgium,executive body,Federal Government of Belgium,What is the executive body of Belgium?,Federal Government of Belgium
Belgium,head of state,Philippe of Belgium,Who is the head of state of Belgium?,Philippe of Belgium
Belgium,anthem,The Brabançonne,What does Belgium anthem?,The Brabançonne
Belgium,patron saint,Joseph,Who is the patron saint of Belgium?,Joseph
Belgium,central bank,National Bank of Belgium,What is the central bank of Belgium?,National Bank of Belgium
Belgium,driving side,right,What is the driving side of Belgium?,right
Belgium,significant event,Belgian Revolution,What is the significant event of Belgium?,Belgian Revolution
Belgium,history of topic,history of Belgium,What is the history of topic of Belgium?,history of Belgium
Belgium,geography of topic,geography of Belgium,What is the geography of topic of Belgium?,geography of Belgium
Belgium,official symbol,Papaver rhoeas,What is the official symbol of Belgium?,Papaver rhoeas
Kyrgyzstan,capital,Bishkek,What is the capital of Kyrgyzstan?,Bishkek
Kyrgyzstan,head of state,Sadyr Zhaparov,Who is the head of state of Kyrgyzstan?,Sadyr Zhaparov
Kyrgyzstan,flag,flag of Kyrgyzstan,What is the flag of Kyrgyzstan?,flag of Kyrgyzstan
Kyrgyzstan,head of government,Akylbek Japarov,Who is the head of government of Kyrgyzstan?,Akylbek Japarov
Kyrgyzstan,follows,Kirghiz Soviet Socialist Republic,What does Kyrgyzstan follow?,Kirghiz Soviet Socialist Republic
Kyrgyzstan,highest point,Jengish Chokusu,Who is the highest point of Kyrgyzstan?,Jengish Chokusu
Kyrgyzstan,driving side,right,What is the driving side of Kyrgyzstan?,right
Kyrgyzstan,central bank,National Bank of the Kyrgyz Republic,What is the central bank of Kyrgyzstan?,National Bank of the Kyrgyz Republic
Kyrgyzstan,lowest point,Kara Darya,Who is the lowest point of Kyrgyzstan?,Kara Darya
United States of America,motto,In God We Trust,What is the motto of United States of America?,In God We Trust
United States of America,present in work,The City on the Edge of Forever,What is the present in work of United States of America?,The City on the Edge of Forever
United States of America,driving side,right,What is the driving side of United States of America?,right
United States of America,studied in,American studies,What was United States of America studied in?,American studies
United States of America,office held by head of state,President of the United States,What is the office held by head of state of United States of America?,President of the United States
United States of America,railway traffic side,right,What is the railway traffic side of United States of America?,right
United States of America,history of topic,history of the United States,What is the history of topic of United States of America?,history of the United States
United States of America,geography of topic,geography of the United States,What is the geography of topic of United States of America?,geography of the United States
United States of America,culture,culture of the United States,What is the culture of United States of America?,culture of the United States
Nicaragua,central bank,Central Bank of Nicaragua,What is the central bank of Nicaragua?,Central Bank of Nicaragua
Lebanon,driving side,right,What is the driving side of Lebanon?,right
Nicaragua,driving side,right,What is the driving side of Nicaragua?,right
Lebanon,history of topic,history of Lebanon,What is the history of topic of Lebanon?,history of Lebanon
United States of America,economy of topic,economy of the United States,What is the economy of topic of United States of America?,economy of the United States
Finland,highest judicial authority,Supreme Court of Finland,What is the highest judicial authority of Finland?,Supreme Court of Finland
Finland,flag,flag of Finland,What is the flag of Finland?,flag of Finland
Finland,executive body,Finnish Government,What is the executive body of Finland?,Finnish Government
Laos,official language,Lao,What is the official language of Laos?,Lao
Laos,capital,Vientiane,What is the capital of Laos?,Vientiane
Laos,currency,Lao kip,What is the currency of Laos?,Lao kip
Laos,flag,flag of Laos,What is the flag of Laos?,flag of Laos
Laos,basic form of government,people's republic,What is the basic form of government of Laos?,people's republic
Laos,legislative body,National Assembly,What is the legislative body of Laos?,National Assembly
Laos,highest point,Phou Bia,Who is the highest point of Laos?,Phou Bia
Laos,central bank,Bank of the Lao P.D.R.,What is the central bank of Laos?,Bank of the Lao P.D.R.
Laos,history of topic,history of Laos,What is the history of topic of Laos?,history of Laos
Laos,driving side,right,What is the driving side of Laos?,right
Laos,described by source,Encyclopædia Britannica 11th edition,What is the described by source of Laos?,Encyclopædia Britannica 11th edition
Finland,central bank,Bank of Finland,What is the central bank of Finland?,Bank of Finland
Finland,public holiday,Independence Day,What is the public holiday of Finland?,Independence Day
Lebanon,capital,Beirut,What is the capital of Lebanon?,Beirut
Lebanon,official language,Arabic,What is the official language of Lebanon?,Arabic
Lebanon,head of state,Najib Mikati,Who is the head of state of Lebanon?,Najib Mikati
Lebanon,currency,Lebanese pound,What is the currency of Lebanon?,Lebanese pound
Lebanon,head of government,Hassan Diab,Who is the head of government of Lebanon?,Hassan Diab
Lebanon,flag,flag of Lebanon,What is the flag of Lebanon?,flag of Lebanon
Lebanon,central bank,Banque du Liban,What is the central bank of Lebanon?,Banque du Liban
Lebanon,described by source,Encyclopædia Britannica 11th edition,What is the described by source of Lebanon?,Encyclopædia Britannica 11th edition
Maldives,central bank,Maldives Monetary Authority,What is the central bank of Maldives?,Maldives Monetary Authority
Sweden,capital,Stockholm,What is the capital of Sweden?,Stockholm
Maldives,described by source,Encyclopædia Britannica 11th edition,What is the described by source of Maldives?,Encyclopædia Britannica 11th edition
Sweden,official language,Swedish,What is the official language of Sweden?,Swedish
Sweden,flag,flag of Sweden,What is the flag of Sweden?,flag of Sweden
Sweden,head of state,Carl XVI Gustaf of Sweden,Who is the head of state of Sweden?,Carl XVI Gustaf of Sweden
Sweden,currency,Swedish krona,What is the currency of Sweden?,Swedish krona
Sweden,executive body,Government of Sweden,What is the executive body of Sweden?,Government of Sweden
Sweden,named after,Swedes,What was Sweden named after?,Swedes
Sweden,legislative body,Parliament of Sweden,What is the legislative body of Sweden?,Parliament of Sweden
Sweden,anthem,"Du gamla, du fria",Who does Sweden anthem?,"Du gamla, du fria"
Sweden,head of government,Ulf Kristersson,Who is the head of government of Sweden?,Ulf Kristersson
Maldives,currency,Maldivian rufiyaa,What is the currency of Maldives?,Maldivian rufiyaa
Maldives,religion or worldview,Sunni Islam,What is the religion or worldview of Maldives?,Sunni Islam
Maldives,official language,Maldivian,What is the official language of Maldives?,Maldivian
Maldives,flag,flag of Maldives,What is the flag of Maldives?,flag of Maldives
Maldives,head of state,Mohamed Muizzu,Who is the head of state of Maldives?,Mohamed Muizzu
Maldives,head of government,Mohamed Muizzu,Who is the head of government of Maldives?,Mohamed Muizzu
El Salvador,highest point,Cerro El Pital,What is the highest point of El Salvador?,Cerro El Pital
El Salvador,central bank,Central Reserve Bank of El Salvador,What is the central bank of El Salvador?,Central Reserve Bank of El Salvador
El Salvador,driving side,right,What is the driving side of El Salvador?,right
Jordan,official language,Arabic,What is the official language of Jordan?,Arabic
Jordan,capital,Amman,What is the capital of Jordan?,Amman
Jordan,currency,Jordanian dinar,What is the currency of Jordan?,Jordanian dinar
Jordan,head of state,Abdullah II of Jordan,Who is the head of state of Jordan?,Abdullah II of Jordan
Jordan,head of government,Bisher Al-Khasawneh,Who is the head of government of Jordan?,Bisher Al-Khasawneh
Yemen,history of topic,history of Yemen,What is the history of topic of Yemen?,history of Yemen
Yemen,driving side,right,What is the driving side of Yemen?,right
Kyrgyzstan,railway traffic side,right,What is the railway traffic side of Kyrgyzstan?,right
Finland,currency,Euro,What is the currency of Finland?,Euro
Finland,capital,Helsinki,What is the capital of Finland?,Helsinki
United States of America,head of government,Joe Biden,Who is the head of government of United States of America?,Joe Biden
Finland,named after,Finns,What was Finland named after?,Finns
Finland,head of government,Petteri Orpo,Who is the head of government of Finland?,Petteri Orpo
Finland,railway traffic side,right,What is the railway traffic side of Finland?,right
Finland,head of state,Alexander Stubb,Who is the head of state of Finland?,Alexander Stubb
