topic,type,subject,relation,object,question,label,output_meta_llama_3.1_8b_instruct,eval_meta_llama_3.1_8b_instruct
places_landmark,wh,Göta älv,located in or next to body of water,Bohus Fortress,Which tourist attraction's located in or next to body of water is Göta älv?,Bohus Fortress,Gothenburg,0.0
places_landmark,wh,Sedefkar Mehmed Agha,architect,Sultan Ahmed Mosque,Who architect Sedefkar Mehmed Agha?,Sultan Ahmed Mosque,Sedefkâr Mehmed Ağa,0.0
places_landmark,wh,Alfred Parland,architect,Church of the Savior on Blood,Which tourist attraction architect Alfred Parland?,Church of the Savior on Blood,Senate Square,0.0
places_landmark,wh,Hundertwasserhaus,architectural style,expressionist architecture,What is the architectural style of Hundertwasserhaus?,expressionist architecture,Biomorphism,0.0
places_landmark,wh,Grand Kremlin Palace,architect,Konstantin Thon,Who does Grand Kremlin Palace architect?,Konstantin Thon,"Kazakov, Vasily",0.0
places_landmark,wh,Grand Kremlin Palace,located in the administrative territorial entity,Tverskoy District,What is the located in the administrative territorial entity of Grand Kremlin Palace?,Tverskoy District,Moscow,0.0
places_landmark,wh,Grand Kremlin Palace,architectural style,Byzantine Revival architecture,What is the architectural style of Grand Kremlin Palace?,Byzantine Revival architecture,Russian Revival,0.0
places_landmark,wh,Grand Kremlin Palace,commissioned by,Nicholas I of Russia,Who was Grand Kremlin Palace commissioned by?,Nicholas I of Russia,Peter the Great,0.0
places_landmark,wh,Stourton with Gasper,located in the administrative territorial entity,Stourhead,Which tourist attraction's located in the administrative territorial entity is Stourton with Gasper?,Stourhead,Saltaire,0.0
places_landmark,wh,Sunset Strip,named after,Las Vegas Strip,Which tourist attraction was named after Sunset Strip?,Las Vegas Strip,Sunset Boulevard,0.0
places_landmark,wh,İzmir Clock Tower,architectural style,eclecticism in art,What is the architectural style of İzmir Clock Tower?,eclecticism in art,Neo-Baroque,0.0
places_landmark,wh,İzmir Clock Tower,architect,Raymond Charles Péré,Who does İzmir Clock Tower architect?,Raymond Charles Péré,Raimondo D'Aronco,0.0
places_landmark,wh,Tor Hagfors,director / manager,Arecibo Observatory,Which tourist attraction's director / manager is Tor Hagfors?,Arecibo Observatory,Vasa Museum,0.0
places_landmark,wh,Gustav III's Pavilion,owned by,National Property Board of Sweden,What was Gustav III's Pavilion owned by?,National Property Board of Sweden,Royal Palace of Stockholm,0.0
places_landmark,wh,Potala Palace,located in the administrative territorial entity,Lhasa,What is the located in the administrative territorial entity of Potala Palace?,Lhasa,Tibet Autonomous Region,0.0
places_landmark,wh,Saviour Church on Nereditsa,religion or worldview,Eastern Orthodoxy,What is the religion or worldview of Saviour Church on Nereditsa?,Eastern Orthodoxy,Paganism,0.0
places_landmark,wh,South Street Seaport,located in the administrative territorial entity,Manhattan,What is the located in the administrative territorial entity of South Street Seaport?,Manhattan,New York City,0.0
places_landmark,wh,Louis de Hoÿm de Marien,architect,Montparnasse Tower,Which tourist attraction architect Louis de Hoÿm de Marien?,Montparnasse Tower,Unknown,0.0
places_landmark,wh,Rothenburg ob der Tauber,located in the administrative territorial entity,Ansbach,What is the located in the administrative territorial entity of Rothenburg ob der Tauber?,Ansbach,Bavaria,0.0
places_landmark,wh,Konya Province,located in the administrative territorial entity,Lake Tuz,Which tourist attraction's located in the administrative territorial entity is Konya Province?,Lake Tuz,Mevlana Museum,0.0
places_landmark,wh,Now You See Me 2,present in work,Royal Observatory,Which tourist attraction's present in work is Now You See Me 2?,Royal Observatory,The Louvre,0.0
places_landmark,wh,Abu Dhabi,located in the administrative territorial entity,Louvre Abu Dhabi,Which tourist attraction's located in the administrative territorial entity is Abu Dhabi?,Louvre Abu Dhabi,Sheikh Zayed Mosque,0.0
places_landmark,wh,Taj Mahal,architect,Ustad isa khan shirazi,Who does Taj Mahal architect?,Ustad isa khan shirazi,Ustad Ahmad Lahori,0.0
places_landmark,wh,Taj Mahal,significant event,construction,What is the significant event of Taj Mahal?,construction,Love story,0.0
places_landmark,wh,Kane County,located in the administrative territorial entity,Lake Powell,Which tourist attraction's located in the administrative territorial entity is Kane County?,Lake Powell,Naperville,0.0
places_landmark,wh,Little Rock,located in the administrative territorial entity,Arkansas Museum of Fine Arts,Which tourist attraction's located in the administrative territorial entity is Little Rock?,Arkansas Museum of Fine Arts,Clinton Presidential Library,0.0
places_landmark,wh,Prague Castle,owned by,Czech Republic,What was Prague Castle owned by?,Czech Republic,Holy Roman Empire,0.0
places_landmark,wh,Prague Castle,operator,Správa Pražského hradu,Who is the operator of Prague Castle?,Správa Pražského hradu,The Czech Republic,0.0
places_landmark,wh,Works Progress Administration,main building contractor,Arkansas Museum of Fine Arts,Which tourist attraction's main building contractor is Works Progress Administration?,Arkansas Museum of Fine Arts,The Hoover Dam,0.0
places_landmark,wh,National Garden of Athens,founded by,Amalia of Oldenburg,Who was National Garden of Athens founded by?,Amalia of Oldenburg,Melina Mercouri,0.0
places_landmark,wh,National Garden of Athens,location,Athens,What is the location of National Garden of Athens?,Athens,Philopappos Hill,0.0
places_landmark,wh,Yucca gloriosa,taxon found at location,National Garden of Athens,Which tourist attraction's taxon found at location is Yucca gloriosa?,National Garden of Athens,Botanical Garden,0.0
places_landmark,wh,Bayezid I,founded by,Anadoluhisarı,Which tourist attraction was founded by Bayezid I?,Anadoluhisarı,Bursa,0.0
places_landmark,wh,Cambridge,located in the administrative territorial entity,Fitzwilliam Museum,Which tourist attraction's located in the administrative territorial entity is Cambridge?,Fitzwilliam Museum,University,0.0
places_landmark,wh,Ushaw College,architect,Archibald Matthias Dunn,Who does Ushaw College architect?,Archibald Matthias Dunn,Augustus Pugin,0.0
places_landmark,wh,Ushaw College,diocese,Roman Catholic Diocese of Hexham and Newcastle,What is the diocese of Ushaw College?,Roman Catholic Diocese of Hexham and Newcastle,Durham,0.0
places_landmark,wh,Ushaw College,country,United Kingdom,What is the country of Ushaw College?,United Kingdom,England,0.0
places_landmark,wh,Ushaw College,architectural style,Gothic Revival,What is the architectural style of Ushaw College?,Gothic Revival,Neoclassical,0.0
places_landmark,wh,Henry VII,occupant,Windsor Castle,Which tourist attraction's occupant is Henry VII?,Windsor Castle,St. George's Chapel,0.0
places_landmark,wh,Washingtonia filifera,taxon found at location,National Garden of Athens,Which tourist attraction's taxon found at location is Washingtonia filifera?,National Garden of Athens,Palm Canyon,0.0
places_landmark,wh,Peter Walker,landscape architect,National September 11 Memorial & Museum,Which tourist attraction's landscape architect is Peter Walker?,National September 11 Memorial & Museum,Longwood Gardens,0.0
places_landmark,wh,Yusupov Palace on Moika,architect,Jean-Baptiste Vallin de la Mothe,Who does Yusupov Palace on Moika architect?,Jean-Baptiste Vallin de la Mothe,Vasily Kenel,0.0
places_landmark,wh,Teton County,located in the administrative territorial entity,Old Faithful,Which tourist attraction's located in the administrative territorial entity is Teton County?,Old Faithful,Grand Teton National Park,0.0
places_landmark,wh,Meteor Crater,located in the administrative territorial entity,Coconino County,What is the located in the administrative territorial entity of Meteor Crater?,Coconino County,Arizona,0.0
places_landmark,wh,Meteor Crater,named by,Herman LeRoy Fairchild,Who was Meteor Crater named by?,Herman LeRoy Fairchild,"Dante.  However, it is also known as Barringer Crater",0.0
places_landmark,wh,Kirk R. Johnson,director / manager,National Museum of Natural History,Which tourist attraction's director / manager is Kirk R. Johnson?,National Museum of Natural History,Denver Museum of Nature & Science,0.0
places_landmark,wh,Sentosa,located in the administrative territorial entity,Resorts World Sentosa,Which tourist attraction's located in the administrative territorial entity is Sentosa?,Resorts World Sentosa,Universal Studios,0.0
places_landmark,wh,funeral,significant event,St Paul's Cathedral,Which tourist attraction's significant event is funeral?,St Paul's Cathedral,Tutankhamun's tomb,0.0
places_landmark,wh,drapery,depicts,Statue of Liberty,Which tourist attraction depicts drapery?,Statue of Liberty,La Sagrada Familia,0.0
places_landmark,wh,George VI,occupant,Windsor Castle,Which tourist attraction's occupant is George VI?,Windsor Castle,St. George's Chapel,0.0
places_landmark,wh,Disneyland,derivative work,Kinect: Disneyland Adventures,What is the derivative work of Disneyland?,Kinect: Disneyland Adventures,Disney World,0.0
places_landmark,wh,Central Park,taxon found at location,squirrel,What is the taxon found at location of Central Park?,squirrel,Ecoregion,0.0
places_landmark,wh,Colosseum,uses,digital library,What does Colosseum use?,digital library,Stone,0.0
places_landmark,wh,Skanska,main building contractor,30 St Mary Axe,Which tourist attraction's main building contractor is Skanska?,30 St Mary Axe,The Shard,0.0
places_landmark,wh,Bartolommeo Berrecci,architect,Wawel Castle,Which tourist attraction architect Bartolommeo Berrecci?,Wawel Castle,St. Peter's Basilica,0.0
places_landmark,wh,Tsaritsyno Park,located in the administrative territorial entity,Orekhovo-Borisovo Severnoye District,What is the located in the administrative territorial entity of Tsaritsyno Park?,Orekhovo-Borisovo Severnoye District,Moscow,0.0
places_landmark,wh,Tsaritsyno Park,architectural style,Gothic Revival,What is the architectural style of Tsaritsyno Park?,Gothic Revival,Russian Revival,0.0
places_landmark,wh,The Bank of New York Mellon,occupant,Shanghai World Financial Center,Which tourist attraction's occupant is The Bank of New York Mellon?,Shanghai World Financial Center,One Wall Street,0.0
places_landmark,wh,Kamikochi,located in protected area,Chūbu-Sangaku National Park,What is the located in protected area of Kamikochi?,Chūbu-Sangaku National Park,Myojin-ike,0.0
places_landmark,wh,Kamikochi,located in the administrative territorial entity,Matsumoto,Who is the located in the administrative territorial entity of Kamikochi?,Matsumoto,Nagano,0.0
places_landmark,wh,Gran Canaria,located in the administrative territorial entity,Jardín Botánico Canario Viera y Clavijo,Which tourist attraction's located in the administrative territorial entity is Gran Canaria?,Jardín Botánico Canario Viera y Clavijo,Roque Nublo,0.0
places_landmark,wh,Justinian I,commissioned by,Hagia Sophia,Who was commissioned by Justinian I?,Hagia Sophia,Belisarius,0.0
places_landmark,wh,Beijing,location,National Museum of China,Which tourist attraction's location is Beijing?,National Museum of China,The Great Wall,0.0
places_landmark,wh,Nördlingen,located in the administrative territorial entity,Donau-Ries,Who is the located in the administrative territorial entity of Nördlingen?,Donau-Ries,Nördlingen,0.0
places_landmark,wh,St Paul's Cathedral,country,United Kingdom,What is the country of St Paul's Cathedral?,United Kingdom,England,0.0
places_landmark,wh,St Paul's Cathedral,located in/on physical feature,Ludgate Hill,What is the located in/on physical feature of St Paul's Cathedral?,Ludgate Hill,Dome,0.0
places_landmark,wh,paint,made from material,Cadillac Ranch,Which tourist attraction's made from material is paint?,Cadillac Ranch,Van Gogh Museum,0.0
places_landmark,wh,Bodo Ebhardt,architect,Coburg Fortress,Which tourist attraction architect Bodo Ebhardt?,Coburg Fortress,Berlin Cathedral,0.0
places_landmark,wh,Aksaray Province,located in the administrative territorial entity,Lake Tuz,Which tourist attraction's located in the administrative territorial entity is Aksaray Province?,Lake Tuz,Göreme National Park,0.0
places_landmark,wh,Visby,location,City wall of Visby,Which tourist attraction's location is Visby?,City wall of Visby,Gotland,0.0
places_landmark,wh,Daniel Burnham,architect,National Museum of Natural History,Which tourist attraction architect Daniel Burnham?,National Museum of Natural History,Union Station,0.0
places_landmark,wh,The Church of Jesus Christ of Latter-day Saints,owned by,Polynesian Cultural Center,Which tourist attraction was owned by The Church of Jesus Christ of Latter-day Saints?,Polynesian Cultural Center,Temple Square,0.0
places_landmark,wh,war memorial,genre,The Motherland Calls,Which tourist attraction's genre is war memorial?,The Motherland Calls,Arlington National Cemetery,0.0
places_landmark,wh,Chamaerops humilis,taxon found at location,National Garden of Athens,Which tourist attraction's taxon found at location is Chamaerops humilis?,National Garden of Athens,Botanic Gardens,0.0
places_landmark,wh,Schlaich Bergermann Partner,structural engineer,One World Trade Center,Which tourist attraction's structural engineer is Schlaich Bergermann Partner?,One World Trade Center,London Eye,0.0
places_landmark,wh,repoussé,fabrication method,Statue of Liberty,Which tourist attraction's fabrication method is repoussé?,Statue of Liberty,Eiffel Tower,0.0
places_landmark,wh,Independence National Historical Park,located in protected area,Liberty Bell,Which tourist attraction's located in protected area is Independence National Historical Park?,Liberty Bell,Yes,0.0
places_landmark,wh,Bangkok,twinned administrative body,Busan,Which tourist attraction's twinned administrative body is Bangkok?,Busan,Bangkok Metropolitan Administration,0.0
places_landmark,wh,antiprism,shape,One World Trade Center,Which tourist attraction shape antiprism?,One World Trade Center,Geodesic dome,0.0
places_landmark,wh,navel,depicts,Manneken-Pis,Which tourist attraction depicts navel?,Manneken-Pis,Navel of the World,0.0
places_landmark,wh,Willis Tower,owned by,The Blackstone Group,What was Willis Tower owned by?,The Blackstone Group,Sears,0.0
places_landmark,wh,Willis Tower,main building contractor,American Bridge Company,What is the main building contractor of Willis Tower?,American Bridge Company,"Skidmore, Owings & Merrill",0.0
places_landmark,wh,Willis Tower,architectural style,International Style,What is the architectural style of Willis Tower?,International Style,Postmodern,0.0
places_landmark,wh,Jan Styka,creator,Racławice Panorama,Which tourist attraction's creator is Jan Styka?,Racławice Panorama,The National Shrine of the Immaculate Conception,0.0
places_landmark,wh,"Person of Interest, season 2",derivative work,Solomon R. Guggenheim Museum,"Which tourist attraction's derivative work is Person of Interest, season 2?",Solomon R. Guggenheim Museum,The Da Vinci Code,0.0
places_landmark,wh,Gustav III's museum of antiquities,founded by,Charles XIII of Sweden,Who was Gustav III's museum of antiquities founded by?,Charles XIII of Sweden,Gustav III,0.0
places_landmark,wh,Gustav III's museum of antiquities,named after,Gustav III of Sweden,Who was Gustav III's museum of antiquities named after?,Gustav III of Sweden,Antiquarium,0.0
places_landmark,wh,Gustav III's museum of antiquities,main subject,art collection,What is the main subject of Gustav III's museum of antiquities?,art collection,Classical antiquities,0.0
places_landmark,wh,Gustav III's museum of antiquities,located in/on physical feature,Stadsholmen,What is the located in/on physical feature of Gustav III's museum of antiquities?,Stadsholmen,Riddarholmen,0.0
places_landmark,wh,White Tower,has part(s),Tower of London,Which tourist attraction has part(s) White Tower?,Tower of London,Athens Acropolis,0.0
places_landmark,wh,Moscow,location,Ostankino Tower,Which tourist attraction's location is Moscow?,Ostankino Tower,Red Square,0.0
places_landmark,wh,Moscow,headquarters location,GUM,Which tourist attraction's headquarters location is Moscow?,GUM,Intourist,0.0
places_landmark,wh,Abbaye de la Fille-Dieu Romont,creator,Brian Clarke,Who is the creator of Abbaye de la Fille-Dieu Romont?,Brian Clarke,Abbaye de la Fille-Dieu Romont was founded by Marie P,0.0
places_landmark,wh,Abbaye de la Fille-Dieu Romont,religious order,Cistercians,What is the religious order of Abbaye de la Fille-Dieu Romont?,Cistercians,Benedictine,0.0
places_landmark,wh,Château de Montsoreau-Museum of Contemporary Art,location,Loire Valley,What is the location of Château de Montsoreau-Museum of Contemporary Art?,Loire Valley,"Montsoreau, France",0.0
places_landmark,wh,Château de Montsoreau-Museum of Contemporary Art,architectural style,Renaissance architecture,What is the architectural style of Château de Montsoreau-Museum of Contemporary Art?,Renaissance architecture,Medieval,0.0
places_landmark,wh,Château de Montsoreau-Museum of Contemporary Art,chairperson,Philippe Méaille,Who is the chairperson of Château de Montsoreau-Museum of Contemporary Art?,Philippe Méaille,Jean-Pierre Bertrand,0.0
places_landmark,wh,Château de Montsoreau-Museum of Contemporary Art,named after,contemporary art,What was Château de Montsoreau-Museum of Contemporary Art named after?,contemporary art,Montsoreau,0.0
places_landmark,wh,Ahmed I,founded by,Sultan Ahmed Mosque,Who was founded by Ahmed I?,Sultan Ahmed Mosque,Istanbul,0.0
places_landmark,wh,National Museum of Natural History,curator,John J. Borg,Who is the curator of National Museum of Natural History?,John J. Borg,I don't have the current information,0.0
places_landmark,wh,National Museum of Natural History,operator,Heritage Malta,What is the operator of National Museum of Natural History?,Heritage Malta,Smithsonian Institution,0.0
places_landmark,wh,North Sea,key col,Ben Nevis,Which tourist attraction's key col is North Sea?,Ben Nevis,The Kungsleden,0.0
places_landmark,wh,Linköping Cathedral,operator,Linköping Castle and Cathedral Museum,What is the operator of Linköping Cathedral?,Linköping Castle and Cathedral Museum,The Swedish Church,0.0
places_landmark,wh,Linköping Cathedral,architect,Helgo Zettervall,Who does Linköping Cathedral architect?,Helgo Zettervall,Per Ödman,0.0
places_landmark,wh,Stonehenge,owned by,National Trust,What was Stonehenge owned by?,National Trust,English Heritage,0.0
places_landmark,wh,Stonehenge,significant event,Guinness World Records,What is the significant event of Stonehenge?,Guinness World Records,Summer Solstice,0.0
places_landmark,wh,Stonehenge,country,United Kingdom,What is the country of Stonehenge?,United Kingdom,England,0.0
places_landmark,wh,Karlstad Cathedral,architect,Christian Haller,Who does Karlstad Cathedral architect?,Christian Haller,Gustaf Hermansson,0.0
places_landmark,wh,Karlstad Cathedral,architectural style,baroque architecture,What is the architectural style of Karlstad Cathedral?,baroque architecture,Neo-Gothic,0.0
places_landmark,wh,Karlstad Cathedral,occupant,Karlstad church parish,What is the occupant of Karlstad Cathedral?,Karlstad church parish,Bishop,0.0
places_landmark,wh,Jardin du Luxembourg,taxon found at location,fox,What is the taxon found at location of Jardin du Luxembourg?,fox,Taxus baccata,0.0
places_landmark,wh,Münchner Altstadt,location,Feldherrnhalle,Which tourist attraction's location is Münchner Altstadt?,Feldherrnhalle,Marienplatz,0.0
places_landmark,wh,Naples,location of formation,Naples National Archaeological Museum,Which tourist attraction's location of formation is Naples?,Naples National Archaeological Museum,Pompeii,0.0
places_landmark,wh,Skokloster Castle,architect,Caspar Vogel,Who does Skokloster Castle architect?,Caspar Vogel,Nicodemus Tessin,0.0
places_landmark,wh,Skokloster Castle,founded by,Carl Gustaf Wrangel,Who was Skokloster Castle founded by?,Carl Gustaf Wrangel,Count Carl Gustaf Rehnsköld,0.0
places_landmark,wh,Skokloster Castle,owned by,National Property Board of Sweden,What was Skokloster Castle owned by?,National Property Board of Sweden,Count Carl Gustaf Rehnsköld,0.0
places_landmark,wh,Government of New South Wales,owned by,Sydney Opera House,Which tourist attraction was owned by Government of New South Wales?,Sydney Opera House,Taronga Zoo,0.0
places_landmark,wh,George IV of the United Kingdom,occupant,Windsor Castle,Which tourist attraction's occupant is George IV of the United Kingdom?,Windsor Castle,King's State Apartments,0.0
places_landmark,wh,South Dakota,located in the administrative territorial entity,Corn Palace,Which tourist attraction's located in the administrative territorial entity is South Dakota?,Corn Palace,Mount Rushmore,0.0
places_landmark,wh,"Ford, Powell & Carson",participant,Alamo Mission in San Antonio,"Which tourist attraction's participant is Ford, Powell & Carson?",Alamo Mission in San Antonio,Golden Gate Bridge,0.0
places_landmark,wh,Hawaiian Volcano Observatory,volcano observatory,Diamond Head,Which tourist attraction's volcano observatory is Hawaiian Volcano Observatory?,Diamond Head,Hawaii Volcanoes National Park,0.0
places_landmark,wh,Grampian Mountains,mountain range,Ben Nevis,Which tourist attraction's mountain range is Grampian Mountains?,Ben Nevis,Scotland,0.0
places_landmark,wh,Orange County,located in the administrative territorial entity,Crystal Cove State Park,Which tourist attraction's located in the administrative territorial entity is Orange County?,Crystal Cove State Park,Disneyland,0.0
places_landmark,wh,book,depicts,Statue of Liberty,Which tourist attraction depicts book?,Statue of Liberty,Bibliotheca,0.0
places_landmark,wh,Pinus canariensis,taxon found at location,National Garden of Athens,Which tourist attraction's taxon found at location is Pinus canariensis?,National Garden of Athens,Teide National Park,0.0
places_landmark,wh,Girolamo Cassar,architect,National Museum of Archaeology,Which tourist attraction architect Girolamo Cassar?,National Museum of Archaeology,Fort St. Elmo,0.0
places_landmark,wh,Leander,named after,Maiden's Tower,Which tourist attraction was named after Leander?,Maiden's Tower,Leander Bridge,0.0
places_landmark,wh,Dresden Zoo,legal form,Gesellschaft mit beschränkter Haftung,What is the legal form of Dresden Zoo?,Gesellschaft mit beschränkter Haftung,Non-profit,0.0
places_landmark,wh,Dresden Zoo,located in the administrative territorial entity,Dresden,What is the located in the administrative territorial entity of Dresden Zoo?,Dresden,Saxony,0.0
places_landmark,wh,Jean-Nicolas Jadot de Ville-Issey,architect,Buda Castle,Which tourist attraction architect Jean-Nicolas Jadot de Ville-Issey?,Buda Castle,Château de Chantilly,0.0
places_landmark,wh,Ankara Province,located in the administrative territorial entity,Lake Tuz,Which tourist attraction's located in the administrative territorial entity is Ankara Province?,Lake Tuz,Anıtkabir,0.0
places_landmark,wh,Östersund Municipality,located in the administrative territorial entity,Jamtli,Which tourist attraction's located in the administrative territorial entity is Östersund Municipality?,Jamtli,Frösön Island,0.0
places_landmark,wh,mercury,inspired by,Cloud Gate,Which tourist attraction was inspired by mercury?,Cloud Gate,Mercury Park,0.0
places_landmark,wh,Antonio Bernocchi,sponsor,Sacro Monte di Varese,Which tourist attraction sponsor Antonio Bernocchi?,Sacro Monte di Varese,Uffizi Gallery,0.0
places_landmark,wh,Disney's Blizzard Beach,has part(s),Walt Disney World Resort,Which tourist attraction has part(s) Disney's Blizzard Beach?,Walt Disney World Resort,Typhoon Lagoon,0.0
places_landmark,wh,Korea Development Bank,occupant,Shanghai World Financial Center,Which tourist attraction's occupant is Korea Development Bank?,Shanghai World Financial Center,Bosingak Bell Tower,0.0
places_landmark,wh,Haga park,location,Gustav III's Pavilion,Which tourist attraction's location is Haga park?,Gustav III's Pavilion,Rotterdam,0.0
places_landmark,wh,Burj Khalifa,named after,Khalifa bin Zayed Al Nahyan,Who was Burj Khalifa named after?,Khalifa bin Zayed Al Nahyan,Sheikh Khalifa,0.0
places_landmark,wh,Burj Khalifa,significant event,construction,What is the significant event of Burj Khalifa?,construction,Opening,0.0
places_landmark,wh,Royal Mile,location,Camera Obscura,Which tourist attraction's location is Royal Mile?,Camera Obscura,Edinburgh,0.0
places_landmark,wh,Roman Abramovich,founded by,Garage Center for Contemporary Culture,Which tourist attraction was founded by Roman Abramovich?,Garage Center for Contemporary Culture,Chelsea FC's Stamford Bridge Stadium's museum was founded by Roman Abramovich,0.0
places_landmark,wh,California Academy of Sciences,has part(s),Golden Gate Park,Which tourist attraction has part(s) California Academy of Sciences?,Golden Gate Park,Steinhart Aquarium,0.0
places_landmark,wh,Stein Olav Henrichsen,chief executive officer,MUNCH,Which tourist attraction's chief executive officer is Stein Olav Henrichsen?,MUNCH,Viking Ship Museum,0.0
places_landmark,wh,"Santa Rosa Island, Florida",located in the administrative territorial entity,Pensacola Beach,"Which tourist attraction's located in the administrative territorial entity is Santa Rosa Island, Florida?",Pensacola Beach,Gulf Breeze Zoo,0.0
places_landmark,wh,Epidavros Municipality,located in the administrative territorial entity,Ancient Theatre of Epidaurus,Which tourist attraction's located in the administrative territorial entity is Epidavros Municipality?,Ancient Theatre of Epidaurus,Ancient Epidaurus,0.0
places_landmark,wh,Detroit,located in the administrative territorial entity,Museum of Contemporary Art Detroit,Which tourist attraction's located in the administrative territorial entity is Detroit?,Museum of Contemporary Art Detroit,Henry Ford Museum,0.0
places_landmark,wh,County Kerry,located in the administrative territorial entity,Carrauntoohil,Which tourist attraction's located in the administrative territorial entity is County Kerry?,Carrauntoohil,Ring of Kerry,0.0
places_landmark,wh,Luigi Canonica,architect,Villa Menafoglio Litta Panza,Which tourist attraction architect Luigi Canonica?,Villa Menafoglio Litta Panza,Baths of Caracalla,0.0
places_landmark,wh,Cloud Gate,inspired by,mercury,What was Cloud Gate inspired by?,mercury,Anish Kapoor,0.0
places_landmark,wh,Cloud Gate,location,Millennium Park,What is the location of Cloud Gate?,Millennium Park,Chicago,0.0
places_landmark,wh,Cloud Gate,genre,public art,What is the genre of Cloud Gate?,public art,Contemporary dance,0.0
places_landmark,wh,Balboa Park,architect,Katherine Olivia Sessions,Who does Balboa Park architect?,Katherine Olivia Sessions,Bertram Goodhue,0.0
places_landmark,wh,Roly Keating,director / manager,British Library,Which tourist attraction's director / manager is Roly Keating?,British Library,BBC,0.0
places_landmark,wh,Fondo per l'Ambiente Italiano,owned by,Villa Menafoglio Litta Panza,Which tourist attraction was owned by Fondo per l'Ambiente Italiano?,Villa Menafoglio Litta Panza,Villa Taranto,0.0
places_landmark,wh,Stockholm Municipality,headquarters location,Thiel Gallery,Which tourist attraction's headquarters location is Stockholm Municipality?,Thiel Gallery,Scandinavian Tourism Board,0.0
places_landmark,wh,Stockholm Municipality,owned by,Stockholm City Hall,Which tourist attraction was owned by Stockholm Municipality?,Stockholm City Hall,Skansen,0.0
places_landmark,wh,Ictinus,architect,Parthenon,Which tourist attraction architect Ictinus?,Parthenon,Hephaesteion,0.0
places_landmark,wh,Ulriksdal Palace,architect,Hans Jacob Kristler,Who does Ulriksdal Palace architect?,Hans Jacob Kristler,Nicodemus Tessin,0.0
places_landmark,wh,Ulriksdal Palace,named after,Prince Ulrik,Who was Ulriksdal Palace named after?,Prince Ulrik,Ulrika Eleonora,0.0
places_landmark,wh,Ulriksdal Palace,owned by,National Property Board of Sweden,What was Ulriksdal Palace owned by?,National Property Board of Sweden,Drottningholm's estate,0.0
places_landmark,wh,Ulriksdal Palace,made from material,natural stone,What is the made from material of Ulriksdal Palace?,natural stone,Wood,0.0
places_landmark,wh,Roman Forum,located in the administrative territorial entity,Rome,What is the located in the administrative territorial entity of Roman Forum?,Rome,Archaeological site,0.0
places_landmark,wh,Dömitz Fortress,significant event,construction,What is the significant event of Dömitz Fortress?,construction,Surrender of German forces,0.0
places_landmark,wh,classicism,architectural style,Kazan Cathedral,Which tourist attraction's architectural style is classicism?,Kazan Cathedral,The White House,0.0
places_landmark,wh,St Mark's Basilica,architect,Domenico I Contarini,Who does St Mark's Basilica architect?,Domenico I Contarini,Vitruvius,0.0
places_landmark,wh,St Mark's Basilica,has part(s),St Mark's Campanile,What does St Mark's Basilica have part(s )?,St Mark's Campanile,Pigeonholes,0.0
