topic,type,subject,relation,object,question,label,output_mistral_7b_instruct_v0.3,eval_mistral_7b_instruct_v0.3
places_landmark,wh,Yucca gloriosa,taxon found at location,National Garden of Athens,Which tourist attraction's taxon found at location is Yucca gloriosa?,National Garden of Athens,Big Bend National Park,0.0
places_landmark,wh,Bayezid I,founded by,Anadoluhisarı,Which tourist attraction was founded by Bayezid I?,Anadoluhisarı,Topkapi Palace,0.0
places_landmark,wh,Cambridge,located in the administrative territorial entity,Fitzwilliam Museum,Which tourist attraction's located in the administrative territorial entity is Cambridge?,Fitzwilliam Museum,County of Cambridgeshire (UK),0.0
places_landmark,wh,Victor Steinbrueck,structural engineer,Space Needle,Which tourist attraction's structural engineer is Victor Steinbrueck?,Space Needle,Pike Place Market (Seattle),0.0
places_landmark,wh,Ushaw College,architect,Archibald Matthias Dunn,Who does Ushaw College architect?,Archibald Matthias Dunn,"Pugin (initially), later various architects.",0.0
places_landmark,wh,Ushaw College,diocese,Roman Catholic Diocese of Hexham and Newcastle,What is the diocese of Ushaw College?,Roman Catholic Diocese of Hexham and Newcastle,Roman Catholic Diocese of Arundel and Brighton (formerly associated,0.0
places_landmark,wh,Henry VII,occupant,Windsor Castle,Which tourist attraction's occupant is Henry VII?,Windsor Castle,Westminster Abbey (Henry VII was crowned there),0.0
places_landmark,wh,Washingtonia filifera,taxon found at location,National Garden of Athens,Which tourist attraction's taxon found at location is Washingtonia filifera?,National Garden of Athens,Joshua Tree (Washingtonia filifera is a type of palm tree found,0.0
places_landmark,wh,Peter Walker,landscape architect,National September 11 Memorial & Museum,Which tourist attraction's landscape architect is Peter Walker?,National September 11 Memorial & Museum,Golden Gate Park (San Francisco),0.0
places_landmark,wh,Yusupov Palace on Moika,architect,Jean-Baptiste Vallin de la Mothe,Who does Yusupov Palace on Moika architect?,Jean-Baptiste Vallin de la Mothe,Rastrelli (Giovanni-Giacomo),0.0
places_landmark,wh,Meteor Crater,named by,Herman LeRoy Fairchild,Who was Meteor Crater named by?,Herman LeRoy Fairchild,Barrington (after Daniel Barrington),0.0
places_landmark,wh,Sentosa,located in the administrative territorial entity,Resorts World Sentosa,Which tourist attraction's located in the administrative territorial entity is Sentosa?,Resorts World Sentosa,Sentosa (island) is located in Singapore.,0.0
places_landmark,wh,funeral,significant event,St Paul's Cathedral,Which tourist attraction's significant event is funeral?,St Paul's Cathedral,The Tower of London's significant event is the Ceremony of the Keys,0.0
places_landmark,wh,drapery,depicts,Statue of Liberty,Which tourist attraction depicts drapery?,Statue of Liberty,"The Louvre (Paris) depicts drapery, specifically in the Mon",0.0
places_landmark,wh,George VI,occupant,Windsor Castle,Which tourist attraction's occupant is George VI?,Windsor Castle,Tower of London (Coronation of George VI),0.0
places_landmark,wh,Disneyland,derivative work,Kinect: Disneyland Adventures,What is the derivative work of Disneyland?,Kinect: Disneyland Adventures,"A derivative work of Disneyland could be a movie, book, or video game",0.0
places_landmark,wh,Central Park,taxon found at location,squirrel,What is the taxon found at location of Central Park?,squirrel,Mammalia (Mammals),0.0
places_landmark,wh,Central Park,operator,Central Park Conservancy,What is the operator of Central Park?,Central Park Conservancy,City (New York City),0.0
places_landmark,wh,Central Park,located in the administrative territorial entity,Manhattan,What is the located in the administrative territorial entity of Central Park?,Manhattan,"Central Park is not an administrative territorial entity, it's a park located",0.0
places_landmark,wh,Central Park,heritage designation,National Historic Landmark,What is the heritage designation of Central Park?,National Historic Landmark,Central Park does not have a specific heritage designation at the national level in the,0.0
places_landmark,wh,Colosseum,uses,digital library,What does Colosseum use?,digital library,"Gladiators, wild animals, and shows.",0.0
places_landmark,wh,Colosseum,Wi-Fi access,gratis,What is the Wi-Fi access of Colosseum?,gratis,Wi-Fi access is not available at the Colosseum.,0.0
places_landmark,wh,Skanska,main building contractor,30 St Mary Axe,Which tourist attraction's main building contractor is Skanska?,30 St Mary Axe,The Empire State Building.,0.0
places_landmark,wh,Bartolommeo Berrecci,architect,Wawel Castle,Which tourist attraction architect Bartolommeo Berrecci?,Wawel Castle,"Uffizi Gallery (Florence, Italy)",0.0
places_landmark,wh,Tsaritsyno Park,architect,Vasili Bazhenov,Who does Tsaritsyno Park architect?,Vasili Bazhenov,Avvasimov (Russian: Аввасимов),0.0
places_landmark,wh,Tsaritsyno Park,located in the administrative territorial entity,Orekhovo-Borisovo Severnoye District,What is the located in the administrative territorial entity of Tsaritsyno Park?,Orekhovo-Borisovo Severnoye District,"Tsaritsyno Park is located in Moscow, Russia.",0.0
places_landmark,wh,Tsaritsyno Park,architectural style,Gothic Revival,What is the architectural style of Tsaritsyno Park?,Gothic Revival,Baroque and Rococo,0.0
places_landmark,wh,The Bank of New York Mellon,occupant,Shanghai World Financial Center,Which tourist attraction's occupant is The Bank of New York Mellon?,Shanghai World Financial Center,Federal Reserve Bank of New York,0.0
places_landmark,wh,Kamikochi,located in the administrative territorial entity,Matsumoto,Who is the located in the administrative territorial entity of Kamikochi?,Matsumoto,The Kamikochi area is uninhabited by permanent residents. It,0.0
places_landmark,wh,Beijing,location,National Museum of China,Which tourist attraction's location is Beijing?,National Museum of China,Great Wall of China.,0.0
places_landmark,wh,Nördlingen,located in the administrative territorial entity,Donau-Ries,Who is the located in the administrative territorial entity of Nördlingen?,Donau-Ries,"Nördlingen is a town, so it is not located there. It",0.0
places_landmark,wh,St Paul's Cathedral,country,United Kingdom,What is the country of St Paul's Cathedral?,United Kingdom,England,0.0
places_landmark,wh,St Paul's Cathedral,located in/on physical feature,Ludgate Hill,What is the located in/on physical feature of St Paul's Cathedral?,Ludgate Hill,Dome (St Paul's Cathedral is known for its large dome,0.0
places_landmark,wh,paint,made from material,Cadillac Ranch,Which tourist attraction's made from material is paint?,Cadillac Ranch,Sistine Chapel (Mural),0.0
places_landmark,wh,Bodo Ebhardt,architect,Coburg Fortress,Which tourist attraction architect Bodo Ebhardt?,Coburg Fortress,Guggenheim Museum Bilbao,0.0
places_landmark,wh,Aksaray Province,located in the administrative territorial entity,Lake Tuz,Which tourist attraction's located in the administrative territorial entity is Aksaray Province?,Lake Tuz,Capadocia (region),0.0
places_landmark,wh,Daniel Burnham,architect,National Museum of Natural History,Which tourist attraction architect Daniel Burnham?,National Museum of Natural History,"The Rookery (Chicago, USA)",0.0
places_landmark,wh,The Church of Jesus Christ of Latter-day Saints,owned by,Polynesian Cultural Center,Which tourist attraction was owned by The Church of Jesus Christ of Latter-day Saints?,Polynesian Cultural Center,Temple Square,0.0
places_landmark,wh,John Graham & Company,architect,Space Needle,Which tourist attraction architect John Graham & Company?,Space Needle,"Empire State Building (designed by Shreve, Lamb & Harmon,",0.0
places_landmark,wh,Chamaerops humilis,taxon found at location,National Garden of Athens,Which tourist attraction's taxon found at location is Chamaerops humilis?,National Garden of Athens,Sardinia (island),0.0
places_landmark,wh,Schlaich Bergermann Partner,structural engineer,One World Trade Center,Which tourist attraction's structural engineer is Schlaich Bergermann Partner?,One World Trade Center,The Sydney Harbour Bridge.,0.0
places_landmark,wh,repoussé,fabrication method,Statue of Liberty,Which tourist attraction's fabrication method is repoussé?,Statue of Liberty,Louvre's Winged Victory of Samothrace.,0.0
places_landmark,wh,Royal Society of Literature,occupant,Somerset House,Which tourist attraction's occupant is Royal Society of Literature?,Somerset House,The Royal Society of Literature is not an occupant of a tourist attraction.,0.0
places_landmark,wh,Bangkok,twinned administrative body,Busan,Which tourist attraction's twinned administrative body is Bangkok?,Busan,ASEAN Secretariat (Bangkok is the headquarters),0.0
places_landmark,wh,antiprism,shape,One World Trade Center,Which tourist attraction shape antiprism?,One World Trade Center,"Colosseum (not an antiprism, but a common mis",0.0
places_landmark,wh,navel,depicts,Manneken-Pis,Which tourist attraction depicts navel?,Manneken-Pis,Naval Yard (not navel as in bellybutton),0.0
places_landmark,wh,Willis Tower,owned by,The Blackstone Group,What was Willis Tower owned by?,The Blackstone Group,Sears Roebuck and Co. (originally) then Tishman,0.0
places_landmark,wh,Willis Tower,main building contractor,American Bridge Company,What is the main building contractor of Willis Tower?,American Bridge Company,"Skidmore, Owings & Merrill",0.0
places_landmark,wh,Willis Tower,architectural style,International Style,What is the architectural style of Willis Tower?,International Style,Modernist/Post-modernist,0.0
places_landmark,wh,Jan Styka,creator,Racławice Panorama,Which tourist attraction's creator is Jan Styka?,Racławice Panorama,Sanski Most Bridge,0.0
places_landmark,wh,"Person of Interest, season 2",derivative work,Solomon R. Guggenheim Museum,"Which tourist attraction's derivative work is Person of Interest, season 2?",Solomon R. Guggenheim Museum,"""Metropolitan Museum of Art""",0.0
places_landmark,wh,Gustav III's museum of antiquities,founded by,Charles XIII of Sweden,Who was Gustav III's museum of antiquities founded by?,Charles XIII of Sweden,Gustav III,0.0
places_landmark,wh,Gustav III's museum of antiquities,named after,Gustav III of Sweden,Who was Gustav III's museum of antiquities named after?,Gustav III of Sweden,Glyptoteket (The Glyptothek),0.0
places_landmark,wh,Gustav III's museum of antiquities,main subject,art collection,What is the main subject of Gustav III's museum of antiquities?,art collection,Antiquities,0.0
places_landmark,wh,Gustav III's museum of antiquities,located in/on physical feature,Stadsholmen,What is the located in/on physical feature of Gustav III's museum of antiquities?,Stadsholmen,Building,0.0
places_landmark,wh,Gustav III's museum of antiquities,has part(s),Stockholm Palace,Which tourist attraction has part(s) Gustav III's museum of antiquities?,Stockholm Palace,Drottningholm Palace,0.0
places_landmark,wh,Moscow,location,Ostankino Tower,Which tourist attraction's location is Moscow?,Ostankino Tower,Kremlin (Moscow),0.0
places_landmark,wh,Moscow,headquarters location,GUM,Which tourist attraction's headquarters location is Moscow?,GUM,Red Square.,0.0
places_landmark,wh,Abbaye de la Fille-Dieu Romont,religion or worldview,Catholicism,What is the religion or worldview of Abbaye de la Fille-Dieu Romont?,Catholicism,"Abbaye de la Fille-Dieu Romont is a monastery,",0.0
places_landmark,wh,Abbaye de la Fille-Dieu Romont,diocese,"Roman Catholic Diocese of Lausanne, Geneva and Fribourg",What is the diocese of Abbaye de la Fille-Dieu Romont?,"Roman Catholic Diocese of Lausanne, Geneva and Fribourg",Abbaye de la Fille-Dieu Romont is a diocese,0.0
places_landmark,wh,Abbaye de la Fille-Dieu Romont,creator,Brian Clarke,Who is the creator of Abbaye de la Fille-Dieu Romont?,Brian Clarke,Chimay Brewery,0.0
places_landmark,wh,Château de Montsoreau-Museum of Contemporary Art,chairperson,Philippe Méaille,Who is the chairperson of Château de Montsoreau-Museum of Contemporary Art?,Philippe Méaille,"I'm sorry for any inconvenience, but I don't have",0.0
places_landmark,wh,Château de Montsoreau-Museum of Contemporary Art,named after,contemporary art,What was Château de Montsoreau-Museum of Contemporary Art named after?,contemporary art,Montsoreau,0.0
places_landmark,wh,Ahmed I,founded by,Sultan Ahmed Mosque,Who was founded by Ahmed I?,Sultan Ahmed Mosque,Ottoman Imperial Arsenal (Topkapi Palace Armory),0.0
places_landmark,wh,National Museum of Natural History,curator,John J. Borg,Who is the curator of National Museum of Natural History?,John J. Borg,The curator of the National Museum of Natural History is not specified by a single,0.0
places_landmark,wh,North Sea,key col,Ben Nevis,Which tourist attraction's key col is North Sea?,Ben Nevis,The North Sea is not associated with a specific tourist attraction as it is a body,0.0
places_landmark,wh,Linköping Cathedral,architect,Helgo Zettervall,Who does Linköping Cathedral architect?,Helgo Zettervall,Gunnar Asplund (designed the current cathedral) and Joh,0.0
places_landmark,wh,Stonehenge,owned by,National Trust,What was Stonehenge owned by?,National Trust,"Not owned, but built by prehistoric people.",0.0
places_landmark,wh,Stonehenge,operator,English Heritage,What is the operator of Stonehenge?,English Heritage,Unknown (archaeological evidence suggests various theories but no definitive answer),0.0
places_landmark,wh,Stonehenge,country,United Kingdom,What is the country of Stonehenge?,United Kingdom,England,0.0
places_landmark,wh,Karlstad Cathedral,made from material,natural stone,What is the made from material of Karlstad Cathedral?,natural stone,Wood,0.0
places_landmark,wh,Karlstad Cathedral,architect,Christian Haller,Who does Karlstad Cathedral architect?,Christian Haller,Unknown (specific architect not provided in the question).,0.0
places_landmark,wh,Karlstad Cathedral,architectural style,baroque architecture,What is the architectural style of Karlstad Cathedral?,baroque architecture,Gothic,0.0
places_landmark,wh,Karlstad Cathedral,occupant,Karlstad church parish,What is the occupant of Karlstad Cathedral?,Karlstad church parish,Church (no specific occupant),0.0
places_landmark,wh,Diocese of Västerås,diocese,Västerås Cathedral,Which tourist attraction's diocese is Diocese of Västerås?,Västerås Cathedral,Vasa Cathedral.,0.0
places_landmark,wh,Verona Arena,culture,Ancient Rome,What is the culture of Verona Arena?,Ancient Rome,Italian Opera Culture.,0.0
places_landmark,wh,Jardin du Luxembourg,taxon found at location,fox,What is the taxon found at location of Jardin du Luxembourg?,fox,Plantae (plants),0.0
places_landmark,wh,Naples,location of formation,Naples National Archaeological Museum,Which tourist attraction's location of formation is Naples?,Naples National Archaeological Museum,Vesuvius,0.0
places_landmark,wh,Skokloster Castle,architect,Caspar Vogel,Who does Skokloster Castle architect?,Caspar Vogel,"Tessin, Nicodemus.",0.0
places_landmark,wh,Skokloster Castle,founded by,Carl Gustaf Wrangel,Who was Skokloster Castle founded by?,Carl Gustaf Wrangel,Per Brahe the Younger,0.0
places_landmark,wh,Skokloster Castle,owned by,National Property Board of Sweden,What was Skokloster Castle owned by?,National Property Board of Sweden,The Skokloster Castle was owned by the Stenbock family.,0.0
places_landmark,wh,George IV of the United Kingdom,occupant,Windsor Castle,Which tourist attraction's occupant is George IV of the United Kingdom?,Windsor Castle,St. George's Chapel,0.0
places_landmark,wh,South Dakota,located in the administrative territorial entity,Corn Palace,Which tourist attraction's located in the administrative territorial entity is South Dakota?,Corn Palace,Mount Rushmore (located in South Dakota),0.0
places_landmark,wh,"Ford, Powell & Carson",participant,Alamo Mission in San Antonio,"Which tourist attraction's participant is Ford, Powell & Carson?",Alamo Mission in San Antonio,Mount Rushmore,0.0
places_landmark,wh,Hawaiian Volcano Observatory,volcano observatory,Diamond Head,Which tourist attraction's volcano observatory is Hawaiian Volcano Observatory?,Diamond Head,Hawaiian Volcano Observatory,0.0
places_landmark,wh,Grampian Mountains,mountain range,Ben Nevis,Which tourist attraction's mountain range is Grampian Mountains?,Ben Nevis,Scotland's Cairngorms.,0.0
places_landmark,wh,Sigismund III Vasa,commissioned by,Royal Castle,Which tourist attraction was commissioned by Sigismund III Vasa?,Royal Castle,"Wawel Castle (in Krakow, Poland)",0.0
places_landmark,wh,Orange County,located in the administrative territorial entity,Crystal Cove State Park,Which tourist attraction's located in the administrative territorial entity is Orange County?,Crystal Cove State Park,Disneyland (Resort),0.0
places_landmark,wh,book,depicts,Statue of Liberty,Which tourist attraction depicts book?,Statue of Liberty,Bibliotheca Alexandrina,0.0
places_landmark,wh,Pinus canariensis,taxon found at location,National Garden of Athens,Which tourist attraction's taxon found at location is Pinus canariensis?,National Garden of Athens,Teide National Park.,0.0
places_landmark,wh,Leander,named after,Maiden's Tower,Which tourist attraction was named after Leander?,Maiden's Tower,The Leaning Tower of Pisa.,0.0
places_landmark,wh,Dresden Zoo,legal form,Gesellschaft mit beschränkter Haftung,What is the legal form of Dresden Zoo?,Gesellschaft mit beschränkter Haftung,Non-profit organization (Zoo Dresden e.V.),0.0
places_landmark,wh,Jean-Nicolas Jadot de Ville-Issey,architect,Buda Castle,Which tourist attraction architect Jean-Nicolas Jadot de Ville-Issey?,Buda Castle,Palace of Versailles,0.0
places_landmark,wh,Montsoreau,located in the administrative territorial entity,Château de Montsoreau-Museum of Contemporary Art,Which tourist attraction's located in the administrative territorial entity is Montsoreau?,Château de Montsoreau-Museum of Contemporary Art,"Montsoreau is located in Loire-Atlantique, France",0.0
places_landmark,wh,Ankara Province,located in the administrative territorial entity,Lake Tuz,Which tourist attraction's located in the administrative territorial entity is Ankara Province?,Lake Tuz,Anitkabir (Mausoleum of Atatürk),0.0
places_landmark,wh,Östersund Municipality,located in the administrative territorial entity,Jamtli,Which tourist attraction's located in the administrative territorial entity is Östersund Municipality?,Jamtli,Storsjöbadet (amusement park) or Årsjö,0.0
places_landmark,wh,mercury,inspired by,Cloud Gate,Which tourist attraction was inspired by mercury?,Cloud Gate,"Tempeh Merah (Red Temple), Bali.",0.0
places_landmark,wh,Times Square,located in the administrative territorial entity,Manhattan,What is the located in the administrative territorial entity of Times Square?,Manhattan,New York City,0.0
places_landmark,wh,Antonio Bernocchi,sponsor,Sacro Monte di Varese,Which tourist attraction sponsor Antonio Bernocchi?,Sacro Monte di Varese,Ferrari World. (Antonio Bernocchi is a Ferrari World employee,0.0
places_landmark,wh,Korea Development Bank,occupant,Shanghai World Financial Center,Which tourist attraction's occupant is Korea Development Bank?,Shanghai World Financial Center,Korea Development Bank is not an occupant of a tourist attraction. It is a,0.0
places_landmark,wh,Burj Khalifa,architectural style,high-tech architecture,What is the architectural style of Burj Khalifa?,high-tech architecture,Modern/Postmodern (Tallest building in the world),0.0
places_landmark,wh,Burj Khalifa,significant event,construction,What is the significant event of Burj Khalifa?,construction,Inauguration (2010),0.0
places_landmark,wh,Roman Abramovich,founded by,Garage Center for Contemporary Culture,Which tourist attraction was founded by Roman Abramovich?,Garage Center for Contemporary Culture,"Bulgari Art Hotel, Milan.",0.0
places_landmark,wh,Stein Olav Henrichsen,chief executive officer,MUNCH,Which tourist attraction's chief executive officer is Stein Olav Henrichsen?,MUNCH,Viking World (Iceland),0.0
places_landmark,wh,"Santa Rosa Island, Florida",located in the administrative territorial entity,Pensacola Beach,"Which tourist attraction's located in the administrative territorial entity is Santa Rosa Island, Florida?",Pensacola Beach,Gulf Islands National Seashore,0.0
places_landmark,wh,Oahu,located in/on physical feature,Diamond Head,Which tourist attraction's located in/on physical feature is Oahu?,Diamond Head,Waikiki Beach (on an island).,0.0
places_landmark,wh,Detroit,located in the administrative territorial entity,Museum of Contemporary Art Detroit,Which tourist attraction's located in the administrative territorial entity is Detroit?,Museum of Contemporary Art Detroit,"Motown Museum (Detroit, Michigan, USA)",0.0
places_landmark,wh,Varberg,location,Varberg Fortress,Which tourist attraction's location is Varberg?,Varberg Fortress,Varberg's tourist attraction is located in Sweden.,0.0
places_landmark,wh,County Kerry,located in the administrative territorial entity,Carrauntoohil,Which tourist attraction's located in the administrative territorial entity is County Kerry?,Carrauntoohil,Ring of Kerry.,0.0
places_landmark,wh,Luigi Canonica,architect,Villa Menafoglio Litta Panza,Which tourist attraction architect Luigi Canonica?,Villa Menafoglio Litta Panza,Aqueduct of Ponte Sisto (Rome),0.0
places_landmark,wh,Cloud Gate,inspired by,mercury,What was Cloud Gate inspired by?,mercury,"""Dance""",0.0
places_landmark,wh,Balboa Park,located in the administrative territorial entity,San Diego,What is the located in the administrative territorial entity of Balboa Park?,San Diego,"Museums, gardens, theaters, etc. (Multiple entities)",0.0
places_landmark,wh,Balboa Park,architect,Katherine Olivia Sessions,Who does Balboa Park architect?,Katherine Olivia Sessions,Richard Requa (primary architect) and others in the architectural firm of Car,0.0
places_landmark,wh,Balboa Park,heritage designation,National Historic Landmark,What is the heritage designation of Balboa Park?,National Historic Landmark,Designated Historic Park,0.0
places_landmark,wh,Fondo per l'Ambiente Italiano,owned by,Villa Menafoglio Litta Panza,Which tourist attraction was owned by Fondo per l'Ambiente Italiano?,Villa Menafoglio Litta Panza,Colosseum,0.0
places_landmark,wh,Stockholm Municipality,headquarters location,Thiel Gallery,Which tourist attraction's headquarters location is Stockholm Municipality?,Thiel Gallery,ABBA The Museum,0.0
places_landmark,wh,Stockholm Municipality,owned by,Stockholm City Hall,Which tourist attraction was owned by Stockholm Municipality?,Stockholm City Hall,Skansen (Stockholm's open-air museum),0.0
places_landmark,wh,Ulriksdal Palace,architect,Hans Jacob Kristler,Who does Ulriksdal Palace architect?,Hans Jacob Kristler,Nicodemus Tessin the Elder.,0.0
places_landmark,wh,Ulriksdal Palace,located in or next to body of water,Edsviken,Who is the located in or next to body of water of Ulriksdal Palace?,Edsviken,Lake Mälaren,0.0
places_landmark,wh,Ulriksdal Palace,named after,Prince Ulrik,Who was Ulriksdal Palace named after?,Prince Ulrik,Ulriksdal Palace was named after King Gustav II Adolf's,0.0
places_landmark,wh,Ulriksdal Palace,owned by,National Property Board of Sweden,What was Ulriksdal Palace owned by?,National Property Board of Sweden,Swedish monarchy,0.0
places_landmark,wh,Roman Forum,located in the administrative territorial entity,Rome,What is the located in the administrative territorial entity of Roman Forum?,Rome,"Temples, basilicas, and public buildings.",0.0
places_landmark,wh,Dömitz Fortress,significant event,construction,What is the significant event of Dömitz Fortress?,construction,Siege of Dömitz (1631),0.0
places_landmark,wh,classicism,architectural style,Kazan Cathedral,Which tourist attraction's architectural style is classicism?,Kazan Cathedral,Parthenon,0.0
places_landmark,wh,St Mark's Basilica,architect,Domenico I Contarini,Who does St Mark's Basilica architect?,Domenico I Contarini,Tallari (Attributed),0.0
places_landmark,wh,St Mark's Basilica,has part(s),St Mark's Campanile,What does St Mark's Basilica have part(s )?,St Mark's Campanile,"Domes, Columns",0.0
places_landmark,wh,Mariefred,location,Gripsholm Castle,Which tourist attraction's location is Mariefred?,Gripsholm Castle,Mariefred is located in Sweden.,0.0
