topic,type,subject,relation,object,question,label,output_meta_llama_3.1_8b_instruct,eval_meta_llama_3.1_8b_instruct,paraphrased_question,yes_question,no_question,multiple_choice_question,locality_question,reversed_relation_question,question_2hop,answer_2hop,question_3hop,answer_3hop,question_4hop,answer_4hop,question_5hop,answer_5hop,question_6hop,answer_6hop
places_country,wh,People's Republic of China,founded by,Chinese Communist Party,What was People's Republic of China founded by?,Chinese Communist Party,Mao Zedong,0.0,Who established the People's Republic of China?,Was the People's Republic of China founded by the Chinese Communist Party?,Was the People's Republic of China founded by Mao Zedong?,"{'question': ""Who founded the People's Republic of China?"", 'options': {'A': 'Chinese Communist Party', 'B': 'Mao Zedong', 'C': 'Nationalist Party', 'D': 'Sun Yat-sen'}, 'ground_truth': 'A'}",What is the capital city of the People's Republic of China?,Which country was founded by the Chinese Communist Party?,Who was the first leader of the People's Republic of China?,Mao Zedong,What was the political party of the first leader of the People's Republic of China?,Communist Party of China,In which year was the political party of the first leader of the People's Republic of China founded?,1921,In which city was the political party of the first leader of the People's Republic of China founded?,Shanghai,Which country is home to the city where the political party of the first leader of the People's Republic of China was founded?,China
places_country,wh,Bangladesh,lowest point,Bay of Bengal,What is the lowest point of Bangladesh?,Bay of Bengal,Titas River delta,0.0,Where is the lowest point located in Bangladesh?,Is the Bay of Bengal the lowest point of Bangladesh?,Is the Titas River delta the lowest point of Bangladesh?,"{'question': 'What is the lowest point of Bangladesh?', 'options': {'A': 'Bay of Bengal', 'B': 'Titas River delta', 'C': 'Himalayan foothills', 'D': 'Sundarbans'}, 'ground_truth': 'A'}",What is the capital city of Bangladesh?,Which country has the Bay of Bengal as its lowest point?,What is the name of the river that flows through the lowest point of Bangladesh?,Surma River,Which country does the river that flows through the lowest point of Bangladesh originate from?,India,What is the capital city of the country where the river that flows through the lowest point of Bangladesh originates?,New Delhi,What is the official language of the country whose capital city is New Delhi?,Hindi,What is the script used to write the official language of the country whose capital city is New Delhi?,Devanagari
places_country,wh,Bangladesh,official symbol,Nymphaea nouchali,What is the official symbol of Bangladesh?,Nymphaea nouchali,Lion Capital,0.0,Can you tell me the official symbol of Bangladesh?,Is Nymphaea nouchali the official symbol of Bangladesh?,Is the Lion Capital the official symbol of Bangladesh?,"{'question': 'What is the official symbol of Bangladesh?', 'options': {'A': 'Nymphaea nouchali', 'B': 'Lion Capital', 'C': 'Bengal Tiger', 'D': 'Peacock'}, 'ground_truth': 'A'}",What is the capital city of Bangladesh?,Which country has Nymphaea nouchali as its official symbol?,What is the national flower of the country whose official symbol is the Shapla (water lily)?,Shapla (water lily),Which river is prominently associated with the national flower of the country whose official symbol is the Shapla (water lily)?,Padma River,Which major city is located near the river that is prominently associated with the national flower of the country whose official symbol is the Shapla (water lily)?,Dhaka,What is the population of the major city located near the river that is prominently associated with the national flower of the country whose official symbol is the Shapla (water lily)?,Approximately 21 million,"What is the name of the country where the major city with a population of approximately 21 million, located near the river associated with the national flower Shapla (water lily), is situated?",Bangladesh
places_country,wh,Thailand,lowest point,Thailand,What is the lowest point of Thailand?,Thailand,Bang Pakong River delta,0.0,Where is the lowest elevation found in Thailand?,Is the lowest point of Thailand the Gulf of Thailand?,Is the lowest point of Thailand the Bang Pakong River delta?,"{'question': 'What is the lowest point of Thailand?', 'options': {'A': 'Gulf of Thailand', 'B': 'Bang Pakong River delta', 'C': 'Mekong River', 'D': 'Chao Phraya River'}, 'ground_truth': 'A'}",What is the capital city of Thailand?,Which country has the Gulf of Thailand as its lowest point?,What is the name of the body of water at the lowest point in Thailand?,Gulf of Thailand,Which ocean does the Gulf of Thailand connect to?,Pacific Ocean,What is the largest island in the ocean that the Gulf of Thailand connects to?,New Guinea,Which country shares the island that is the largest in the ocean connected to the Gulf of Thailand?,Indonesia,What is the capital city of the country that shares the largest island in the ocean connected to the Gulf of Thailand?,Jakarta
places_country,wh,Thailand,lowest point,Thailand,Which country's lowest point is Thailand?,Thailand,Bhutan,0.0,What country has its lowest point in Thailand?,Is Thailand the country whose lowest point is Thailand?,Is Bhutan the country whose lowest point is Thailand?,"{'question': ""Which country's lowest point is Thailand?"", 'options': {'A': 'Thailand', 'B': 'Bhutan', 'C': 'India', 'D': 'Vietnam'}, 'ground_truth': 'A'}",What is the capital city of Thailand?,What is the lowest point of Thailand?,What is the name of the body of water at the lowest point in Thailand?,Gulf of Thailand,Which country borders the body of water at the lowest point in Thailand?,Malaysia,What is the capital city of the country that borders the body of water at the lowest point in Thailand?,Kuala Lumpur,What is the population of the capital city of the country that borders the body of water at the lowest point in Thailand?,1.8 million,What is the official language spoken in the capital city of the country that borders the body of water at the lowest point in Thailand?,Malay
places_country,wh,Malaysia,ethnic group,Arabs,What is the ethnic group of Malaysia?,Arabs,Malaysian,0.0,Which ethnic group is found in Malaysia?,Is the ethnic group of Malaysia Arabs?,Is the ethnic group of Malaysia Malaysian?,"{'question': 'What is the ethnic group of Malaysia?', 'options': {'A': 'Arabs', 'B': 'Malaysian', 'C': 'Chinese', 'D': 'Indian'}, 'ground_truth': 'A'}",What is the capital city of Malaysia?,Which country has Arabs as an ethnic group?,What is the primary language spoken by the largest ethnic group in Malaysia?,Malay,What is the official religion of the country where the primary language spoken by the largest ethnic group is Malay?,Islam,What is the name of the holy book in the official religion of the country where the primary language spoken by the largest ethnic group is Malay?,Quran,"In which language is the holy book of the official religion of the country, where the primary language spoken by the largest ethnic group is Malay, originally written?",Arabic,"Which country is known for having the holy book originally written in Arabic, which is the official religion of the country where the primary language spoken by the largest ethnic group is Malay?",Saudi Arabia
places_country,wh,Malaysia,country,Malaysia,What is the country of Malaysia?,Malaysia,Southeast Asian,0.0,Which country is Malaysia?,Is Malaysia the country of Malaysia?,Is Southeast Asian the country of Malaysia?,"{'question': 'What is the country of Malaysia?', 'options': {'A': 'Malaysia', 'B': 'Southeast Asian', 'C': 'Thailand', 'D': 'Indonesia'}, 'ground_truth': 'A'}",What is the capital city of Malaysia?,Which country is Malaysia?,What is the capital city of the country Malaysia?,Kuala Lumpur,What is the main airport in the capital city of Malaysia?,Kuala Lumpur International Airport,Which airline has its main hub at the main airport in the capital city of Malaysia?,Malaysia Airlines,What is the frequent flyer program of the airline that has its main hub at the main airport in the capital city of Malaysia?,Enrich,Which alliance is the frequent flyer program of the airline that has its main hub at the main airport in the capital city of Malaysia a part of?,Oneworld
places_country,wh,Malaysia,country,Malaysia,Which country's country is Malaysia?,Malaysia,Southeast Asia,0.0,What is the name of the country that is Malaysia?,Is Malaysia the country of Malaysia?,Is Southeast Asia the country of Malaysia?,"{'question': ""Which country's country is Malaysia?"", 'options': {'A': 'Malaysia', 'B': 'Southeast Asia', 'C': 'Thailand', 'D': 'Indonesia'}, 'ground_truth': 'A'}",What is the capital city of Malaysia?,Which country is Malaysia the country of?,What is the capital city of the country Malaysia?,Kuala Lumpur,What is the tallest building in the capital city of Malaysia?,Petronas Towers,Which company is headquartered in the tallest building in the capital city of Malaysia?,Petronas,What is the primary industry of the company headquartered in the tallest building in the capital city of Malaysia?,Oil and Gas,"Which country is a major exporter of oil and gas, with a company headquartered in the tallest building in its capital city?",Malaysia
places_country,wh,Nauru,located in/on physical feature,Micronesia,What is the located in/on physical feature of Nauru?,Micronesia,Pacific Ocean,0.0,Which physical feature is Nauru located in?,Is Nauru located in Micronesia?,Is Nauru located in the Pacific Ocean?,"{'question': 'Where is Nauru located?', 'options': {'A': 'Micronesia', 'B': 'Pacific Ocean', 'C': 'Caribbean', 'D': 'Indian Ocean'}, 'ground_truth': 'A'}",What is the capital city of Nauru?,Which country is located in Micronesia?,What is the ocean that Nauru is located in?,Pacific Ocean,Which major oceanic region is the Pacific Ocean part of?,World Ocean,What is the largest oceanic division that includes the major oceanic region where the Pacific Ocean is part of?,Pacific Ocean Basin,Which tectonic plate is primarily associated with the Pacific Ocean Basin?,Pacific Plate,Which geological feature is formed by the movement of the Pacific Plate?,Ring of Fire
places_country,wh,Scotland,located in/on physical feature,Great Britain,What is the located in/on physical feature of Scotland?,Great Britain,Loch,0.0,On which physical feature is Scotland located?,Is Scotland located on Great Britain?,Is Scotland located on Loch?,"{'question': 'On which physical feature is Scotland located?', 'options': {'A': 'Great Britain', 'B': 'Loch', 'C': 'Iceland', 'D': 'Greenland'}, 'ground_truth': 'A'}",What is the capital city of Scotland?,Which country is located on Great Britain?,What is the capital city of the country where Scotland is located?,Edinburgh,Which famous castle is located in the capital city of the country where Scotland is located?,Edinburgh Castle,Which historic event is associated with the famous castle located in the capital city of the country where Scotland is located?,The Wars of Scottish Independence,Which Scottish king was involved in the historic event associated with the famous castle in the capital city of the country where Scotland is located?,Robert the Bruce,Which battle did the Scottish king involved in the historic event associated with the famous castle in the capital city of the country where Scotland is located win?,Battle of Bannockburn
places_country,wh,Scotland,country,United Kingdom,What is the country of Scotland?,United Kingdom,Part,0.0,Which country does Scotland belong to?,Is the United Kingdom the country of Scotland?,Is Part the country of Scotland?,"{'question': 'What is the country of Scotland?', 'options': {'A': 'United Kingdom', 'B': 'Part', 'C': 'Ireland', 'D': 'Wales'}, 'ground_truth': 'A'}",What is the capital city of Scotland?,Which country includes the United Kingdom as a part?,What is the capital city of the country Scotland?,Edinburgh,Which famous castle is located in the capital city of the country Scotland?,Edinburgh Castle,Which historic event is associated with the famous castle located in the capital city of the country Scotland?,The Wars of Scottish Independence,Who was a notable leader during the historic event associated with the famous castle in the capital city of the country Scotland?,William Wallace,Which battle did the notable leader during the historic event associated with the famous castle in the capital city of the country Scotland famously win?,Battle of Stirling Bridge
places_country,wh,Gibraltar,twinned administrative body,Singapore,Which country's twinned administrative body is Gibraltar?,Singapore,United Kingdom,0.0,Gibraltar is twinned with the administrative body of which country?,Is Gibraltar's twinned administrative body Singapore?,Is Gibraltar's twinned administrative body the United Kingdom?,"{'question': ""Which country's twinned administrative body is Gibraltar?"", 'options': {'A': 'Singapore', 'B': 'United Kingdom', 'C': 'France', 'D': 'Australia'}, 'ground_truth': 'A'}",What is the famous rock formation located in Gibraltar?,Which administrative body is twinned with Singapore?,What is the capital of the country that has a twinned administrative body with Gibraltar?,Madrid,What is the official language of the country whose capital is Madrid?,Spanish,What is the currency used in the country where Spanish is the official language and has a capital named Madrid?,Euro,Which international organization is the country that uses the Euro and has Spanish as its official language a member of?,European Union,What is the founding year of the international organization that the country using the Euro and having Spanish as its official language is a member of?,1993
places_country,wh,Kyrgyzstan,country,Kyrgyzstan,What is the country of Kyrgyzstan?,Kyrgyzstan,Landlocked,0.0,Which country is Kyrgyzstan located in?,Is Kyrgyzstan the country of Kyrgyzstan?,Is Landlocked the country of Kyrgyzstan?,"{'question': 'What is the country of Kyrgyzstan?', 'options': {'A': 'Kyrgyzstan', 'B': 'Landlocked', 'C': 'Kazakhstan', 'D': 'Uzbekistan'}, 'ground_truth': 'A'}",What is the capital city of Kyrgyzstan?,Which country is Kyrgyzstan?,What is the capital city of Kyrgyzstan?,Bishkek,Which river flows through the capital city of Kyrgyzstan?,Chüy River,What is the length of the river that flows through the capital city of Kyrgyzstan?,221 km,Which country does the river that flows through the capital city of Kyrgyzstan originate from?,Kazakhstan,What is the official language of the country where the river that flows through the capital city of Kyrgyzstan originates?,Kazakh
places_country,wh,Kyrgyzstan,official language,Russian,What is the official language of Kyrgyzstan?,Russian,Kyrgyz,0.0,Which language is officially recognized in Kyrgyzstan?,Is Russian the official language of Kyrgyzstan?,Is Kyrgyz the official language of Kyrgyzstan?,"{'question': 'What is the official language of Kyrgyzstan?', 'options': {'A': 'Russian', 'B': 'Kyrgyz', 'C': 'Uzbek', 'D': 'Tajik'}, 'ground_truth': 'A'}",What is the capital city of Kyrgyzstan?,Which country has Russian as an official language?,What is the official language of Kyrgyzstan?,Kyrgyz,What is the primary script used to write the official language of Kyrgyzstan?,Cyrillic,Which country primarily uses the Cyrillic script for its official language?,Russia,What is the capital city of the country that primarily uses the Cyrillic script for its official language?,Moscow,Which river flows through the capital city of the country that primarily uses the Cyrillic script for its official language?,Moskva River
places_country,wh,Kyrgyzstan,country,Kyrgyzstan,Which country's country is Kyrgyzstan?,Kyrgyzstan,Russia,0.0,What is the name of the country that is Kyrgyzstan?,Is Kyrgyzstan the country of Kyrgyzstan?,Is Russia the country of Kyrgyzstan?,"{'question': ""Which country's country is Kyrgyzstan?"", 'options': {'A': 'Russia', 'B': 'Kazakhstan', 'C': 'Uzbekistan', 'D': 'Kyrgyzstan'}, 'ground_truth': 'D'}",What is the capital city of Kyrgyzstan?,Which country is Kyrgyzstan?,What is the capital city of Kyrgyzstan?,Bishkek,What is the population of the capital city of Kyrgyzstan?,Approximately 1 million,What is the main language spoken in the capital city of Kyrgyzstan?,Kyrgyz,What is the currency used in the country where the capital city Bishkek is located?,Kyrgyzstani som,Which mountain range is located in the country that uses the Kyrgyzstani som as its currency?,Tian Shan
places_country,wh,Nepal,country,Nepal,What is the country of Nepal?,Nepal,Federal republic,0.0,Which country is Nepal?,Is Nepal the country of Nepal?,Is Federal republic the country of Nepal?,"{'question': 'What is the country of Nepal?', 'options': {'A': 'Federal republic', 'B': 'Nepal', 'C': 'India', 'D': 'China'}, 'ground_truth': 'B'}",What is the capital city of Nepal?,Which country is Nepal?,What is the capital city of the country Nepal?,Kathmandu,Which river flows through the capital city of the country Nepal?,Bagmati River,Which major religious site is located near the river that flows through the capital city of the country Nepal?,Pashupatinath Temple,Which festival is prominently celebrated at the major religious site located near the river that flows through the capital city of the country Nepal?,Maha Shivaratri,Which Hindu deity is primarily worshipped during the festival prominently celebrated at the major religious site located near the river that flows through the capital city of the country Nepal?,Shiva
places_country,wh,Nepal,twinned administrative body,Toyota,What is the twinned administrative body of Nepal?,Toyota,Federal Parliament,0.0,Which administrative body is twinned with Nepal?,Is Toyota the twinned administrative body of Nepal?,Is the Federal Parliament the twinned administrative body of Nepal?,"{'question': 'What is the twinned administrative body of Nepal?', 'options': {'A': 'Toyota', 'B': 'Federal Parliament', 'C': 'New York City', 'D': 'Sydney'}, 'ground_truth': 'A'}",What is the capital city of Nepal?,Which country has Toyota as its twinned administrative body?,What is the name of a city that is twinned with an administrative body in Nepal?,Lhasa,Which country is the city that is twinned with an administrative body in Nepal located in?,China,What is the official language of the country where the city twinned with an administrative body in Nepal is located?,Mandarin Chinese,What is the population of the country where the city twinned with an administrative body in Nepal is located?,Approximately 1.4 billion,What is the capital city of the country where the city twinned with an administrative body in Nepal is located?,Beijing
places_country,wh,Nepal,ethnic group,Muslim,What is the ethnic group of Nepal?,Muslim,Nepali,0.0,Which ethnic group is found in Nepal?,Is the ethnic group of Nepal Muslim?,Is the ethnic group of Nepal Nepali?,"{'question': 'What is the ethnic group of Nepal?', 'options': {'A': 'Muslim', 'B': 'Nepali', 'C': 'Hindu', 'D': 'Buddhist'}, 'ground_truth': 'A'}",What is the capital city of Nepal?,Which country has Muslims as an ethnic group?,What is the primary language spoken by the largest ethnic group in Nepal?,Nepali,What is the traditional festival celebrated by the largest ethnic group in Nepal?,Dashain,Which deity is primarily worshipped during the traditional festival celebrated by the largest ethnic group in Nepal?,Durga,In which month is the traditional festival celebrated by the largest ethnic group in Nepal primarily observed?,October,What is the name of the lunar calendar month in which the traditional festival celebrated by the largest ethnic group in Nepal falls?,Ashwin
places_country,wh,Nepal,country,Nepal,Which country's country is Nepal?,Nepal,India,0.0,What is the name of the country that is Nepal?,Is Nepal the country of Nepal?,Is India the country of Nepal?,"{'question': ""Which country's country is Nepal?"", 'options': {'A': 'Nepal', 'B': 'India', 'C': 'China', 'D': 'Bhutan'}, 'ground_truth': 'A'}",What is the capital city of Nepal?,Nepal is the country of which country?,What is the capital city of the country Nepal?,Kathmandu,What is the main language spoken in the capital city of the country Nepal?,Nepali,What is the script used to write the main language spoken in the capital city of the country Nepal?,Devanagari,Which ancient language is the script used to write the main language spoken in the capital city of the country Nepal derived from?,Sanskrit,Which country is known for the ancient language from which the script used to write the main language spoken in the capital city of the country Nepal is derived?,India
places_country,wh,Asian elephant,official symbol,Thailand,Which country's official symbol is Asian elephant?,Thailand,Sri Lanka,0.0,The Asian elephant is the official symbol of which country?,Is Thailand the country whose official symbol is the Asian elephant?,Is Sri Lanka the country whose official symbol is the Asian elephant?,"{'question': ""Which country's official symbol is the Asian elephant?"", 'options': {'A': 'Thailand', 'B': 'Sri Lanka', 'C': 'India', 'D': 'China'}, 'ground_truth': 'A'}",In which continent can you find the natural habitat of the Asian elephant?,What is the official symbol of Thailand?,Which country has the Asian elephant as its official symbol?,India,What is the capital city of the country that has the Asian elephant as its official symbol?,New Delhi,What is the official language of the country whose capital city is New Delhi?,Hindi,What is the population of the country where Hindi is the official language?,Approximately 1.4 billion,What is the currency used in the country with a population of approximately 1.4 billion?,Indian Rupee
places_country,wh,Amu Darya,lowest point,Afghanistan,Which country's lowest point is Amu Darya?,Afghanistan,Tajikistan,0.0,In which country is the lowest point the Amu Darya?,Is Afghanistan the country whose lowest point is Amu Darya?,Is Tajikistan the country whose lowest point is Amu Darya?,"{'question': ""Which country's lowest point is Amu Darya?"", 'options': {'A': 'Afghanistan', 'B': 'Tajikistan', 'C': 'Uzbekistan', 'D': 'Turkmenistan'}, 'ground_truth': 'A'}",Which mountain range is located in Afghanistan?,What is the lowest point in Afghanistan?,Which body of water is located at the lowest point of the Amu Darya?,Aral Sea,Which country borders the body of water located at the lowest point of the Amu Darya?,Kazakhstan,What is the capital city of the country that borders the body of water located at the lowest point of the Amu Darya?,Nur-Sultan,Which river flows through the capital city of the country that borders the body of water located at the lowest point of the Amu Darya?,Ishim River,In which country does the river that flows through the capital city of the country bordering the body of water at the lowest point of the Amu Darya originate?,Kazakhstan
places_country,wh,Senegal,replaces,French West Africa,What does Senegal replace?,French West Africa,Mauritania,0.0,What entity did Senegal take the place of?,Does Senegal replace French West Africa?,Does Senegal replace Mauritania?,"{'question': 'What does Senegal replace?', 'options': {'A': 'French West Africa', 'B': 'Mauritania', 'C': 'Gambia', 'D': 'Mali'}, 'ground_truth': 'A'}",What is the capital city of Senegal?,Which country replaces French West Africa?,Who is the current president of the country that Senegal replaces in the African Union?,Cyril Ramaphosa,What is the capital city of the country whose current president is Cyril Ramaphosa?,Pretoria,What is the official language of the country whose capital city is Pretoria?,Afrikaans,What is the population of the country where Afrikaans is an official language?,Approximately 60 million,What is the currency used in the country with a population of approximately 60 million where Afrikaans is an official language?,South African Rand
places_country,wh,Senegal,country,Senegal,What is the country of Senegal?,Senegal,West African,0.0,Which country is Senegal?,Is Senegal the country of Senegal?,Is West African the country of Senegal?,"{'question': 'What is the country of Senegal?', 'options': {'A': 'Senegal', 'B': 'West African', 'C': 'Nigeria', 'D': 'Ghana'}, 'ground_truth': 'A'}",What is the capital city of Senegal?,Which country is Senegal a part of?,What is the capital city of the country Senegal?,Dakar,Which ocean borders the capital city of the country Senegal?,Atlantic Ocean,What is the name of the major river that flows into the ocean bordering the capital city of the country Senegal?,Senegal River,Which country shares a border with Senegal and is also traversed by the major river that flows into the ocean bordering its capital city?,Mauritania,What is the official language of the country that shares a border with Senegal and is traversed by the major river flowing into the ocean bordering Senegal's capital city?,Arabic
places_country,wh,Senegal,official language,Wolof,What is the official language of Senegal?,Wolof,French,0.0,Which language is officially recognized in Senegal?,Is Wolof the official language of Senegal?,Is French the official language of Senegal?,"{'question': 'What is the official language of Senegal?', 'options': {'A': 'Wolof', 'B': 'French', 'C': 'Swahili', 'D': 'Arabic'}, 'ground_truth': 'A'}",What is the capital city of Senegal?,Which country has Wolof as its official language?,What is the official language of Senegal?,French,Which country has French as its official language and is located in West Africa?,Senegal,What is the capital city of the country in West Africa where French is the official language?,Dakar,Which ocean borders the country whose capital city is Dakar and has French as its official language?,Atlantic Ocean,What is the name of the sea that is part of the ocean bordering the country whose capital is Dakar and has French as its official language?,North Atlantic Ocean
