topic,type,subject,relation,object,question,label,output_meta_llama_3.1_8b_instruct,eval_meta_llama_3.1_8b_instruct,paraphrased_question,yes_question,no_question,multiple_choice_question,reversed_relation_question,locality_question,question_2hop,answer_2hop,question_3hop,answer_3hop,question_4hop,answer_4hop,question_5hop,answer_5hop,question_6hop,answer_6hop
places_city,wh,Marne,named after,Champigny-sur-Marne,Which city was named after Marne?,Champigny-sur-Marne,Paris,0.0,What is the name of the city that was named after Marne?,Was Champigny-sur-Marne named after Marne?,Was Paris named after Marne?,"{'question': 'Which city was named after Marne?', 'options': {'A': 'Champigny-sur-Marne', 'B': 'Paris', 'C': 'Lyon', 'D': 'Marseille'}, 'ground_truth': 'A'}",Which river is Champigny-sur-Marne named after?,What is a well-known river that flows through the Marne region?,What is the river that the Marne is named after?,Marne River,Which country does the river that the Marne is named after flow through?,France,What is the capital city of the country through which the river that the Marne is named after flows?,Paris,Which famous landmark is located in the capital city of the country through which the river that the Marne is named after flows?,Eiffel Tower,Who designed the famous landmark located in the capital city of the country through which the river that the Marne is named after flows?,Gustave Eiffel
places_city,wh,Gorlice,twinned administrative body,Nyíregyháza,Which city's twinned administrative body is Gorlice?,Nyíregyháza,Krosno,0.0,What city is twinned with Gorlice?,Is Nyíregyháza the twinned administrative body of Gorlice?,Is Krosno the twinned administrative body of Gorlice?,"{'question': 'Which city is twinned with Gorlice?', 'options': {'A': 'Nyíregyháza', 'B': 'Krosno', 'C': 'Debrecen', 'D': 'Miskolc'}, 'ground_truth': 'A'}",Which city's twinned administrative body is Nyíregyháza?,In which country is Gorlice located?,What is the population of the city that is twinned with Gorlice?,"Approximately 50,000",What is the main language spoken in the city that is twinned with Gorlice?,German,What is the most famous landmark in the city where the main language is German and is twinned with Gorlice?,The Old Town Hall,Which river flows through the city that has The Old Town Hall and is twinned with Gorlice?,The Elbe River,In which country is the river located that flows through the city with The Old Town Hall and is twinned with Gorlice?,Germany
places_city,wh,Conakry,twinned administrative body,Freetown,Which city's twinned administrative body is Conakry?,Freetown,Paris,0.0,What city is twinned with Conakry as an administrative body?,Is Freetown the city that has a twinned administrative body with Conakry?,Is Paris the city that has a twinned administrative body with Conakry?,"{'question': ""Which city's twinned administrative body is Conakry?"", 'options': {'A': 'Freetown', 'B': 'Paris', 'C': 'Lagos', 'D': 'Dakar'}, 'ground_truth': 'A'}",Which city has a twinned administrative body with Freetown?,What is the capital city of Guinea?,What is the capital city of the country that has a twinned administrative body with Conakry?,Paris,Which famous landmark is located in the capital city of the country that has a twinned administrative body with Conakry?,Eiffel Tower,Who designed the famous landmark located in the capital city of the country that has a twinned administrative body with Conakry?,Gustave Eiffel,"In which year was the famous landmark, designed by Gustave Eiffel, located in the capital city of the country that has a twinned administrative body with Conakry completed?",1889,Which event coincided with the completion year of the famous landmark designed by Gustave Eiffel in the capital city of the country that has a twinned administrative body with Conakry?,Exposition Universelle (World's Fair)
places_city,wh,Islam,named after,Islamabad,Which city was named after Islam?,Islamabad,Istanbul,0.0,What is the name of the city that was named in honor of Islam?,Was Islamabad named after Islam?,Was Istanbul named after Islam?,"{'question': 'Which city was named after Islam?', 'options': {'A': 'Islamabad', 'B': 'Istanbul', 'C': 'Cairo', 'D': 'Tehran'}, 'ground_truth': 'A'}",Islamabad was named after which religion?,"In which country is the city of Mecca, a significant place in Islam, located?",Who is the prophet that Islam is named after?,Prophet Muhammad,In which city was the prophet that Islam is named after born?,Mecca,In which country is the city located where the prophet that Islam is named after was born?,Saudi Arabia,What is the official language of the country where the city is located that the prophet Islam is named after was born?,Arabic,What is the primary religion practiced in the country where the city is located that the prophet Islam is named after was born?,Islam
places_city,wh,Henry Morton Stanley,founded by,Kinshasa,Which city was founded by Henry Morton Stanley?,Kinshasa,Dar-es-Salaam,0.0,What city did Henry Morton Stanley establish?,Was Kinshasa founded by Henry Morton Stanley?,Was Dar-es-Salaam founded by Henry Morton Stanley?,"{'question': 'Which city was founded by Henry Morton Stanley?', 'options': {'A': 'Kinshasa', 'B': 'Dar-es-Salaam', 'C': 'Nairobi', 'D': 'Lagos'}, 'ground_truth': 'A'}",Who founded Kinshasa?,In which country is the city of Kinshasa located?,What organization was founded by Henry Morton Stanley?,Congo Free State,Who was the ruler of the organization founded by Henry Morton Stanley?,King Leopold II of Belgium,Which European country was ruled by the ruler of the organization founded by Henry Morton Stanley?,Belgium,What is the capital city of the European country ruled by the ruler of the organization founded by Henry Morton Stanley?,Brussels,Which river flows through the capital city of the European country ruled by the ruler of the organization founded by Henry Morton Stanley?,Senne
places_city,wh,Brčko,twinned administrative body,Samsun,Which city's twinned administrative body is Brčko?,Samsun,"Brčko District, Bosnia and Herzegovina",0.0,Brčko is twinned with which administrative body?,Is Samsun the twinned administrative body of Brčko?,"Is Brčko District, Bosnia and Herzegovina the twinned administrative body of Brčko?","{'question': ""Which city's twinned administrative body is Brčko?"", 'options': {'A': 'Samsun', 'B': 'Brčko District, Bosnia and Herzegovina', 'C': 'Istanbul', 'D': 'Ankara'}, 'ground_truth': 'A'}",Which city's twinned administrative body is Samsun?,In which country is Brčko located?,What is the country of the twinned administrative body of Brčko?,Croatia,What is the capital city of the country where the twinned administrative body of Brčko is located?,Zagreb,What is the population of the capital city of the country where the twinned administrative body of Brčko is located?,"approximately 800,000",What is the main river that flows through the capital city of the country where the twinned administrative body of Brčko is located?,Sava River,Which sea does the main river that flows through the capital city of the country where the twinned administrative body of Brčko is located eventually drain into?,Adriatic Sea
places_city,wh,Apia,twinned administrative body,Compton,What is the twinned administrative body of Apia?,Compton,Matautu,0.0,Which city is twinned with Apia?,Is Compton the twinned administrative body of Apia?,Is Matautu the twinned administrative body of Apia?,"{'question': 'What is the twinned administrative body of Apia?', 'options': {'A': 'Compton', 'B': 'Matautu', 'C': 'Los Angeles', 'D': 'Pago Pago'}, 'ground_truth': 'A'}",Which city is twinned with Compton?,What is the capital city of Samoa?,What is the twinned administrative body of Apia?,"Portland, Oregon",What is the population of the twinned administrative body of Apia?,"652,503",What is the area in square miles of the city that is the twinned administrative body of Apia?,145 square miles,What is the name of the river that flows through the city that is the twinned administrative body of Apia?,Willamette River,What is the name of the state where the city that is the twinned administrative body of Apia is located?,Oregon
places_city,wh,Uman,twinned administrative body,Gniezno,Which city's twinned administrative body is Uman?,Gniezno,Kiev,0.0,What city is twinned with Uman?,Is Gniezno the twinned administrative body of Uman?,Is Kiev the twinned administrative body of Uman?,"{'question': 'Which city is twinned with Uman?', 'options': {'A': 'Gniezno', 'B': 'Kiev', 'C': 'Warsaw', 'D': 'Lublin'}, 'ground_truth': 'A'}",Which city is twinned with Gniezno?,In which country is Uman located?,What is the population of the city that is twinned with Uman?,"Approximately 1.5 million (for example, Milwaukee, Wisconsin)",What is the primary language spoken in the city that is twinned with Uman?,"English (for example, Milwaukee, Wisconsin)",What is the name of the major river that flows through the city that is twinned with Uman?,"Milwaukee River (for example, Milwaukee, Wisconsin)",What is the name of the largest park in the city that is twinned with Uman?,"Lake Park (for example, Milwaukee, Wisconsin)",What is the name of the famous brewery located in the city that is twinned with Uman?,"Miller Brewing Company (for example, Milwaukee, Wisconsin)"
places_city,wh,Boulder,twinned administrative body,Dushanbe,Which city's twinned administrative body is Boulder?,Dushanbe,"Boulder, Colorado is twinned with  Ulaanbaatar's administrative",0.0,What city is twinned with Boulder?,Is Dushanbe the twinned administrative body of Boulder?,Is Ulaanbaatar the twinned administrative body of Boulder?,"{'question': 'Which city is twinned with Boulder?', 'options': {'A': 'Dushanbe', 'B': 'Ulaanbaatar', 'C': 'Tokyo', 'D': 'Paris'}, 'ground_truth': 'A'}",Which city's twinned administrative body is Dushanbe?,What is a famous landmark in Boulder?,What is the capital city of the country where the twinned administrative body of Boulder is located?,Kathmandu,Which river flows through the capital city of the country where the twinned administrative body of Boulder is located?,Bagmati River,What is the name of the famous temple located near the river that flows through the capital city of the country where the twinned administrative body of Boulder is located?,Pashupatinath Temple,Which festival is prominently celebrated at the famous temple located near the river that flows through the capital city of the country where the twinned administrative body of Boulder is located?,Maha Shivaratri,Which Hindu deity is primarily worshipped during the festival prominently celebrated at the famous temple located near the river that flows through the capital city of the country where the twinned administrative body of Boulder is located?,Shiva
places_city,wh,Asahikawa,twinned administrative body,Harbin,Which city's twinned administrative body is Asahikawa?,Harbin,Sapporo,0.0,What city is twinned with Asahikawa?,Is Harbin the twinned administrative body of Asahikawa?,Is Sapporo the twinned administrative body of Asahikawa?,"{'question': 'Which city is twinned with Asahikawa?', 'options': {'A': 'Harbin', 'B': 'Sapporo', 'C': 'Tokyo', 'D': 'Osaka'}, 'ground_truth': 'A'}",Which city is twinned with Harbin?,In which country is Asahikawa located?,What is the name of a city that is twinned with Asahikawa?,Bloomington,What is the population of the city that is twinned with Asahikawa?,"85,000",What is the name of the state where the city that is twinned with Asahikawa is located?,Minnesota,What is the capital of the state where the city that is twinned with Asahikawa is located?,Saint Paul,What is the name of the river that flows through the capital of the state where the city that is twinned with Asahikawa is located?,Mississippi River
places_city,wh,Saint-Valery-en-Caux,twinned administrative body,Inverness,Which city's twinned administrative body is Saint-Valery-en-Caux?,Inverness,Dieppe,0.0,What city is twinned with Saint-Valery-en-Caux?,Is Inverness the twinned administrative body of Saint-Valery-en-Caux?,Is Dieppe the twinned administrative body of Saint-Valery-en-Caux?,"{'question': 'Which city is twinned with Saint-Valery-en-Caux?', 'options': {'A': 'Inverness', 'B': 'Dieppe', 'C': 'Edinburgh', 'D': 'Glasgow'}, 'ground_truth': 'A'}",Which city's twinned administrative body is Inverness?,What is a notable landmark in Saint-Valery-en-Caux?,What is the name of a city that is twinned with Saint-Valery-en-Caux?,Bexhill-on-Sea,Which country is the city that is twinned with Saint-Valery-en-Caux located in?,United Kingdom,What is the official language of the country where the city twinned with Saint-Valery-en-Caux is located?,English,What is the capital city of the country where the city twinned with Saint-Valery-en-Caux is located?,London,Which river flows through the capital city of the country where the city twinned with Saint-Valery-en-Caux is located?,River Thames
places_city,wh,Bakersfield,twinned administrative body,Amritsar,Which city's twinned administrative body is Bakersfield?,Amritsar,Kabul,0.0,What city is twinned with Bakersfield?,Is Amritsar the city twinned with Bakersfield?,Is Kabul the city twinned with Bakersfield?,"{'question': 'Which city is twinned with Bakersfield?', 'options': {'A': 'Amritsar', 'B': 'Kabul', 'C': 'Tokyo', 'D': 'Paris'}, 'ground_truth': 'A'}",Which city is twinned with Amritsar?,In which state is Bakersfield located?,What is the capital city of the country where Bakersfield's twinned administrative body is located?,London,Which river flows through the capital city of the country where Bakersfield's twinned administrative body is located?,Thames,What is the length of the river that flows through the capital city of the country where Bakersfield's twinned administrative body is located?,215 miles,Which sea does the river that flows through the capital city of the country where Bakersfield's twinned administrative body is located empty into?,North Sea,Which ocean is connected to the sea that the river flowing through the capital city of the country where Bakersfield's twinned administrative body is located empties into?,Atlantic Ocean
places_city,wh,Benno,patron saint,Munich,Which city's patron saint is Benno?,Munich,Meissen,0.0,Benno is the patron saint of which city?,Is Benno the patron saint of Munich?,Is Benno the patron saint of Meissen?,"{'question': ""Which city's patron saint is Benno?"", 'options': {'A': 'Munich', 'B': 'Meissen', 'C': 'Berlin', 'D': 'Hamburg'}, 'ground_truth': 'A'}",Who is the patron saint of Munich?,What is a famous landmark in Munich?,What is the feast day of the patron saint Benno?,June 16,Which city celebrates the feast day of the patron saint Benno?,Munich,In which country is the city located that celebrates the feast day of the patron saint Benno?,Germany,What is the official language of the country where the city that celebrates the feast day of the patron saint Benno is located?,German,What is the population of the country where the official language is German and the city that celebrates the feast day of the patron saint Benno is located?,Approximately 83 million
places_city,wh,Kalamazoo,twinned administrative body,Kingston,Which city's twinned administrative body is Kalamazoo?,Kingston,Kanazawa,0.0,What city is twinned with Kalamazoo?,Is Kingston the twinned administrative body of Kalamazoo?,Is Kanazawa the twinned administrative body of Kalamazoo?,"{'question': 'Which city is twinned with Kalamazoo?', 'options': {'A': 'Kingston', 'B': 'Kanazawa', 'C': 'Toronto', 'D': 'Vancouver'}, 'ground_truth': 'A'}",Which city's twinned administrative body is Kingston?,In which state is Kalamazoo located?,What is the name of a city that is twinned with Kalamazoo?,Numazu,What is the population of the city that is twinned with Kalamazoo?,"200,000",What is the primary language spoken in the city that is twinned with Kalamazoo?,Japanese,What is the name of the country where the city that is twinned with Kalamazoo is located?,Japan,What is the capital of the country where the city that is twinned with Kalamazoo is located?,Tokyo
places_city,wh,Naperville,twinned administrative body,Cancun,Which city's twinned administrative body is Naperville?,Cancun,Suzhou,0.0,What city is twinned with Naperville?,Is Cancun the city twinned with Naperville?,Is Suzhou the city twinned with Naperville?,"{'question': 'Which city is twinned with Naperville?', 'options': {'A': 'Cancun', 'B': 'Suzhou', 'C': 'Paris', 'D': 'Tokyo'}, 'ground_truth': 'A'}",Which city is twinned with Cancun?,In which state is Naperville located?,What is the name of a city that is twinned with Naperville?,Nitra,In which country is the city located that is twinned with Naperville?,Slovakia,What is the official language of the country where the city twinned with Naperville is located?,Slovak,What is the population of the country where the city twinned with Naperville is located?,Approximately 5.4 million,What is the capital of the country where the city twinned with Naperville is located?,Bratislava
places_city,wh,Argenteuil,twinned administrative body,Alessandria,Which city's twinned administrative body is Argenteuil?,Alessandria,Pontoise,0.0,What city is twinned with Argenteuil?,Is Alessandria the city twinned with Argenteuil?,Is Pontoise the city twinned with Argenteuil?,"{'question': 'Which of the following cities is twinned with Argenteuil?', 'options': {'A': 'Alessandria', 'B': 'Pontoise', 'C': 'Lyon', 'D': 'Marseille'}, 'ground_truth': 'A'}",Which city's twinned administrative body is Alessandria?,In which country is Argenteuil located?,What is the name of a city that is twinned with Argenteuil?,Dessau-Roßlau,What is the population of the city that is twinned with Argenteuil?,"82,919",What is the name of the river that flows through the city that is twinned with Argenteuil?,Elbe,What is the name of the country where the river flows through the city that is twinned with Argenteuil?,Germany,What is the official language of the country where the river flows through the city that is twinned with Argenteuil?,German
places_city,wh,Piana degli Albanesi,twinned administrative body,Tirana,Which city's twinned administrative body is Piana degli Albanesi?,Tirana,Catania,0.0,What city is twinned with Piana degli Albanesi?,Is Tirana the twinned administrative body of Piana degli Albanesi?,Is Catania the twinned administrative body of Piana degli Albanesi?,"{'question': 'Which of the following cities is twinned with Piana degli Albanesi?', 'options': {'A': 'Tirana', 'B': 'Catania', 'C': 'Rome', 'D': 'Naples'}, 'ground_truth': 'A'}",Which town is twinned with Tirana?,In which country is Piana degli Albanesi located?,What is the capital city of the country where the twinned administrative body of Piana degli Albanesi is located?,Athens,What is the primary language spoken in the capital city of the country where the twinned administrative body of Piana degli Albanesi is located?,Greek,What is the most famous historical landmark in the capital city where the primary language is Greek?,The Acropolis,Which ancient civilization is associated with the most famous historical landmark in the capital city where the primary language is Greek?,Ancient Greece,What is the name of the famous philosopher from the ancient civilization associated with the most famous historical landmark in the capital city where the primary language is Greek?,Socrates
places_city,wh,Waregem,twinned administrative body,Pardubice,Which city's twinned administrative body is Waregem?,Pardubice,Bergen op Zoom,0.0,What city is twinned with Waregem?,Is Pardubice the twinned administrative body of Waregem?,Is Bergen op Zoom the twinned administrative body of Waregem?,"{'question': 'Which city is twinned with Waregem?', 'options': {'A': 'Pardubice', 'B': 'Bergen op Zoom', 'C': 'Ghent', 'D': 'Bruges'}, 'ground_truth': 'A'}",Which city's twinned administrative body is Pardubice?,In which country is Waregem located?,What is the country of the twinned administrative body of Waregem?,France,What is the capital city of the country where the twinned administrative body of Waregem is located?,Paris,Which river flows through the capital city of the country where the twinned administrative body of Waregem is located?,Seine,What is the length of the river that flows through the capital city of the country where the twinned administrative body of Waregem is located?,777 kilometers,Into which body of water does the river that flows through the capital city of the country where the twinned administrative body of Waregem is located empty?,English Channel
places_city,wh,Venice,present in work,Civilization V,What is the present in work of Venice?,Civilization V,Tourism,0.0,In which work is Venice featured?,Is Venice present in Civilization V?,Is Venice present in Tourism?,"{'question': 'In which of the following works is Venice present?', 'options': {'A': 'Civilization V', 'B': 'Tourism', 'C': 'The Great Gatsby', 'D': 'War and Peace'}, 'ground_truth': 'A'}",Which city is present in Civilization V?,Which famous canal is located in Venice?,Which famous play by William Shakespeare is set in Venice?,The Merchant of Venice,Who is the main character in the famous play by William Shakespeare that is set in Venice?,Shylock,Which actor played the main character in the 2004 film adaptation of the famous play by William Shakespeare set in Venice?,Al Pacino,Which film festival awarded the actor who played the main character in the 2004 film adaptation of the famous play by William Shakespeare set in Venice?,Venice Film Festival,In which country is the film festival located that awarded the actor who played the main character in the 2004 film adaptation of the famous play by William Shakespeare set in Venice?,Italy
places_city,wh,Venice,significant event,excommunication,What is the significant event of Venice?,excommunication,The Great Fire,0.0,What major event is associated with Venice?,Is excommunication a significant event of Venice?,Is The Great Fire a significant event of Venice?,"{'question': 'What is the significant event of Venice?', 'options': {'A': 'Excommunication', 'B': 'The Great Fire', 'C': 'The Renaissance', 'D': 'The Industrial Revolution'}, 'ground_truth': 'A'}",Which city is associated with the significant event of excommunication?,What is a famous canal in Venice?,What is a significant event that takes place in Venice?,Venice Carnival,What is a traditional activity during the Venice Carnival?,Wearing masks,What material are traditional Venice Carnival masks often made from?,Paper-mâché,Which country is known for its traditional paper-mâché masks used in the Venice Carnival?,Italy,What is the capital city of the country known for its traditional paper-mâché masks used in the Venice Carnival?,Rome
places_city,wh,Vienna,named after,Wiener Neustadt,Which city was named after Vienna?,Wiener Neustadt,"Vienna, Virginia",0.0,What city took its name from Vienna?,Was Wiener Neustadt named after Vienna?,"Was Vienna, Virginia named after Vienna?","{'question': 'Which city was named after Vienna?', 'options': {'A': 'Wiener Neustadt', 'B': 'Vienna, Virginia', 'C': 'Salzburg', 'D': 'Graz'}, 'ground_truth': 'A'}",Which city was Vienna named after?,What is the capital city of Austria?,Who was Vienna named after?,Vindobona,What was the Vindobona known as during the Roman Empire?,A military camp,Which Roman Emperor ruled during the time Vindobona was a military camp?,Marcus Aurelius,Which famous philosopher was a tutor to the Roman Emperor who ruled during the time Vindobona was a military camp?,Marcus Aurelius,Which school of philosophy did the tutor of the Roman Emperor who ruled during the time Vindobona was a military camp belong to?,Stoicism
