topic,subject,relation,object,question,output_vicuna_7b_v1.5,eval_vicuna_7b_v1.5,multiple_choices,paraphrased_question,multiple_choice_with_letters,multiple_choice_labels,yes_question,no_question,locality_question,reversed_relation_question,question_2hop,answer_2hop,question_3hop,answer_3hop,question_4hop,answer_4hop,question_5hop,answer_5hop,question_6hop,answer_6hop
event_sport,Copa Libertadores,winner,Sociedade Esportiva Palmeiras,What is the winner of Copa Libertadores?,The winner of Copa Libertadores is Flamengo,0.0,"['Sociedade Esportiva Palmeiras', 'Flamengo', 'River Plate', 'Boca Juniors']",Who won the Copa Libertadores?,A. The winner of Copa Libertadores is Flamengo  B. River Plate  C. Boca Juniors  D. Sociedade Esportiva Palmeiras,D,Is the winner of Copa Libertadores Sociedade Esportiva Palmeiras?,Is the winner of Copa Libertadores Flamengo?,In which country is the Copa Libertadores primarily held?,Which tournament was won by Sociedade Esportiva Palmeiras?,Who was the top scorer for the winner of the Copa Libertadores?,Gabriel Barbosa,Which club did the top scorer for the winner of the Copa Libertadores play for?,Flamengo,In which city is the club located that the top scorer for the winner of the Copa Libertadores played for?,Rio de Janeiro,In which country is the city located where the club that the top scorer for the winner of the Copa Libertadores played for is situated?,Brazil,What is the official language of the country where the city is located that contains the club the top scorer for the winner of the Copa Libertadores played for?,Portuguese
event_sport,Ice Hockey World Championships,month of the year,May,When is the month of the year of Ice Hockey World Championships?,The month of the year for the Ice Hockey World Championships is April,0.0,"['May', 'April', 'June', 'July']",In which month are the Ice Hockey World Championships held?,A. June  B. May  C. July  D. The month of the year for the Ice Hockey World Championships is April,B,Is the month of the year for the Ice Hockey World Championships May?,Is the month of the year for the Ice Hockey World Championships April?,Which sport is associated with the Ice Hockey World Championships?,What event takes place in May related to Ice Hockey?,Which country hosted the Ice Hockey World Championships in the month of the year it was held?,Finland,What is the capital city of the country that hosted the Ice Hockey World Championships in the month of the year it was held?,Helsinki,What is the population of the capital city of the country that hosted the Ice Hockey World Championships in the month of the year it was held?,"631,695",What is the name of the largest stadium in the capital city of the country that hosted the Ice Hockey World Championships in the month of the year it was held?,Helsinki Olympic Stadium,In which year was the largest stadium in the capital city of the country that hosted the Ice Hockey World Championships in the month of the year it was held originally opened?,1938
event_sport,Highland games,country,United Kingdom,What is the country of Highland games?,Scotland,0.0,"['United Kingdom', 'Scotland', 'Ireland', 'Wales']",In which country are the Highland games held?,A. Ireland  B. United Kingdom  C. Wales  D. Scotland,B,Are the Highland games held in the United Kingdom?,Are the Highland games held in Scotland?,What traditional event is associated with the Highland games?,Which event is associated with the United Kingdom?,What is the national sport of the country where the Highland games originated?,Golf,Who is a famous player of the national sport of the country where the Highland games originated?,Jack Nicklaus,Which major golf tournament has Jack Nicklaus won the most times?,The Masters,In which city is The Masters golf tournament held?,Augusta,In which state is the city located where The Masters golf tournament is held?,Georgia
event_sport,Elfstedentocht,month of the year,January,When is the month of the year of Elfstedentocht?,Elfstedentocht is an annual event that takes place in the Netherlands,0.0,"['January', 'Elfstedentocht is an annual event that takes place in the Netherlands', 'February', 'December']",In which month does the Elfstedentocht take place?,A. January  B. February  C. Elfstedentocht is an annual event that takes place in the Netherlands  D. December,A,Is the month of the year of Elfstedentocht January?,Is the month of the year of Elfstedentocht an annual event that takes place in the Netherlands?,In which country is the Elfstedentocht held?,What event takes place in January?,In which month of the year is the Elfstedentocht typically held?,January,What is the average temperature in the month of January in the region where the Elfstedentocht is held?,Around 0°C (32°F),What is the name of the province where the Elfstedentocht is held?,Friesland,What is the capital city of the province where the Elfstedentocht is held?,Leeuwarden,Which country is the capital city of the province where the Elfstedentocht is held located in?,Netherlands
event_sport,Elfstedentocht,sport,speed skating,What is the sport of Elfstedentocht?,Elfstedentocht is a traditional Dutch sport that involves skating a certain,0.0,"['speed skating', 'Elfstedentocht is a traditional Dutch sport that involves skating a certain', 'ice hockey', 'figure skating']",Which sport is associated with the Elfstedentocht?,A. figure skating  B. ice hockey  C. Elfstedentocht is a traditional Dutch sport that involves skating a certain  D. speed skating,D,Is the sport of Elfstedentocht speed skating?,Is the sport of Elfstedentocht Elfstedentocht is a traditional Dutch sport that involves skating a certain?,In which country is the Elfstedentocht traditionally held?,Which event is associated with the sport of speed skating?,Who won the Elfstedentocht in 1997?,Henk Angenent,"Which sport does the winner of the 1997 Elfstedentocht, Henk Angenent, participate in?",Speed skating,"In which country is the sport of speed skating, participated in by Henk Angenent, particularly popular?",Netherlands,What is the capital city of the country where speed skating is particularly popular and where Henk Angenent is from?,Amsterdam,Which famous museum is located in the capital city of the country where speed skating is popular and where Henk Angenent is from?,Rijksmuseum
event_sport,Elfstedentocht,destination point,Leeuwarden,What is the destination point of Elfstedentocht?,The destination point of Elfstedentocht is the city of Leeuward,0.0,"['Leeuwarden', 'The destination point of Elfstedentocht is the city of Leeuward', 'Amsterdam', 'Rotterdam']",Where does the Elfstedentocht end?,A. The destination point of Elfstedentocht is the city of Leeuward  B. Amsterdam  C. Rotterdam  D. Leeuwarden,D,Is the destination point of Elfstedentocht Leeuwarden?,Is the destination point of Elfstedentocht the city of Leeuward?,In which province of the Netherlands does the Elfstedentocht take place?,What event has Leeuwarden as its destination point?,What is the name of the city that is the destination point of the Elfstedentocht?,Leeuwarden,Which province is the city that is the destination point of the Elfstedentocht located in?,Friesland,What is the official language spoken in the province where the destination point of the Elfstedentocht is located?,Frisian,What is the population of the province where the destination point of the Elfstedentocht is located?,"Approximately 650,000",What is the area in square kilometers of the province where the destination point of the Elfstedentocht is located?,"Approximately 5,749 km²"
event_sport,New York City Marathon,sport,athletics,What is the sport of New York City Marathon?,The New York City Marathon is a long-distance running event that takes place,0.0,"['athletics', 'The New York City Marathon is a long-distance running event that takes place', 'basketball', 'swimming']",Which sport is associated with the New York City Marathon?,A. swimming  B. The New York City Marathon is a long-distance running event that takes place  C. basketball  D. athletics,D,Is athletics the sport of the New York City Marathon?,Is the sport of the New York City Marathon a long-distance running event that takes place?,In which city does the New York City Marathon take place?,Which event is associated with athletics in New York City?,Who won the New York City Marathon in 2021?,Albert Korir,Which country is the 2021 New York City Marathon winner from?,Kenya,What is the capital city of the country that the 2021 New York City Marathon winner is from?,Nairobi,Which river flows through the capital city of the country that the 2021 New York City Marathon winner is from?,Nairobi River,Into which larger body of water does the river that flows through the capital city of the country that the 2021 New York City Marathon winner is from eventually drain?,Indian Ocean
event_sport,Billie Jean King Cup,director / manager,Katrina Adams,Who is the director / manager of Billie Jean King Cup?,"I'm sorry, but I am not able to provide you with the current",0.0,"['Katrina Adams', ""I'm sorry, but I am not able to provide you with the current"", 'Billie Jean King', 'Serena Williams']",Who oversees the Billie Jean King Cup?,"A. Billie Jean King  B. Katrina Adams  C. I'm sorry, but I am not able to provide you with the current  D. Serena Williams",B,Is Katrina Adams the director / manager of Billie Jean King Cup?,"Is I'm sorry, but I am not able to provide you with the current the director / manager of Billie Jean King Cup?",What sport is associated with the Billie Jean King Cup?,Who is managed by Katrina Adams?,Who is the director or manager of the Billie Jean King Cup?,David Haggerty,What organization is the director or manager of the Billie Jean King Cup associated with?,International Tennis Federation (ITF),Where is the headquarters of the organization that the director or manager of the Billie Jean King Cup is associated with?,"London, United Kingdom","Which famous tennis tournament is also organized by the organization headquartered in London, United Kingdom?",Davis Cup,"In which year was the famous tennis tournament organized by the organization headquartered in London, United Kingdom, first held?",1900
event_sport,Rugby World Cup,organizer,World Rugby,What is the organizer of Rugby World Cup?,The Rugby World Cup is organized by the International Rugby Board (IRB),0.0,"['World Rugby', 'The Rugby World Cup is organized by the International Rugby Board (IRB)', 'FIFA', 'International Olympic Committee']",Who is responsible for organizing the Rugby World Cup?,A. World Rugby  B. The Rugby World Cup is organized by the International Rugby Board (IRB)  C. International Olympic Committee  D. FIFA,A,Is the organizer of the Rugby World Cup World Rugby?,Is the organizer of the Rugby World Cup the International Rugby Board (IRB)?,What sport is associated with the Rugby World Cup?,What event is organized by World Rugby?,Who is the president of the organization that organizes the Rugby World Cup?,Bill Beaumont,Which country is the president of the organization that organizes the Rugby World Cup from?,England,What is the capital city of the country that the president of the organization that organizes the Rugby World Cup is from?,London,Which river flows through the capital city of the country that the president of the organization that organizes the Rugby World Cup is from?,River Thames,Into which sea does the river that flows through the capital city of the country that the president of the organization that organizes the Rugby World Cup is from empty?,North Sea
event_sport,World Baseball Classic,organizer,Major League Baseball,What is the organizer of World Baseball Classic?,The World Baseball Classic is organized by the World Baseball Softball Confederation (,0.0,"['Major League Baseball', 'The World Baseball Classic is organized by the World Baseball Softball Confederation', 'International Olympic Committee', 'Fédération Internationale de Football Association']",Who organizes the World Baseball Classic?,A. Fédération Internationale de Football Association  B. The World Baseball Classic is organized by the World Baseball Softball Confederation (  C. Major League Baseball  D. International Olympic Committee,C,Is Major League Baseball the organizer of the World Baseball Classic?,Is the World Baseball Classic organized by the World Baseball Softball Confederation?,What is a major sport league associated with the United States?,What event is organized by Major League Baseball?,Who is the commissioner of the organization that organizes the World Baseball Classic?,Rob Manfred,Which university did the commissioner of the organization that organizes the World Baseball Classic attend for law school?,Harvard Law School,In which city is the law school located that the commissioner of the organization that organizes the World Baseball Classic attended?,Cambridge,In which state is the city located where the law school is situated that the commissioner of the organization that organizes the World Baseball Classic attended?,Massachusetts,In which country is the state located where the city is situated that contains the law school the commissioner of the organization that organizes the World Baseball Classic attended?,United States
event_sport,Rally Sweden,sport,motorsport,What is the sport of Rally Sweden?,"Rally Sweden is a winter rally event held in Sweden, typically in February",0.0,"['motorsport', 'Rally Sweden is a winter rally event held in Sweden, typically in February', 'football', 'basketball']",Which sport is associated with Rally Sweden?,"A. Rally Sweden is a winter rally event held in Sweden, typically in February  B. motorsport  C. basketball  D. football",B,Is the sport of Rally Sweden motorsport?,"Is the sport of Rally Sweden a winter rally event held in Sweden, typically in February?",In which country is Rally Sweden held?,Which event is associated with the sport motorsport?,Who won the Rally Sweden in 2020?,Elfyn Evans,Which team did the winner of the Rally Sweden in 2020 drive for?,Toyota Gazoo Racing,Who is the principal of the team that the winner of the Rally Sweden in 2020 drove for?,Jari-Matti Latvala,Which country is the principal of the team that the winner of the Rally Sweden in 2020 drove for from?,Finland,What is the capital city of the country that the principal of the team that the winner of the Rally Sweden in 2020 drove for is from?,Helsinki
event_sport,Rally Sweden,organizer,Fédération Internationale de l'Automobile,What is the organizer of Rally Sweden?,The organizer of Rally Sweden is the Swedish Rally Championship,0.0,"[""Fédération Internationale de l'Automobile"", 'The organizer of Rally Sweden is the Swedish Rally Championship', 'World Rally Championship', 'Swedish Automobile Sports Federation']",Who organizes Rally Sweden?,A. Fédération Internationale de l'Automobile  B. The organizer of Rally Sweden is the Swedish Rally Championship  C. World Rally Championship  D. Swedish Automobile Sports Federation,A,Is the organizer of Rally Sweden the Fédération Internationale de l'Automobile?,Is the organizer of Rally Sweden the Swedish Rally Championship?,In which country is Rally Sweden held?,What event is organized by the Fédération Internationale de l'Automobile?,What is the name of the organization that organizes Rally Sweden?,Svenska Rallyt AB,Who is the CEO of the organization that organizes Rally Sweden?,Glenn Olsson,Which city is the headquarters of the organization whose CEO is Glenn Olsson located?,Karlstad,In which county is the city located where the headquarters of the organization whose CEO is Glenn Olsson is situated?,Värmland County,In which country is the county located where the city is situated that contains the headquarters of the organization whose CEO is Glenn Olsson?,Sweden
event_sport,Boston Marathon,location,Greater Boston,What is the location of Boston Marathon?,"Boston Marathon is located in Boston, Massachusetts, United States",0.0,"['Greater Boston', 'Boston Marathon is located in Boston, Massachusetts, United States', 'New York City', 'Chicago']",Where is the Boston Marathon held?,"A. Chicago  B. New York City  C. Boston Marathon is located in Boston, Massachusetts, United States  D. Greater Boston",D,Is the Boston Marathon located in Greater Boston?,"Is the Boston Marathon located in Boston, Massachusetts, United States?",What is a famous event associated with the Boston Marathon?,What event takes place in Greater Boston?,What is the capital city of the state where the Boston Marathon is located?,Boston,Which major river runs through the capital city of the state where the Boston Marathon is located?,Charles River,What is the name of the university located near the major river that runs through the capital city of the state where the Boston Marathon is located?,Harvard University,Who is a famous alumnus of the university located near the major river that runs through the capital city of the state where the Boston Marathon is located?,Barack Obama,Which political office did the famous alumnus of the university located near the major river that runs through the capital city of the state where the Boston Marathon is located hold?,President of the United States
event_sport,Winter Olympic Games,sport,winter sport,When is the sport of Winter Olympic Games?,"The Winter Olympic Games are held every four years, typically in February or March",0.0,"['winter sport', 'The Winter Olympic Games are held every four years, typically in February or March', 'summer sport', 'indoor sport']",What type of sport is associated with the Winter Olympic Games?,"A. winter sport  B. summer sport  C. The Winter Olympic Games are held every four years, typically in February or March  D. indoor sport",A,Is the sport of Winter Olympic Games a winter sport?,"Is the sport of Winter Olympic Games held every four years, typically in February or March?",In which season are the Winter Olympic Games typically held?,Which event features winter sports?,Which country won the most medals in the sport at the Winter Olympic Games?,Norway,Who was the flag bearer for the country that won the most medals in the sport at the Winter Olympic Games?,Marit Bjørgen,In which year did the flag bearer for the country that won the most medals in the sport at the Winter Olympic Games first compete?,2002,Which city hosted the Winter Olympic Games in the year when the flag bearer for the country that won the most medals in the sport first competed?,Salt Lake City,In which state is the city located that hosted the Winter Olympic Games in the year when the flag bearer for the country that won the most medals in the sport first competed?,Utah
event_sport,Anarchy Rulz,sport,professional wrestling,What is the sport of Anarchy Rulz?,Anarchy Rulz is a sport where participants compete in various physical challeng,0.0,"['professional wrestling', 'Anarchy Rulz is a sport where participants compete in various physical challenges', 'mixed martial arts', 'boxing']",Which sport is associated with Anarchy Rulz?,A. mixed martial arts  B. professional wrestling  C. boxing  D. Anarchy Rulz is a sport where participants compete in various physical challeng,B,Is the sport of Anarchy Rulz professional wrestling?,Is the sport of Anarchy Rulz a sport where participants compete in various physical challenges?,What type of event is Anarchy Rulz known for?,Which event is associated with professional wrestling?,Who is the most famous athlete associated with the sport featured in Anarchy Rulz?,Rob Van Dam,Which wrestling promotion was the most famous athlete associated with the sport featured in Anarchy Rulz part of?,Extreme Championship Wrestling (ECW),Who founded the wrestling promotion that the most famous athlete associated with the sport featured in Anarchy Rulz was part of?,Tod Gordon,What year was the wrestling promotion founded by the person who founded the promotion that the most famous athlete associated with the sport featured in Anarchy Rulz was part of?,1992,In which city was the wrestling promotion founded in 1992 by Tod Gordon based?,Philadelphia
event_sport,Living Dangerously,sport,professional wrestling,What is the sport of Living Dangerously?,Living Dangerously is not a recognized sport,0.0,"['professional wrestling', 'Living Dangerously is not a recognized sport', 'basketball', 'soccer']",Which sport is associated with Living Dangerously?,A. basketball  B. Living Dangerously is not a recognized sport  C. soccer  D. professional wrestling,D,Is the sport of Living Dangerously professional wrestling?,Is the sport of Living Dangerously Living Dangerously is not a recognized sport?,What is a notable event or characteristic of Living Dangerously?,What event is associated with professional wrestling?,Who is the main athlete featured in the sport associated with Living Dangerously?,Rob Van Dam,Which wrestling promotion was the main athlete featured in Living Dangerously associated with?,Extreme Championship Wrestling (ECW),Who was the founder of the wrestling promotion associated with the main athlete featured in Living Dangerously?,Tod Gordon,What was the original name of the wrestling promotion founded by the person who created the promotion associated with the main athlete featured in Living Dangerously?,Eastern Championship Wrestling,In which year was the wrestling promotion originally named Eastern Championship Wrestling founded?,1992
event_sport,Japan International Birdman Rally,original language of film or TV show,Japanese,What is the original language of film or TV show of Japan International Birdman Rally?,The original language of the film or TV show of Japan International Birdman Rally,0.0,"['Japanese', 'The original language of the film or TV show of Japan International Birdman Rally', 'English', 'Chinese']",In what language was the Japan International Birdman Rally originally filmed?,A. Japanese  B. Chinese  C. The original language of the film or TV show of Japan International Birdman Rally  D. English,A,Is the original language of the film or TV show of Japan International Birdman Rally Japanese?,Is the original language of the film or TV show of Japan International Birdman Rally The original language of the film or TV show of Japan International Birdman Rally?,What type of event is the Japan International Birdman Rally known for?,What film or TV show has Japanese as its original language?,What is the original language of the TV show that features the Japan International Birdman Rally?,Japanese,Which country primarily speaks the original language of the TV show that features the Japan International Birdman Rally?,Japan,What is the capital city of the country that primarily speaks the original language of the TV show that features the Japan International Birdman Rally?,Tokyo,Which island is the capital city located on in the country that primarily speaks the original language of the TV show that features the Japan International Birdman Rally?,Honshu,What is the largest city on the island where the capital city is located in the country that primarily speaks the original language of the TV show that features the Japan International Birdman Rally?,Tokyo
