topic,subject,relation,object,question,output_meta_llama_3_8b_instruct,eval_meta_llama_3_8b_instruct
places_city,Dushanbe,named after,Monday,When was Dushanbe named after?,Bukhara,0.0
places_city,Hsinchu City,head of government,Ann Kao,Who is the head of government of Hsinchu City?,Mayor,0.0
places_city,San Fernando,country,Trinidad and Tobago,What is the country of San Fernando?,Philippines,0.0
places_city,Milan,head of government,Giuseppe Sala,Who is the head of government of Milan?,Mayor,0.0
places_city,Łódź,head of government,Hanna Zdanowska,Who is the head of government of Łódź?,Mayor,0.0
places_city,Wolverhampton,head of state,Liam Pane,Who is the head of state of Wolverhampton?,None,0.0
places_city,Brasília,named after,Brazil,What was Brasília named after?,Brasília,0.0
places_city,Doba,country,Chad,What is the country of Doba?,Sudan,0.0
places_city,Jaffa,location,Tel Aviv,What is the location of Jaffa?,Israel,0.0
places_city,Bangkok,occupant,VG,What is the occupant of Bangkok?,King,0.0
places_city,Kennebec,located in time zone,Central Time Zone,What is the located in time zone of Kennebec?,Eastern,0.0
