topic,subject,relation,object,question,output_meta_llama_3_8b_instruct,eval_meta_llama_3_8b_instruct
entertainment_music_genre,breakbeat,country of origin,United Kingdom,What is the country of origin of breakbeat?,Jamaica,0.0
entertainment_music_genre,Rabindra Sangeet,country of origin,British Raj,What is the country of origin of Rabindra Sangeet?,India,0.0
entertainment_music_genre,pop music,practiced by,pop singer,What was pop music practiced by?,Youth,0.0
entertainment_music_genre,descant,said to be the same as,soprano,What did descant say to be the same as?,Harmony,0.0
entertainment_music_genre,Russian music,ethnic group,Russians,What is the ethnic group of Russian music?,Slavic,0.0
entertainment_music_genre,glam rock,followed by,glam metal,What was glam rock followed by?,Punk,0.0
entertainment_music_genre,krakowiak,described by source,Brockhaus and Efron Encyclopedic Dictionary,Who is the described by source of krakowiak?,Adam Zamoyski,0.0
entertainment_music_genre,pantomime,country of origin,United Kingdom,What is the country of origin of pantomime?,France,0.0
entertainment_music_genre,capriccio,described by source,Brockhaus and Efron Encyclopedic Dictionary,Who is the described by source of capriccio?,Tchaikovsky,0.0
entertainment_music_genre,hip hop music,based on,African-American music,What was hip hop music based on?,Jazz,0.0
entertainment_music_genre,étude,described by source,Brockhaus and Efron Encyclopedic Dictionary,Who is the described by source of étude?,Liszt,0.0
entertainment_music_genre,divertimento,said to be the same as,divertissement,What did divertimento say to be the same as?,Music,0.0
entertainment_music_genre,choral music,instrumentation,choir,What is the instrumentation of choral music?,Vocal,0.0
entertainment_music_genre,contemporary classical music,follows,modern classical music,What does contemporary classical music follow?,Serialism,0.0
entertainment_music_genre,music of Japan,culture,culture of Japan,What is the culture of music of Japan?,Enka,0.0
entertainment_music_genre,music of Peru,country,Peru,What is the country of music of Peru?,Marinera,0.0
entertainment_music_genre,canticle,described by source,Brockhaus and Efron Encyclopedic Dictionary,Who is the described by source of canticle?,Ecclesiastes,0.0
entertainment_music_genre,chamber music,described by source,Brockhaus and Efron Encyclopedic Dictionary,Who is the described by source of chamber music?,Mozart,0.0
entertainment_music_genre,raga,described by source,Brockhaus and Efron Encyclopedic Dictionary,Who is the described by source of raga?,Muthuswami Dikshitar,0.0
entertainment_music_genre,pantomime,described by source,Encyclopædia Britannica 11th edition,What is the described by source of pantomime?,Tadino,0.0
entertainment_music_genre,nocturne,described by source,Brockhaus and Efron Encyclopedic Dictionary,Who is the described by source of nocturne?,Chopin,0.0
entertainment_music_genre,arioso,described by source,Brockhaus and Efron Encyclopedic Dictionary,Who is the described by source of arioso?,Gluck,0.0
entertainment_music_genre,gwo ka,location of creation,Guadeloupe,What is the location of creation of gwo ka?,Haiti,0.0
entertainment_music_genre,instrumental music,has cause,musical instrument,What does instrumental music have cause?,Emotion,0.0
entertainment_music_genre,instrumental music,described by source,Brockhaus and Efron Encyclopedic Dictionary,Who is the described by source of instrumental music?,Mozart,0.0
entertainment_music_genre,toccata,described by source,Brockhaus and Efron Encyclopedic Dictionary,Who is the described by source of toccata?,Bach,0.0
entertainment_music_genre,jazz rap,influenced by,jazz,What was jazz rap influenced by?,Hip-Hop,0.0
entertainment_music_genre,fanfare,described by source,Brockhaus and Efron Encyclopedic Dictionary,Who is the described by source of fanfare?,Trumpet,0.0
entertainment_music_genre,galliard,described by source,Brockhaus and Efron Encyclopedic Dictionary,Who is the described by source of galliard?,Tasso,0.0
entertainment_music_genre,passamezzo,described by source,Brockhaus and Efron Encyclopedic Dictionary,Who is the described by source of passamezzo?,Giovanni Pierluigi da Palestrina,0.0
entertainment_music_genre,lovers rock,country of origin,United Kingdom,What is the country of origin of lovers rock?,Jamaica,0.0
entertainment_music_genre,folk rock,influenced by,folk music,What was folk rock influenced by?,Blues,0.0
entertainment_music_genre,steel band music,uses,steelpan,What does steel band music use?,Pans,0.0
entertainment_music_genre,medieval music,covered period,Middle Ages,What is the covered period of medieval music?,500-1450,0.0
entertainment_music_genre,early music,followed by,Baroque music,What was early music followed by?,Classical,0.0
entertainment_music_genre,hyperpop,has characteristic,eclecticism,What does hyperpop have characteristic?,Glitchy,0.0
entertainment_music_genre,intelligent dance music,country of origin,United Kingdom,What is the country of origin of intelligent dance music?,Netherlands,0.0
entertainment_music_genre,overture,followed by,allemande,What was overture followed by?,Piano,0.0
entertainment_music_genre,music of Indonesia,country,Indonesia,What is the country of music of Indonesia?,Gamelan,0.0
entertainment_music_genre,synthwave,country of origin,United Kingdom,What is the country of origin of synthwave?,USA,0.0
entertainment_music_genre,rapping,practiced by,rapper,What was rapping practiced by?,African Americans,0.0
entertainment_music_genre,Hokkien pop,based on,enka,What was Hokkien pop based on?,Cantonese,0.0
entertainment_music_genre,jōruri,uses,Shamisen,Who does jōruri use?,Kabuki,0.0
entertainment_music_genre,funk,based on,rhythm and blues,What was funk based on?,James Brown,0.0
entertainment_music_genre,jig,culture,Celtic art,What is the culture of jig?,Irish,0.0
entertainment_music_genre,G-funk,discoverer or inventor,Above the Law,What is the discoverer or inventor of G-funk?,Dr. Dre,0.0
entertainment_music_genre,lullaby,described by source,Encyclopædia Britannica 11th edition,What is the described by source of lullaby?,Mother,0.0
entertainment_music_genre,lounge music,country of origin,United Kingdom,What is the country of origin of lounge music?,USA,0.0
entertainment_music_genre,Bagatelle,described by source,Brockhaus and Efron Encyclopedic Dictionary,Who is the described by source of Bagatelle?,Wolfgang Amadeus Mozart,0.0
