topic,subject,relation,object,question,output_meta_llama_3_8b_instruct,eval_meta_llama_3_8b_instruct
technology_software,TransOcean: The Shipping Company,game mode,single-player video game,What is the game mode of TransOcean: The Shipping Company?,Business Simulator,0.0
technology_software,Tintin in Tibet,developer,Infogrames,What is the developer of Tintin in Tibet?,Hergé,0.0
technology_software,Snes9x,copyright license,MIT License,What is the copyright license of Snes9x?,GPLv2,0.0
technology_software,Tales of Monkey Island: Chapter 2 - The Siege of Spinner Cay,game mode,single-player video game,What is the game mode of Tales of Monkey Island: Chapter 2 - The Siege of Spinner Cay?,Point-and-click,0.0
technology_software,Ben and Ed,software engine,Unreal Engine 4,What is the software engine of Ben and Ed?,Unity,0.0
technology_software,Bun,programmed in,Zig,What was Bun programmed in?,Python,0.0
technology_software,osm2pgsql,developer,Jochen Topf,Who is the developer of osm2pgsql?,Simon Grehan,0.0
technology_software,Strawberry,GUI toolkit or framework,Qt,What is the GUI toolkit or framework of Strawberry?,Tkinter,0.0
technology_software,Plotly,country,Canada,What is the country of Plotly?,USA,0.0
technology_software,Delve Deeper,has characteristic,indie game,What does Delve Deeper have characteristic?,Exploration,0.0
technology_software,ELIZA,named after,Pygmalion,What was ELIZA named after?,Eliza,0.0
technology_software,Google AdSense,operating system,cross-platform,What is the operating system of Google AdSense?,Linux,0.0
technology_software,Oh My Zsh,programmed in,shell script,What was Oh My Zsh programmed in?,Zsh,0.0
technology_software,Webtoon,distributed by,Google Play,What was Webtoon distributed by?,Naver,0.0
technology_software,KDiskFree,GUI toolkit or framework,Qt,What is the GUI toolkit or framework of KDiskFree?,GTK+,0.0
technology_software,Everyday Genius: SquareLogic,language of work or name,English,What is the language of work or name of Everyday Genius: SquareLogic?,Python,0.0
technology_software,UC Browser,distributed by,App Store,What was UC Browser distributed by?,Alibaba,0.0
